Im-tóng,Hàn-jī,Lô-má-jī
REC_02-02.wav,# 序詩一:我寫--ê，m̄是我ê詩,
REC_02-04.wav,,
REC_02-06.wav,二、我寫--ê，m̄是詩,
REC_02-08.wav,,
REC_02-10.wav,詩人寫一首,
REC_02-12.wav,押韻，格律整齊ê作品,
REC_02-14.wav,講伊m̄是詩，是小說,
REC_02-16.wav,小說家寫一篇,
REC_02-18.wav,無押韻，無格律koh無分行寫ê作品,
REC_02-20.wav,講伊m̄是小說，是詩,
REC_02-22.wav,是詩，m̄是詩，自十九世紀就花sah-sah,
REC_02-24.wav,,
REC_02-26.wav,「連連看」是詩,
REC_02-28.wav,「社會版」是詩,
REC_02-30.wav,連半字lóng無，只有一張圖ê「歹徒丙」,
REC_02-32.wav,Mā lóng 算是詩,
REC_02-34.wav,二十世紀以後，是詩m̄是詩,
REC_02-36.wav,Bē輸tī十里雺霧，看lóng bē 清,
REC_02-38.wav,,
REC_02-40.wav,是詩？m̄是詩？Kám有tsiah重要,
REC_02-42.wav,既然符號kap實際tiānn-tiānn相違背,
REC_02-44.wav,既然所有ê一切總有一日ē離lán而去,
REC_02-46.wav,當做詩mā好,
REC_02-48.wav,當做胡言亂語mā無差,
REC_02-50.wav,Kah意--ê，隨意提去用,
REC_02-52.wav,看bē上目--ê，凊彩tàn-hiat-ka̍k,
REC_02-54.wav,重要--ê m̄是文字,
REC_02-56.wav,是人生,
REC_02-58.wav,是心,
REC_02-60.wav,,
REC_02-62.wav,2013年1--月tī台中,
REC_02-64.wav,,
REC_02-66.wav,1. 雲(之一),
REC_02-68.wav,,
REC_02-69_Sep22_33.wav,連鞭是車，連鞭是厝,
REC_02-69_Sep22_34.wav,連鞭是綿仔糖，連鞭是城堡,
REC_02-69_Sep22_35.wav,雲，無固定的面貌。,
REC_02-69_Sep22_36.wav,,
REC_02-69_Sep22_37.wav,因為知影外形在人看，,
REC_02-70.wav,無絕對的媠稗，,
REC_02-72.wav,因為知影佇生命內底,
REC_02-74.wav,變化才是袂變的真理。,
REC_02-76.wav,,
REC_02-78.wav,伊,
