Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,自我有記持開始，,"Tsū guá ū kì-tî khai-sí,"
,阮兜的早頓就是阿爸一國、阿母佮阮兄弟仔一國。,"guán tau ê tsá-tǹg tō sī a-pah tsi̍t kok, a-bú kah guán hiann-tī-á tsi̍t kok."
,我讀幼稚園的時，,"Guá tha̍k iù-tī-hn̂g ê sî,"
,逐工透早阿母就共早頓攢好勢，,"ta̍k kang thàu-tsá a-bú tō kā tsá-tǹg tshuân hó-sè,"
,有時陣是牛奶配俗麭，,"ū-sî-tsūn sī gû-ling phuè sio̍k-pháng,"
,若無就是豆奶配饅頭抑是包仔。,nā-bô tō sī tāu-ling phuè bán-thô ia̍h-sī pau-á.
,逐工早起，,"Ta̍k kang tsá-khí,"
,當阮咧食早頓的時，,"tng guán teh tsia̍h tsá-tǹg ê sî,"
,阿爸攏佇邊仔咧看報紙。,a-pah lóng tī pinn--á teh khuànn pò-tsuá.
,我就問阿爸哪無欲做伙食？,Guá tō mn̄g a-pah ná bô beh tsò-hué tsia̍h?
,阿爸攏應講伊食飽矣！,A-pah lóng ìn kóng i tsia̍h-pá --ah!
,想袂到阿爸遐早就食飽矣，,"Siūnn bē kàu a-pah hiah tsá tō tsia̍h-pá --ah,"
,伊是食啥物好料的攏毋予阮知咧？,i sī tsia̍h siánn-mih hó-liāu--ê lóng m̄ hōo guán tsai --leh?
,捌聽阿媽講起，,"Bat thiann a-má kóng khí,"
,阿爸細漢的時，,"a-pah sè-hàn ê sî,"
,厝內囡仔大陣。,tshù-lāi gín-á tuā-tīn.
,猶閣蹛佇庄跤的時，,"Iáu-koh tuà tī tsng-kha ê sî,"
,阿公佮阿媽足早就愛去作穡，,"a-kong kah a-má tsiok tsá tō ài khì tsoh-sit,"
,早起攏煮一大坩糜，,"tsá-khí lóng tsú tsi̍t tuā khann muê,"
,等阿爸in兄弟仔精神了後，,"tán a-pah in hiann-tī-á tsing-sîn liáu-āu,"
,配一寡仔菜脯、蔭瓜仔，,"phuè tsi̍t-kuá-á tshài-póo, ìm-kue-á,"
,凊彩扒扒咧就去讀冊矣。,tshìn-tshái pe-pe --leh tō khì tha̍k-tsheh --ah.
,阿媽閣講過，,"A-má koh  kóng-kuè,"
,阿爸細漢的時足歹喙斗，,"a-pah sè-hàn ê sî tsiok pháinn-tshuì-táu,"
,佇庄跤食糜配醬菜的日子，,"tī tsng-kha tsia̍h muê phuè tsiùnn-tshài ê ji̍t-tsí,"
,逐工攏嘛面憂面結，,"ta̍k kang lóng mā bīn-iu-bīn-kat,"
,啥物都無愛食，,"siánn-mih to bô ài tsia̍h,"
,毋才會生做黃酸黃酸。,m̄-tsiah ē senn-tsò n̂g-sng n̂g-sng.
,講嘛奇怪，,"Kóng mā kî-kuài,"
,搬去臺北了後，,"puann khì Tâi-pak liáu-āu,"
,阿公佮阿媽無閒咧做生理，,"a-kong kah a-má bô-îng teh tsò-sing-lí,"
,早頓攏叫阿爸家己提銀角仔去菜市仔買，,"tsá-tǹg lóng kiò a-pah  ka-kī the̍h gîn-kak-á khì tshài-tshī-á bé,"
,伊煞親像囡仔咧 轉骨仝款，,"i suah tshin-tshiūnn gín-á teh tńg-kut kāng-khuán,"
,開脾矣！,khui-pî --ah!
,今仔日食蚵仔麵線、明仔載買肉羹麵，,"Kin-á-ji̍t tsia̍h ô-á mī-suànn, bîn-á-tsài bé bah-kenn-mī,"
,若無就是米粉炒配豬血湯。,nā-bô tō sī bí-hún-tshá phuè ti-hueh-thng.
,就按呢，,"Tsiū-án-ne,"
,阮阿爸的早頓就沓沓仔變成菜市仔口味的綜合版，,"guán a-pah ê tsá-tǹg tō ta̍uh-ta̍uh-á piàn-sîng tshài-tshī-á kháu-bī ê tsong-ha̍p-pán,"
,真僫得改矣！,tsin oh tit kái --ah!
,阿母講伊佮阿爸拄交往的時陣，,"A-bú kóng i kah a-pah tú kau-óng ê sî-tsūn,"
,毋知阿爸愛食彼款重口味的早頓，,"m̄ tsai a-pah ài tsia̍h hit khuán tāng kháu-bī ê tsá-tǹg,"
,有當時仔阿爸會𤆬伊去菜市仔食數念誠久的好滋味，,"ū-tang-sî-á a-pah ē tshuā i khì tshài-tshī-á tsia̍h siàu-liām tsiânn kú ê hó tsu-bī,"
,阿母嘛會當接受。,a-bú mā ē-tàng tsiap-siū.
,想袂到，,"Siūnn bē kàu,"
,結婚了後兩个人煞不時為著欲食佗一款早頓咧冤家。,kiat-hun liáu-āu nn̄g ê lâng suah put-sî uī-tio̍h beh tsia̍h tó tsi̍t khuán tsá-tǹg teh uan-ke.
,頭起先，,"Thâu-khí-sing,"
,阿爸會勉強共阿母攢的早頓食予了，,"a-pah ē bián-kióng kā a-bú tshuân ê tsá-tǹg tsia̍h hōo liáu,"
,毋過阿母敢若會當感受著翁婿小可仔稀微的心情－－,m̄-koh a-bú kánn-ná ē-tàng kám-siū tio̍h ang-sài sió-khuá-á hi-bî ê sim-tsîng－－
,無食著家己佮意的早頓，,"bô tsia̍h-tio̍h ka-kī kah-ì ê tsá-tǹg,"
,規工攏袂輕鬆呢！,kui kang lóng bē khin-sang --neh!
,阿母共阮講：「人講無冤無家，,"A-bú kā guán kóng: “Lâng kóng bô-uan-bô-ke,"
,不成夫妻。,put sîng hu-tshe.
,但是若為著無仝款的食食咧冤家量債，,"Tān-sī nā uī-tio̍h bô kāng-khuán ê tsia̍h-si̍t teh uan-ke-niû-tsè,"
,拍歹翁某的感情，,"phah-pháinn ang-bóo ê kám-tsîng,"
,彼才是毋值！」,he tsiah-sī m̄ ta̍t!”
,所以，,"Sóo-í,"
,這馬阮兜的早頓，,"tsit-má guán tau ê tsá-tǹg,"
,就保持這種各人揀各人愛食的，,"tō pó-tshî tsit-tsióng kok-lâng kíng kok-lâng ài tsia̍h--ê,"
,逐家攏誠歡喜。,ta̍k-ke lóng tsiânn huann-hí.
,毋過，,"M̄-koh,"
,阿爸有當時仔欲去買伊上愛食的蚵仔麵線，,"a-pah ū-tang-sî-á beh khì bé i siōng ài tsia̍h--ê ô-á mī-suànn,"
,攏會偷偷仔問我佮小弟有想欲食無？,lóng ē thau-thau-á mn̄g guá kah sió-tī ū siūnn-beh tsia̍h --bô?
,我定定咧想：「有時陣換食換食，,"Guá tiānn-tiānn teh siūnn: “Ū-sî-tsūn uānn-tsia̍h-uānn-tsia̍h,"
,嘛袂䆀呢！」,mā bē-bái --neh!”
