Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,自細漢阮就罕得去電頭鬃店予人鉸頭鬃，,"Tsū sè-hàn guán tō hán-tit khì tiān thâu-tsang tiàm hōo lâng ka thâu-tsang,"
,見擺若是學校欲檢查頭毛，,"kiàn-pái nā-sī ha̍k-hāu beh kiám-tsa thâu-mn̂g,"
,阿母就會工課放咧，,"a-bú tō ē khang-khuè pàng --leh,"
,叫阮三姊弟仔坐踮椅條，,"kiò guán sann tsí-tē-á tsē tiàm í-liâu,"
,逐个人提一張中央挖空的報紙橐咧，,"ta̍k ê lâng the̍h tsi̍t tiunn tiong-ng óo-khang ê pò-tsuá lop --leh,"
,聽候阿母「開工」。,thìng-hāu a-bú “khai-kang”.
,阿母會先對阮兩姊妹仔開始，,"A-bú ē sing uì guán nn̄g tsí-muē-á khai-sí,"
,因為查某囡仔的頭毛規定上長干焦會當佮耳珠齊，,"in-uī tsa-bóo gín-á ê thâu-mn̂g kui-tīng siōng tn̂g kan-na ē-tàng kah hīnn-tsu tsê,"
,額頭的頭鬃愛離目眉頂一公分。,hia̍h-thâu ê thâu-tsang ài lī ba̍k-bâi-tíng tsi̍t kong-hun.
,阿母跤手誠猛掠，,"A-bú kha-tshiú tsiânn mé-lia̍h,"
,鉸刀小可仔振動一下，,"ka-to sió-khuá-á tín-tāng tsi̍t-ē,"
,一睏仔就鉸好勢矣。,tsi̍t-khùn-á tō ka hó-sè --ah.
,小弟的較麻煩，,"Sió-tī ê khah mâ-huân,"
,愛用攄仔先攄做三分仔，,"ài iōng lu-á sing lu tsò sann-hun-á,"
,才閣用剃頭刀共毛跤剾過，,"tsiah koh iōng thì-thâu-to kā mn̂g-kha khau kuè,"
,剃一粒頭著愛半點外鐘。,thì tsi̍t lia̍p thâu tio̍h ài puànn-tiám-guā-tsing.
,讀國中的時陣，,"Tha̍k kok-tiong ê sî-tsūn,"
,阿母日時佇鞋仔廠上班，,"a-bú ji̍t--sî tī ê-á-tshiúnn siōng-pan,"
,暗時閣去合作農場洗芹菜，,"àm-sî koh khì ha̍p-tsok lông-tiûnn sé khîn-tshài,"
,逐工無閒甲無暝無日，,"ta̍k kang bô-îng kah bô-mê-bô-ji̍t,"
,就叫阮家己鉸。,tō kiò guán ka-kī ka.
,我佮小妹兩个人互相鉸，,"Guá kah sió-muē nn̄g ê lâng hōo-siong ka,"
,小弟的頭無人會曉剃，,"sió-tī ê thâu bô-lâng ē-hiáu thì,"
,就提錢去揣剃頭店的師傅。,tō the̍h tsînn khì tshuē thì-thâu-tiàm ê sai-hū.
,有一擺，,"Ū tsi̍t pái,"
,小妹無細膩共我後壁的頭毛鉸甲缺一角，,"sió-muē bô-sè-jī kā guá āu-piah ê thâu-mn̂g ka kah khih tsi̍t kak,"
,隔轉工去學校予人笑講「去予狗齧著」。,keh-tńg-kang khì ha̍k-hāu hōo lâng tshiò kóng “Khì hōo káu khè--tio̍h”.
,自彼擺了後，,"Tsū hit pái liáu-āu,"
,若是欲鉸頭鬃，,"nā-sī beh ka thâu-tsang,"
,我就會三叮嚀四吩咐，,"guá tō ē sann-ting-lîng-sì-huan-hù,"
,叫小妹毋通共我鉸䆀去。,kiò sió-muē m̄ thang kā guá ka bái--khì.
,大漢出社會了後，,"Tuā-hàn tshut siā-huē liáu-āu,"
,阿母就毋捌閣共阮鉸頭毛矣，,"a-bú tō m̄ bat koh kā guán ka thâu-mn̂g --ah,"
,顛倒是三不五時，,"tian-tó sī sam-put-gōo-sî,"
,阿母會叫我共伊的頭毛略仔修予順。,a-bú ē kiò guá kā i ê thâu-mn̂g lio̍h-á siu hōo sūn.
,小弟佇臺北趁食，,"Sió-tī tī Tâi-pak thàn-tsia̍h,"
,見擺若去予人鉸頭鬃攏無滿意，,"kiàn-pái nā khì hōo lâng ka thâu-tsang lóng bô muá-ì,"
,因為伊去種著阿母的虯頭毛，,"in-uī i khì tsíng-tio̍h a-bú ê khiû-thâu-mn̂g,"
,若鉸無好勢就會氅甲若棕鑢仔。,nā ka bô hó-sè tō ē tsháng kah nā tsang-lù-á.
,噴水、用捋仔捋，,"Phùn-tsuí, iōng lua̍h-á lua̍h,"
,抑是用吹風機吹，,"ia̍h-sī iōng tshue-hong-ki tshue,"
,攏無效，,"lóng bô-hāu,"
,誠費氣。,tsiânn huì-khì.
,伊定定舞甲想欲攄三分仔，,"I tiānn-tiānn bú kah siūnn-beh lu sann-hun-á,"
,毋過閣無勇氣。,m̄-koh koh bô ióng-khì.
,有一回伊歇睏轉來厝，,"Ū tsi̍t huê i hioh-khùn tńg--lâi tshù,"
