Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,細漢的時陣，,"Sè-hàn ê sî-tsūn,"
,阮兜蹛庄跤。,guán tau tuà tsng-kha.
,厝裡咧作穡，,"Tshù--lí teh tsoh-sit,"
,爸母骨力拚，,"pē-bú kut-la̍t piànn,"
,起一間平厝仔閣蓄七分外的田園來種作，,"khí tsi̍t king pênn-tshù-á koh hak tshit hūn guā ê tshân-hn̂g lâi tsìng-tsoh,"
,通晟養七个幼囝。,thang tshiânn-ióng tshit ê iù-kiánn.
,較早農業時代，,"Khah-tsá lông-gia̍p sî-tāi,"
,欲食果子愛家己種。,beh tsia̍h kué-tsí ài ka-kī tsìng.
,向時，,"Hiàng-sî,"
,厝拄起好，,"tshù tú khí hó,"
,阿爸順紲踮厝頭前種一欉楊桃栽仔。,a-pah sūn-suà tiàm tshù thâu-tsîng tsìng tsi̍t tsâng iûnn-tô tsai-á.
,自我有記持，,"Tsū guá ū kì-tî,"
,門跤口的楊桃欉就一樓懸矣。,mn̂g-kha-kháu ê iûnn-tô-tsâng tō tsi̍t lâu kuân --ah.
,樹椏佮葉仔發甲真密，,"Tshiū-ue kah hio̍h-á huat kah tsin ba̍t,"
,足健欉！,tsiok kiānn-tsâng!
,佇屏東，,"Tī Pîn-tong,"
,熱人的日頭赤焱焱，,"jua̍h--lâng ê ji̍t-thâu tshiah-iānn-iānn,"
,有彼欉楊桃通好閘日覕蔭，,"ū hit tsâng iûnn-tô thang-hó tsa̍h ji̍t bih ńg,"
,足四序！,tsiok sù-sī!
,若拄著楊桃開花，,"Nā tú-tio̍h iûnn-tô khui-hue,"
,規欉樹仔的蜂密密密，,"kui tsâng tshiū-á ê phang ba̍t-ba̍t-ba̍t,"
,沾花採蜜，,"tsam hue tshái bi̍t,"
,無一時閒。,bô tsi̍t sî îng.
,免偌久，,"Bián guā kú,"
,青迸迸的楊桃仔囝就生甲滿滿是。,tshenn-piàng-piàng ê iûnn-tô-á kiánn tō senn kah muá-muá-sī.
,過一段時間，,"Kuè tsi̍t tuānn sî-kan,"
,若看著青苔仔飛來，,"nā khuànn-tio̍h tshenn-thî-á pue --lâi,"
,就知影阮兜的楊桃到分矣！,tō tsai-iánn guán tau ê iûnn-tô kàu-hun --ah!
,幾若百隻鳥仔歇佇樹仔頂，,"Kuí-nā pah tsiah tsiáu-á hioh tī tshiū-á-tíng,"
,享受在欉黃，,"hiáng-siū tsāi-tsâng-n̂g,"
,酸甜的好滋味，,"sng tinn ê hó tsu-bī,"
,這款景緻恁敢捌看過？,tsit khuán kíng-tì lín kám bat khuànn--kuè?
,彼欉楊桃生真厚，,"Hit tsâng iûnn-tô senn tsin kāu,"
,家己食袂去，,"ka-kī tsia̍h bē khì,"
,閣會當挽規堆分厝邊。,koh ē-tàng bán kui tui pun tshù-pinn.
,在欉黃的楊桃有特殊的芳氣，,"Tsāi-tsâng-n̂g ê iûnn-tô ū ti̍k-sû ê phang-khì,"
,厚汁閣清甜，,"kāu tsiap koh tshing-tinn,"
,止喙焦兼降火氣。,tsí tshuì-ta kiam kàng hué-khì.
,囡仔時，,"Gín-á sî,"
,我定定佇樹仔跤佮囡仔咧扮公伙仔，,"guá tiānn-tiānn tī tshiū-á-kha kah gín-á teh pān-kong-hué-á,"
,挽伊的花煮菜，,"bán i ê hue tsú tshài,"
,掣楊桃葉仔準錢，,"tshuah iûnn-tô hio̍h-á tsún tsînn,"
,遏枯焦的椏做箸。,at koo-ta ê ue tsò tī.
,若耍覕相揣，,"Nā sńg bih-sio-tshuē,"
,做鬼仔的人就摸樹箍踅三輾才會當開始掠人。,tsò kuí-á ê lâng tō bong tshiū-khoo se̍h sann liàn tsiah ē-tàng khai-sí lia̍h lâng.
,若無伴就家己控去樹仔頂，,"Nā bô phuānn tō ka-kī khàng khì tshiū-á-tíng,"
,看狗蟻趖規逝。,khuànn káu-hiā sô kui tsuā.
,一隻一隻嗤舞嗤呲，,"Tsi̍t tsiah tsi̍t tsiah tshi-bú-tshi̍h-tshū,"
,相拄喙嘛真心適。,sio tú tshuì mā tsin sim-sik.
,日子過了真緊，,"Ji̍t-tsí kuè-liáu tsin kín,"
,一晃十外冬。,tsi̍t huánn tsa̍p guā tang.
,花無百日紅，,"Hue bô pah ji̍t âng,"
,楊桃嘛敗欉。,iûnn-tô mā pāi-tsâng.
,會記得有一工透早，,"Ē-kì-tit ū tsi̍t kang thàu-tsá,"
,阮阿爸對外口紮一支電鋸轉來。,guán a-pah uì guā-kháu tsah tsi̍t ki tiān-kì tńg--lâi.
,我問阿爸欲創啥？,Guá mn̄g a-pah beh tshòng siánn?
,伊講：「彼欉楊桃無效矣，,"I kóng: “Hit tsâng iûnn-tô bô-hāu --ah,"
,愛共剉剉掉！,ài kā tshò-tshò-tiāu!
,門口埕鞏鞏咧，,"Mn̂g-kháu-tiânn khōng-khōng --leh,"
,較清氣相嘛好停車。」,khah tshing-khì-siùnn mā hó thîng-tshia.”
,我聽著心內足毋甘，,"Guá thiann-tio̍h sim-lāi tsiok m̄-kam,"
,猶毋過，,"iáu-m̄-koh,"
