Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,泅水毋但是全身的運動，,"Siû-tsuí m̄-nā sī tsuân-sin ê ūn-tōng,"
,而且會當強化心肺功能。,jî-tshiánn ē-tàng kiông-huà sim hì kong-lîng.
,彼年阮阿姑佇游泳池開福利社，,"Hit nî guán a-koo tī iû-íng-tî khui hok-lī-siā,"
,就順紲共阮這陣猴囡仔搝去學泅水。,tō sūn-suà kā guán tsit tīn kâu-gín-á khiú khì o̍h siû-tsuí.
,規个熱天阮攏咧耍水，,"Kui-ê jua̍h-thinn guán lóng teh sńg tsuí,"
,閣下大願欲去泅日月潭。,koh hē tuā-guān beh khì siû Ji̍t-gua̍t-thâm.
,為著培養體力，,"Uī-tio̍h puê-ióng thé-la̍t,"
,阮逐工攏愛泅一千公尺，,"guán ta̍k kang lóng ài siû tsi̍t-tshing kong-tshioh,"
,連轉來臺中歇熱的表兄弟、,"liân tńg--lâi Tâi-tiong hioh-jua̍h ê piáu-hiann-tī,"
,表姊妹嘛攏陪阮浸佇水裡咧學泅。,piáu-tsí-muē mā lóng puê guán tsìm tī tsuí--lí teh o̍h siû.
,日月潭平常時仔是無咧予人泅的，,"Ji̍t-gua̍t-thâm pîng-siông-sî-á sī bô teh hōo lâng siû--ê,"
,所以一年一改的「泳渡」攏吸引誠濟愛泅水的朋友來參加。,sóo-í tsi̍t nî tsi̍t kái ê “Íng-tōo” lóng khip-ín tsiânn tsē ài siû-tsuí ê pîng-iú lâi tsham-ka.
,活動彼工，,"Ua̍h-tāng hit kang,"
,朝霧碼頭沖沖滾，,"Tiâu-bū bé-thâu tshiâng-tshiâng-kún,"
,逐家攏游泳衫換好佇遐集合。,ta̍k-ke lóng iû-íng-sann uānn hó tī hia tsi̍p-ha̍p.
,有人那穿裝備那開講，,"Ū lâng ná tshīng tsong-pī ná khai-káng,"
,講甲笑咍咍，,"kóng kah tshiò-hai-hai,"
,有人咻咻叫咧熱身，,"ū lâng hiu-hiu-kiò teh jia̍t-sin,"
,嘛有人咧替朋友糊「防曝油」──,mā ū lâng teh thè pîng-iú kôo “hông-pha̍k-iû” ──
,聽講愛曝誠久呢。,thiann-kóng ài pha̍k tsiânn kú --neh.
,阮嘛抹甲規身軀、規面油肭肭。,"Guán mā buah kah kui-sin-khu, kui bīn iû-leh-leh."
,喝一聲落水，,"Huah tsi̍t siann lo̍h-tsuí,"
,一觸久仔，,"tsi̍t-tak-kú-á,"
,平波波的水面密喌喌攏全全人。,pênn-pho-pho ê tsuí-bīn ba̍t-tsiuh-tsiuh lóng tsuân-tsuân lâng.
,上頭前是咧拚掠篙泅的，,"Siōng thâu-tsîng sī teh piànn lia̍h-ko-siû--ê,"
,削削叫一直去，,"siah-siah-kiò it-ti̍t khì,"
,較後尾的就用水雞泅沓沓仔泅，,"khah āu-bué--ê tō iōng tsuí-ke-siû ta̍uh-ta̍uh-á siû,"
,嘛有人不時換姿勢咧沐沐泅。,mā ū lâng put-sî uānn tsu-sè teh bo̍k-bo̍k-siû.
,我佮表小妹泅做伙，,"Guá kah piáu-sió-muē siû tsò-hué,"
,雙跤慢慢仔踢，,"siang kha bān-bān-á that,"
,佇伊身軀邊沓沓仔踅，,"tī i sin-khu-pinn ta̍uh-ta̍uh-á se̍h,"
,順紲看風景。,sūn-suà khuànn hong-kíng.
,天地曠闊，,"Thinn-tē khòng-khuah,"
,日頭光佇水面閃爍，,"ji̍t-thâu-kng tī tsuí-bīn siám-sih,"
,這大窟水閣涼涼啊，,"tsit tuā khut tsuí koh liâng-liâng --ah,"
,日月潭有影媠！,Ji̍t-gua̍t-thâm ū-iánn suí!
,「喀──喀──」,「Khe̍nnh── khe̍nnh──」
,表小妹雄雄嗾著水，,"piáu-sió-muē hiông-hiông tsa̍k-tio̍h tsuí,"
,我伸手去共牚懸，,"guá tshun-tshiú khì kā thènn-kuân,"
,伊驚一下煞共我的頷頸攬牢牢，,"i kiann--tsi̍t-ē suah kā guá ê ām-kún lám-tiâu-tiâu,"
,這聲換阮兩个同齊沉落去。,tsit-siann uānn guán nn̄g ê tâng-tsê tîm--lo̍h-khì.
,我想，,"Guá siūnn,"
,閣予伊搝牢咧就害矣，,"koh hōo i khiú-tiâu --leh tō hāi--ah,"
,隨換徛泅，,"suî uānn khiā-siû,"
,雙手硬共伊的手捒開去，,"siang-tshiú ngē kā i ê tshiú sak-khui-khì,"
,尾仔才用雙手共伊的手牚咧，,"bué-á tsiah iōng siang-tshiú kā i ê tshiú thènn --leh,"
,感覺伊略仔咇咇掣。,kám-kak i lio̍h-á phi̍h-phi̍h-tshuah.
,等待伊較袂喘矣，,"Tán-thāi i khah bē tshuán --ah,"
,我問講：「敢欲閣泅？」,guá mn̄g kóng: “Kám beh koh siû?”
,伊共我頕頭，,"i kā guá tàm-thâu,"
,阮才閣寬寬仔對終點泅去。,guán tsiah koh khuann-khuann-á uì tsiong-tiám siû--khì.
,你一定想講：「哪會攏袂驚？」,Lí it-tīng siūnn-kóng: “Ná ē lóng bē kiann?”
,因為落水進前阮阿姑就足斟酌交代講，,"in-uī lo̍h-tsuí tsìn-tsîng guán a-koo tō tsiok tsim-tsiok kau-tài kóng,"
,現場攏有救生員佇船頂咧金金看。,hiān-tiûnn lóng ū kiù-sing-uân tī tsûn-tíng teh kim-kim-khuànn.
,若無體力抑是無爽快，,"Nā bô thé-la̍t ia̍h-sī bô sóng-khuài,"
,只要攑手，,"tsí-iàu gia̍h-tshiú,"
,隨有人會共你搝起來。,suî ū lâng ē kā lí khiú --khí-lâi.
,而且阮有學浮水、徛泅來自救，,"Jî-tshiánn guán ū o̍h phû-tsuí, khiā-siû lâi tsū-kiù,"
,所以膽真在。,sóo-í tánn tsin tsāi.
,等我泅到位、peh上岸，,"Tán guá siû kàu-uī, peh tsiūnn huānn,"
,感覺跤手𠕇硞硞，,"kám-kak kha-tshiú tīng-khok-khok,"
,規身軀軟荍荍。,kui-sin-khu nńg-siô-siô.
,阮規家伙仔稅飯店摔大眠，,"Guán kui-ke-hué-á suè pn̄g-tiàm siàng-tuā-bîn,"
,佇遐睏規下晡。,tī hia khùn kui ē-poo.
,閣較趣味的是，,"Koh-khah tshù-bī--ê sī,"
,我轉去到學校上課，,"guá tńg-khì kàu ha̍k-hāu siōng-khò,"
,面猶有水鏡的痕跡。,bīn iáu ū tsuí-kiànn ê hûn-jiah.
,面肉烏烏、目箍白白，,"Bīn-bah oo-oo,ba̍k-khoo pe̍h-pe̍h,"
,若親像貓熊咧。,ná tshin-tshiūnn niau-hîm --leh.
,泅日月潭，,"Siû Ji̍t-gua̍t-thâm,"
,有夠好耍的啦！,ū-kàu hó-sńg--ê --lah!
