Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,我蹛佇桃園，,"Guá tuà tī Thô-hn̂g,"
,平常時仔攏是駛車出門。,pîng-siông-sî-á lóng sī sái-tshia tshut-mn̂g.
,這擺欲去臺北出差，,"Tsit pái beh khì Tâi-pak tshut-tshai,"
,聽講停車位真歹揣，,"thiann-kóng thîng tshia uī tsin pháinn tshuē,"
,停車費又閣貴參參，,"thîng tshia huì iū-koh kuì-som-som,"
,一點鐘就愛五十箍，,"tsi̍t tiám-tsing tō ài gōo-tsa̍p khoo,"
,三工落來欲哪算會和？,sann kang lo̍h-lâi beh ná sǹg ē hô?
,上尾猶是決定坐車去臺北。,Siōng-bué iáu sī kuat-tīng tsē tshia khì Tâi-pak.
,算算咧，,"Sǹg-sǹg --leh,"
,這幾年坐公車抑是坐捷運的機會無超過三改，,"tsit kuí nî tsē kong-tshia ia̍h-sī tsē tsia̍t-ūn ê ki-huē bô tshiau-kuè sann kái,"
,欲坐佗一幫車才會到位我嘛毋知。,beh tsē tó tsi̍t pang tshia tsiah ē kàu-uī guá mā m̄ tsai.
,無共坐車的路線舞予清楚，,"Bô kā tsē tshia ê lōo-suànn bú hōo tshing-tshó,"
,我毋敢出門。,guá m̄ kánn tshut-mn̂g.
,坐客運到捷運站，,"Tsē kheh-ūn kàu tsia̍t-ūn-tsām,"
,愛閣盤車才會到位。,ài koh puânn-tshia tsiah ē kàu-uī.
,對客運落車，,"Uì kheh-ūn lo̍h-tshia,"
,入去捷運站，,"ji̍p-khì tsia̍t-ūn-tsām,"
,我是看甲目睭花花花，,"guá sī khuànn kah ba̍k-tsiu hue-hue-hue,"
,毋過逐家的跤步真緊。,m̄-koh ta̍k-ke ê kha-pōo tsin kín.
,逐家手提一張『悠遊卡』，,"Ta̍k-ke tshiú the̍h tsi̍t tiunn ‘iu-iû-khah’,"
,觱一聲，,"pi tsi̍t siann,"
,人就會當過去矣。,lâng tō ē-tàng kuè--khì --ah.
,干焦我這个庄跤倯徛佇遐，,"Kan-na guá tsit ê tsng-kha-sông khiā tī hia,"
,毋知欲按怎行？,m̄ tsai beh án-tsuánn kiânn?
,好佳哉，,"Hó-ka-tsài,"
,敢問就有路，,"kánn mn̄g tō ū lōo,"
,拄著一位婦人人，,"tú-tio̍h tsi̍t uī hū-jîn-lâng,"
,伊真熱心𤆬我去盤車，,"i  tsin jia̍t-sim tshuā guá khì puânn-tshia,"
,我才會當順利到位。,guá tsiah ē-tàng sūn-lī kàu-uī.
,暗時轉到厝裡，,"Àm-sî tńg kàu tshù--lí,"
,捷運的一切出現佇我的目睭前，,"tsia̍t-ūn ê it-tshè tshut-hiān tī guá ê ba̍k-tsiu-tsîng,"
,感覺咱臺灣的交通誠進步。,kám-kak lán Tâi-uân ê kau-thong tsiânn tsìn-pōo.
,無論是公車、,"Bô-lūn sī kong-tshia,"
,捷運抑是高鐵攏予人感覺真利便，,"tsia̍t-ūn ia̍h-sī ko-thih lóng hōo lâng kám-kak tsin lī-piān,"
,這是因為「電子化」的關係。,tse sī in-uī “tiān-tsú-huà” ê kuan-hē.
,佇捷運的每一个車廂攏有跑馬燈，,"Tī tsia̍t-ūn ê muí tsi̍t ê tshia-siunn lóng ū pháu-bé-ting,"
,會顯示後一站的站名，,"ē hián-sī āu tsi̍t tsām ê tsām-miâ,"
,閣有真人的聲音用華語、閩南語、客語佮英語來放送，,"koh ū tsin lâng ê siann-im iōng Huâ-gí, Bân-lâm-gí, Kheh-gí kah Ing-gí lâi hòng-sàng,"
,予你知影紲落去是佗一站。,hōo lí tsai-iánn suà--lo̍h-khì sī tó tsi̍t tsām.
,坐捷運無啥物風景通好看，,"Tsē tsia̍t-ūn bô siánn-mih hong-kíng thang-hó khuànn,"
,我只好看逐家咧創啥？,guá tsí-hó khuànn ta̍k-ke teh tshòng siánn?
,少年的咧做「向頭族」，,"Siàu-liân--ê teh tsò “ànn-thâu-tso̍k”,"
,提手機仔來看面冊佮#『line』#。,the̍h tshiú-ki-á lâi khuànn bīn-tsheh kah #‘line’#.
,無就是上網，,"Bô tō sī tsiūnn-bāng,"
,看有啥物好空的通買。,khuànn ū siánn-mih hó-khang--ê thang bé.
,啊若年歲較有的就坐佇博愛座咧啄龜。,Ah nā nî-huè khah ū ê tō tsē tī phok-ài-tsō teh tok-ku.
,看逐家攏咧huê手機仔，,"Khuànn ta̍k-ke lóng teh huê tshiú-ki-á,"
,有樣看樣，,"ū iūnn khuànn iūnn,"
,我嘛共我的提出來收電子批，,"guá mā kā guá ê the̍h--tshut-lâi siu tiān-tsú-phue,"
,驚有重要的代誌落勾去。,kiann ū tiōng-iàu ê tāi-tsì làu-kau --khì.
,毋過我是袂看手機仔傷久的，,"M̄-koh guá sī bē khuànn tshiú-ki-á siunn kú--ê,"
,因為按呢對目睭真傷。,in-uī án-ne tuì ba̍k-tsiu tsin siong.
,這馬若欲出門免紮傷濟現金，,"Tsit-má nā beh tshut-mn̂g bián tsah siunn tsē hiān-kim,"
,因為去餐廳、百貨公司、,"in-uī khì tshan-thiann, pah-huè kong-si,"
,大賣場抑是其他的商店，,"tuā-bē-tiûnn ia̍h-sī kî-thann ê siong-tiàm,"
,用「信用卡」就會使得。,iōng “sìn-iōng-khah” tō ē-sái-tit.
,辦公室的電腦有的是大大台，,"Pān-kong-sik ê tiān-náu ū--ê sī tuā-tuā tâi,"
,有的是薄縭絲。,ū--ê sī po̍h-li-si.
,阮厝裡掃塗跤的機器人，,"Guán tshù--lí sàu thôo-kha ê ki-khì-lâng,"
,車頂的𤆬路機仔、行車記錄器，,"tshia-tíng ê tshuā-lōo ki-á, hîng-tshia kì-lo̍k-khì,"
