Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,蹛佇臺東的人若欲去西部的縣市，,"Tuà tī Tâi-tang ê lâng nā beh khì se-pōo ê kuān-tshī,"
,通常會坐火車，,"thong-siông ē tsē hué-tshia,"
,省錢閣省工。,síng tsînn koh síng kang.
,車站的大門有四尊原住民雕像徛佇遐歡迎逐家，,"Tshia-tsām ê tuā-mn̂g ū sì tsun guân-tsū-bîn tiau-siōng khiā tī hia huan-gîng ta̍k-ke,"
,入去大廳等車閣會聽著服務人員用原住民語言放送的聲音，,"ji̍p-khì tuā-thiann tán tshia koh ē thiann-tio̍h ho̍k-bū jîn-uân iōng guân-tsū-bîn gí-giân hòng-sàng ê siann-im,"
,提醒逐家會使入去坐車。,thê-tshénn ta̍k-ke ē-sái ji̍p-khì tsē tshia.
,對臺東站出發，,"Uì Tâi-tang tsām tshut-huat,"
,順南迴鐵路，,"sūn lâm-huê thih-lōo,"
,一路的景緻變化誠大。,tsi̍t-lōo ê kíng-tì piàn-huà tsiânn tuā.
,雖然一爿是山、一爿是海，,"Sui-jiân tsi̍t pîng sī suann, tsi̍t pîng sī hái,"
,毋過佇臺東的海水色緻變化佮屏東的就無相仝。,m̄-koh tī Tâi-tang ê hái-tsuí sik-tì piàn-huà kah Pîn-tong ê tō bô sio-kāng.
,臺東的海有層次，,"Tâi-tang ê hái ū tsân-tshù,"
,岸邊的海水色緻較青，,"huānn-pinn ê hái-tsuí sik-tì khah tshenn,"
,紲落去變淺藍色，,"suà--lo̍h-khì piàn tshián nâ-sik,"
,愈倚外海愈深色。,jú uá guā-hái jú tshim-sik.
,加上無汙染，,"Ka-siōng bô u-jiám,"
,日頭照落去親像一面鏡反射鑿目的光線，,"ji̍t-thâu tsiò--lo̍h-khì tshin-tshiūnn tsi̍t bīn kiànn huán-siā tsha̍k-ba̍k ê kng-suànn,"
,這佮屏東濁濁的海水是天差咧地。,tse kah Pîn-tong lô-lô ê hái-tsuí sī thinn tsha leh tē.
,屏東的海景閣有一个特色，,"Pîn-tong ê hái-kíng koh ū tsi̍t ê ti̍k-sik,"
,岸邊一窟一窟的魚塭仔，,"huānn-pinn tsi̍t khut tsi̍t khut ê hî-ùn-á,"
,『mòo tah』無暝無日咧抽地下水，,"‘mòo tah’ bô-mê-bô-ji̍t teh thiu tē-hā-tsuí,"
,害遐的地層下陷，,"hāi hia-ê tē-tsân hā-hām,"
,若是拄著落大雨定定會淹水。,nā-sī tú-tio̍h lo̍h tuā-hōo tiānn-tiānn ē im-tsuí.
,南迴鐵路除了海景有變化，,"Lâm-huê thih-lōo tû-liáu hái-kíng ū piàn-huà,"
,山景嘛是十八變。,suann-kíng mā sī tsa̍p-peh piàn.
,雖然沿途攏有懸山佮樹林，,"Sui-jiân iân-tôo lóng ū kuân-suann kah tshiū-nâ,"
,但是塗質無仝，,"tān-sī thôo-tsit bô kāng,"
,種的作物就無仝，,"tsìng ê tsok-bu̍t tō bô kāng,"
,無斟酌看就毋知影in的差別。,bô tsim-tsiok khuànn tō m̄ tsai-iánn in ê tsha-pia̍t.
,火車經過知本，,"Hué-tshia king-kuè Ti-pún,"
,會先看著一片烏網仔搭起來的田地，,"ē sing khuànn-tio̍h tsi̍t phiàn oo bāng-á tah khí-lâi ê tshân-tē,"
,內面種的是荖藤。,lāi-bīn tsìng--ê sī láu-tîn.
,經過太麻里的時陣，,"King-kuè Thài-mâ-lí ê sî-tsūn,"
,看著的是釋迦欉佮洛神花。,khuànn-tio̍h ê sī sik-khia tsâng kah lo̍k-sîn-hue.
,每一粒釋迦攏用橐仔囊咧，,"Muí tsi̍t lia̍p sik-khia lóng iōng lok-á long --leh,"
,等伊收成就會當賣好價數。,tán i siu-sîng tō ē-tàng bē hó kè-siàu.
,一蕊一蕊紅色的洛神花除了會當看媠，,"Tsi̍t luí tsi̍t luí âng-sik ê lo̍k-sîn-hue tû-liáu ē-tàng khuànn suí,"
,閣會使提來泡茶、,"koh ē-sái the̍h lâi phàu tê,"
,做鹹酸甜。,tsò kiâm-sng-tinn.
,酸酸、甜甜的滋味，,"Sng-sng, tinn-tinn ê tsu-bī,"
,想著就強欲流喙瀾。,siūnn--tio̍h tō kiōng-beh lâu tshuì-nuā.
,有人講太麻里上出名的是金針花，,"Ū lâng kóng Thài-mâ-lí siōng tshut-miâ --ê sī kim-tsiam-hue,"
,可惜坐火車看袂著，,"khó-sioh tsē hué-tshia khuànn bē tio̍h,"
,著愛佇海拔七百公尺的山頂才看會著。,tio̍h-ài tī hái-pua̍t tshit-pah kong-tshioh ê suann-tíng tsiah khuànn ē tio̍h.
,火車行到大武猶未到屏東進前，,"Hué-tshia kiânn kàu Tāi-bú iáu-buē kàu Pîn-tong tsìn-tsîng,"
,會先軁過一个閣一个的磅空。,ē sing nǹg-kuè tsi̍t ê koh tsi̍t ê ê pōng-khang.
,軁磅空的時，,"Nǹg pōng-khang ê sî,"
,窗外一片烏趖趖，,"thang-guā tsi̍t phiàn oo-sô-sô,"
,啥物都看無，,"siánn-mih to khuànn-bô,"
,干焦耳空會吱吱吼。,kan-na hīnn-khang ē ki-ki-háu.
,火車經過相連紲的磅空了後，,"Hué-tshia king-kuè sio-liân-suà ê pōng-khang liáu-āu,"
,來到屏東枋山看著的作物就誠濟，,"lâi-kàu Pîn-tong Pang-suann khuànn-tio̍h ê tsok-bu̍t tō tsiânn tsē,"
,有檨仔、弓蕉、蓮霧、檳榔。,"ū suāinn-á, king-tsio, lián-bū, pin-nn̂g."
,徛家嘛變較濟，,"Khiā-ke mā piàn khah tsē,"
,樓仔厝一棟接一棟。,lâu-á-tshù tsi̍t tòng tsiap tsi̍t tòng.
,遮的厝為著欲預防地層下陷，,"Tsia-ê tshù uī-tio̍h beh ī-hông tē-tsân hā-hām,"
,逐間的地基攏坉甲誠懸，,"ta̍k king ê tē-ki lóng thūn kah tsiânn kuân,"
,這嘛算是枋山、枋寮特殊的景觀。,"tse mā sǹg sī Pang-suann, Pang-liâu ti̍k-sû ê kíng-kuan."
,南迴鐵路是接續東西部交通的重要鐵枝路，,"Lâm-huê thih-lōo sī tsiap-sio̍k tang-sai-pōo kau-thong ê tiōng-iàu thih-ki-lōo,"
,若是拄著走山、淹水，,"nā-sī tú-tio̍h tsáu-suann, im-tsuí,"
,火車路就袂通，,"hué-tshia-lōo tō bē thong,"
,所以南迴鐵路對臺東人來講是一項誠重要的交通工具。,sóo-í Lâm-huê thih-lōo tuì Tâi-tang-lâng lâi kóng sī tsi̍t hāng tsiânn tiōng-iàu ê kau-thong kang-kū.
