Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,「蘆竹若開花，,"“Lôo-tik nā khui-hue,"
,隨風颺颺飛。」,suî hong iānn-iānn-pue.”
,這是古早的蘆洲，,"Tse sī kóo-tsá ê Lôo-tsiu,"
,上蓋有特色的風景。,siōng-kài ū ti̍k-sik ê hong-kíng.
,暗頭仔，,"Àm-thâu-á,"
,月娘出來的時，,"gue̍h-niû tshut-lâi ê sî,"
,風輕輕仔吹，,"hong khin-khin-á tshue,"
,月光照佇蘆花頂頭，,"gue̍h-kng tsiò tī lôo-hue tíng-thâu,"
,親像海湧咧跳舞仝款，,"tshin-tshiūnn hái-íng teh thiàu-bú kāng-khuán,"
,講有偌媠，,"kóng ū guā suí,"
,就有偌媠。,tō ū guā suí.
,蘆洲較早的地號名，,"Lôo-tsiu khah-tsá ê tē-hō-miâ,"
,有足濟種講法，,"ū tsiok tsē tsióng kóng-huat,"
,上早的講法是「河上洲」。,siōng tsá ê kóng-huat sī “Hô siōng tsiu”.
,因為較早是沙洲，,"In-uī khah-tsá sī sua-tsiu,"
,親像蹛佇河的頂面仝款。,tshin-tshiūnn tuà tī hô ê tíng-bīn kāng-khuán.
,另外一个講法是叫做「和尚洲」。,Līng-guā tsi̍t ê kóng-huat sī kiò-tsò “Huê-siūnn tsiu.”
,清朝時代，,"Tshing-tiâu sî-tāi,"
,彼當時的地主，,"hit-tong-sî ê tē-tsú,"
,大部份攏共土地捐予廟寺，,"tāi-pōo-hūn lóng kā thóo-tē kuan hōo biō-sī,"
,閣共廟寺租來種作，,"koh kā biō-sī tsoo lâi tsìng-tsoh,"
,用田佃的身份，,"iōng tshân-tiān ê sin-hūn,"
,減少納稅。,kiám-tsió la̍p-suè.
,一般人將遮叫做和尚厝，,"It-puann lâng tsiong tsia kiò-tsò huê-siūnn tshù,"
,嘛叫做和尚洲。,mā kiò-tsò huê-siūnn tsiu.
,蘆洲有一个人工湖，,"Lôo-tsiu ū tsi̍t ê lâng-kang-ôo,"
,號做「微風運河」，,"hō-tsò “bî-hong ūn-hô”,"
,佇遮會當釣魚、划船仔，,"tī tsia ē-tàng tiò-hî, kò tsûn-á,"
,遮的運動足時行。,tsia-ê ūn-tōng tsiok sî-kiânn.
,佇岸邊，,"Tī huānn-pinn,"
,有人騎跤踏車，,"ū lâng khiâ kha-ta̍h-tshia,"
,有人散步，,"ū lâng sàn-pōo,"
,運動兼看風景。,ūn-tōng kiam khuànn hong-kíng.
,遐的風景，,"Hia-ê hong-kíng,"
,對透早到暗時，,"uì thàu-tsá kàu àm-sî,"
,攏無仝款喔！,lóng bô kāng-khuán --ooh!
,早起會當看著日頭光佇湖的面頂跳舞；,"Tsá-khí ē-tàng khuànn-tio̍h ji̍t-thâu-kng tī ôo ê bīn-tíng thiàu-bú,"
,下晡日頭欲落山的時，,"ē-poo ji̍t-thâu beh lo̍h-suann ê sî,"
,觀音山佮淡水河，,"Kuan-im-suann kah Tām-tsuí-hô,"
,親像做伙佮日頭講再會；,tshin-tshiūnn tsò-hué kah ji̍t-thâu kóng tsài-huē;
,暗時月光來鬥幫贊，,"àm-sî gue̍h-kng lâi tàu pang-tsān,"
,湖面閃閃爍爍，,"ôo-bīn siám-siám-sih-sih,"
,親像一葩閣一葩的電火，,"tshin-tshiūnn tsi̍t pha koh tsi̍t pha ê tiān-hué,"
,予來遮的人有倚靠。,hōo lâi tsia ê lâng ū uá-khò.
,徛佇岸邊，,"Khiā tī huānn-pinn,"
