Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,「你有十箍無？」,“Lí ū tsa̍p khoo --bô?”
,拄共車停好，,"Tú kā tshia thîng hó,"
,一个少年仔行倚來我身軀邊按呢問。,tsi̍t ê siàu-liân-á kiânn uá lâi guá sin-khu-pinn án-ne mn̄g.
,心情當齷齪，,"Sim-tsîng tng ak-tsak,"
,共幌頭講無，,"kā hàinn thâu kóng bô,"
,就無閣插伊。,tō bô koh tshap --i.
,逐年佇暗光鳥咧叫的這个時陣，,"Ta̍k nî tī àm-kong-tsiáu teh kiò ê tsit ê sî-tsūn,"
,阮的神經線就愛開始絞予絚，,"guán ê sîn-king suànn tō ài khai-sí ká hōo ân,"
,因為大漢後生致著「躁鬱症」，,"in-uī tuā-hàn hāu-senn tì-tio̍h “sò-ut-tsìng” ,"
,佇三、四月春天桃花開的時上𠢕發作。,"tī sann, sì-gue̍h tshun-thinn thô-hue khui ê sî siōng gâu huat-tsok."
,症頭若夯起來，,"Tsìng-thâu nā giâ --khí-lâi,"
,阮規家伙仔就予伊舞甲捙跋反。,guán kui-ke-hué-á tō hōo i bú kah tshia-pua̍h-píng.
,這是伊致病了後第三擺發作，,"Tse sī i tì-pēnn liáu-āu tē-sann pái huat-tsok,"
,送伊來蹛精神病院，,"sàng i lâi tuà tsing-sîn pēnn-īnn,"
,阮嘛足姑不而將。,guán mā tsiok koo-put-jî-tsiong.
,伊是一个真守本份的囡仔，,"I sī tsi̍t ê tsin siú pún-hūn ê gín-á,"
,彼當陣伊為著欲成全我進修的心願，,"hit-tang-tsūn i uī-tio̍h beh sîng-tsuân guá tsìn-siu ê sim-guān,"
,高職畢業的時，,"ko-tsit pit-gia̍p ê sî,"
,放棄升學的機會去做志願役。,hòng-khì sing-ha̍k ê ki-huē khì tsò tsì-guān-i̍k.
,阮有約束，,"Guán ū iok-sok,"
,等我畢業換伊轉來讀冊。,tán guá pit-gia̍p uānn i tńg--lâi tha̍k-tsheh.
,無疑悟，,"Bô-gî-ngōo,"
,才做兩年半，,"tsiah tsò nn̄g nî puànn,"
,伊就精神病發作。,i tō tsing-sîn-pēnn huat-tsok.
