Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,天氣若一下熱，,"Thinn-khì nā tsi̍t-ē jua̍h,"
,我就會數念阿媽煮的菜瓜糜。,guá tō ē siàu-liām a-má tsú ê tshài-kue muê.
,彼款的芳味佮清甜，,"Hit khuán ê phang-bī kah tshing-tinn,"
,是我按怎煮都煮無路來的。,sī guá án-tsuánn tsú to tsú bô-lōo-lâi ê.
,每一遍若食著菜瓜糜，,"Muí tsi̍t piàn nā tsia̍h-tio̍h tshài-kue-muê,"
,阿媽佇灶跤摸鼎煮糜的形影，,"a-má tī tsàu-kha bong tiánn tsú muê ê hîng-iánn,"
,又閣會浮現佇我的目睭前。,iū-koh ē phû-hiān tī guá ê ba̍k-tsiu tsîng.
,阮阿媽是佇我讀大學的時陣過身的，,"Guán a-má sī tī guá tha̍k tāi-ha̍k ê sî-tsūn kuè-sin--ê,"
,伊食到九十外，,"i tsia̍h kàu káu-tsa̍p guā,"
,算是長歲壽。,sǹg sī tn̂g huè-siū.
,庄裡的人攏講伊誠𠢕，,"Tsng--lí ê lâng lóng kóng i tsiânn gâu,"
,因為阿媽雖然目睭青盲，,"in-uī a-má sui-jiân ba̍k-tsiu tshenn-mê,"
,猶毋過便若有枴仔，,"iáu-m̄-koh piān-nā ū kuái-á,"
,較遠的所在伊嘛有法度通去。,khah hn̄g ê sóo-tsāi i mā ū huat-tōo thang khì.
,厝前厝後用摸的，,"Tshù-tsîng tshù-āu iōng bong--ê,"
,無論是煮食、洗衫、款內底，,"bô-lūn sī tsú-tsia̍h, sé-sann, khuán lāi-té,"
,甚至是對嘉義的鹿仔草坐車來高雄看阮，,"sīm-tsì sī uì Ka-gī ê Lo̍k-á-tsháu tsē tshia lâi Ko-hiông khuànn guán,"
,逐項伊都做甲好勢溜溜，,"ta̍k hāng i to tsò kah hó-sè liu-liu,"
,毋免序細煩惱。,m̄-bián sī-sè huân-ló.
,細漢的時陣，,"Sè-hàn ê sî-tsūn,"
,我上愛轉去草地，,"guá siōng ài tńg-khì tsháu-tē,"
,佇阿媽的身軀邊綴前綴後，,"tī a-má ê sin-khu-pinn tuè-tsîng-tuè-āu,"
,聽伊講囡仔古佮一寡人情世事。,thiann i kóng gín-á-kóo kah tsi̍t-kuá jîn-tsîng sè-sū.
,逐工透早伊攏會托一支枴仔，,"Ta̍k kang thàu-tsá i lóng ē thuh tsi̍t ki kuái-á,"
,行過竹林仔跤彼間三片壁的五營廟，,"kiânn-kuè tik-nâ-á-kha hit king sann phìnn piah ê Gōo-iânn-biō,"
,去園裡割兩條菜瓜轉來煮。,khì hn̂g--lí kuah nn̄g tiâu tshài-kue tńg-lâi tsú.
,伊雖然無看著，,"I sui-jiân bô khuànn-tio̍h,"
