Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,年兜有一工早起，,"Nî-tau ū tsi̍t kang tsá-khí,"
,我趕欲出門，,"guá kuánn beh tshut-mn̂g,"
,行到巷仔口，,"kiânn-kàu hāng-á-kháu,"
,就看著一陣穿黃䘥仔的人，,"tō khuànn-tio̍h tsi̍t tīn tshīng n̂g kah-á ê lâng,"
,有的攑掃梳，,"ū ê gia̍h sàu-se,"
,有的提夾仔，,"ū ê the̍h ngeh-á,"
,佇遐摒掃路面佮水溝，,"tī hia piànn-sàu lōo-bīn kah tsuí-kau,"
,猶有一台農用的搬運車咧清運糞埽。,iáu ū tsi̍t tâi lông-iōng ê puann-ūn-tshia teh tshing-ūn pùn-sò.
,我知影彼是福田慈善會又閣咧為地方做服務。,Guá tsai-iánn he sī Hok-tiân tsû-siān-huē iū-koh teh uī tē-hng tsò ho̍k-bū.
,冷風咻咻叫，,"Líng-hong hiu-hiu-kiò,"
,看著這陣恬恬咧勞動的身影，,"khuànn-tio̍h tsit tīn tiām-tiām teh lô-tōng ê sin-iánn,"
,我的心內就一直燒烙起來。,guá ê sim-lāi tō it-ti̍t sio-lō --khí-lâi.
,講著「福田」，,"Kóng-tio̍h “Hok-tiân”,"
,庄裡的人攏會比大頭拇，,"tsng--lí ê lâng lóng ē pí tuā-thâu-bú,"
,尤其是對福田阿媽——周張葉蕊，,"iû-kî sī tuì Hok-tiân a-má—— Tsiu-Tiunn Ia̍p-luí,"
,逐家都呵咾甲會觸舌。,ta̍k-ke to o-ló kah ē tak-tsi̍h.
,阿媽雖然干焦讀過兩年冊爾爾，,"A-má sui-jiân kan-na tha̍k-kuè nn̄g nî tsheh niā-niā,"
,毋過真捌道理。,m̄-koh tsin bat tō-lí.
,十八歲嫁予仝村的周家，,"Tsa̍p-peh huè kè hōo kāng tshun ê Tsiu--ka,"
,翁仔某感情好惟是。,ang-á-bóo kám-tsîng hó-bî-sī.
,伊認真閣守本份，,"I jīn-tsin koh siú pún-hūn,"
,毋但落田作穡，,"m̄-nā lo̍h-tshân tsoh-sit,"
,厝裡的工課嘛一項都無走閃，,"tshù--lí ê khang-khuè mā tsi̍t hāng to bô tsáu-siám,"
,閣著奉待大家官。,koh tio̍h hōng-thāi ta-ke-kuann.
,後生一个接一个出世，,"Hāu-senn tsi̍t ê tsiap tsi̍t ê tshut-sì,"
,阿媽伊無閒甲若干樂咧，,"a-má i bô-îng kah nā kan-lo̍k --leh,"
,哪知拄著一个雜唸大家。,ná tsai tú-tio̍h tsi̍t ê tsa̍p-liām ta-ke.
,伊做甲流汗，,"I tsò kah lâu-kuānn,"
,大家煞嫌甲流瀾。,ta-ke suah hiâm kah lâu-nuā.
,阿媽嘛攏無怨言，,"A-má mā lóng bô uàn-giân,"
,猶是盡伊做人新婦的本份，,"iáu sī tsīn i tsò-lâng sin-pū ê pún-hūn,"
,有孝序大人。,iú-hàu sī-tuā-lâng.
,啥人知半路折扁擔，,"Siánn-lâng tsai puànn-lōo tsi̍h pún-tann,"
,翁婿雄雄來過身。,ang-sài hiông-hiông lâi kuè-sin.
,彼當陣細漢囝都才三歲爾咧。,Hit-tang-tsūn sè-hàn-kiánn to tsiah sann huè niā --leh.
,阿媽少年守寡，,"A-má siàu-liân tsiú-kuá,"
,欲晟養四个細囝，,"beh tshiânn-ióng sì ê sè-kiánn,"
,著愛忍受足濟艱難佮困苦。,tio̍h-ài jím-siū tsiok tsē kan-lân kah khùn-khóo.
,牽囝的人著較儼硬，,"Khan kiánn ê lâng tio̍h khah giám-ngē,"
,家己一个擔起嚴父佮慈母的重擔，,"ka-kī tsi̍t ê tann-khí giâm hū kah tsû bió ê tāng-tànn,"
,也著內、也著外，,"iā tio̍h lāi, iā tio̍h guā,"
,驚囝枵寒餓，,"kiann kiánn iau kuânn gō,"
,驚囝綴人袂著。,kiann kiánn tuè lâng bē tio̍h.
,生活的壓力予伊操心擘腹，,"Sing-ua̍h ê ap-li̍k hōo i tshau-sim peh-pak,"
,一工都毋敢放輕鬆。,tsi̍t kang to m̄ kánn pàng khin-sang.
,伊定定坐踮眠床頭，,"I tiānn-tiānn tsē tiàm bîn-tshn̂g-thâu,"
,看四个後生𤲍佇一頂總鋪睏，,"khuànn sì ê hāu-senn kheh tī tsi̍t tíng tsóng-phoo khùn,"
,也心酸也安慰，,"iā sim-sng iā an-uì,"
,暗暗仔共所有的鹹酸苦澀摻目屎吞落去。,àm-àm-á kā sóo-ū ê kiâm sng khóo siap tsham ba̍k-sái thun --lo̍h-khì.
,雖然日子過了真艱苦，,"Sui-jiân ji̍t-tsí kuè-liáu tsin kan-khóo,"
,毋過阿媽伊是一个誠軟心的人，,"m̄-koh a-má i sī tsi̍t ê tsiânn nńg-sim ê lâng,"
,若拄著有人比伊較艱難，,"nā tú-tio̍h ū lâng pí i khah kan-lân,"
,需要幫贊的，,"su-iàu pang-tsān--ê,"
,伊攏會盡力去做。,i lóng ē tsīn-li̍k khì tsò.
,無論是田裡鬥作穡，,"Bô-lūn sī tshân--lí tàu tsoh-sit,"
,抑是替阿婆仔鬥洗衫，,"ia̍h-sī thè a-pô-á tàu sé-sann,"
,伊攏歡喜心、甘願做，,"i lóng huann-hí sim, kam-guān tsò,"
,毋才人緣偌好咧。,m̄-tsiah lâng-iân guā hó --leh.
,久來in大家嘛予伊的愛心佮耐心所感動，,"Kú--lâi in ta-ke mā hōo i ê ài-sim kah nāi-sim sóo kám-tōng,"
,佇往生進前對人講：「阮阿蕊這个新婦真有孝，,"tī óng-sing tsìn-tsîng tuì lâng kóng: “Guán A-luí tsit ê sin-pū tsin iú-hàu,"
,後擺定著會好年老。」,āu-pái tiānn-tio̍h ē hó nî-lāu.”
,俗語講：「寒門出孝子」，,"Sio̍k-gí kóng: “Hân mn̂g tshut hàu-tsú”,"
,四个後生攏有好教示。,sì ê hāu-senn lóng ū hó kà-sī.
,大兄拑小弟，,"Tuā-hiann khînn sió-tī,"
,個個勤學拍拚出頭天，,"kô-kô khîn o̍h phah-piànn tshut-thâu-thinn,"
,娶某生囝閣趁錢。,tshuā-bóo senn-kiánn koh thàn-tsînn.
,四个兄弟仔攏知福惜福。,Sì ê hiann-tī-á lóng ti hok sioh hok.
,為著報答母恩，,"Uī-tio̍h pò-tap bó un,"
,繼承母愛，,"kè-sîng bó-ài,"
,回報社會，,"huê-pò siā-huē,"
,所以出錢出力，,"sóo-í tshut-tsînn tshut-la̍t,"
,召集一寡善心人士，,"tiàu-tsi̍p tsi̍t-kuá siān-sim jîn-sū,"
,共同創立「福田慈善會」，,"kiōng-tông tshòng-li̍p “Hok-tiân tsû-siān huē” ,"
,推動救急救難，,"thui-tōng kiù-kip kiù-lān,"
,獎助貧寒等等的公益活動。,tsióng-tsōo pîn-hân tíng-tíng ê kong-ik ua̍h-tāng.
,周家大大細細，,"Tsiu--ka tuā-tuā-sè-sè,"
,嘛攏是福田的義工喔。,mā lóng sī Hok-tiân ê gī-kang --ooh.
