Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,從破病了後，,"Tsiông phuà-pēnn liáu-āu,"
,就真少起去三樓尾，,"tō tsin tsió khí-khì sann lâu-bué,"
,頂懸種的盆栽無人照顧，,"tíng-kuân tsìng ê phûn-tsai bô lâng tsiàu-kòo,"
,逐欉看著攏欲死欲死。,ta̍k tsâng khuànn tio̍h lóng beh-sí-beh-sí.
,看毋是勢，,"Khuànn m̄-sī-sè,"
,緊提水觳仔來沃水。,kín the̍h tsuí-khok-á lâi ak-tsuí.
,當咧沃花的時陣，,"Tng-teh ak-hue ê sî-tsūn,"
,雄雄聽著有人咧揤電鈴。,hiông-hiông thiann-tio̍h ū lâng teh tshi̍h tiān-lîng.
,水觳仔擲咧，,"Tsuí-khok-á tàn --leh,"
,趕緊傱落來看是啥物人來相揣？,kuánn-kín tsông --lo̍h-lâi khuànn sī siánn-mih lâng lâi sio-tshuē?
,送批的大聲喝講愛頓印仔，,"Sàng-phue--ê tuā-siann huah kóng ài tǹg ìn-á,"
,講是對日本寄來的掛號批。,kóng sī tuì Ji̍t-pún kià--lâi ê kuà-hō phue.
,批橐仔印甲誠古錐，,"Phue-lok-á ìn kah tsiânn kóo-tsui,"
,批的內容誠趣味。,phue ê luē-iông tsiânn tshù-bī.
,我那看那笑，,"Guá ná khuànn ná tshiò,"
,煞袂記得樓頂尾的花，,"suah bē-kì-tit lâu-tíng-bué ê hue,"
,猶閣喙焦等欲啉水。,iáu-koh tshuì-ta tán beh lim tsuí.
,雄雄想著，,"Hiông-hiông siūnn--tio̍h,"
,趕緊閣走倒轉去三樓尾。,kuánn-kín koh tsáu tò-tńg-khì sann lâu-bué.
,起去到三樓頂，,"Khí-khì kàu sann lâu-tíng,"
,跤步才踏出戶橂，,"kha-pōo tsiah ta̍h-tshut hōo-tīng,"
,隨閣勼倒轉來。,suî koh kiu tò-tńg-lâi.
,無意中看著伊頭仔犁犁，,"Bô-ì-tiong khuànn-tio̍h i thâu-á lê-lê,"
,佇水觳內底啉水，,"tī tsuí-khok lāi-té lim tsuí,"
,啉甲suh-suh叫。,lim kah suh-suh-kiò.
,驚共伊拍生驚，,"Kiann kā i phah-tshenn-kiann,"
,我就覕踮窗仔後偷看。,guá tō bih tiàm thang-á āu thau khuànn.
,看伊ki-ki-ku̍h-ku̍h，,"Khuànn i ki-ki-ku̍h-ku̍h,"
,踮花坩邊仔踅箍輾。,tiàm hue-khann pinn--á se̍h-khoo-liàn.
,尾仔頭攑懸懸，,"Bué--á thâu gia̍h kuân-kuân,"
,展翼飛對天頂去。,thián-si̍t pue uì thinn-tíng khì.
,我攑頭看伊飛去，,"Guá gia̍h-thâu khuànn i pue --khì,"
,愈飛愈遠，,"jú pue jú hn̄g,"
,最後干焦賰一點烏烏，,"tsuè-āu kan-na tshun tsi̍t tiám oo-oo,"
,沓沓仔佇天頂消失去。,ta̍uh-ta̍uh-á tī thinn-tíng siau-sit khì.
,水沃好了後，,"Tsuí ak hó liáu-āu,"
,我的心肝頭一直咧想講，,"guá ê sim-kuann-thâu it-ti̍t teh siūnn-kóng,"
,伊毋知是離家出走？,i m̄ tsai sī lī-ka-tshut-tsáu?
,抑是參加比賽，,"Ia̍h-sī tsham-ka pí-sài,"
,半路歇落來揣水啉的過客？,puànn-lōo hioh --lo̍h-lâi tshuē tsuí lim ê kuè-kheh?
,明仔載伊敢會閣再來？,Bîn-á-tsài i kám ē koh-tsài lâi?
,伊好親像知影我對伊的關懷，,"I hó-tshin-tshiūnn tsai-iánn guá tuì i ê kuan-huâi,"
,自彼擺了後，,"tsū hit pái liáu-āu,"
,伊逐工攏來。,i ta̍k kang lóng lâi.
,有當時仔閣會招一大陣朋友鬥陣來。,Ū-tang-sî-á koh ē tsio tsi̍t-tuā-tīn pîng-iú tàu-tīn lâi.
,啉水啉了，,"Lim tsuí lim liáu,"
,規陣蹛花欉跤跳來跳去、,"kui tīn tuà hue-tsâng-kha thiàu lâi thiàu khì,"
,tshi-tshi-tsha̍h-tsha̍h耍袂煞。,tshi-tshi-tsha̍h-tsha̍h sńg bē suah.
,耍忝矣，,"Sńg thiám --ah,"
,就踮花欉跤歇睏，,"tō tiàm hue-tsâng-kha hioh-khùn,"
,一直到日頭欲落山，,"it-ti̍t kàu ji̍t-thâu beh lo̍h-suann,"
,才相招飛轉去。,tsiah sio-tsio pue --tńg-khì.
,我驚水無夠啉，,"Guá kiann tsuí bô-kàu lim,"
,專工攢一个喙較闊、,"tsuan-kang tshuân tsi̍t ê tshuì khah khuah,"
,較深的水缸，,"khah tshim ê tsuí-kng,"
,閣佇花欉跤掖一寡米。,koh tī hue-tsâng-kha iā tsi̍t-kuá bí.
,三樓頂煞變做伊食點心、歇喘的所在。,"Sann lâu-tíng suah piàn-tsò i tsia̍h tiám-sim, hioh-tshuán ê sóo-tsāi."
,毋管好歹天，,"M̄-kuán hó pháinn thinn,"
,攏會ku-lu、ku-lu來吼兩聲仔。,"lóng ē ku-lu, ku-lu lâi háu nn̄g-siann-á."
