Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,已經立春規個月矣，,"Í-king li̍p-tshun kui kò gue̍h --ah,"
,寒天的跤步猶原毋願行開跤，,"kuânn-thinn ê kha-pōo iu-guân m̄ guān kiânn-khui-kha,"
,寒流三不五時就來擾亂，,"hân-liû sam-put-gōo-sî tō lâi jiáu-luān,"
,雨嘛不時㴙㴙滴。,hōo mā put-sî tsha̍p-tsha̍p-tih.
,今仔日難得日頭阿公來相揣，,"Kin-á-ji̍t lân-tit ji̍t-thâu a-kong lâi sio-tshuē,"
,阿水叔仔招阮去peh山。,A-tsuí-tsik--á tsio guán khì peh suann.
,阮予厚衫束縛的身軀嘛親像予人放出籠的飛鳥仝款，,"Guán hōo kāu sann sok-pa̍k ê sin-khu mā tshin-tshiūnn hōo lâng pàng tshut lang ê pue-tsiáu kāng-khuán,"
,逐家的心情暢甲若飛佇天頂遐爾仔逍遙自在。,ta̍k-ke ê sim-tsîng thiòng kah ná pue tī thinn-tíng hiah-nī-á siau-iâu tsū-tsāi.
,阮拄對石坎仔peh起去，,"Guán tú uì tsio̍h-khám-á peh --khí-khì,"
,隨傳來一陣一陣的歌聲，,"suî thuân-lâi tsi̍t-tsūn-tsi̍t-tsūn ê kua-siann,"
,透濫著陣陣的芳味。,thàu-lām tio̍h tsūn-tsūn ê phang-bī.
,有人佇涼亭仔跤唱#卡拉OK#；,Ū lâng tī liâng-tîng-á-kha tshiùnn #卡拉 OK#;
,有人佇烘肉區烘肉；,"ū lâng tī hang bah khu hang bah,"
,有人咧食茶開講，,"ū lâng teh tsia̍h tê khai-káng,"
,互相消遣拍抐涼。,hōo-siong siau-khián phah-lā-liâng.
,阮一睏仔就行到大湖邊，,"Guán tsi̍t-khùn-á tō kiânn kàu tuā-ôo-pinn,"
,湖裡有兩對鴛鴦佇遐耍水。,ôo--lí ū nn̄g tuì uan-iunn tī hia sńg tsuí.
,看in恩恩愛愛，,"Khuànn in un-un-ài-ài,"
,逍遙自在的模樣，,"siau-iâu tsū-tsāi ê bôo-iūnn,"
,實在足古錐。,si̍t-tsāi tsiok kóo-tsui.
,日頭照佇水面，,"Ji̍t-thâu tsiò tī tsuí-bīn,"
,牽出一絲一絲、爍咧爍咧的魚鱗光，,"khan tshut tsi̍t si tsi̍t si, sih --leh sih --leh ê hî-lân kng,"
,佮岸邊山林的倒影織出一幅美麗的圖樣。,kah huānn-pinn san-lîm ê tò-iánn tsit tshut tsi̍t pak bí-lē ê tôo-iūnn.
,有遮媠的景緻，,"Ū tsiah suí ê kíng-tì,"
,莫怪遊客相爭欲翕相做紀念。,bo̍k-kuài iû-kheh sio-tsenn beh hip-siòng tsò kì-liām.
,情人湖是對六條溪仔水相佮來的，,"Tsîng-jîn-ôo sī uì la̍k tiâu khe-á-tsuí sann-kap lâi ê,"
,形體親像珊瑚仝款。,hîng-thé tshin-tshiūnn suan-ôo kāng-khuán.
,這條環湖的山路，,"Tsit tiâu khuân ôo ê suann-lōo,"
,闊度干焦一米外，,"khuah-tōo kan-na tsi̍t bí guā,"
,目睭瞭過去四箍輾轉攏是青ling-ling的樹仔欉。,ba̍k-tsiu lió --kuè-khì sì-khoo-liàn-tńg lóng sī tshenn-ling-ling ê tshiū-á-tsâng.
,佇遮爾清幽的小路仔散步，,"Tī tsiah-nī tshing-iu ê sió-lōo-á sàn-pōo,"
,阮不時會聽著鳥仔的叫聲，,"guán put-sî ē thiann-tio̍h tsiáu-á ê kiò-siann,"
,會看著膨鼠佇遐跳來跳去，,"ē khuànn-tio̍h phòng-tshí tī hia thiàu lâi thiàu khì,"
,閣會使享受天然的#『SPA』#，,"koh ē-sái hiáng-siū thian-jiân ê #‘SPA’#,"
,實在真福氣。,si̍t-tsāi tsin hok-khì.
,吊橋彼爿，,"Tiàu-kiô hit pîng,"
,有幾若个囡仔兄佇遐幌來幌去，,"ū kuí-nā ê gín-á-hiann tī hia hàinn lâi hàinn khì,"
,in檢采是咧創治頭前彼對愛人仔的款。,in kiám-tshái sī teh tshòng-tī thâu-tsîng hit tuì ài-jîn-á ê khuán.
