Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,阮讀屏東師院四年仔的時，,"Guán tha̍k Pîn-tong su-īnn sì-nî--á ê sî,"
,愛去國小實習，,"ài khì kok-sió si̍t-si̍p,"
,毋過彼時陣我參加高雄少年地方法院輔導志工的研習，,"m̄-koh hit sî-tsūn guá tsham-ka Ko-hiông siàu-liân tē-hng huat-īnn hú-tō tsì-kang ê gián-si̍p,"
,所以逐禮拜三下晡攏愛請假去高雄上課。,sóo-í ta̍k lé-pài-sann ē-poo lóng ài tshíng-ká khì Ko-hiông siōng-khò.
,有一个拜三，,"Ū tsi̍t ê pài-sann,"
,我揹真濟教具趕火車欲去高雄。,guá phāinn tsin tsē kàu-khū kuánn hué-tshia beh khì Ko-hiông.
,上火車無偌久，,"Tsiūnn hué-tshia bô-guā-kú,"
,火車煞停落來，,"hué-tshia suah thîng --lo̍h-lâi,"
,等誠久攏無閣發動。,tán tsiânn kú lóng bô koh huat-tōng.
,後來車長放送講火車故障，,"Āu--lâi tshia-tiúnn hòng-sàng kóng hué-tshia kòo-tsiong,"
,欲聊聊仔駛去後一站停車，,"beh liâu-liâu-á sái khì āu tsi̍t tsām thîng-tshia,"
,請旅客坐後一班的火車。,tshiánn lí-kheh tsē āu tsi̍t pan ê hué-tshia.
,我驚上課袂赴，,"Guá kiann siōng-khò bē-hù,"
,落火車了後，,"lo̍h hué-tshia liáu-āu,"
,就隨走去火車頭，,"tō suî tsáu khì hué-tshia-thâu,"
,叫計程車趕去。,kiò kè-thîng-tshia kuánn--khì.
,為著欲準時去研習，,"Uī-tio̍h beh tsún-sî khì gián-si̍p,"
,加開錢坐計程車，,"ke khai-tsînn tsē kè-thîng-tshia,"
,共身軀頂的錢攏用欲了矣！,kā sin-khu-tíng ê tsînn lóng īng beh liáu --ah!
,毋過，,"M̄-koh,"
,好佳哉我有先共欲轉去的車票買好勢。,hó-ka-tsài guá ū sing kā beh tńg--khì ê tshia-phiò bé hó-sè.
,研習有較慢結束，,"Gián-si̍p ū khah bān kiat-sok,"
,閣欲趕時間坐火車轉去，,"koh beh kuánn sî-kan tsē hué-tshia tńg--khì,"
,我才想著這聲害矣！,guá tsiah siūnn-tio̍h tsit-siann hāi --ah!
,無錢通坐車去火車頭，,"Bô tsînn thang tsē tshia khì hué-tshia-thâu,"
,只好揹教具用走的去。,tsí-hó phāinn kàu-khū īng tsáu--ê khì.
,我走甲大粒汗細粒汗，,"Guá tsáu kah tuā lia̍p kuānn sè lia̍p kuānn,"
,就佇火車欲開進前的幾分鐘仔走到火車頭。,tō tī hué-tshia beh khui tsìn-tsîng ê kuí hun-tsing--á tsáu kàu hué-tshia-thâu.
,可能是我走甲怦怦喘，,"Khó-lîng sī guá tsáu kah phēnn-phēnn-tshuán,"
,閣揹甲大包、細包，,"koh phāinn kah tuā pau, sè pau,"
,看著真奇怪。,khuànn tio̍h tsin kî-kuài.
,欲入月台的時，,"Beh ji̍p gua̍t-tâi ê sî,"
,鉸票員問我真濟問題，,"ka-phiò-uân mn̄g guá tsin tsē būn-tê,"
,煞害我目睭金金看彼班火車駛離開！,suah hāi guá ba̍k-tsiu kim-kim-khuànn hit pan hué-tshia sái lī-khui!
,這時，,"Tsit-sî,"
,鉸票員才講：「按呢閣去買後一班！」,ka-phiò-uân tsiah kóng: “Án-ne koh khì bé āu tsi̍t pan!”
,我共身軀頂的錢攏撏出來，,"Guá kā sin-khu-tíng ê tsînn lóng jîm --tshut-lâi,"
,閣差七箍才會當買區間車的車票。,koh tsha tshit khoo tsiah ē-tàng bé khu-kan-tshia ê tshia-phiò.
,我想講，,"Guá siūnn-kóng,"
,敲手機仔拜託人來共我鬥相共。,khà tshiú-ki-á pài-thok lâng lâi kā guá tàu-sann-kāng.
,手機仔提起來，,"Tshiú-ki-á the̍h --khí-lâi,"
,煞閣發現竟然無電矣！,suah koh huat-hiān kìng-jiân bô tiān --ah!
,我想想咧干焦賰一个辦法──去共人借錢。,Guá siūnn-siūnn --leh kan-na tshun tsi̍t ê pān-huat── khì kā lâng tsioh tsînn.
,我提起勇氣，,"Guá thê-khí ióng-khì,"
,行去共一个穿白色䘥仔的老阿伯講：,kiânn khì kā tsi̍t ê tshīng pe̍h-sik kah-á ê lāu a-peh kóng:
,「阿伯，敢會當共你借七箍？」,"“A-peh, kám ē-tàng kā lí tsioh tshit khoo?”"
,毋知是感覺家己傷見笑抑是傷可憐，,"M̄ tsai sī kám-kak ka-kī siunn kiàn-siàu ia̍h-sī siunn khó-liân,"
,目屎煞雄雄輾落來，,"ba̍k-sái suah hiông-hiông liàn --lo̍h-lâi,"
,那講那哭。,ná kóng ná khàu.
,「我是屏東師院的學生，,"“Guá sī Pîn-tong su-īnn ê ha̍k-sing,"
,我差七箍袂當買票轉去學校。,guá tsha tshit khoo bē-tàng bé phiò tńg-khì ha̍k-hāu.
,我手機仔的號碼是……，,"Guá tshiú-ki-á ê hō-bé sī...,"
,我一定會共錢還你……。」,guá it-tīng ē kā tsînn hîng --lí....”
,老阿伯提一个十箍的銀角仔予我，,"Lāu a-peh the̍h tsi̍t ê tsa̍p khoo ê gîn-kak-á hōo --guá,"
,笑笑仔講：「緊去買車票！」,tshiò-tshiò-á kóng: “Kín khì bé tshia-phiò!”
,車票買好了後，,"Tshia-phiò bé hó liáu-āu,"
,我共賰的三箍提去還伊，,"guá kā tshun ê sann khoo the̍h khì hîng --i,"
,然後提紙筆欲抄伊的聯絡方式。,jiân-āu the̍h tsuá pit beh tshau i ê liân-lo̍k hong-sik.
,老阿伯講：「毋免還啦！」,Lāu a-peh kóng: “M̄-bián hîng --lah!”
,紲落去閣問我講：,Suà --lo̍h-khì koh mn̄g guá kóng:
,「落車了後，,"“Lo̍h-tshia liáu-āu,"
,敢有錢通坐車入去學校？」,kám ū tsînn thang tsē tshia ji̍p-khì ha̍k-hāu?”
,順紲共皮包仔提出來，,"Sūn-suà kā phuê-pau-á the̍h --tshut-lâi,"
,我緊共講我會當家己行路入去學校。,guá kín kā kóng guá ē-tàng ka-kī kiânn-lōo ji̍p-khì ha̍k-hāu.
,老阿伯一直攏無留聯絡的方式予我，,"Lāu a-peh it-ti̍t lóng bô lâu liân-lo̍k ê hong-sik hōo --guá,"
,伊可能認為干焦七箍銀爾爾！,i khó-lîng jīn-uî kan-na tshit khoo gîn niā-niā!
,七箍雖然少，,"Tshit khoo sui-jiân tsió,"
,甚至嘛買無啥物，,"sīm-tsì mā bé bô siánn-mih,"
,毋過對我來講，,"m̄-koh tuì guá lâi kóng,"
,是遮爾濟、,"sī tsiah-nī tsē,"
