Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,「小姐，我來報名日本的遊學團。」,"“Sió-tsiá, guá lâi pò-miâ Ji̍t-pún ê iû-ha̍k-thuân.”"
,「是恁後生抑是查某囝欲參加？」,“Sī lín hāu-senn ia̍h-sī tsa-bóo-kiánn beh tsham-ka?”
,「攏毋是，是我家己啦！」,"“Lóng m̄ sī, sī guá ka-kī --lah!”"
,逐擺若講著這段故事，,"Ta̍k pái nā kóng-tio̍h tsit tuānn kòo-sū,"
,阮朋友攏會共我笑講：,guán pîng-iú lóng ē kā guá tshiò kóng:
,「你真正是食老才咧出癖。」,“Lí tsin-tsiànn sī tsia̍h-lāu tsiah teh tshut-phia̍h.”
,毋過攏毋知影，,"M̄-koh lóng m̄ tsai-iánn,"
,這對我來講是一段永遠無法度放袂記的美好記持。,tse tuì guá lâi kóng sī tsi̍t tuānn íng-uán bô-huat-tōo pàng bē kì ê bí-hó kì-tî.
,做老師已經二十外冬，,"Tsò lāu-su í-king jī-tsa̍p-guā tang,"
,早就袂記得做學生的感覺矣。,tsá tō bē-kì-tit tsò ha̍k-sing ê kám-kak --ah.
,有一工阮同事招阮做伙去社區大學學日語。,Ū tsi̍t kang guán tông-sū tsio guán tsò-hué khì siā-khu tāi-ha̍k o̍h Ji̍t-gí.
,雖罔較早有學過一屑仔，,"Sui-bóng khah-tsá ū o̍h-kuè tsi̍t-sut-á,"
,毋過因為無機會通用，,"m̄-koh in-uī bô ki-huē thang īng,"
,學學咧嘛袂記得了了，,"o̍h-o̍h --leh mā bē-kì-tit liáu-liáu,"
,就答應參伊做伙學，,"tō tah-ìng tsham i tsò-hué o̍h,"
,毋才有機會會當重新體會做學生仔幸福的滋味。,m̄-tsiah ū ki-huē ē-tàng tiông-sin thé-huē tsò ha̍k-sing-á hīng-hok ê tsu-bī.
,就佇咧學日語咧欲一冬的時，,"Tō tī-leh o̍h Ji̍t-gí teh-beh tsi̍t tang ê sî,"
,知影社區大學有佮日本一寡學校合作辦遊學的活動。,tsai-iánn siā-khu tāi-ha̍k ū kah Ji̍t-pún tsi̍t-kuá ha̍k-hāu ha̍p-tsok pān iû-ha̍k ê ua̍h-tāng.
