Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,阿嬌是阮厝邊，,"A-kiau sī guán tshù-pinn,"
,佇2000年彼冬，,"tī 2000 nî hit tang,"
,看我不時傱出傱入、無閒𩑾𩑾，,"khuànn guá put-sî tsông tshut tsông ji̍p, bô-îng tshih-tshih,"
,伊就問我：「滿足老師，,"i tō mn̄g guá: “Buán-tsiok lāu-su,"
,你的課真濟的款，,"lí ê khò tsin tsē ê khuán,"
,無盍會連暗時都愛去上班？」,bô khah ē liân àm-sî to ài khì siōng-pan?”
,彼時我當咧痟學閩南語，,"Hit sî guá tng-teh siáu o̍h Bân-lâm-gí,"
,毋是讀冊會，,"m̄ sī tha̍k-tsheh-huē,"
,就是文學營，,"tō sī bûn-ha̍k-iânn,"
,無就是社區大學、教會。,"bô tō sī siā-khu tāi-ha̍k, kàu-huē."
,只要有機會攏真珍惜，,"Tsí-iàu ū ki-huē lóng tsin tin-sioh,"
,較無閒嘛會撥時間去聽課。,khah bô-îng mā ē puah sî-kan khì thiann-khò.
,伊聽我去學閩南語，,"I thiann guá khì o̍h Bân-lâm-gí,"
,雄雄煞笑出來：「閩南語哪著學？,hiông-hiông suah tshiò --tshut-lâi: “Bân-lâm-gí ná-tio̍h o̍h?
,你毋是會曉講矣？」,Lí m̄ sī ē-hiáu kóng --ah?”
,唉！,Haih!
,莫怪伊會按呢講。,Bo̍k-kuài i ē án-ne kóng.
,較早我猶未踏入閩南語的田園種作，,"Khah-tsá guá iáu-buē ta̍h-ji̍p Bân-lâm-gí ê tshân-hn̂g tsìng-tsoh,"
,嘛有仝款的想法。,mā ū kāng-khuán ê siūnn-huat.
,掠準閩南語有音無字、無物通學，,"Lia̍h-tsún Bân-lâm-gí ū im bô jī, bô mi̍h thang o̍h,"
,講閩南語是毋捌字兼無衛生的人才會去做的代誌。,kóng Bân-lâm-gí sī m̄ bat jī kiam bô uē-sing ê lâng tsiah ē khì tsò ê tāi-tsì.
,就因為有這種錯誤的想法，,"Tō in-uī ū tsit tsióng tshò-gōo ê siūnn-huat,"
,我以早根本都毋知閩南語生做啥款？,guá í-tsá kin-pún to m̄ tsai Bân-lâm-gí senn-tsò siánn khuán?
,一直到1999年，,"It-ti̍t kàu 1999 nî,"
,有彼个機緣，,"ū hit ê ki-iân,"
,我去報名參加學校主辦的閩南語研習營了後，,"guá khì pò-miâ tsham-ka ha̍k-hāu tsú-pān ê Bân-lâm-gí gián-si̍p-iânn liáu-āu,"
,才有機會正式佮伊熟似。,tsiah ū ki-huē tsìng-sik kah i si̍k-sāi.
,這馬想起來，,"Tsit-má siūnn --khí-lâi,"
,我才了解彼當時家己無知的偏見，,"guá tsiah liáu-kái hit tong-sî ka-kī bû-ti ê phian-kiàn,"
,竟然有遐爾仔嚴重。,kìng-jiân ū hiah-nī-á giâm-tiōng.
,攏想講會曉講閩南語，,"Lóng siūnn-kóng ē-hiáu kóng Bân-lâm-gí,"
,就是捌閩南語，,"tō sī bat Bân-lâm-gí,"
,足親像阿嬌的想法。,tsiok tshin-tshiūnn A-kiau ê siūnn-huat.
,接觸閩南語文到今十五冬矣，,"Tsiap-tshiok Bân-lâm gí-bûn kàu-tann tsa̍p-gōo tang --ah,"
,深深體會過去，,"tshim-tshim thé-huē kuè-khì,"
,干焦共閩南語當做溝通的工具，,"kan-na kā Bân-lâm-gí tòng-tsò koo-thong ê kang-khū,"
,實在是有夠低路的想法，,"si̍t-tsāi sī ū-kàu kē-lōo ê siūnn-huat,"
,其實講閩南語嘛是一種感情的交流。,kî-si̍t kóng Bân-lâm-gí mā sī tsi̍t tsióng kám-tsîng ê kau-liû.
,細漢的時，,"Sè-hàn ê sî,"
,學校禁止阮用閩南語，,"ha̍k-hāu kìm-tsí guán īng Bân-lâm-gí,"
,毋過厝裡序大人干焦會曉閩南語，,"m̄-koh tshù--lí sī-tuā-lâng kan-na ē-hiáu Bân-lâm-gí,"
,我就共當做是無智識、無水準的草地倯。,"guá tō kā tòng-tsò sī bô tì-sik,bô tsuí-tsún ê tsháu-tē-sông."
,講的話，,"Kóng ê uē,"
,我攏共當做是馬耳東風，,"guá lóng kā tòng-tsò sī má-ní-tong-hong,"
,無咧共信篤。,bô teh kā sìn-táu.
,學閩南語了後，,"O̍h Bân-lâm-gí liáu-āu,"
,才了解用家己的語言，,"tsiah liáu-kái īng ka-kī ê gí-giân,"
,講濟濟人生的道理來教示阮遮的囝兒序細，,"kóng tsē-tsē jîn-sing ê tō-lí lâi kà-sī guán tsia-ê kiánn-jî sī-sè,"
,彼攏是誠寶貴的智慧。,he lóng sī tsiânn pó-kuì ê tì-huī.
,只是彼當時我猶少年，,"Tsí-sī hit tong-sî guá iáu siàu-liân,"
,予歹人教甲對閩南語心存偏見，,"hōo pháinn-lâng kà kah tuì Bân-lâm-gí sim tsûn phian-kiàn,"
,毋捌寶，,"m̄ bat pó,"
,總是一耳入、一耳出，,"tsóng--sī tsi̍t hīnn ji̍p, tsi̍t hīnn tshut,"
,全然無共遮的寶貝囥佇心內。,tsuân-jiân bô kā tsia-ê pó-puè khǹg tī sim-lāi.
,無知的結果，,"Bû-ti ê kiat-kó,"
,煞來傷著序大人的心，,"suah lâi siong-tio̍h sī-tuā-lâng ê sim,"
,嘛影響著母仔囝的感情，,"mā íng-hióng tio̍h bú-á-kiánn ê kám-tsîng,"
,如今想欲彌補已經袂赴矣。,jû-kim siūnn beh mí-póo í-king bē-hù --ah.
,自從學真濟閩南語了後，,"Tsū-tsiông o̍h tsin tsē Bân-lâm-gí liáu-āu,"
,我改變誠濟看法。,guá kái-piàn tsiânn tsē khuànn-huat.
,我相信閩南語毋但是溝通的工具爾爾，,"Guá siong-sìn Bân-lâm-gí m̄-nā sī koo-thong ê kang-khū niā-niā,"
,伊閣是思考的方式、文化傳承的工具，,"i koh sī su-khó ê hong-sik, bûn-huà thuân-sîng ê kang-khū,"
,閣較是族群的符號。,koh-khah sī tso̍k-kûn ê hû-hō.
,好佳哉！,Hó-ka-tsài!
,有好因緣，,"Ū hó in-iân,"
,佇這坵閩南語的田園遊賞，,"tī tsit khu Bân-lâm-gí ê tshân-hn̂g iû-siúnn,"
,加上濟濟佮意閩南語文的有志相牽成，,"ka-siōng tsē-tsē kah-ì Bân-lâm gí-bûn ê iú-tsì sio khan-sîng,"
,這幾冬一直會當徛佇講台宣揚伊的媠、伊的典雅，,"tsit kuí tang it-ti̍t ē-tàng khiā tī káng-tâi suan-iông i ê suí, i ê tián-ngá,"
,確實是有夠歡喜。,khak-si̍t sī ū-kàu huann-hí.
,這款歡喜的心情，,"Tsit khuán huann-hí ê sim-tsîng,"
,應該會伴我到老。,ing-kai ē phuānn guá kàu lāu.
