Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,1895年，,"1895 nî,"
,日本統治臺灣的第一冬，,"Ji̍t-pún thóng-tī Tâi-uân ê tē-it tang,"
,黃土水來出世。,N̂g Thóo-tsuí lâi tshut-sì.
,伊是𤆬領臺灣藝術發展的頭一人，,"I sī tshuā-niá Tâi-uân gē-su̍t huat-tián ê thâu tsi̍t lâng,"
,嘛是入選日本帝國藝術展覽的第一个臺灣藝術家，,"mā sī ji̍p-suán Ji̍t-pún tè-kok gē-su̍t tián-lám ê tē-it ê Tâi-uân gē-su̍t-ka,"
,閣較是日本東京美術學校第一个臺灣學生。,koh-khah sī Ji̍t-pún Tang-kiann bí-su̍t ha̍k-hāu tē-it ê Tâi-uân ha̍k-sing.
,伊三十六歲過身，,"I sann-tsa̍p-la̍k huè kuè-sin,"
,因為是雕刻家，,"in-uī sī tiau-khik-ka,"
,作品較少，,"tsok-phín khah tsió,"
,推廣的困難度較懸，,"thui-kóng ê khùn-lân-tōo khah kuân,"
,逐家對伊較生份，,"ta̍k-ke tuì i khah senn-hūn,"
,嘛無偌濟人知影伊對臺灣這片土地有啥物影響。,mā bô guā-tsē lâng tsai-iánn i tuì Tâi-uân tsit phìnn thóo-tē ū siánn-mih íng-hióng.
,就按呢，,"Tsiū-án-ne,"
,無人講就毋知寶惜，,"bô lâng kóng tō m̄ tsai pó-sioh,"
,致使伊的作品沓沓仔流失去。,tì-sú i ê tsok-phín ta̍uh-ta̍uh-á liû-sit --khì.
,黃土水自細漢對雕刻就真煞心，,"N̂g Thóo-tsuí tsū sè-hàn tuì tiau-khik tō tsin sannh-sim,"
,老爸是修理人力車的木工。,lāu-pē sī siu-lí jîn-li̍k-tshia ê ba̍k-kang.
,伊出世生長的艋舺佮大稻埕，,"I tshut-sì sing-tióng ê Báng-kah kah Tuā-tiū-tiânn,"
,沿路有真濟佛具店、手工藝品店。,"iân-lōo ū tsin tsē Pu̍t-khū tiàm, tshiú-kang gē-phín tiàm."
,師傅佇店內雕刻，,"Sai-hū tī tiàm-lāi tiau-khik,"
,伊定定看甲行袂開跤。,i tiānn-tiānn khuànn kah kiânn-bē-khui-kha.
,公學校利用祖師廟、媽祖宮上課，,"Kong-ha̍k-hāu lī-iōng Tsóo-su-biō, Má-tsóo-king siōng-khò,"
,予伊欣賞著廟寺內底的建築、神像。,"hōo i him-sióng tio̍h biō-sī lāi-té ê kiàn-tio̍k, sîn-siōng."
,生活就是伊美學的肥底。,Sing-ua̍h tō sī i bí-ha̍k ê puî-té.
,認真觀察了後，,"Jīn-tsin kuan-tshat liáu-āu,"
,家己就那想那學。,ka-kī tō ná siūnn ná o̍h.
,1915年自國語學校師範部出業，,"1915 nî tsū kok-gí ha̍k-hāu su-huān-pōo tshut-gia̍p,"
,佇公學校教冊半冬較加，,"tī kong-ha̍k-hāu kà-tsheh puànn tang khah ke,"
,就受著臺灣總督府民政長官的保薦，,"tō siū-tio̍h Tâi-uân tsóng-tok-hú bîn-tsìng tióng-kuann ê pó-tsiàn,"
,進入日本東京美術學校雕刻科，,"tsìn-ji̍p Ji̍t-pún Tang-kiann bí-su̍t ha̍k-hāu tiau-khik-kho,"
,七年期間攏是天拄光就對學寮行去學校。,tshit nî kî-kan lóng sī thinn tú kng tō uì ha̍k-liâu kiânn khì ha̍k-hāu.
,孤孤單單、綿綿櫼櫼行佇藝術上坎坷的路途。,"Koo-koo-tuann-tuann, mî-mî-tsinn-tsinn kiânn tī gē-su̍t siōng khám-khia̍t ê lōo-tôo."
,有心拍石石成穿，,"Ū sim phah tsio̍h tsio̍h tsiânn tshng,"
,1920年開始，,"1920 nî khai-sí,"
,連紲四屆攏有作品入選彼時亞洲上蓋注重的帝國藝術展覽。,liân-suà sì kài lóng ū tsok-phín ji̍p-suán hit sî A-tsiu siōng-kài tsù-tiōng ê tè-kok gē-su̍t tián-lám.
,伊拍拚的成果，,"I phah-piànn ê sîng-kó,"
,予臺灣的藝術家受著鼓勵。,hōo Tâi-uân ê gē-su̍t-ka siū-tio̍h kóo-lē.
,伊親像是一座燈塔，,"I tshin-tshiūnn sī tsi̍t tsō ting-thah,"
,為拄起步的臺灣藝術炤路。,uī tú khí-pōo ê Tâi-uân gē-su̍t tshiō lōo.
,對雕刻的認真、綿爛，,"Tuì tiau-khik ê jīn-tsin, mî-nuā,"
,嘛予伊成做一个怪人、戇人。,"mā hōo i tsiânn-tsò tsi̍t ê kuài-lâng, gōng-lâng."
,逐工千刀、萬刀一直刻，,"Ta̍k kang tshian to, bān to it-ti̍t khik,"
,攏無歇睏。,lóng bô hioh-khùn.
