Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,我細漢的時會使講是庄裡上奅的囡仔，,"Guá sè-hàn ê sî ē-sái kóng sī tsng--lí siōng phānn ê gín-á,"
,因為阮阿母足𠢕做衫，,"in-uī guán a-bú tsiok gâu tsò sann,"
,伊攏做足媠的洋裝抑是短短的裙，,"i lóng tsò tsiok suí ê iûnn-tsong ia̍h-sī té-té ê kûn,"
,共阮妝甲真古錐，,"kā guán tsng kah tsin kóo-tsui,"
,閣共我梳兩粒包仔頭。,koh kā guá se nn̄g lia̍p pau-á-thâu.
,阮阿姑佇市內咧開皮鞋店，,"Guán a-koo tī tshī-lāi teh khui phuê-ê tiàm,"
,阿爸攏會𤆬阮去揀家己佮意的皮鞋，,"a-pah lóng ē tshuā guán khì kíng ka-kī kah-ì ê phuê-ê,"
,逐日攏嘛妝甲媠噹噹。,ta̍k ji̍t lóng mā tsng kah suí-tang-tang.
,阮阿母生七个囡仔，,"Guán a-bú senn tshit ê gín-á,"
,厝裡的兄弟姊妹攏是按呢打扮。,tshù--lí ê hiann-tī tsí-muē lóng sī án-ne tánn-pān.
,阿母會使講共所有的心思攏囥佇阮的身軀頂。,A-bú ē-sái kóng kā sóo-ū ê sim-su lóng khǹg tī guán ê sin-khu-tíng.
,尤其大兄、大姊讀初中、高中了後，,"Iû-kî tuā-hiann, tuā-tsí tha̍k tshoo-tiong, ko-tiong liáu-āu,"
,就算伊閣較無閒，,"tō sǹg i koh-khah bô-îng,"
,逐工透早四、五點就起來，,"ta̍k kang thàu-tsá sì, gōo tiám tō khí--lâi,"
,趕緊去菜市仔買菜轉來煮飯、款便當，,"kuánn-kín khì tshài-tshī-á bé tshài tńg--lâi tsú-pn̄g, khuán piān-tong,"
,予in赴會著六點外的車幫去讀冊。,hōo in hù ē tio̍h la̍k tiám guā ê tshia-pang khì tha̍k-tsheh.
,阮細漢的時，,"Guán sè-hàn ê sî,"
,我看阿母攏是遮爾仔操勞。,guá khuànn a-bú lóng sī tsiah-nī-á tshau-lô.
,伊唯一打扮家己的時陣，,"I uî-it tánn-pān ka-kī ê sî-tsūn,"
,就是去電頭毛店洗頭、做頭鬃。,"tō sī khì tiān-thâu-mn̂g-tiàm sé-thâu, tsò thâu-tsang."
,阿母就算閣較無閒都袂共頭毛放予挐氅氅，,"A-bú tō sǹg koh-khah bô-îng to bē kā thâu-mn̂g pàng hōo jû-tsháng-tsháng,"
,這是我細漢的時所了解的阿母。,tse sī guá sè-hàn ê sî sóo liáu-kái ê a-bú.
,上班了後，,"Siōng-pan liáu-āu,"
,有一工佮蹛隔壁庄的同事去in兜𨑨迌，,"ū tsi̍t kang kah tuà keh-piah tsng ê tông-sū khì in tau tshit-thô,"
,聽in母仔講起，,"thiann in bú--á kóng-khí,"
,才知影阮阿母是伊的洋裁老師。,tsiah tsai-iánn guán a-bú sī i ê iûnn-tshâi lāu-su.
,伊毋但𠢕做衫、𠢕穿插，,"I m̄-nā gâu tsò sann, gâu tshīng-tshah,"
,閣綴會著時代，,"koh tuè ē tio̍h sî-tāi,"
,體格媠，,"thé-keh suí,"
,通人欣羨，,"thong lâng him-siān,"
,當時是有名的「喜樹仔烏貓」。,tong-sî sī ū-miâ ê “Hí-tshiū-á oo-niau.”
,莫怪有時仔會聽阿母講，,"Bo̍k-kuài ū-sî-á ē thiann a-bú kóng,"
,伊的好工夫攏是為著阮才放捒去。,i ê hó kang-hu lóng sī uī-tio̍h guán tsiah pàng-sak --khì.
,彼當時我替阿母感覺誠毋甘，,"Hit tong-sî guá thè a-bú kám-kak tsiânn m̄-kam,"
,是阮共伊的才華耽誤去。,sī guán kā i ê tsâi-huâ tam-gōo --khì.
,一直到阿母過身，,"It-ti̍t kàu a-bú kuè-sin,"
,阮想欲寫一篇追思慈母的文章來思念伊，,"guán siūnn beh siá tsi̍t phinn tui-su tsû-bú ê bûn-tsiong lâi su-liām i,"
,才知影阮對阿母的了解實在真有限。,tsiah tsai-iánn guán tuì a-bú ê liáu-kái si̍t-tsāi tsin iú-hān.
,聽阿舅講，,"Thiann a-kū kóng,"
,外公真疼阿母，,"guā-kong tsin thiànn a-bú,"
,毋但予伊讀冊，,"m̄-nā hōo i tha̍k-tsheh,"
,出業了後閣送伊去佮一个日本老師學洋裁。,tshut-gia̍p liáu-āu koh sàng i khì kah tsi̍t ê ji̍t-pún lāu-su o̍h iûnn-tshâi.
,阿母毋但家己真𠢕做衫，,"A-bú m̄-nā ka-kī tsin gâu tsò sann,"
,嘛收學生來教。,mā siu ha̍k-sing lâi kà.
,暗時閣佇暗學仔教人讀冊，,"Àm-sî koh tī àm-o̍h-á kà lâng tha̍k-tsheh,"
,嘛是當時一个婦女團隊的隊長。,mā sī tong-sî tsi̍t ê hū-lí thuân-tuī ê tuī-tiúnn.
,阿母遮爾光彩的過去，,"A-bú tsiah-nī kong-tshái ê kuè-khì,"
,阮竟然佇伊過身了後才知影，,"guán kìng-jiân tī i kuè-sin liáu-āu tsiah tsai-iánn,"
,這是伊為著晟養阮大漢所付出的代價。,tse sī i uī-tio̍h tshiânn-ióng guán tuā-hàn sóo hù-tshut ê tāi-kè.
,到今我一直感覺真遺憾，,"Kàu-tann guá it-ti̍t kám-kak tsin uî-hām,"
,阿母攏無通好好仔歇睏一下仔，,"a-bú lóng bô thang hó-hó-á hioh-khùn tsi̍t-ē-á,"
,共伊的故事講予阮知影。,kā i ê kòo-sū kóng hōo guán tsai-iánn.
,細漢的時，,"Sè-hàn ê sî,"
,人講阮兜的囡仔誠好命，,"lâng kóng guán tau ê gín-á tsiânn hó-miā,"
,爸母照顧甲真好，,"pē-bú tsiàu-kòo kah tsin hó,"
,原來這攏是用阿母的才華佮青春換來的。,guân-lâi tse lóng sī īng a-bú ê tsâi-huâ kah tshing-tshun uānn--lâi--ê.
,佇遮我欲閣一遍感謝阿母，,"Tī tsia guá beh koh tsi̍t piàn kám-siā a-bú,"
,共伊講：「阿母，,"kā i kóng: “A-bú,"
,你擔會起喜樹仔烏貓這个名號。」,lí tann ē khí Hí-tshiū-á oo-niau tsit ê miâ-hō.”
