Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,阿英仔,A-ing--á
,阿英仔是厝裡的大漢查某囝，,"A-ing--á sī tshù--lí ê tuā-hàn tsa-bóo-kiánn,"
,下跤有兩个小妹。,ē-kha ū nn̄g ê sió-muē.
,記持中，,"Kì-tî tiong,"
,敢若有一个袂赴出世的小弟，,"kánn-ná ū tsi̍t ê bē-hù tshut-sì ê sió-tī,"
,彼時，,"hit-sî,"
,阿英仔才四、五歲，,"A-ing--á tsiah sì, gōo huè,"
,親目睭看著阿母大拚血，,"tshin ba̍k-tsiu khuànn-tio̍h a-bú tuā piànn-hiat,"
,就趕緊去喝大人，,"tō kuánn-kín khì huah tuā-lâng,"
,送阿母去病院。,sàng a-bú khì pēnn-īnn.
,聽講彼時陣，,"Thiann-kóng hit-sî-tsūn,"
,大人佮囡仔干焦會當救一个，,"tuā-lâng kah gín-á kan-na ē-tàng kiù tsi̍t ê,"
,就按呢，,"tsiū-án-ne,"
,阿爸做出一生中，,"a-pah tsò tshut it-sing tiong,"
,上怨嘆嘛上不得已的決定。,siōng uàn-thàn mā siōng put-tik-í ê kuat-tīng.
,兩年後，,"Nn̄g nî āu,"
,上細漢小妹出世矣，,"siōng sè-hàn sió-muē tshut-sì --ah,"
,是一个無夠月的紅嬰仔，,"sī tsi̍t ê bô-kàu-gue̍h ê âng-enn-á,"
,比彼當時的布袋戲尪仔較細隻，,"pí hit-tong-sî ê pòo-tē-hì ang-á khah sè tsiah,"
,著愛用鞋盒仔貯咧，,"tio̍h-ài iōng ê-a̍p-á té --leh,"
,才有法度mooh 牢；,tsiah ū huat-tōo mooh tiâu;
,哭聲袂輸若貓仔，,"khàu-siann bē-su ná niau-á,"
,in阿爸是共伊惜命命，,"in a-pah sī kā i sioh-miā-miā,"
,一直到大漢嫁翁了後，,"it-ti̍t kàu tuā-hàn kè ang liáu-āu,"
,in姊妹仔轉外家的時，,"in tsí-muē-á tńg guā-ke ê sî,"
,就干焦小妹是人客，,"tō kan-na sió-muē sī lâng-kheh,"
,煮食、款內底攏著愛兩个阿姊做，,"tsú-tsia̍h, khuán lāi-té lóng tio̍h-ài nn̄g ê a-tsí tsò,"
,莫怪人攏講：,bo̍k-kuài lâng lóng kóng:
,第三查某囝食命。,tē-sann tsa-bóo-kiánn tsia̍h-miā.
,阿英仔定定共人展講伊是#『混血兒』#，,"A-ing--á tiānn-tiānn kā lâng tián kóng i sī #‘混血兒’#,"
,因為in阿爸是誠散赤的客人，,"in-uī in a-pah sī tsiânn sàn-tshiah ê kheh-lâng,"
,毋過誠勤儉閣骨力；,m̄-koh tsiânn khîn-khiām koh kut-la̍t;
,in阿母是閩南庄頭內底米絞店的上紲尾查某囝。,in a-bú sī bân-lâm tsng-thâu lāi-té bí-ká tiàm ê siōng suà-bué tsa-bóo-kiánn.
,佇彼个時代，,"Tī hit ê sî-tāi,"
,兩个無仝款的族群欲結合，,"nn̄g ê bô kāng-khuán ê tso̍k-kûn beh kiat-ha̍p,"
,是偌爾仔困難。,"sī guā-nī-á khùn-lân,"
,In阿爸定佮遮的囡仔講：,In a-pah tiānn kah tsia-ê gín-á kóng:
,「想當初阮嘛是『抗戰』八年，,"“Siūnn tong-tshoo guán mā sī ‘khòng-tsiàn’ peh nî,"
,才成做翁仔某的。」,tsiah tsiânn-tsò ang-á-bóo --ê.”
,寢頭仔開始，,"Tshím-thâu-á khai-sí,"
,in兩人佇街仔頂稅一間店仔，,"in nn̄g lâng tī ke-á-tíng suè tsi̍t king tiàm-á,"
,做翁的賣物件，,"tsò ang--ê bē mi̍h-kiānn,"
,做某的就共人繡花教學生，,"tsò bóo--ê tō kā lâng siù-hue kà ha̍k-sing,"
,生活是苦苦仔咧過。,sing-ua̍h sī khóo-khóo-á teh kuè.
,雖罔日子艱苦過，,"Sui-bóng ji̍t-tsí kan-khóo kuè,"
,毋過阿英仔的爸母猶是予伊學鋼琴、學跳舞。,"m̄-koh A-ing--á ê pē-bú iáu-sī hōo i o̍h kǹg-khîm, o̍h thiàu-bú."
,自細漢，,"Tsū sè-hàn,"
,阿英仔就是一个巧巧囡仔，,"A-ing--á tō sī tsi̍t ê khiáu-khiáu gín-á,"
,學啥物成啥物；,o̍h siánn-mih sîng siánn-mih;
,上國校了後，,"siōng kok-hāu liáu-āu,"
,成績攏維持佇咧頭一、二名，,"sîng-tsik lóng î-tshî tī-leh thâu it, jī miâ,"
,佇學校毋捌予爸母卸面子，,"tī ha̍k-hāu m̄ bat hōo pē-bú sià bīn-tsú,"
,毋但成績好，,"m̄-nā sîng-tsik hó,"
,參加文的武的比賽嘛攏有著等。,tsham-ka bûn --ê bú --ê pí-sài mā lóng ū tio̍h-tíng.
,這種乖巧的日子一直到考牢高中了後，,"Tsit tsióng kuai-khá ê ji̍t-tsí it-ti̍t kàu khó-tiâu ko-tiong liáu-āu,"
,煞完全變款。,suah uân-tsuân piàn-khuán.
,阿英仔的阿母毋知是毋是自彼擺拚血，,"A-ing--á ê a-bú m̄ tsai sī m̄ sī tsū hit pái piànn-hiat,"
,去共「血牛」買著無好的血，,"khì kā “hueh-gû” bé-tio̍h bô hó ê hueh,"
,了後，,"liáu-āu,"
,伊定定會偷啉「幌頭仔」，,"i tiānn-tiānn ē thau lim “hàinn-thâu-á”,"
,啉了就開始睏，,"lim liáu tō khai-sí khùn,"
,一睏就幾若工。,tsi̍t khùn tō kuí-nā kang.
,「阿爸阿母，我轉來矣！」,"“A-pah a-bú, guá tńg--lâi --ah!”"
,阿英仔放學了後大聲喝講,A-ing--á pàng-o̍h liáu-āu tuā-siann huah kóng
,「喂？阿母咧？」,“Ueh? A-bú --leh?”
,「唉，猶佇咧睏……」,"“Haih, iáu tī-leh khùn...”"
,阿爸無攬無拈共應聲,A-pah bô-lám-bô-ne kā ìn-siann
,「喔！我知矣。」,"""Ooh! Guá tsai --ah."""
,阿英仔對國校三年仔起，,"A-ing--á uì kok-hāu sann-nî-á khí,"
,就會搬椅頭仔徛踮頂懸煮菜，,"tō ē puann í-thâu-á khiā tiàm tíng-kuân tsú tshài,"
,細漢時袂曉怨嘆，,"sè-hàn sî bē-hiáu uàn-thàn,"
,一直到讀高中，,"it-ti̍t kàu tha̍k ko-tiong,"
,因為阿母這款情形，,"in-uī a-bú tsit khuán tsîng-hîng,"
,伊煞著愛騙學校的老師，,"i suah tio̍h-ài phiàn ha̍k-hāu ê lāu-su,"
,伊人無爽快，,"i lâng bô sóng-khuài,"
,趕火車轉去厝裡煮飯。,"kuánn hué-tshia tńg-khì tshù--lí tsú-pn̄g,"
,久來，,"Kú--lâi,"
,少年查某囡仔起反叛，,"siàu-liân tsa-bóo gín-á khí huán-puān,"
,怨嘆家己佮人無仝，,"uàn-thàn ka-kī kah lâng bô-kāng,"
,別人有快樂的少年生活，,"pa̍t-lâng ū khuài-lo̍k ê siàu-liân sing-ua̍h,"
,伊就愛忍受厝邊兜同情閣無奈的眼神，,"i tō ài jím-siū tshù-pinn-tau tông-tsîng koh bô-nāi ê gán-sîn,"
,伊自按呢變甲愛耍、gâu變鬼變怪，,"i tsū-án-ne piàn kah ài-sńg, gâu pìnn-kuí-pìnn-kuài,"
,心思攏無囥佇學業頂懸。,sim-su lóng bô khǹg tī ha̍k-gia̍p tíng-kuân.
,大學聯考考著私立的大學，,"Tāi-ha̍k liân-khó khó-tio̍h su-li̍p ê tāi-ha̍k,"
,完全無伊較早的好表現，,"uân-tsuân bô i khah-tsá ê hó piáu-hiān,"
,這予爸母誠失望。,tse hōo pē-bú tsiânn sit-bōng.
,這時，,"Tsit-sî,"
,阿英仔in阿爸的身體嘛無蓋好，,"A-ing--á in a-pah ê sin-thé mā bô kài hó,"
,伊就堅持無愛重考，,"i tō kian-tshî bô ài tîng khó,"
,因為私立大學誠貴，,"in-uī su-li̍p tāi-ha̍k tsiânn kuì,"
,伊共爸母品明家己會趁生活所費，,"i kā pē-bú phín-bîng ka-kī ē thàn sing-ua̍h sóo-huì,"
,歇熱歇寒就攢學費，,"hioh-jua̍h hioh-kuânn tō tshuân ha̍k-huì,"
,毋免爸母煩惱。,m̄ bián pē-bú huân-ló.
,大漢囝總是會想較濟，,"Tuā-hàn-kiánn tsóng--sī ē siūnn khah tsē,"
,想講緊讀完大學，,"siūnn-kóng kín tha̍k uân tāi-ha̍k,"
,緊出來做工課，,"kín tshut-lâi tsò khang-khuè,"
,甚至是當初想欲繼續讀到博士的願望，,"sīm-tsì sī tong-tshoo siūnn-beh kè-sio̍k tha̍k kàu phok-sū ê guān-bōng,"
,嘛放棄矣。,mā hòng-khì --ah.
,尾仔，,"Bué--á,"
,阿英仔的大漢小妹大學嘛考無好，,"A-ing--á ê tuā-hàn sió-muē tāi-ha̍k mā khó bô hó,"
,伊就叫小妹來做伙蹛通省厝稅，,"i tō kiò sió-muē lâi tsò-hué tuà thang síng tshù-suè,"
,小妹的生活費伊嘛擔落來，,"sió-muē ê sing-ua̍h-huì i mā tann--lo̍h-lâi,"
,伊共小妹講：好好仔讀冊，,"i kā sió-muē kóng: hó-hó-á tha̍k-tsheh,"
,毋免逐家攏犧牲。,m̄ bián ta̍k-ke lóng hi-sing.
,大漢小妹嘛真有出脫，,"Tuā-hàn sió-muē mā tsin ū tshut-thuat,"
,大學讀完閣出國留學，,"tāi-ha̍k tha̍k uân koh tshut-kok liû-ha̍k,"
,提著企業碩士轉來，,"the̍h-tio̍h khì-gia̍p si̍k-sū tńg--lâi,"
,這馬已經是一間大公司的副總經理矣。,tsit-má í-king sī tsi̍t king tuā kong-si ê hù tsóng-king-lí --ah.
