Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,我是澎湖囡仔，,"Guá sī Phînn-ôo gín-á,"
,自細漢就佇澎湖大漢的。,tsū sè-hàn tō tī Phînn-ôo tuā-hàn--ê.
,有人講：,"Ū lâng kóng,"
,澎湖路，,"Phînn-ôo lōo,"
,坎閣坷，,"khám koh khia̍t,"
,澎湖水，,"Phînn-ôo tsuí,"
,鹹閣澀；,kiâm koh siap.
,蹛佇澎湖想欲趁食確實有較困難。,Tuà tī Phînn-ôo siūnn-beh thàn-tsia̍h khak-si̍t ū khah khùn-lân.
,差不多民國六十幾年的時代，,"Tsha-put-to Bîn-kok la̍k-tsa̍p kuí nî ê sî-tāi,"
,規个澎湖山景氣誠䆀，,"kui-ê Phînn-ôo suann kíng-khì tsiânn bái,"
,澎湖人除了山就是海，,"Phînn-ôo lâng tû-liáu suann tō sī hái,"
,濟濟人攏揣無頭路通好食。,tsē-tsē lâng lóng tshuē bô thâu-lōo thang-hó tsia̍h.
,彼時陣阮猶閣細漢，,"Hit-sî-tsūn guán iáu-koh sè-hàn,"
,毋過做囡仔真𠢕吮食定定會去揣一寡外路仔來補貼家用。,m̄-koh tsò gín-á tsin gâu-tshńg-tsia̍h tiānn-tiānn ē khì tshuē tsi̍t-kuá guā-lōo-á lâi póo-thiap ka-iōng.
,做囡仔，,"Tsò gín-á,"
,較普遍的外路仔工課，,"khah phóo-phiàn--ê guā-lōo-á khang-khuè,"
,你若講山仔，,"lí nā kóng suann-á,"
,就是抾露螺、掘午時草仔佮挖銃子柿。,"tō sī khioh lōo-lê, ku̍t gōo-sî-tsháu-á kah óo tshìng-tsí-phuè."
,若是講著海仔，,"Nā-sī kóng-tio̍h hái-á,"
,就是趁水短洘流的時陣落海去抾螺仔、日若暗嘛會使去炤海；,"tō sī thàn tsuí té khó-lâu ê sî-tsūn lo̍h hái khì khioh lê-á, ji̍t nā àm mā ē-sái khì tshiō hái,"
,若是流勢無拄好，,"nā-sī lâu sè bô-tú-hó,"
,就佇海墘掘寶石仔，,"tō tī hái-kînn ku̍t pó-tsio̍h-á,"
,其實穡頭嘛不止仔濟，,"kî-si̍t sit-thâu mā put-tsí-á tsē,"
,這應該是俗語所講的「甘願做牛，毋驚無犁通拖」。,"tse ing-kai sī sio̍k-gí sóo kóng --ê “Kam-guān tsò gû, m̄ kiann bô lê thang thua.”"
,早前的澎湖，,"Tsá-tsîng ê Phînn-ôo,"
,毋管是園抑是宅內攏誠少咧濺農藥，,"m̄-kuán sī hn̂g ia̍h-sī the̍h-lāi lóng tsiânn tsió teh tsuānn lông-io̍h,"
,無定著是較早的人較散赤，,"bô-tiānn-tio̍h sī khah-tsá ê lâng khah sàn-tshiah,"
,無錢通好買農藥。,bô tsînn thang-hó bé lông-io̍h.
,也就是按呢，,"Iā tō sī án-ne,"
,一四界攏是露螺，,"tsi̍t-sì-kè lóng sī lōo-lê,"
,尤其是落雨過了後抑是早頭暗尾，,"iû-kî sī lo̍h-hōo kuè liáu-āu ia̍h-sī tsá thâu àm bué,"
,趖甲滿四界攏總是。,sô kah muá-sì-kè lóng-tsóng sī.
,因為露螺有𣻸欲處理較厚工，,"In-uī lōo-lê ū siûnn beh tshú-lí khah kāu-kang,"
,無啥人咧抾，,"bô siánn-lâng teh khioh,"
,若準有抾嘛是摃摃咧，,"nā-tsún ū khioh mā sī kòng-kòng--leh,"
,參露螺殼做伙擲予豬食抑是予鴨仔、鵝仔去罔叨。,"tsham lōo-lê khak tsò-hué tàn hōo ti tsia̍h ia̍h-sī hōo ah-á, gô-á khì bóng lo."
,毋知底當時開始就有販仔佇咧庄仔頭買收，,"M̄ tsai tī-tang-sî khai-sí tō ū huàn-á tī-leh tsng-á-thâu bé-siu,"
,拄頭仔抾規布袋嘛賣無十箍銀，,"tú-thâu-á khioh kui pòo-tē mā bē bô tsa̍p khoo gîn,"
,尾仔愈抾愈少，,"bué--á jú khioh jú tsió,"
,價數雖然有較懸，,"kè-siàu sui-jiân ū khah kuân,"
,猶是真粗俗，,"iáu sī tsin tshoo-sio̍k,"
,毋過對囡仔人來講，,"m̄-koh tuì gín-á-lâng lâi kóng,"
,三箍、五箍攏總好，,"sann khoo, gōo khoo lóng-tsóng hó,"
,加減趁，,"ke-kiám thàn,"
,較袂散。,khah bē sàn.
,抾露螺，,"Khioh lōo-lê,"
,看無啥，,"khuànn bô siánn,"
,其實嘛是一項誠危險的工課。,kî-si̍t mā sī tsi̍t hāng tsiânn guî-hiám ê khang-khuè.
,你若想欲抾較大粒閣較濟，,"Lí nā siūnn-beh khioh khah tuā lia̍p koh khah tsē,"
,就愛去山跤的樹仔縫抑是山溝仔內底的草仔縫，,"tō ài khì suann-kha ê tshiū-á phāng ia̍h-sī suann-kau-á lāi-té ê tsháu-á phāng,"
,無就是愛去後灣墓仔埔，,"bô tō sī ài khì Āu-uan bōng-á-poo,"
,遐的所在草仔發甲比人較懸，,"hia ê sóo-tsāi tsháu-á huat kah pí lâng khah kuân,"
,誠少人行甲到。,tsiânn tsió lâng kiânn kah kàu.
,不而過，,"Put-jî-kò,"
,露螺濟；,lōo-lê tsē;
,蛇嘛濟，,"tsuâ mā tsē,"
,好運仔去拄著無毒仔，,"hó-ūn-á khì tú-tio̍h bô-to̍k-á,"
,親像臭腥母，,"tshin-tshiūnn tshàu-tshenn-bú,"
,彼就較無要緊；,"he tō khah bô-iàu-kín,"
,啊若較歹運仔去搪著雨傘節抑是飯匙銃，,"ah nā khah pháinn-ūn-á khì tn̄g-tio̍h hōo-suànn-tsat ia̍h-sī pn̄g-sî-tshìng,"
,予咬著你就慘矣！,hōo kā-tio̍h lí tō tshám --ah!
,午時草仔，,"Gōo-sî-tsháu-á,"
,伊的正名是#「風茹草」#，,"i ê tsiànn-miâ sī # “風茹草” # ,"
,午時草仔是阮囡仔家己號的，,"gōo-sî-tsháu-á sī guán gín-á ka-kī hō--ê,"
,因為會當燃茶啉，,"in-uī ē-tàng hiânn tê lim,"
,熱天中晝時燃來啉上著時，,"jua̍h-thinn tiong-tàu-sî hiânn lâi lim siōng tio̍h-sî,"
,清涼閣退火。,tshing-liâng koh thè-hué.
,彼陣，,"Hit-tsūn,"
,佇阮澎湖滿山滿坪生甲攏總是，,"tī guán Phînn-ôo muá suann muá phiânn senn kah lóng-tsóng sī,"
,無啥人欲挃。,bô siánn-lâng beh ti̍h.
,落尾手嘛是仝款有人專門咧收，,"Lo̍h-bué-tshiú mā sī kāng-khuán ū lâng tsuan-bûn teh siu,"
,澹的較俗，,"tâm--ê khah sio̍k,"
,若是曝焦閣有處理過價數就較好。,nā-sī pha̍k ta koh ū tshú-lí kuè kè-siàu tō khah hó.
,掘午時草仔其實無啥危險性，,"Ku̍t gōo-sî-tsháu-á kî-si̍t bô siánn guî-hiám-sìng,"
,不而過阮攏是趁禮拜歇睏日才有去掘。,put-jî-kò guán lóng sī thàn lé-pài hioh-khùn-ji̍t tsiah ū khì ku̍t.
,因為平常時愛讀冊，,"In-uī pîng-siông-sî ài tha̍k-tsheh,"
,若是拄著禮拜日較有時間。,nā-sī tú-tio̍h lé-pài-ji̍t khah ū sî-kan.
,啊你都知！,Ah lí to tsai!
,做囡仔上愛歇睏日，,"Tsò gín-á siōng ài hioh-khùn ji̍t,"
,會使騎跤踏車去四界𨑨迌，,"ē-sái khiâ kha-ta̍h-tshia khì sì-kè tshit-thô,"
,無嘛會使囡仔伴招咧去放風吹、摃棒球、拍干樂、耍蹌跤雞、跳索仔過五關，,"bô mā ē-sái gín-á phuānn tsio teh khì pàng hong-tshue, kòng pāng-kiû, phah kan-lo̍k, sńg tshiáng-kha-ke, thiàu soh-á kuè gōo kuan,"
,這攏是囡仔上愛耍的。,tse lóng sī gín-á siōng ài sńg ê.
,其實我感覺掘午時草仔嘛是一種訓練，,"Kî-si̍t guá kám-kak ku̍t gōo-sî tsháu-á mā sī tsi̍t tsióng hùn-liān,"
,訓練你的眼力佮跤力。,hùn-liān lí ê gán-li̍k kah kha-la̍t.
,因為午時草仔和別種草仔攏生做伙，,"In-uī gōo-sî-tsháu-á hām pa̍t tsióng tsháu-á lóng senn tsò-hué,"
,尤其是有一種毋知名的草仔，,"iû-kî sī ū tsi̍t tsióng m̄ tsai miâ ê tsháu-á,"
,生做佮午時草仔仝款，,"senn-tsò kah gōo-sî-tsháu-á kāng-khuán,"
,精差野草較暗色，,"tsing-tsha iá-tsháu khah àm-sik,"
,你若無斟酌看會認袂出來，,"lí nā bô tsim-tsiok khuànn ē jīn bē tshut-lâi,"
,聽講彼種野草袂使烏白食，,"thiann-kóng hit tsióng iá-tsháu bē-sái oo-pe̍h tsia̍h,"
,食了後會落屎。,tsia̍h liáu-āu ē làu-sái.
,另外就是你愛揹布袋佮掘仔，,"Līng-guā tō sī lí ài phāinn pòo-tē kah ku̍t-á,"
,滿山坪一四界去揣，,"muá suann-phiânn tsi̍t-sì-kè khì tshuē,"
,因為peh山的關係，,"in-uī peh suann ê kuan-hē,"
,無形中你的跤力就比別人較好，,"bû-hîng-tiong lí ê kha-la̍t tō pí pa̍t-lâng khah hó,"
,親像我這馬攏有咧參加馬拉松，,"tshin-tshiūnn guá tsit-má lóng ū teh tsham-ka ma-lá-sóng,"
,無的確就是做囡仔彼時陣掘午時草仔練出來的。,bô-tik-khak tō sī tsò gín-á hit-sî-tsūn ku̍t gōo-sî-tsháu-á liān tshut-lâi--ê.
