Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,「阿母，阿母……」,"“A-bú, a-bú...”"
,徛佇水床邊仔，,"khiā tī tsuí-tshn̂g pinn-á,"
,我的查某囝、後生新婦攏哭甲足傷心，,"guá ê tsa-bóo-kiánn, hāu-senn sin-pū lóng khàu kah tsiok siong-sim,"
,我peh起來行去in的身軀邊叫in莫哭，,"guá peh --khí-lâi kiânn khì in ê sin-khu-pinn kiò in mài khàu,"
,毋過in蓋成攏無聽見。,m̄-koh in kài-sîng lóng bô thiann--kìnn.
,我是按怎，,"Guá sī án-tsuánn,"
,身軀哪會輕láng-sáng？,sin-khu ná ē khin láng-sáng?
,會記得透早我欲去買菜，,"Ē-kì-tit thàu-tsá guá beh khì bé tshài,"
,才出門無偌久就予一台車挵著，,"tsiah tshut-mn̂g bô-guā-kú tō hōo tsi̍t tâi tshia lòng--tio̍h,"
,一个查某人兇兇狂狂對車頂抨落來，,"tsi̍t ê tsa-bóo-lâng hiong-hiong-kông-kông uì tshia-tíng phiann--lo̍h-lâi,"
,共我攬咧一直喝：,kā guá lám --leh it-ti̍t huah:
,「Oo-bá-sáng，,"“Oo-bá-sáng ,"
,你有按怎無？,lí ū án-tsuánn --bô?
,Oo-bá-sáng……」,Oo-bá-sáng...”
,看我無應，,"khuànn guá bô ìn,"
,伊越頭問邊仔彼个查埔人：,i ua̍t-thâu mn̄g pinn-á hit ê tsa-poo-lâng:
,「今，,"“Tann,"
,欲按怎？」,beh án-tsuánn?”
,著啦！,Tio̍h --lah!
,就是自彼陣開始我感覺家己輕láng-sáng，,"Tō sī tsū hit-tsūn khai-sí guá kám-kak ka-kī khin láng-sáng,"
,查某人共我攬咧一直㽎，,"tsa-bóo-lâng kā guá lám --leh it-ti̍t sìm,"
,閣共彼个查埔人講：,koh kā hit ê tsa-poo-lâng kóng:
,「叫袂精神呢！,“Kiò bē tsing-sîn --neh!
,緊啦，,"Kín --lah,"
,緊敲『119』，,"kín khà ‘119’,"
,叫救護車啦！」,kiò kiù-hōo-tshia --lah!”
,我看彼个查埔人揤手機仔的手嘛是一直掣。,Guá khuànn hit ê tsa-poo-lâng tshi̍h tshiú-ki-á ê tshiú mā sī it-ti̍t tshuah.
,圍倚來的人愈來愈濟，,"Uî uá--lâi ê lâng jú lâi jú tsē,"
,毋過我攏毋捌，,"m̄-koh guá lóng m̄ bat,"
,一直到我看著阮後頭彼个親情尾仔純妹，,"it-ti̍t kàu guá khuànn-tio̍h guán āu-thâu hit ê tshin-tsiânn bué-á Sûn muē,"
,就共叫，,"tō kā kiò,"
,啥人知影伊連看都無做伊騎過去，,"siánn-lâng tsai-iánn i liân khuànn to bô tsò i khiâ --kuè-khì,"
,哪會按呢？,ná ē án-ne?
,哎！,Ai!
,莫怪啦，,"Bo̍k-kuài --lah,"
,阮庄跤人一向較厚譴損，,"guán tsng-kha lâng it-hiòng khah kāu-khiàn-sńg,"
,這種車厄毋是啥物好代誌，,"tsit tsióng tshia eh m̄ sī siánn-mih hó tāi-tsì,"
,有歲的人較袂遐好玄。,ū huè ê lâng khah bē hiah hó hiân.
,等欲成半點鐘，,"Tán beh tsiânn puànn tiám-tsing,"
,救護車才來，,"kiù-hōo-tshia tsiah lâi,"
,彼个共我挵著的查某人留佇遐等警察，,"hit ê kā guá lòng--tio̍h ê tsa-bóo-lâng lâu tī hia tán kíng-tshat,"
,綴「我」上車的是彼个查埔人。,tuè “guá “ tsiūnn-tshia--ê sī hit ê tsa-poo-lâng.
,「Inn-onn-inn-onn」，,"“Inn-onn-inn-onn”,"
,車駛過阮兜，,"tshia sái-kuè guán tau,"
,我有看著阮彼个「老番」佇園咧薅草，,"guá ū khuànn-tio̍h guán hit ê “lāu-huan” tī hn̂g teh khau tsháu,"
,「Inn-onn-inn-onn」,“Inn-onn-inn-onn”
,夭壽喔，,"Iáu-siū --ooh,"
,駛遐緊，,"sái hiah kín,"
,連予我去共伊交代一聲嘛無通。,liân hōo guá khì kā i kau-tài tsi̍t siann mā bô thang.
,救護車駛到病院，,"Kiù-hōo-tshia sái kàu pēnn-īnn,"
,護士佮醫生攏倚過來，,"hōo-sū kah i-sing lóng uá --kuè-lâi,"
,in將軟床捒落來，,"in tsiong nńg-tshn̂g sak --lo̍h-lâi,"
,醫生吩咐邊仔的護士講：,i-sing huan-hù pinn-á ê hōo-sū kóng:
,「先急救，,"“Sing kip-kiù,"
,#『密司陳』#你先處理後擴遐的空喙，,"#‘Miss Chen’# lí sing tshú-lí āu-khok hia ê khang-tshuì,"
,順紲看有紮證件無……,sūn-suà khuànn ū tsah tsìng-kiānn --bô...
,請問，,"tshiánn-mn̄g,"
,你敢是患者的家屬？」,lí kám sī huān-tsiá ê ka-sio̍k?”
,一陣人共我扶起扶落，,"Tsi̍t tīn lâng kā guá hû khí hû lo̍h,"
,彼个查埔人面仔青恂恂一直幌頭講伊毋知。,hit ê tsa-poo-lâng bīn-á tshenn-sún-sún it-ti̍t hàinn-thâu kóng i m̄ tsai.
,我徛佇邊仔看in咧無閒，,"Guá khiā tī pinn-á khuànn in teh bô-îng,"
,下面彼个「我」血是㴙㴙滴。,ē-bīn hit ê “Guá” hueh sī tsha̍p-tsha̍p-tih.
,過了毋知偌久，,"Kuè-liáu m̄ tsai guā kú,"
,空喙嘛處理到一个坎站矣，,"khang-tshuì mā tshú-lí kàu tsi̍t ê khám-tsām --ah,"
,護士行去共彼个查埔人講:,hōo-sū kiânn khì kā hit ê tsa-poo-lâng kóng:
,「警察敢聯絡著家屬矣？,“Kíng-tshat kám liân-lo̍k tio̍h ka-sio̍k --ah?
,In的家屬若無來，,"In ê ka-sio̍k nā bô lâi,"
,阮是無法度做紲落來的檢查喔。」,guán sī bô-huat-tōo tsò suà--lo̍h-lâi ê kiám-tsa --ooh.”
,查埔人手機仔拄掛掉，,"Tsa-poo-lâng tshiú-ki-á tú kuà-tiāu,"
,聽著護士按呢講，,"thiann-tio̍h hōo-sū án-ne kóng,"
,就應講：,tō ìn kóng:
,「有啦，,"“Ū --lah,"
,警察有聯絡著in厝的人矣，,"kíng-tshat ū liân-lo̍k tio̍h in tshù ê lâng --ah,"
,小等咧會過來。」,sió-tán --leh ē kuè--lâi.”
,閣等一下久……,Koh tán tsi̍t-ē-kú...
,「來矣！,“Lâi --ah!
,來矣！」,Lâi --ah!”
,我看著我彼个屘仔囝青磅白磅傱入來急診室，,"Guá khuànn-tio̍h guá hit ê ban-á-kiánn tshenn-pōng-pe̍h-pōng tsông ji̍p-lâi kip-tsín-sik,"
,護士共擛去櫃台邊，,"hōo-sū kā ia̍t khì kuī-tâi-pinn,"
,那講那提一堆單仔予伊簽。,ná kóng ná the̍h tsi̍t tui tuann-á hōo i tshiam.
,「明仔，,"“Bîng--á,"
,阿母佇遮啦，,"a-bú tī tsia --lah,"
,明仔」,Bîng--á”
,我佇邊仔一直喝。,Guá tī pinn--á it-ti̍t huah.
,單仔簽煞，,"Tuann-á tshiam suah,"
,阮明仔也無看我，,"guán Bîng--á iā bô khuànn guá,"
,煞一直攬病床頂彼个「我」那哭閣那講：,suah it-ti̍t lám pēnn-tshn̂g-tíng hit ê “guá” ná khàu koh ná kóng:
,「阿母，,"“A-bú,"
,阿母，,"a-bú ,"
,你愛較振作的呢！」,lí ài khah tsín-tsok --ê --neh!”
,白蔥蔥的眠床，,"Pe̍h-tshang-tshang ê bîn-tshn̂g,"
,白蔥蔥的壁，,"pe̍h-tshang-tshang ê piah,"
,倒佇眠床頂懸的「我」面嘛是白蔥蔥。,tó tī bîn-tshn̂g tíng-kuân ê “guá” bīn mā sī pe̍h-tshang-tshang.
,護士用一塊苴布苴佇我的後擴，,"Hōo-sū iōng tsi̍t tè tsū-pòo tsū tī guá ê āu-khok,"
,無一下久血又閣𪐞甲紅絳絳。,bô tsi̍t-ē-kú hueh iū-koh tòo kah âng-kòng-kòng.
,阮囝簽名了後，,"Guán kiánn tshiam-miâ liáu-āu,"
,護士共我捒入去一間房間，,"hōo-sū kā guá sak ji̍p-khì tsi̍t king pâng-king,"
