Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,「阮阿爸欲予人銃殺矣。」,“Guán a-pah beh hōo lâng tshìng-sat --ah.”
,Maryang 過欲10分鐘才對,Maryang kuè beh 10 hun-tsing tsiah uì
,#Line#傳這句話過來。,#Line# thuân tsit kù uē kuè--lâi.
,這擺換我毋知欲按怎回伊，,"Tsit pái uānn guá m̄ tsai beh án-tsuánn huê --i,"
,我看手機仔頂懸的時間直直行，,"guá khuànn tshiú-ki-á tíng-kuân ê sî-kan ti̍t-ti̍t kiânn,"
,想一下，閣考慮一下，,"siūnn --tsi̍t-ē, koh khó-lī --tsi̍t-ē,"
,隨閣#10#分鐘欲過矣，,"suî koh #10# hun-tsing beh kuè --ah,"
,毋過我猶原毋知欲講啥，,"m̄-koh guá iu-guân m̄ tsai beh kóng siánn,"
,總是無回袂用得，,"tsóng--sī bô huê bē-īng-tit,"
,用#Line#煞「有讀無回」是上顧人怨的，,"iōng #Line# suah “Ū tha̍k bô huê” sī siōng kòo-lâng-uàn--ê,"
,別人我無要緊，,"pa̍t-lâng guá bô iàu-kín,"
,#Maryang#是我煞足久的查某囡仔呢，,"#Maryang# sī guá sannh tsiok kú ê tsa-bóo gín-á --neh,"
,我是頭殼𠞩落來齧嘛愛積一句話來應伊的。,guá sī thâu-khak tsuî-lo̍h-lâi khè mā ài tsik tsi̍t kù uē lâi ìn --i --ê.
,「Thài-thó會按呢生？」,“Thài-thó ē án-ne-senn?”
,我知這句回著若像蓋無誠意，,"Guá tsai tsit kù huê tio̍h ná-tshiūnn kài bô sîng-ì,"
,尤其是#10#分鐘後，,"iû-kî sī #10# hun-tsing āu,"
,這句閣較夭壽無誠意，,"tsit kù koh-khah iáu-siū bô sîng-ì,"
,總是，,"tsóng--sī,"
,若佮原底我想欲回的彼句：,nā kah guân-té guá siūnn-beh huê --ê hit kù:
,「恁老爸是烏道呢？」,“Lín lāu-pē sī oo-tō --nih?”
,這句就加真妥當，,"Tsit kù tō ke tsin thò-tòng,"
,敢毋是？,kám m̄ sī?
,「阮阿爸伊是冤枉的！！！」,“Guán a-pah i sī uan-óng --ê!!!”
,看伊應這句，,"Khuànn i ìn tsit kù,"
,我才確定講，,"guá tsiah khak-tīng kóng,"
,in老爸是內籬仔底的死犯……,in lāu-pē sī lāi-lî-á-té ê sí-huān...
,自來，,"Tsū-lâi,"
,都毋捌聽#Maryang#講著,to m̄ bat thiann #Maryang# kóng-tio̍h
,in兜抑是in老爸的代誌，,"in tau ia̍h-sī in lāu-pē ê tāi-tsì,"
,是今仔日中晝上課，,"sī kin-á-ji̍t tiong-tàu siōng-khò,"
,欲對阮所出去，,"beh uì guán sóo tshut-khì,"
,半路䀐見伊坐佇巷路邊的椅條仔頂，,"puànn-lōo siam kìnn i tsē tī hāng-lōo-pinn ê í-liâu-á-tíng,"
,頭犁犁，,"thâu lê-lê,"
,手佇面裡huê咧huê咧，,"tshiú tī bīn--lí huê --leh huê --leh,"
,本底毋敢倚過，,"pún-té m̄ kánn uá --kuè,"
,驚講歹勢，,"kiann kóng pháinn-sè,"
,毋過樓梯落一半，,"m̄-koh lâu-thui lo̍h tsi̍t-puànn,"
,袂過心，,"bē kuè-sim,"
,翻頭去揣伊。,huan-thâu khì tshuē --i.
,才佇伊邊仔坐落來爾爾，,"Tsiah tī i pinn--á tsē --lo̍h-lâi niā-niā,"
,一句講都未曾話，,"tsi̍t kù kóng to buē-tsîng uē,"
,伊目屎煞親像袚鍊斷線,i ba̍k-sái suah tshin-tshiūnn phua̍h-liān tn̄g suànn
,按呢一粒一粒跋落塗跤。,án-ne tsi̍t lia̍p tsi̍t lia̍p pua̍h-lo̍h thôo-kha.
,足想欲共攬倚來，,"Tsiok siūnn-beh kā lám uá --lâi,"
,毋過咱都毋是伊的啥物人，,"m̄-koh lán to m̄ sī i ê siánn-mih lâng,"
,嘛只好恬恬仔對揹仔撏紙巾仔予伊。,mā tsí-hó tiām-tiām-á tuì phāinn-á jîm tsuá-kin-á hōo --i.
,Kin-sio̍k,Kin-sio̍k
,kin-sio̍k今仔日，,"kin-sio̍k kin-á-ji̍t,"
,閣是愛去「拜訪」爸母的時間，,"koh sī ài khì “Pài-hóng” pē-bú ê sî-kan,"
,啊我有影就無足想欲去。,ah guá ū-iánn tō bô tsiok siūnn-beh khì.
,若講著阮老爸老母乎,Nā kóng-tio̍h guán lāu-pē lāu-bú --honnh
,自in離緣了後，,"Tsū in lī-iân liáu-āu,"
,我就變做兩个厝愛轉，,"guá tō piàn-tsò nn̄g ê tshù ài tńg,"
,一爿是阿爸佮伊閣娶的某，,"tsi̍t-pîng sī a-pah kah i koh tshuā ê bóo,"
,一爿是阿母。,tsi̍t-pîng sī a-bú.
,實在講，,"Si̍t-tsāi kóng,"
,in兩个的代誌，,"in nn̄g ê ê tāi-tsì,"
,我無啥了解，,"guá bô siánn liáu-kái,"
,嘛無啥愛插，,"mā bô siánn ài tshap,"
,in佇我國小#五#年彼冬離婚了後，,"in tī guá kok-sió #gōo# nî hit tang lī-hun liáu-āu,"
,法律上我是綴阮老爸，,"huat-lu̍t siōng guá sī tuè guán lāu-pē,"
,毋過實際上，,"m̄-koh si̍t-tsè-siōng,"
,我是搬來徙去，,"guá sī puann lâi suá khì,"
,兩爿照輪咧蹛，,"nn̄g-pîng tsiàu lûn teh tuà,"
,明明是少年人，,"bîng-bîng sī siàu-liân-lâng,"
,結果煞親像老孤單，,"kiat-kó suah tshin-tshiūnn lāu-koo-tuann,"
,予人踢過來、捒過去，,"hōo lâng that kuè-lâi, sak kuè-khì,"
,貓徙岫#七##八#冬，,"niau suá siū #tshit# #peh# tang,"
,大學的時，,"tāi-ha̍k ê sî,"
,我總算家己搬出去蹛，,"guá tsóng-sǹg ka-kī puann tshut-khì tuà,"
,自彼陣了後，,"tsū hit-tsūn liáu-āu,"
,我兩爿攏無啥愛「轉」去。,guá nn̄g-pîng lóng bô siánn ài “tńg” --khì.
,甲若按呢，,"Kah nā án-ne,"
,就佇遮陪#Maryang#坐一時仔，,"tō tī tsia puê #Maryang# tsē tsi̍t-sî-á,"
,坐罔坐，,"tsē bóng tsē,"
,坐半點鐘久，,"tsē puànn tiám-tsing kú,"
,伊攏無話無句，,"i lóng bô uē bô kù,"
,落尾，,"lo̍h-bué,"
,嘛只好陪伊去坐車。,mā tsí-hó puê i khì tsē tshia.
,若講著#Line#乎，,"Nā kóng-tio̍h #Line# --honnh,"
,這个「有讀毋回」的罪名實在予人擔袂起，,"tsit ê “Ū tha̍k m̄ huê” ê tsuē-miâ si̍t-tsāi hōo lâng tann bē khí,"
,明明毋知欲按怎應，,"bîng-bîng m̄ tsai beh án-tsuánn ìn,"
,煞會驚著擔這个罪。,suah ē kiann tio̍h tann tsit ê tsuē.
,姑不而將閣出彼句：,Koo-put-jî-tsiong koh tshut hit kù:
,「Thài-thó會按呢生？」,“Thài-thó ē án-ne-senn?”
,哎啊！,Aih-ah!
,我揤「送出」彼个箭頭的時,Guá tshi̍h “Sàng-tshut” hit ê tsìnn-thâu ê sî
,目睭放瞌閣揤並大力的，,"ba̍k-tsiu pàng kheh koh tshi̍h phīng tuā-la̍t --ê,"
,感覺足見笑！,kám-kak tsiok kiàn-siàu!
,斟酌遮久，,"Tsim-tsiok tsiah kú,"
,這句無好，,"tsit kù bô hó,"
,彼句宛若無好，,"hit kù uan-nā bô hó,"
,抑無是佗一句會合軀唅？,iah-bô sī tó tsi̍t kù ē ha̍h-su --hannh?
,哎啊我毋知啦！,Aih-ah guá m̄ tsai --lah！
,就是這款躊躇東躊躇西的性癖咧惱人！,Tō sī tsit khuán tiû-tû tang tiû-tû sai ê sìng-phiah teh lóo --lâng!
,這號死個性乎，,"Tsit-lō sí kò-sìng --honnh,"
,干焦發性地的時會暫時消風！,kan-na huat-sìng-tē ê sî ē tsiām-sî siau-hong！
,可惜我就毋是現今當時行的,Khó-sioh guá tō m̄ sī hiān-kim tng sî-kiânn ê
,「憤怒青年」，,"“Hùn-nōo tshing-liân”,"
,若是，,"nā-sī,"
,我就袂逐不時遮suan-ngiāu矣。,guá tō bē ta̍k-put-sî tsiah suan-ngiāu --ah.
,Hana 委員咧欲予「伨死聯盟」,#Hana# uí-uân teh-beh hōo “Thīn sí liân-bîng”
