Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,鞏金的內褲,Khōng-kim ê lāi-khòo
,「我厝揣好矣，,"“Guá tshù tshuē hó --ah,"
,後禮拜欲搬，,"āu lé-pài beh puann,"
,你敢會使來共我鬥搬？」,lí kám ē-sái lâi kā guá tàu puann?”
,「好啊！,“Hó --ah!
,後禮拜當時？,Āu lé-pài tang-sî?
,我來借一台發財仔來共你鬥搬。」,Guá lâi tsioh tsi̍t tâi huat-tsâi-á lâi kā lí tàu puann.”
,論真講起來，,"Lūn-tsin kóng--khí-lâi,"
,#春美仔#是阮班的上媠的,#Tshun-bí-á# sī guán pan ê siōng suí ê
,查某囡仔頭三名內的，,"tsa-bóo gín-á thâu sann miâ lāi --ê,"
,規學校算起來有頭五名內媠的。,kui ha̍k-hāu sǹg--khí-lâi ū thâu gōo miâ lāi suí --ê.
,真濟痟豬哥攏咧數想欲佮伊按怎，,"Tsin tsē siáu-ti-ko lóng teh siàu-siūnn beh kah i án-tsuánn,"
,對入學到今欲半年已經風聲講,tuì ji̍p-ha̍k kàu-tann beh puànn-nî í-king hong-siann kóng
,愛袂著的三、四十个，,"ài bē tio̍h --ê sann, sì-tsa̍p ê,"
,一个自殺無死咧蹛院。,tsi̍t ê tsū-sat bô sí teh tuà-īnn.
,三个痟去，,"Sann ê siáu--khì,"
,一个關佇痟病院，,"tsi̍t ê kuainn tī siáu-pēnn-īnn,"
,一个關佇厝內毋敢出門，,"tsi̍t ê kuainn tī tshù-lāi m̄ kánn tshut-mn̂g,"
,閣一个痟藥仔照三頓食，,"koh tsi̍t ê siáu-io̍h-á tsiàu sann tǹg tsia̍h,"
,才敢來學校。,tsiah kánn lâi ha̍k-hāu.
,五个走去補習班重考，,"Gōo ê tsáu khì póo-si̍p-pan tîng khó,"
,欲去讀別間，,"beh khì tha̍k pa̍t king,"
,賰的假做無這項代誌，,"tshun--ê ké-tsò bô tsit hāng tāi-tsì,"
,看著春美仔就學蝦仔倒彈噴甲遠遠遠。,khuànn-tio̍h Tshun-bí-á tō o̍h hê-á tò-tuānn phùn kah hn̄g-hn̄g-hn̄g.
,我遮爾正經的人才袂去想遐有的無的，,"Guá tsiah-nī tsìng-king ê lâng tsiah bē khì siūnn hia ū--ê bô--ê,"
,春美仔若會佮我相借問我就真歡喜矣。,Tshun-bí-á nā ē kah guá sio tsioh-mn̄g guá tō tsin huann-hí --ah.
