Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,醫學研討會,I-ha̍k gián-thó-huē
,南投林醫師厝裡飼一隻幼狗，,"Lâm-tâu Lîm i-su tshù--lí tshī tsi̍t tsiah iù káu,"
,因為是烏色的，,"in-uī sī oo-sik --ê,"
,in攏叫伊#Khú-lò#。,in lóng kiò i #Khú-lò#.
,講是林醫師飼的，,"Kóng sī Lîm i-su tshī--ê,"
,不過大部份攏是先生娘咧照顧，,"put-kò tuā-pōo-hūn lóng sī sian-sinn-niû teh tsiàu-kòo,"
,毋管是放屎尿，,"m̄-kuán sī pàng sái-jiō,"
,抑是食兩頓…，,"ia̍h-sī tsia̍h nn̄g tǹg…,"
,攏是先生娘咧發落。,lóng sī sian-sinn-niû teh hua̍t-lo̍h.
,#Khú-lò#誠好命，,"#Khú-lò# tsiânn hó-miā,"
,家己蹛一間袂輸人咧蹛的別莊，,"ka-kī tuà tsi̍t king bē-su lâng teh tuà ê pia̍t-tsong,"
,平常時，,"pîng-siông-sî,"
,伊食的狗飼料、狗罐頭攏是進口的、上好的，,"i tsia̍h ê káu tshī-liāu, káu kuàn-thâu lóng sī tsìn-kháu--ê, siōng hó--ê,"
,先生娘共伊飼甲肥軟仔肥軟；,sian-sinn-niû kā i tshī kah puî-nńg-á puî-nńg;
,伊徛佇林醫師別莊的上後壁間，,"i khiā tī Lîm i-su pia̍t-tsong ê siōng āu-piah-king,"
,內底面啥物狗的𨑨迌物逐項有。,lāi-té-bīn siánn-mih káu ê tshit-thô-mi̍h ta̍k hāng ū.
,In若去上班，,"In nā khì siōng-pan,"
,#Khú-lò#就家己一个蹛遐耍伊的𨑨迌物；,#Khú-lò# tō ka-kī tsi̍t ê tuà hia sńg i ê tshit-thô-mi̍h;
,遐的後壁門有一个細空的狗仔門，,"hia ê āu-piah-mn̂g ū tsi̍t ê sè khang ê káu-á-mn̂g,"
,利便#Khú-lò#會當家己出去後花園走傱佮放屎尿；,lī-piān #Khú-lò# ē-tàng ka-kī tshut-khì āu-hue-hn̂g tsáu-tsông kah pàng sái-jiō;
,驚伊走出去外面拍毋見，,"kiann i tsáu tshut-khì guā-bīn phah-m̄-kìnn,"
,in閣疊一个低低的牆圍仔共花園圍起來，,"in koh thia̍p tsi̍t ê kē-kē ê tshiûnn-uî-á kā hue-hn̂g uî --khí-lâi,"
,講是花園，,"kóng sī hue-hn̂g,"
,頂面也無種甲半蕊花，,"tíng-bīn iā bô tsìng kah puànn luí hue,"
,彼是全部用草皮鋪起來的草埔仔，,"he sī tsuân-pōo iōng tsháu-phuê phoo --khí-lâi ê tsháu-poo-á,"
,會當予伊佇遐自由自在傱來傱去。,ē-tàng hōo i tī hia tsū-iû-tsū-tsāi tsông lâi tsông khì.
,先生娘真疼惜伊，,"Sian-sinn-niû tsin thiànn-sioh --i,"
,逐工透早攏會出去附近的公園#lau-lau#咧！,ta̍k kang thàu-tsá lóng ē tshut-khì hù-kīn ê kong-hn̂g lau-lau--leh!
,了後才行去診所鬥相共。,Liáu-āu tsiah kiânn khì tsín-sóo tàu-sann-kāng.
,下班轉來，,"Hā-pan tńg--lâi,"
