Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,一九二空年代，,"It kiú jī khòng nî-tāi,"
,歐洲因為第一改世界大戰，,"Au-tsiu in-uī tē-it kái sè-kài tāi-tsiàn,"
,元氣大傷，,"guân-khì tuā siong,"
,西方強權地位受著質疑，,"se-hong kiông-khuân tē-uī siū tio̍h tsit-gî,"
,東方的日本，,"tang-hong ê Ji̍t-pún,"
,軍國主義就趁這个機會衝起來，,"kun-kok tsú-gī tō thàn tsit ê ki-huē tshìng --khí-lâi,"
,當時日本殖民的臺灣經濟，,"tong-sî Ji̍t-pún si̍t-bîn ê Tâi-uân king-tsè,"
,發展非常好，,"huat-tián hui-siông hó,"
,為著供應製糖原料的需要，,"uī tio̍h kiong-ìng tsè thn̂g guân-liāu ê su-iàu,"
,總督府鼓勵農民種植甘蔗，,"tsóng-tok-hú kóo-lē lông-bîn tsìng-si̍t kam-tsià,"
,但是佇咧殖民政策之下，,"tān-sī tī-leh si̍t-bîn tsìng-tshik tsi hā,"
,製糖會社控制甘蔗收購價數，,"tsè thn̂g huē-siā khòng-tsè kam-tsià siu-kòo kè-siàu,"
,基層農民根本就無利純，,"ki-tsân lông-bîn kun-pún tiō bô lī-sûn,"
,因此各地種作甘蔗農民的抗爭，,"in-tshú kok tē tsìng-tsoh kam-tsià lông-bîn ê khòng-tsing,"
,也不斷發生。,iā put-tuān huat-sing.
,閃喔閃喔，,"Siám --ooh siám --ooh,"
,車來矣喔，,"tshia lâi --ah --ooh,"
,閃喔。,siám --ooh.
,好矣乎？,Hó --ah --honnh?
,好矣。,Hó --ah.
,來，,"Lâi,"
,細膩喔，,"sè-jī --ooh,"
,手細膩手細膩，,"tshiú sè-jī tshiú sè-jī,"
,辛苦矣，,"sin-khóo --ah,"
,辛苦辛苦，,"sin-khóo  sin-khóo,"
,囥咧就好。,khǹg --leh tō hó.
,阿母，,"A-bú,"
,我飯攏煮好矣，,"guá pn̄g lóng tsú hó --ah,"
,會當叫逐家來食矣。,ē-tàng kiò ta̍k-ke lâi tsia̍h --ah.
,好啊，,"Hó --ah,"
,逐家小歇一下喔，,"ta̍k-ke sió hioh --tsi̍t-ē --ooh,"
,先來食飯矣呢。,sing lâi tsia̍h-pn̄g --ah --neh.
,呃，,"Eh,"
,逐家食飯。,ta̍k-ke tsia̍h-pn̄g.
,來來來，,"Lâi lâi lâi,"
,辛苦矣嘿。,sin-khóo --ah --heh.
,多謝。,To-siā.
,來。,Lâi.
,阿梅仔 ，,"A-muî--á ,"
,啊哈你足gâu的，,"ah ha lí tsiok gâu --ê,"
,閣會hiáng 煮飯喔。,koh ē-hiáng tsú-pn̄g --ooh.
,我毋但會曉煮飯、煮糜，,"Guá m̄-nā ē-hiáu tsú-pn̄g, tsú muê,"
,閣會炒菜呢！,koh ē tshá-tshài --neh!
,哈哈哈。,"Ha ha ha,"
,多謝呢。,To-siā --neh.
,我有準備一寡我家己豉的梅仔，,"Guá ū tsún-pī tsi̍t-kuá guá ka-tī sīnn ê muê-á,"
,予逐家配飯。,hōo ta̍k-ke phuè pn̄g.
,好，,"Hó,"
,謝謝 。,謝謝 .
,有梅仔通好配飯矣呢。,Ū muê-á thang hó phuè pn̄g --ah --neh.
,呃，,"Eh,"
,有梅仔通好配飯。,ū muê-á thang hó phuè pn̄g.
,Uah，,"Uah,"
,阿梅 ，,"A-muî ,"
,你遮gâu乎，,"lí tsiah gâu --honnh,"
,規氣乎你予 阿滿姨仔 做新婦好無？,kui-khì --honnh lí hōo  A-buán î--á  tsò sin-pū hó --bô?
,我才無愛咧，,"Guá tsiah bô ài --leh,"
,恁後生已經娶某矣呢，,"lín hāu-senn í-king tshuā-bóo --ah --neh,"
,我才無愛做人的細姨。,guá tsiah bô ài tsò lâng ê sè-î.
,哈，,"Ha,"
,幾歲囡仔nia̋講，,"kuí huè gín-á nia̋ kóng,"
,你也知影啥物叫做細姨喔？,lí iā tsai-iánn siánn-mih kiò-tsò sè-î --ooh?
,多謝、多謝。,"To-siā, to-siā."
,阿母，,"A-bú,"
,這碗先予你。,tsit uánn sing hōo --lí.
,Mh，,"Mh,"
,你毋著愛先予 阿滿姨仔 ，,"lí m̄ tio̍h-ài sing hōo  A-buán î--á ,"
,人是來鬥相共的，,"lâng sī lâi tàu-sann-kāng --ê,"
