Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,民國四十四年，,"Bîn-kok sì-tsa̍p-sì nî,"
,看電影是一項真時行的代誌，,"khuànn tiān-iánn sī tsi̍t hāng tsin sî-kiânn ê tāi-tsì,"
,彼个時陣有 美國 片、,"hit ê sî-tsūn ū  Bí-kok  phìnn,"
,國語片、,"kok-gí phìnn,"
,廣東 片，,"kńg-tang  phìnn,"
,甚至是 廈門 片，,"sīm-tsì sī  Ē-mn̂g  phìnn,"
,猶毋過就是無咱 臺灣 家己拍的臺語片，,"iah-m̄-koh tō sī bô lán  Tâi-uân  ka-kī phah ê Tâi-gí phìnn,"
,總算有一工，,"tsóng sǹg ū tsi̍t kang,"
,拱樂社 準備欲拍 臺灣 頭一齣正港的臺語電影，,"Kióng-lo̍k-siā  tsún-pī beh phah  Tâi-uân  thâu tsi̍t tshut tsiànn-káng ê Tâi-gí tiān-iánn,"
,「 王寶釧 與 薛平貴 」，,"“ Ông Pó-tshuan  í  Sih Pîng-kuì ”,"
,這是關係著咱 臺灣 電影未來發展的出路，,"tse sī kuan-hē-tio̍h lán  Tâi-uân  tiān-iánn bī-lâi huat-tián ê tshut-lōo,"
,猶毋過有人為著個人的利益，,"iah-m̄-koh ū lâng uī-tio̍h kò-lîn ê lī-ik,"
,放風聲欲來相爭。,pàng hong-siann beh lâi sio-tsinn.
,我，,"Guá,"
,阿不拉 ，,"A-put-lah ,"
,絕對袂用得激恬恬。,tsua̍t-tuì bē-īng-eh kik tiām-tiām.
,你佮 拱樂社 有啥物關係？,Lí kah  Kióng-lo̍k-siā  ū siánn-mih kuan-hē?
,無任何的關係。,Bô līm-hô ê kuan-hē.
,たろう 是地方的角頭，,"Tha2-loo3  sī tē-hng ê kak-thâu,"
,伊的手頭有真濟 廈門 片，,"i ê tshiú-thâu ū tsin tsē  Ē-mn̂g  phìnn,"
,所以想欲阻止臺語片的發展，,"sóo-í siūnn-beh tsóo-tsí Tâi-gí phìnn ê huat-tián,"
,我只是一个小戲院的頭家，,"guá tsí-sī tsi̍t ê sió hì-īnn ê thâu-ke,"
,猶毋過 臺灣 電影是我的性命，,"iah-m̄-koh  Tâi-uân  tiān-iánn sī guá ê sènn-miā,"
,無論按怎我永遠攏袂放棄。,bô-lūn án-tsuánn guá íng-uán lóng bē hòng-khì.
,阿猴 。,A-kâu .
,たろう 桑，,"たろう  --sáng,"
,請你手勢攑予懸，,"tshiánn lí tshiú-sè gia̍h hōo kuân,"
,遮的錢就是你的。,tsia-ê tsînn tō sī lí ê.
,若是欲愛我莫插這層代誌，,"Nā sī beh ài guá mài tshap tsit tsân tāi-tsì,"
,除了你講一个理由予我聽會落去。,tî-liáu lí kóng tsi̍t ê lí-iû hōo guá thiann ē lo̍h-khì.
,天下人管天下事，,"Thian-hā lîn kuán thian-hā sū,"
,我是 臺灣人 ，,"guá sī  Tâi-uân-lâng ,"
,無可能無管 臺灣 的電影事，,"bô khó-lîng bô kuán  Tâi-uân  ê tiān-iánn sū,"
,拱樂社 的「 薛平貴 佮 王寶釧 」若是閣拍袂成，,"Kióng-lo̍k-siā  ê “ Sih Pîng-kuì  kah  Ông Pó-tshuan ” nā-sī koh phah bē sîng,"
,以後無人敢拍臺語片矣，,"í-āu bô lâng kánn phah Tâi-gí phìnn --ah,"
,這支片仔是臺語片的希望，,"tsit ki phìnn--á sī Tâi-gí phìnn ê hi-bāng,"
,臺灣人 的寄託，,"Tâi-uân-lâng  ê kià-thok,"
,我不准任何人來阻擋。,guá put-tsún līm-hô lâng lâi tsóo-tòng.
,腳數好，,"Kioh-siàu hó,"
,無跋一寡輸贏是袂使得。,bô pua̍h tsi̍t-kuá su-iânn sī bē-sái-lit.
,好，,"Hó,"
,欲按怎我攏奉陪。,beh án-nuá guá lóng hōng-puê.
,你無夠格通好佮我跋，,"Lí bô kàu-keh thang hó kah guá pua̍h,"
,你去佮彼个 ちん 桑，,"lí khì kah hit ê  ちん  --sáng,"
,看恁欲按怎輸贏，,"khuànn lín beh án-nuá su-iânn,"
,只要你若跋會贏，,"tsí-iàu lí nā pua̍h ē iânn,"
,面子就做予你。,bīn-tsú tō tsuè hōo lí.
,我 阿不拉 會用得輸，,"Guá  A-put-lah  ē-īng-eh su,"
,猶毋過 臺灣 電影的未來袂用得輸，,"iah-m̄-koh  Tâi-uân  tiān-iánn ê bī-lâi bē-īng-eh su,"
,這改我一定愛贏。,tsit kái guá it-tīng ài iânn.
,好消息，,"hó siau-sit,"
,臺灣 第一支大支的電影，,"Tâi-uân  tē-it ki tuā ki ê tiān-iánn,"
,「 王寶釧 、 薛平貴 」，,"“ Ông Pó-tshuan ,  Sih Pîng-kuì ”,"
,臺灣 第一支大支的電影、,"Tâi-uân  tē-it ki tuā ki ê tiān-iánn,"
,臺灣 第一支大支的電影，,"Tâi-uân  tē-it ki tuā ki ê tiān-iánn,"
,「 王寶釧 、 薛平貴 」。,"“ Ông Pó-tshuan ,  Sih Pîng-kuì .”"
,啊來來來來，,"Ah lâi lâi lâi lâi,"
,閣五分鐘著欲踩街矣唅，,"Koh gōo hun-tsing to̍h beh tshái-ke --ah --hannh,"
,妝好的人緊上車，,"tsng hó --ê lâng kín tsiūnn-tshia,"
,猶未好的跤手較緊咧。,iah-bē hó --ê  kha-tshiú khah kín --eh.
,咧喝矣，,"Leh huah --ah,"
,有聽著乎！,ū thiann--tio̍h --honnh!
,來來！,Lâi lâi!
,彼頭家佮頭家娘乎，,"He thâu-ke kah thâu-ke-niû --honnh,"
,這馬是咧搬佗一齣啊，,"tsit-má sī leh puann tó tsı̍t tshut --ah,"
,哪會妝甲按呢？,ná ē tsng kah án-ne?
,你真正古井水雞呢，,"Lí tsin-tsiànn kóo-tsénn tsuí-ke --neh,"
,彼 白瑞德 佮 郝思嘉 啦！,he  白瑞德  kah  郝思嘉  --lah!
,亂世佳人 。,亂世佳人 .
,謼，,"Hooh,"
,你講彼支大支片喔?,lí kóng hit ki tuā ki phìnn --ooh?
,著啦！,Tio̍h--lah!
,喔「 王寶釧 、 薛平貴 」來囉，,"Ooh“ Ông Pó-tshuan ,  Sih Pîng-kuì ” lâi --looh,"
,這 臺灣 頭一齣、,"tse  Tâi-uân  thâu tsi̍t tshut,"
,世界第一等，,"sè-kài tē-it tíng,"
,頭一支大支的電影，,"thâu tsi̍t ki tuā ki ê tiān-iánn,"
,「 王寶釧 、 薛平貴 」來囉，,"“ Ông Pó-tshuan ,  Sih Pîng-kuì ” lâi --looh,"
,這 臺灣 頭一齣、,"tse  Tâi-uân  thâu tsi̍t tshut,"
,世界第一等，,"sè-kài tē-it tíng,"
,欲佇咱 國際 大戲院隆重獻映喔，,"beh tī lán  Kok-tsè  tuā hì-īnn liông-tiōng hiàn-ìng --ooh,"
,耗資數十萬、,"hònn tsu sòo tsa̍p bān,"
,這動員數千人。,tse tōng-uân sòo tshing lâng.
,謼，,"Hooh,"
,阿不拉 這个毋成囝敢若足厲害的唅，,"A-put-lah  tsit ê m̄-tsiânn-kiánn kánn-ná tsiok lī-hāi --ê --hannh,"
,場面排甲遮爾鬧熱，,"tiûnn-bīn pâi kah tsiah-nī nāu-jia̍t,"
,唉，,"haih,"
,這个 茂林仔 乎逐工干焦穿甲pha-li-pha-li，,"tsit ê  Bōo-lîm--á  --honnh ta̍k kang kan-na tshīng kah pha-li-pha-li,"
,嘛毋知影咧變啥魍啦。,mā m̄ tsai-iánn leh pìnn sánn báng --lah.
,這个 阿不拉 喔實在有夠厚面神的，,"Tsi ê  A-put-lah  --ooh sı̍t-tsāi ū-kàu kāu-bīn-sîn --ê,"
,拱樂社 無法度來，,"Kióng-lo̍k-siā  bô-huat-tōo lâi,"
,伊竟然叫 金鳳社 的人喔妝妝咧就去踩街，,"i kìng-liân kiò  Kim-hōng-siā  ê lâng --ooh tsng-tsng--eh tō khì tshái-ke,"
,紲落來喔家己妝做 白瑞德 、,"suà--lo̍h-lâi --ooh ka-kī tsng-tsuè  白瑞德 ,"
,月鳳仔 妝做 郝思嘉 ，,"Gua̍t-hōng--á  tsng-tsuè  郝思嘉 ,"
,啊這馬是咧演 王寶釧 佮 薛平貴 ，,"ah tsit-má sī leh ián  Ông Pó-tshuan  kah  Sih Pîng-kuì ,"
,抑是 亂世佳人 ，,"a̍h sī  亂世佳人 ,"
,有影是咧變猴弄啦。,ū-iánn sī leh pìnn-kâu-lāng --lah.
,你敢真正有咧要緊伊咧妝啥，,"Lí kám tsin-tsiànn ū leh iàu-kín i leh tsng siánn,"
,我看乎，,"guá khuànn --honnh,"
,你就是無想欲看著 月鳳 徛佇咧伊的身邊。,lí tō sī bô siūnn-beh khuànn-tio̍h  Gua̍t-hōng  khiā tī-leh i ê sin-pinn.
,阿爸你是講去tueh 啦，,"A-pah lí sī kóng khì tueh --lah,"
,我是看袂慣勢 阿不拉 彼種喔食果子毋知拜樹頭的個性啦，,"Guá sī khuànn buē kuàn-sì  A-put-lah  hit tsióng --ooh tsia̍h kué-tsí m̄ tsai pài tshiū-thâu ê kò-sìng --lah,"
,啊規陣按呢 ping-ping-piàng-piàng 吵死人矣啦，,"ah kui-tīn án-ne  ping-ping-piàng-piàng  tshá-sí lâng --ah --lah,"
,閣刁工對咱 大東 戲院經過。,koh tiau-kang uì lán  Tāi-tong  hì-īnn king-kuè.
,這就是你綴伊袂著的所在，,"Tse tiō sī lí tuè i buē tio̍h ê sóo-tsāi,"
,伊知影欲按怎來宣傳家己的電影，,"i tsai-iánn beh án-nuá lâi suan-thuân ka-tī ê tiān-iánn,"
,干焦看踩街，,"Kan-na khuànn tshái-ke,"
,按呢鬧熱滾滾、,"án-ne lāu-jia̍t-kún-kún,"
,人插插插，,"lâng tshah-tshah-tshah,"
,就知影這支電影一定成功的。,tō tsai-iánn tsit ki tiān-iánn it-tīng sîng-kong --ê.
,成功？,Sîng-kong?
,閣真歹講咧，,"Koh tsin pháinn-kóng --leh,"
,伊的 國際 戲院是共咱租的呢，,"i ê  Kok-tsè  hì-īnn sī kā lán tsoo --ê --neh,"
