Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,每一个少年人期待著自由，,"Muí tsi̍t ê siàu-liân-lâng kî-thāi tio̍h tsū-iû,"
,未來人人交著真情動友，,"bī-lâi lâng-lâng kau-tio̍h tsin-tsîng tāng iú,"
,為著怎樣咧？,uī-tio̍h tsuánn-iūnn --leh?
,為著怎樣咧？,Uī-tio̍h tsuánn-iūnn --leh?
,為著怎樣毋知人的心肝，,"Uī-tio̍h tsuánn-iūnn m̄ tsai lâng ê sim-kuann,"
,人的心肝，,"lâng ê sim-kuann,"
,無論如何你我已經一對好情伴，,"bô-lūn lû-hô lí guá í-king tsi̍t tuì hó tsîng-phuānn,"
,你這个好哥哥，,"lí tsit ê hó ko--koh,"
,hi   hi ！,hi   hi !
,今來去𨑨迌，,"Kim lâi khì thit-thô,"
,嘿嘿！,heh heh!
,見見人就散，,"Kiàn kìnn lâng tō suànn,"
,hi   hi ！,hi   hi !
,毋通真早散，,"M̄-thang tsin tsá suànn,"
,嘿嘿！,heh heh!
,按呢我勉強自由自在來消遙，,"Án-ni guá bián-kióng tsū-iû-tsū-tsāi lâi siau-iâu,"
,按呢我通得自由自在來消遙，,"án-ni guá thang-tit tsū-iû-tsū-tsāi lâi siau-iâu,"
,每一个少年人需要著愛情，,"Muí tsi̍t ê siàu-liân-lâng su-iàu tio̍h ài-tsîng,"
,你老的生來猶原真分明，,"lí lāu--ê sinn lâi iu-guân tsin hun-bîng,"
,為著怎樣咧？,uī-tio̍h tsuánn-iūnn --leh?
,為著怎樣咧？,Uī-tio̍h tsuánn-iūnn --leh?
,為著怎樣咧欲來對咱阻礙？,Uī-tio̍h tsuánn-iūnn --leh beh lâi tuì lán tsóo-gāi?
,對咱阻礙，,"Tuì lán tsóo-gāi,"
,無論如何你我應該配合著時代，,"bô-lūn lû-hô lí guá ìng-kai phè-ha̍p tio̍h sî-tāi,"
,你這个好妹妹，,"lí tsit ê hó muē-muē,"
,今來講情話，,"Kim lâi kóng tsîng-uē,"
,嘿嘿！,heh heh!
,若有啥問題，,"Nā ū siánn būn-tê,"
,快樂開心花，,"Khuài-lo̍k khui sim hue,"
,嘿嘿！,heh heh!
,你我當青春糖甘蜜甜來過日，,"lí guá tng tshing-tshun thn̂g-kam-bi̍t-tinn lâi kè-ji̍t,"
,啊啊啊啊，,"Ah ah ah ah,"
,死囡仔，,"sí-gín-á,"
,叫米叫甲這馬猶未轉來，,"kiò bí kiò kah tsit-má á-bē tńg--lâi,"
,嘿！,heh!
,死囡仔，,"Sí-gín-á,"
,足袂差教的，,"tsiok buē tshe-kà --ê,"
,哎喲，,"ai-iō,"
,喔。,ooh.
,你目睭吐癗是毋？,Lí ba̍k-tsiu thóo luî sī --m̄?
,你無看我欲摒糞埽毋？,Lí bô khuànn guá beh piànn pùn-sò --m̄?
,啊！,Ah!
,你罵我吐癗，,"Lí mā guá thóo luî,"
,是你挵著我的呢！,sī lí lòng-tio̍h guá --ê --neh!
,你挵著我的啦！,Lí lòng--tio̍h --guá --ê --lah!
,甲哪我共你挵著？,Kah ná guá kā lí lòng--tio̍h?
,無愛插你。,Bô ài tshap --lí.
,我予你挵lueh 啦！,Guá hōo lí lòng --lueh --lah!
,無愛插你啦！,Bô ài tshap --lí --lah!
,哼！,Hngh!
,喂喂喂啊你門跤口毋免來共我掃掃咧，,"Eh eh eh ah lí mn̂g-kha-kháu m̄-bián lâi kā guá sàu-sàu--leh,"
,按呢會用得是毋？,án-ne ē-īng-eh sī --m̄?
,失禮乎，,"Sit-lé --honnh,"
,予你等真久，,"hōo lí tán tsin kú,"
,你咧受氣是毋？,lí leh siū-khì sī --m̄？
,Mh？,Mh?
,這陣幾點矣？,Tsit-tsūn kuí tiám --ah?
,欸、mh、啊就阮爸爸毋予我出來，,"Eh, mh, ah tō gún pá-pah m̄ hōo guá tshut--lâi,"
,拄才叫我去叫米，,"tú-tsiah kiò guá khì kiò bí,"
,我才偷走出來呢。,guá tsiah thau tsáu --tshut-lâi --neh.
,我也毋是siāng款，,"Guá ā m̄ sī siāng-khuán,"
,阮媽叫我去買菜，,"gún má kiò guá khì bué tshài,"
,我對遮先來的呢。,guá tuì tsia sing lâi --ê --neh.
,Mh、mh。,"Mh, mh."
,行喔！,Kiânn --ooh!
,我米猶未去叫咧。,Guá bí á-bē khì kiò --leh.
,欸，,"Eh,"
,煞袂用得去食麵店仔。,suah bē-īng-eh khì tsia̍h mī-tiàm-á.
,喔mh，,"Ooh mh,"
,啊你菜嘛猶未買轉去。,ah lí tshài mā á-bē bé --tńg-khì.
,免管啦！,Bián kuán --lah!
,愛情比食較好嘛。,Ài-tsîng pí tsia̍h khah hó --mah.
,行喔！,Kiânn --ooh!
,行啦！,Kiânn --lah!
,我先來的呢！,Guá sing lâi --ê --neh!
,人我六點外就來矣呢！,Lâng guá la̍k tiám guā tō lâi --ah --neh!
,喂，,"Eh,"
,逐家照排的嘛，,"ta̍k-ke tsiàu pâi --ê --mah,"
,毋通冤家啦！,m̄-thang uan-ke --lah!
,排就排嘛。,Pâi tiō pâi --mah.
,莫kheh 啦，,"Mài kheh --lah,"
,排隊啦，,"pâi-tuī --lah,"
,恁毋通徛咧遮啦。,lín m̄-thang khiā leh tsia --lah.
,囉死，,"Lō --sí,"
,來，,"lâi,"
,予我看一下，,"hōo guá khuànn --tsi̍t-ē,"
,笑一下啦，,"tshiò --tsi̍t-ē --lah,"
,啊，,"ah,"
,這張批共我挈去。,tsit tiunn phue kā guá khe̍h--khì.
,阮是高中畢業的，,"Gún sī ko-tiong pit-gia̍p --ê,"
,爸母早死誠然自由啦。,pē-bú tsá sí sîng-jiân tsū-iû --lah.
,喂，,"Eh,"
,人我高三畢業的，,"lâng guá ko-sann pit-gia̍p --ê,"
,英語專業讀二年，,"Ing-gí tsuan-gia̍p tha̍k jī nî,"
,三年前死翁，,"sann nî tsîng sí ang,"
,現在獨身的呢。,hiān-tsāi to̍k-sin --ê --neh.
,獨身就去注 Penicillin 啦，,"To̍k-sin tō khì tsù  Penicillin  --lah,"
,獨身咧，,"to̍k-sin --leh,"
,哼！,hngh!
,遐爾嬈，,"Hiah-nī hiâu,"
,啊欲死矣。,ah beh sí --ah.
,莫按呢啦，,"Mài án-ne --lah,"
,批共我挈去看啦、人我獨身啦，,"phue kā guá khe̍h khì khuànn --lah, lâng guá to̍k-sin --lah,"
,人我新來的講，,"lâng guá sin lâi --ê --kóng,"
,看一下啦，,"khuànn --tsi̍t-ē --lah,"
,莫按呢啦，,"mài án-ne --lah,"
,我的先看啦。,guá ê sing khuànn --lah.
,啊！,Ah!
,嘿嘿，,"Heh heh,"
,閣共恁爸踮咧講，,"koh kā lín-pē tiàm --leh --kóng,"
,痟貓。,siáu-niau.
,看啥物！,Khuànn siánn-mih!
,入去，,"Li̍p-khì,"
,行！,kiânn!
,共你講若欲看書就踮咧後房啦，,"Kā lí kóng nā beh khuànn tsu tō tiàm leh āu-pâng --lah,"
,啊你刁工才共我走出去外口彼間，,"ah lí thiau-kang tsiah kā guá tsáu tshut-khì guā-kháu hit king,"
,啊這唌唌一寡痟貓規大堆啦。,ah tse siânn-siânn tsi̍t-kuá siáu-niau kui-tuā-tui --lah.
,啊無怎樣矣啦？,Ah bô tsánn-iūnn --ah --lah?
,喔喔，,"Ooh ooh,"
,曷堪得予你怎樣矣，,"a̍h kham-eh hōo lí tsánn-iūnn --ah,"
,喂，,"eh,"
,你是番仔火枝呢，,"lí sī huan-á-hé-ki --neh,"
,啊彼查某囡仔是汽油呢，,"ah he tsa-bóo gín-á sī khì-iû --neh,"
,啊番仔火枝佮汽油是袂用得做伙的，,"ah huan-á-hé-ki kah khì-iû sī buē-īng-eh tsuè-hé --ê,"
,若做伙是會爆炸喔！,nā tsuè-hé sī ē po̍k-tsà --ooh!
,哼，,"Hngh,"
,啊你若拄好予勾去，,"ah lí nā tú-hó hōo kau --khì,"
,是欲叫恁爸怎樣啦？,sī beh kiò lín-pē tsánn-iūnn --lah?
,入去！,Li̍p-khì!
,喔，,"Ooh,"
,自你予我做囝乎，,"tsū lí hōo guá tsuè kiánn --honnh,"
,今仔日予恁爸拍上忝，,"kin-á-li̍t hōo lín-pē phah siōng thiám,"
,入去！,li̍p-khì!
,哼。,Hngh.
,啊這个門無煞共關咧，,"Ah tsit ê mn̂g bô suah kā kuinn --eh,"
,毋拄好共恁爸挵入來。,m̄ tú-hó kā lín-pē lòng --li̍p-lâi.
,喂喂，,"Eh eh,"
,你是欲去佗位？,lí sī beh khì tó-uī?
,啊，,"Ah,"
,嘿嘿嘿，,"heh heh heh,"
,媽，,"má,"
,欸欲來洗頭鬃啦。,eh beh lâi sé thâu-tsang --lah.
,我予你袂騙咧，,"Guá hōo lí buē phiàn --eh,"
,你一定是欲去揣彼隻痟狗乎，,"lí it-tīng sī beh khìr tshē hit tsiah siáu-káu --honnh,"
,亂來兩字毋免講！,luān-lâi nn̄g jī m̄-bián kóng!
,著愛爸母主婚，,"To̍h-ài pē-bú tsú-hun,"
,愛就有人格的人介紹，,"ài tō ū lîn-keh ê lâng kài-siāu,"
,對方查埔曷毋知熊抑虎，,"tuì-hong ta-poo a̍h m̄ tsai hîm ah hóo,"
,亂亂交。,luān luān kau.
,媽，,"Má,"
,人這是區公所的 盧 先生介紹的，,"lâng tse sī khu-kong-sóo ê  Lôo  --sian-sinn kài-siāu --ê,"
,人偌斯文咧，,"lâng guā su-bûn --leh,"
,內才也好，,"lāi-tsâi iā hó,"
,啊外才乎偌好咧，,"ah guā-tsâi --honnh guā hó --leh,"
,媽媽，,"má-mah,"
,你若看著乎你一定會佮意。,lí nā khuànn--tio̍h --honnh lí it-tīng ē kah-ì.
,亂亂講，,"Luān luān kóng,"
,袂見笑，,"bē-kiàn-siàu,"
,入去！,li̍p-khìr!
,Mh。,Mh.
,死！,Sí!
,我是欠你死人債毋？,Guá sī khiàm lí sí-lâng-tsè --m̄?
,別人毋去挵，,"Pa̍t-lâng m̄ khì lòng,"
,啊干焦欲來挵我，,"ah kan-na beh lâi lòng --guá,"
,唅？,hannh?
,第五 擺矣呢，,"Tē-gōo  pái --ah --nih,"
,啊你哪會別位仔毋行，,"ah lí ná ē pa̍t-uī-á m̄ kiânn,"
,偏偏仔欲行我遮？,phian-phian-á beh kiânn guá tsia?
,路是公家的，,"Lōo sī kong-ka --ê,"
,我怎樣袂用得行咧？,guá tsánn-iūnn bē-īng-eh kiânn --leh?
,喂，,"Eh,"
,啊這是我的門跤口呢！,ah tse sī guá ê mn̂g-kha-kháu --neh!
,毋免加講話啦，,"M̄-bián ke kóng-uē --lah,"
,麵粉賠來。,mī-hún puê --lâi.
,嘿嘿，,"Heh heh,"
,洗衫仔錢共我提來。,sé-sann-á tsînn kā guá the̍h --lâi.
,痟狗，,"Siáu-káu,"
,無愛插你。,bô ài tshap --lí.
,哼，,"Hngh,"
,毋成貓，,"m̄-tsiânn-niau,"
,哼，,"hngh,"
,啊。,ah.
,阿伯啊，,"A-peh --ah,"
,緣投仔先有佇咧無？,iân-tâu-á-sian ū tī --eh --bô?
,嘿嘿，,"Heh heh,"
,有啦！,ū --lah!
,喂恁遮痟貓啊，,"Eh lín tsia siáu-niau --ah,"
,恁若食恁爸這支飽才共我恬去。,lín nā tsia̍h lín-pē tsit ki pá tsiah kā guá tiām--khì.
,這是大路，,"Tse sī tuā-lōo,"
,你共阮拍怎樣？,lí kā gún phah tsuánn-iūnn?
,拍恁偷看阮厝內面啦。,Phah lín thau khuànn gún tshù lāi-bīn --lah.
,哼，,"Hngh,"
,你若驚人看乎，,"lí nā kiann lâng khuànn --honnh,"
,袂曉攏圍圍起來。,bē-hiáu lóng uî-uî --khí-lâi.
,石頭狗！,Tsio̍h-thâu káu!
,石頭狗？,Tsio̍h-thâu káu?
,欸，,"Eh,"
,啊你才共我改名啦？,ah lí tsiah kā guá kái-miâ --lah?
,啊恁爸叫做 石  阿狗 啦！,Ah lín-pē kiò-tsuè  Tsio̍h   A-káu  --lah!
,干焦石頭狗啦！,Kan-na tsio̍h-thâu káu --lah!
,又閣石頭狗，,"Iū-koh tsio̍h-thâu káu,"
,啊好，,"ah hó,"
,哎喲，,"ai-iō,"
,嘿嘿莫走啦！,heh heh mài tsáu --lah!
,好，,"Hó,"
,恁爸絕對欲共圍圍起來，,"lín-pē tsua̍t-tuì beh kā uî-uî --khí-lâi,"
,哼，,"hngh,"
,哼哼！,hngh hngh!
,開門喔！,Khui-mn̂g --ooh!
,開門喔！,Khui-mn̂g --ooh!
,開、哪會無關啊？,"Khui, ná ē bô kuinn --ah?"
,有人佇咧無？,Ū lâng tī--leh --bô?
,有人佇咧無啊？,Ū lâng tī--leh --bô --ah?
,我來矣啦。,Guá lâi --ah --lah.
,啊你哪會到這馬才來啦？,Ah lí ná ē kàu tsit-má tsiah lâi --lah?
,啊你昨昏就叫我去買一寡料，,"Ah lí tsa-hng tiō kiò guá khì bé tsi̍t-kuá liāu,"
,我去吩咐啦。,guá khì huan-hù --lah.
,喔。,Ooh.
,今欲修理佗位啊？,Tann beh siu-lí tó-uī --ah?
,啊你綴我來。,Ah lí tè guá lâi.
,乎乎乎。,Honnh honnh honnh.
,喂你遮的窗仔門乎攏共釘釘起來。,Eh lí tsia-ê thang-á-mn̂g --honnh lóng kā tìng-tìng --khí-lâi.
,喔、喔。,"Ooh, ooh."
,啊這个大門乎閣共釘較懸咧。,Ah tsit ê tuā-mn̂g --honnh koh kā tìng khah kuân --leh.
,喔、喔、喔。,"Ooh, ooh, ooh."
,欸，,"Eh,"
,啊遮攏共釘釘起來。,ah tsia lóng kā tìng-tìng --khí-lâi.
,啊人講無窗仔門較濟較通風，,"Ah lâng kóng bô thang-á-mn̂g khah tsuē khah thang-hong,"
,啊你全部攏共釘起來，,"ah lí tsuân-pōo lóng kā tìng --khí-lâi,"
,欲對佗出入？,beh tuì tó tshut-li̍p?
,啊若毋拄好，,"Ah nā m̄-tú-hó,"
,彼彼。,he he.
,彼啥物？,He siánn-mih?
,彼彼，,"He he,"
,彼就當咧燒螺。,he tiō tng-teh sio lê.
,燒你去死啦！,Sio lí khì sí --lah!
,你毋知啦，,"Lí m̄ tsai --lah,"
,這馬一寡當夠水的遐的痟貓乎，,"tsit-má tsi̍t-kuá tng kàu-tsuí ê hia-ê siáu-niau --honnh,"
,in欲來勾阮後的啦，,"in beh lâi kau gún hāu--ê --lah,"
,啊我遮的若無攏共釘釘起來袂用得啦。,ah guá tsia-ê nā-bô lóng kā tìng-tìng --khí-lâi buē-īng-eh --lah.
,哇！,Uah!
,少年的人氣敢遐喎？,Siàu-liân ê jîn-khì kám hiah ua?
,嘿你毋知囉，,"Heh lí m̄ tsai --looh,"
,有其父必有其子。,iú kî hū pit iú kî tsú.
,有影、有影、有影。,"Ū-iánn, ū-iánn, ū-iánn."
,啥物才好爾爾，,"Siánn-mih tsiah hó niā-niā,"
,阮後的乎若欲予對 臺北 車頭,guán hāu--ê --honnh nā beh hōo uì  Tâi-pak  tshia-thâu
,行到 大橋頭 乎，,"kiânn kàu  Tuā-kiô-thâu  --honnh,"
,彼後面查某囡仔上少綴欲 八 、 九十 个啦。,"he āu-bīn  tsa-bóo gín-á siōng tsió tè beh  pueh ,  káu-tsa̍p  ê --lah."
,喔。,Ooh.
,嘿，,"Heh,"
,啊若欲予伊行到 北投 乎，,"ah nā beh hōo i kiânn kàu  Pak-tâu  --honnh,"
,彼就毋是按呢講。,he tō m̄ sī án-ne kóng.
,若按呢伊後壁行的查某敢一定咧愛恁少爺？,Nā án-ne i āu-piah kiânn ê tsa-bóo kám it-tīng leh ài lín siàu-iâ?
,嘿著nooh！,Hennh tio̍h --nooh!
,阮後生乎有一種吸引查某囡仔的魅力佇咧啦，,"Gún hāu-sinn --honnh ū tsi̍t tsióng khip-ín tsa-bóo gín-á ê bī-li̍k tī--eh --lah,"
,啊若見面乎毋免講話啊一聲就去煞著。,ah nā kìnn-bīn --honnh m̄-bián kóng-uē ah tsi̍t-siann tō khì sannh--tio̍h.
,Mh，,"Mh,"
,敢有影這號代誌？,kám ū-iánn tsit lō tāi-tsì?
,Mh，,"Mh,"
,若無講你毋知啦，,"nā-bô kóng lí m̄ tsai --lah,"
,阮後的自出世乎就著女難。,gún hāu--ê tsū tshut-sì --honnh tō tio̍h lú-lān.
,欸、欸啥物叫做女難啊？,"Eh, eh siánn-mih kiò-tsò lú-lān --ah?"
,阮老的生伊 四 個月啊就過身去矣，,"Gún lāu--ê sinn i  sì  kò gue̍h ah tō kè-sin --khì --ah,"
,啊我一暗乎按呢共搖、搖甲天光乎，,"ah guá tsi̍t àm --honnh án-ne kā iô, iô kah thinn-kng --honnh,"
,搖袂恬，,"iô buē tiām,"
,啊若見著查某囡仔的手乎，,"ah nā kìnn-tio̍h tsa-bóo gín-á ê tshiú --honnh,"
,一聲就恬，,"tsi̍t-siann tō tiām,"
,這就叫做著女難啦。,tse tō kiò-tsuè tio̍h lú-lān --lah.
,總講一句，,"Tsóng-kóng tsi̍t kù,"
,有查某囡仔緣就著啦！,ū tsa-bóo gín-á-iân tō tio̍h --lah!
,嘿嘿嘿，,"Heh heh heh,"
,敢若我咧。,kánn-ná guá --leh.
,敢有影按呢？,Kám ū-iánn án-ni?
,Mh，,"Mh,"
,阮後的乎，,"gún hāu--ê --honnh,"
,是敢若吸石咧，,"sī kánn-ná khip-tsio̍h --eh,"
,啊查某囡仔是敢若歹銅管仔咧，,"ah tsa-bóo gín-á sī kánn-ná pháinn-tâng-kóng-á --leh,"
,啊離開 六 尺遠喔，,"ah lī-khui  la̍k  tshioh hn̄g --ooh,"
,毋免講話，,"m̄-bián kóng-uē,"
,啊就按呢 khi-li-khong-long 、 khi-li-khong-long ，,"ah tō án-ne  khi-li-khong-long ,  khi-li-khong-long ,"
,khiang ！,khiang !
,石就吸倚來。,Tsio̍h tō khip-uá --lâi.
,爸喔！,Pâ --ooh!
,喂喂喂，這隻貓母是彼 四 斤烏糖共人換來的呢，,"Eh eh eh, tsit tsiah niau-bú sī hit  sì  kun oo-thn̂g kā lâng uānn --lâi --ê --neh,"
,無你是欲共摔予死是毋？,bô lí sī beh kā siak hōo sí sī --m̄?
,我咧後壁房看書，,"Guá leh āu-piah-pâng khuànn tsu,"
,對喙䫌一直共你舐落，,"tuì tshuì-phé it-ti̍t kā lí tsīnn --lo̍h,"
,唉。,haih.
,嘿嘿嘿，,"Heh heh heh,"
,你有聽咧無，,"lí ū thiann --leh --bô,"
,毋是干焦人喔，,"m̄ sī kan-na lâng --ooh,"
,連這隻貓母乎就會去煞著伊喔，,"liân tsit tsiah niau-bú --honnh tō ē khì sannh--tio̍h i--ooh ,"
,嘿嘿。,heh heh.
,欸，,"Eh,"
,我毋相信啥物叫做女難喔、魅力喔。,"guá m̄ siong-sìn siánn-mih kiò-tsò lú-lān --ooh, bī-li̍k --ooh."
,喂喂喂喂你若毋相信乎，,"Eh eh eh eh lí nā m̄ siong-sìn --honnh,"
,叫恁牽手的來共伊試看覓咧。,kiò lín khan-tshiú--ê lâi kā i tshì --khuànn-māi --leh.
,噓！,Si!
,阮牽手 四 个囡仔矣，,"Gún khan-tshiú  sì  ê gín-á --ah,"
,哪會去愛彼號少年的？,ná ē khì ài hit lō siàu-liân--ê?
,嘿嘿嘿嘿。,Heh heh heh heh.
,木師的啊，,"Ba̍k-sai--ê --ah,"
,有翁有囝綴人走的乎是誠濟喔！,ū ang ū kiánn tè-lâng-tsáu --ê --honnh sī tsiânn tsuē --ooh!
,阿木啊，,"A-bo̍k --ah,"
,你的便當啦！,lí ê piān-tong --lah!
,喂 阿狗 伯仔。,Eh  A-káu  peh-á.
,今你是？,Tann lí sī?
,啊，,"Ah,"
,啊就較早蹛佇恁隔壁彼个 菊花仔 啦。,ah tō khah-tsá tuà tī lín keh-piah hit ê  Kiok-hue--á  --lah.
,喔，,"Ooh,"
,就是 阿花仔 喔！,tō sī  A-hue--á  --ooh!
,哈哈哈哈、嘿嘿嘿嘿！,"Hah hah hah hah,  heh heh heh heh."
,啊 阿狗 姆仔咧？,Ah  A-káu  ḿ--á --leh?
,早就死去矣，,"Tsá tō sí--khì --ah,"
,唉！,haih!
