Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,用 族語 寫公文,Īng  tso̍k-gí  siá kong-bûn
,蔡英文 ：,Tshuà Ing-bûn :
,原住民轉型正義伐大步,guân-tsū-bîn tsuán-hîng tsìng-gī hua̍h tuā pōo
,是按怎欲揀這篇：,Sī án-tsuánn beh kíng tsit phinn:
,今仔日是 原住民日 ，,"kin-á-ji̍t sī  guân-tsū-bîn-ji̍t ,"
,紀念 原住民族 正名，,"kì-liām  guân-tsū-bîn-tso̍k  tsiànn-miâ,"
,無閣用有歧視意思的稱呼。,bô koh īng ū kî-sī ì-sù ê tshing-hoo.
,到今，,"Kàu-tann,"
,原住民會當使用家己的母語寫公文，,"guân-tsū-bîn ē-tàng sú-iōng ka-kī ê bú-gí siá kong-bûn,"
,確實是轉型正義閣再伐一大步。,khak-si̍t sī tsuán-hîng tsìng-gī koh-tsài hua̍h tsi̍t tuā pōo.
,多元文化欲受人肯定，,"To-guân bûn-huà beh siū lâng khíng-tīng,"
,語言佇公領域的呈現是真重要的開始。,gí-giân tī kong líng-hi̍k ê thîng-hiān sī tsin tiōng-iàu ê khai-sí.
,這馬是原住民 族語 ，,"Tsit-má sī guân-tsū-bîn  tso̍k-gí ,"
,向望未來 客語 、 臺語 攏有機會。,"ǹg-bāng bī-lâi  Kheh-gí ,  Tâi-gí  lóng ū ki-huē."
,從 屏東  縣長  潘孟安  7 月 18,Tsîng  Pîn-tong   kuān-tiúnn   Phuann Bīng-an   7  gue̍h  18
,家己批改第一份 Rukai （『 魯凱 』）語公文了，,"ka-kī phue-kái tē-it hūn  Rukai  (‘ 魯凱 ’) gí kong-bûn liáu,"
,19  蔡英文 總統佇面冊,19   Tshuà Ing-bûn  tsóng-thóng tī bīn-tsheh
,頂面分享一份 Amis,tíng-bīn hun-hióng tsi̍t hūn  Amis
,（ Pangcah ；『 阿美 』）族「全 族語 」的公文，,"( Pangcah ; ‘ 阿美 ’) tso̍k “tsuân  tso̍k-gí ” ê kong-bûn,"
,並且表示：,pīng-tshiánn piáu-sī:
,「這是這个國家的第一擺，,"“Tse sī tsit ê kok-ka ê tē-it pái,"
,嘛代表 原住民族 轉型正義伐出重要的一步。」,mā tāi-piáu  guân-tsū-bîn-tso̍k  tsuán-hîng tsìng-gī hua̍h tshut tiōng-iàu ê tsi̍t pōo.”
,屏東縣 政府發佈第一篇由,Pîn-tong-kuān  tsìng-hú huat-pòo tē-it phinn iû
