Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,Putin用對抗固權力,Putin iōng tuì-khòng kòo khuân-li̍k
,Russia總統Vladimir Putin不斷升高佮西方的對抗，,"Russia tsóng-thóng Vladimir Putin put-tuān sing-ko kah se-hong ê tuì-khòng,"
,毋過這可能失去控制，,"m̄-koh tse khó-lîng sit-khì khòng-tsè,"
,顛倒害著伊家己。,tian-tò hài-tio̍h i ka-kī.
,這是《經濟學人》週刊一篇最新文章的觀點。,Tse sī “King-tsè ha̍k-jîn” tsiu-khan tsi̍t phinn tsuè sin bûn-tsiong ê kuan-tiám.
,以下是這篇文章的摘要。,Í-hā sī tsit phinn bûn-tsiong ê tiah-iàu.
,舊年底，,"Kū-nî té,"
,西方制裁加上油價大落，,"se-hong tsè-tshâi ka-siōng iû-kè tuā lo̍h,"
,嚴重打擊Russia的經濟，,"giâm-tiōng tánn-kik Russia ê king-tsè,"
,伊的貨幣rouble對美金的匯率半年間落一半。,i ê huè-pè rouble tuì Bí-kim ê huê-lu̍t puànn-nî-kan lak tsi̍t-puànn.
,毋過這馬看來，,"M̄-koh tsit-má khuànn--lâi,"
,Russia的經濟並無像彼陣一般預測的遐爾䆀。,Russia ê king-tsè pīng bô tshiūnn hit-tsūn it-puann ī-tshik --ê hiah-nī bái.
,Rouble的價值也漸漸回升。,Rouble ê kè-ta̍t iā tsiām-tsiām huê-sing.
,對Putin來講，,"Tuì Putin lâi kóng,"
,這代表伊強硬對抗美國佮歐洲，,"tse tāi-piáu i kiông-ngē tuì-khòng Bí-kok kah Au-tsiu,"
,得著勝利。,tit--tio̍h sìng-lī.
,照Russia官方的論點，,"Tsiàu Russia kuann-hong ê lūn-tiám,"
,西方當咧對Russia發動全面的攻擊。,se-hong tng-teh tuì Russia huat-tōng tsuân-bīn ê kong-kik.
,國營電視台講，,"Kok-îng tiān-sī-tâi kóng,"
,歐洲聯盟（EU）是靠重分配對前蘇聯共產集團的崩解所取得的利益，,"Au-tsiu liân-bîng (EU) sī khò tîng hun-phuè uì tsîng Soo-liân kiōng-sán tsi̍p-thuân ê pang-kái sóo tshú-tit ê lī-ik,"
,來發展起來的，,"lâi huat-tián --khí-lâi --ê,"
,毋過，,"m̄-koh,"
,來自東歐新市場的利益已經漸漸焦去，,"lâi-tsū Tang-au sin tshī-tiûnn ê lī-ik í-king tsiām-tsiām ta --khì,"
,歐洲只有繼續向東擴張，,"Au-tsiu tsí-ū kè-sio̍k hiòng tang khok-tiong,"
,佳哉Russia已經阻擋這个擴張。,ka-tsài Russia í-king tsóo-tòng tsit ê khok-tiong.
,歐盟失去新的財富來源，,"Au-bîng sit-khì sin ê tsâi-hù lâi-guân,"
,真緊就會倒。,tsin kín tō ē tó.
