Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,種族屠殺的教訓,Tsíng-tso̍k tôo-sat ê kàu-hùn
,近代歷史上發生過一場閣一場的種族屠殺，,"Kīn-tāi li̍k-sú-siōng huat-sing-kuè tsi̍t tiûnn koh tsi̍t tiûnn ê tsíng-tso̍k tôo-sat,"
,這使咱有一个閣一个的紀念日，,"tse sú lán ū tsi̍t ê koh tsi̍t ê ê kì-liām-ji̍t,"
,頂個月4月拄好特別濟。,tíng kò gue̍h 4 gue̍h tú-hó ti̍k-pia̍t tsē.
,仝時陣，,"Kāng sî-tsūn,"
,佇世界的幾若位，,"tī sè-kài ê kuí-nā uī,"
,屠殺猶是當咧進行。,tôo-sat iáu sī tng-teh tsìn-hîng.
,人類敢真正有學著教訓？,Jîn-luī kám tsin-tsiànn ū o̍h-tio̍h kàu-hùn?
,是按怎會予這種代誌繼續來發生？,Sī-án-tsuánn ē hōo tsit tsióng tāi-tsì kè-sio̍k lâi huat-sing?
,這是美國資深記者Christian Caryl所寫，,"Tse sī Bí-kok tsu-tshim kì-tsiá Christian Caryl sóo siá,"
,頂禮拜刊佇《外交政策》雜誌網站的一篇文章內底問的問題。,tíng lé-pài khan tī “Guā-kau tsìng-tshik” tsa̍p-tsì bāng-tsām ê tsi̍t phinn bûn-tsiong lāi-té mn̄g ê būn-tê.
,Syria四年的戰爭已經死超過20萬人，,"Syria sì nî ê tsiàn-tsing í-king sí tshiau-kuè 20 bān lâng,"
,將近1000萬人逃難。,tsiong-kīn 1000 bān lâng tô-lān.
,一爿有總統Bashar al-Assad，,"Tsi̍t pîng ū tsóng-thóng Bashar al-Assad,"
,一爿有過激派的Islam國，,"tsi̍t pîng ū kuè-kik-phài ê Islam kok,"
,攏咧屠殺宗教上的異己。,lóng teh tôo-sat tsong-kàu-siōng ê ī-kí.
,Congo民主共和國、中非共和國、南Sudan嘛才經歷過大規模的暴行，,"Congo bîn-tsú kiōng-hô-kok, Tiong-hui kiōng-hô-kok, Lâm Sudan mā tsiah king-li̍k-kuè tuā kui-bôo ê pō-hîng,"
,目前衝突的根本原因也猶未解決。,bo̍k-tsiân tshiong-tu̍t ê kin-pún guân-in iā iáu-buē kái-kuat.
,Sudan政府也繼續佇Darfur等所在殘害少數族群。,Sudan tsìng-hú iā kè-sio̍k tī Darfur tíng sóo-tsāi tsân-hāi tsió-sòo tso̍k-kûn.
,Myanmar政府迫害信Islam教的Rohingya人，,"Myanmar tsìng-hú pik-hāi sìn Islam kàu ê Rohingya lâng,"
,有西方觀察者甚至認為已經出現種族屠殺的早期影跡。,ū se-hong kuan-tshat-tsiá sīm-tsì jīn-uî í-king tshut-hiān tsíng-tso̍k tôo-sat ê tsá-kî iánn-tsiah.
,Caryl引用學者Paul Stares的講法，,"Caryl ín-iōng ha̍k-tsiá Paul Stares ê kóng-huat,"
,現在，,"hiān-tsāi,"
,媒體的全球化，,"muî-thé ê tsuân-kiû-huà,"
,加上行動資訊科技的普遍，,"ka-siōng hîng-tōng tsu-sìn kho-ki ê phóo-phiàn,"
,大規模的暴行愈來愈歹掩崁，,"tuā-kui-bôo ê pō-hîng jú lâi jú pháinn am-khàm,"
,真緊就傳遍世界。,tsin kín tō thuân-phiàn sè-kài.
,按算欲使用暴力的統治者，,"Àn-sǹg beh sú-iōng pō-li̍k ê thóng-tī-tsiá,"
,也因此著較考慮後果。,iā in-tshú tio̍h khah khó-lī hiō-kó.
,另外，,"Līng-guā,"
,自1994年的Rwanda種族屠殺了後，,"tsū 1994 nî ê Rwanda tsíng-tso̍k tôo-sat liáu-āu,"
,國際上已經建立一寡機制，,"kok-tsè-siōng í-king kiàn-li̍p tsi̍t-kuá ki-tsè,"
,來介入阻止抑是制裁暴行，,"lâi kài-ji̍p tsóo-tsí ia̍h-sī tsè-tshâi pō-hîng,"
,比如國際刑事法院。,pí-jû kok-tsè hîng-sū huat-īnn.
