Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,驚美國Iran行倚 Saudi靠家己,Kiann Bí-kok Iran kiânn uá Saudi khò ka-kī
,美國最近佮Iran改善關係，,"Bí-kok tsuè-kīn kah Iran kái-siān kuan-hē,"
,已經引起一寡傳統阿拉伯盟邦的反感。,í-king ín-khí tsi̍t-kuá thuân-thóng A-lá-pik bîng-pang ê huán-kám.
,有媒體分析，,"Ū muî-thé hun-sik,"
,Saudi Arabia可能會愈來愈行家己的路，,"Saudi Arabia khó-lîng ē jú lâi jú kiânn ka-kī ê lōo,"
,予美國愈歹掌握。,hōo Bí-kok jú pháinn tsiáng-ak.
,頂禮拜四，,"Tíng lé-pài sì,"
,美國總統Barack Obama參六个阿拉伯盟國的領袖，,"Bí-kok tsóng-thóng Barack Obama tsham la̍k ê A-lá-pik bîng-kok ê líng-siù,"
,佇總統別莊的Camp David進行會談。,tī tsóng-thóng pia̍t-tsong ê Camp David tsìn-hîng huē-tâm.
,Obama對Saudi在內的這六个波斯灣國家承諾，,"Obama tuì Saudi tsāi-lāi ê tsit la̍k ê Pho-su-uân kok-ka sîng-lo̍k,"
,會支持in發展國防，,"ē tsi-tshî in huat-tián kok-hông,"
,來防備Iran的威脅。,lâi hông-pī Iran ê ui-hia̍p.
,毋過伊無表示欲簽定正式的防禦條約。,M̄-koh i bô piáu-sī beh tshiam-tīng tsìng-sik ê hông-gū tiâu-iok.
,Islam教Sunni派的Saudi佮Shia派的Iran，,"Islam kàu Sunni phài ê Saudi kah Shia phài ê Iran,"
,是敵對的區域強權。,sī ti̍k-tuì ê khu-hi̍k kiông-khuân.
,In佇中東的幾若條戰線頂頭支持無仝的政權抑是團體相戰，,"In tī Tiong-tang ê kuí-nā tiâu tsiàn-suànn tíng-thâu tsi-tshî bô-kāng ê tsìng-khuân ia̍h-sī thuân-thé sio-tsiàn,"
,包括佇Syria、Iraq、Lebanon、Yemen等所在，,"pau-kuat tī Syria, Iraq, Lebanon, Yemen tíng sóo-tsāi,"
,進行「代理人戰爭」。,tsìn-hîng “tāi-lí-jîn tsiàn-tsing”.
,Saudi閣佇3月底開始直接派軍機，,"Saudi koh tī 3 gue̍h-té khai-sí ti̍t-tsiap phài kun-ki,"
,去Yemen轟炸Iran支持的叛軍。,khì Yemen hong-tsà Iran tsi-tshî ê puān-kun.
,Iran核子問題的國際談判，,"Iran hi̍k-tsú būn-tê ê kok-tsè tâm-phuànn,"
,佇美國主導之下，,"tī Bí-kok tsú-tō tsi-hā,"
,可能佇6月達成協議，,"khó-lîng tī 6 gue̍h ta̍t-sîng hia̍p-gī,"
,國際對Iran的石油佮金融制裁也有希望來解除。,kok-tsè tuì Iran ê tsio̍h-iû kah kim-iông tsè-tshâi iā ū hi-bāng lâi kái-tû.
,遮的發展，,"Tsia-ê huat-tián,"
