Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
"Oct 6, 2018_11.wav",八百空六篇，頁岩石油發展緊，OPEC地位不保。頁岩石油發展緊，OPEC地位不保。,"Peh-pah khòng la̍k phinn, ia̍h-gâm tsio̍h-iû huat-tián kín, OPEC tē-uī put pó. Ia̍h-gâm tsio̍h-iû huat-tián kín, OPEC tē-uī put pó.",,
"Oct 6, 2018_11.wav",世界石油價數自舊年大落，到今無啥起色。,"Sè-kài tsio̍h-iû kè-siàu tsū kū-nî tuā lo̍h, kàu-tann bô sánn khí-sik.",,
"Oct 6, 2018_11.wav",頂期《經濟學人》週刊一篇文章分析講，抽頁岩石油的技術伐大步等等因素看來，油價真可能長期維持目前的水準，石油輸出國家組織（OPEC）扞盤的優勢不再。,"Tíng kî “King-tsè ha̍k-jîn” tsiu-khan tsi̍t phinn bûn-tsiong hun-sik kóng, Thiu ia̍h-gâm tsio̍h-iû ê ki-su̍t hua̍t tuā-pōo tíng-tíng in-sòo khuànn--lâi, iû-kè tsin khó-lîng tn̂g-kî î-tshî bo̍k-tsiân ê tsuí-tsún, tsio̍h-iû su-tshut kok-ka tsoo-tsit (OPEC) huānn-puânn ê iu-sè put-tsài.",,
"Oct 6, 2018_12.wav",較早，若是油價傷䆀，OPEC會決定減產，來捒懸價數。,"Khak-tsá, nā-sī iû-kè siunn bái, OPEC ē kuat-tīng kiám-sán, lâi sak kuân kè-siàu.",,
"Oct 6, 2018_13.wav",毋過舊年十一月，油價當咧落的時陣，in並無按呢做，放予伊繼續落。,"M̄-koh kū-nî tsa̍p-it--gue̍h, iû-kè tng-leh lo̍h-kiā ê sî-tsūn，in pīng bô án-ne tsò, pàng hōo i kè-sio̍k lo̍h.",,
"Oct 6, 2018_14.wav",除了國際政治的考慮，in嘛想欲趁家己輕本，共重本的美國頁岩油逼出市場。,"Tû-liáu kok-tsè tsìng-tī ê khó-lī, in mā siūnn-beh í ka-kī khin-pún, kā tāng-pún ê Bí-kok ia̍h-gâm-iû pik-tshut tshī-tiûnn.",,
"Oct 6, 2018_15.wav",衝擊確實有，一寡美國頁岩油公司袂堪得價數直直落，煞來破產。,"Tshiong-kik khak-si̍t ū, tsi̍t-kuá Bí-kok ia̍h-gâm-iû kong-si bē-kham-tit kè-siàu ti̍t-ti̍t la̍k, suah lâi phò-sán.",,
"Oct 6, 2018_16.wav",毋過講來講去，頁岩油產業比原本想的閣較韌命。,"M̄-koh kóng-lâi-kóng-khì, ia̍h-gâm-iû sán-gia̍p pí guân-pún siūnn--ê koh-khah jūn-miā.",,
"Oct 6, 2018_17.wav",上主要的原因，照這篇文章講，是技術進步，所擺頁岩油產業嘛綴咧發達。,"Siōng tsú-iàu ê guân-in, tsiàu tsit phinn bûn-tsiong kóng, sī ki-su̍t tsìn-pōo, Sóo-pái ia̍h-gâm-iû sán-gia̍p mā tuè-leh huat-ta̍t.",,
"Oct 6, 2018_18.wav",比論講，挖一口井的時間減少一半。,"Pí-lūn kóng, óo tsi̍t kháu tsénn ê sî-kan kiám-tsió tsi̍t-puànn.",,
