Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
"Oct 6, 2018_29.wav",807篇，美國面對Islam國的兩難。美國面對Islam國的兩難,"Peh-pah-khòng-tshit phinn, Bí-kok bīn-tuì Islam kok ê lióng-lân. Bí-kok bīn-tuì Islam kok ê lióng-lân.",,
"Oct 6, 2018_30.wav",過激派的組織Islam國（IS）繼續擴張，5月中占領Iraq重要城市Ramadi，離首都Baghdad賰無100公里。,"Kuè-kik-phài ê tsoo-tsit Islam kok (IS) kè-sio̍k khok-tiong, 5 gue̍h tiong tsiàm-niá Iraq tiōng-iàu siânn-tshī Ramadi, lī siú-too Baghdad tshun bô 100 kong-lí.",,
"Oct 6, 2018_31.wav",美國愛按怎做？敢著派地面部隊？真濟人主張莫，認為美國派軍顛倒會飼大IS，有害美國本身的安全。應該予中東在地的國家去戰。,"Bí-kok ài án-tsuánn tsò? Kám tio̍h phài tē-bīn pōo-tuī? Tsin tsē lâng tsú-tiunn mài, jīn-uî Bí-kok phài kun tian-tò ē tshī-tuā IS, iú-hāi Bí-kok pún-sin ê an-tsuân. Ing-kai hōo Tiong-tang tsāi-tē ê kok-ka khì tsiàn.",,
"Oct 6, 2018_32.wav",《外交政策》雜誌網站一篇由兩位學者Gordon Adams佮Richard Sokolsky寫的文章，就是這个看法。,"“Guā-kau tsìng-tshik” tsa̍p-tsì bāng-tsām tsi̍t phinn iû nn̄g uī ha̍k-tsiá Gordon Adams kah Ritsard Sokolsky siá ê bûn-tsiong, tō sī tsit ê khuànn-huat.",,
"Oct 6, 2018_33.wav",In講，IS佮al Qaeda無仝，前者的目標是建立區域性的caliphate，毋是佇全球發動恐怖攻擊；伊主要是威脅著四面的中東國家，毋是美國的國土。,"In kóng, IS kah al Qaeda bô-kāng, tsîng-tsiá ê bo̍k-piau sī kiàn-li̍p khu-hi̍k-sìng ê caliphate, m̄ sī tī tsuân-kiû huat-tōng khióng-pòo kong-kik, i tsú-iàu sī ui-hia̍p-tio̍h sì-bīn ê Tiong-tang kok-ka, m̄ sī Bí-kok ê kok-thóo.",,
"Oct 6, 2018_34.wav",而且，遮的中東國家，包括一寡美國的盟友，本身就有嚴重的問題，比如治理傷䆀、貪腐、民族佮教派的衝突，予IS趁這个好時機peh起來。,"Jî-tshiánn, tsia-ê Tiong-tang kok-ka, pau-kuat tsi̍t-kuá Bí-kok ê bîng-iú, pún-sin tō ū giâm-tiōng ê būn-tê, pí-jû tī-lí siunn bái, tham-hú, bîn-tso̍k kah kàu-phài ê tshiong-tu̍t, Hōo IS thàn tsit ê hó sî-ki peh--khí-lâi。",,
"Oct 6, 2018_35.wav",In家己著負起對抗IS的主要責任，毋是放予爛，才欲靠美國來救。,"In ka-kī tio̍h hū-khí tuì-khòng IS ê tsú-iàu tsik-jīm, m̄ sī pàng hōo nuā, tsiah beh khò Bí-kok lâi kiù.",,
"Oct 6, 2018_36.wav",作者認為，美國若是派大軍去佮IS直接作戰，顛倒會實現IS的宣傳，,"Tsok-tsiá jīn-uî, Bí-kok nā-sī phài tuā-kun khì kah IS ti̍t-tsiap tsok-tsiàn, Thian-tó ē si̍t-hiān IS ê suan-thuân,",,
"Oct 6, 2018_37.wav",講這是一場Muslim對抗美國十字軍的聖戰，刺激四界的Muslim來加入IS，,"kóng tse sī tsi̍t tiûnn Muslim tuì-khòng Bí-kok si̍p-jī-kun ê sìng-tsiàn, tshì-kik sì-kè Muslim lâi ka-ji̍p IS,",,
"Oct 6, 2018_38.wav",並且嘛致使美國的軍人、每一間大使館，甚至本土的國民攏成做攻擊的目標。,"pīng-tshiánn mā tì-sú Bí-kok ê kun-jîn, muí tsi̍t king tāi-sài-kuán, sīm-tsì pún-thóo ê kok-bîn lóng tsiânn-tsò kong-kik ê bo̍k-piau.",,
"Oct 6, 2018_39.wav",In毋是講美國攏莫插代誌，毋過美國的支援應該愛附較嚴格的條件，要求遮的中東國家進行改革，莫予極端主義勾去。,"In m̄ sī kóng Bí-kok lóng mài tshap tāi-tsì, m̄-koh Bí-kok ê tsi-uān ing-kai ài hù khah giâm-keh ê tiâu-kiānn, iau-kiû tsia-ê Tiong-tang kok-ka tsìn-hîng kái-kik, kàng-kē ki̍k-tuan tsú-gī kau--khí.",,
