Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
"Oct 6, 2018_71_1.wav",八百空九篇，同性婚合法化，閣來看澳洲。,"Peh-pah khòng káu phinn, tông-sìng-hun ha̍p-huat-huà, koh lâi khuànn Ò-tsiu.",,
"Oct 6, 2018_71_2.wav",同性婚合法化，閣來看澳洲。,"Tông-sìng-hun ha̍p-huat-huà, koh lâi khuànn Ò-tsiu.",,
"Oct 6, 2018_71_3.wav",Ireland頂個月公民投票通過同性婚合法化，有鼓勵著全世界的同性戀人權運動，,"Ireland tíng kò gue̍h kong-bîn tâu-phiò thong-kuè tông-sìng-hun ha̍p-huat-huà, kóo-lē-tio̍h tsuân-sè-kài ê tông-sìng-luân jîn-khuân ūn-tōng,",,
"Oct 6, 2018_72.wav",紲落幾個月，澳洲凡勢嘛會變天。,"suà--lo̍h kuí kò gue̍h, Ò-tsiu huān-sè mā ē piàn-thinn.",,
"Oct 6, 2018_73.wav",國會預定佇年底進前投票決定。,Kok-huē ī-tīng tī nî-té tsìn-tsîng tâu-phiò kuat-tīng.,,
"Oct 6, 2018_74.wav",這馬，大部分的民意支持同性婚，只是有真濟國會議員猶閣咧觀望。,"Tsit-má, tuā-pōo-hūn bîn-ì tsi-tshî tông-sìng-hun,",,
"Oct 6, 2018_75.wav",領導保守聯盟的澳洲總理Tony Abbott本人反對同性婚姻，毋過贊成開放伊的自由黨的議員照家己的意思投票。,"Líng-tō Pó-siú liân-bîng ê Ò-tsiu tsóng-lí Tony Abbott pún-lâng huán-tuì tông-sìng hun-in, m̄-koh tsàn-sîng khai-hòng i ê Tsū-iû-tóng ê gī-uân tsiàu ka-tī ê ì-sù tâu-phiò.",,
"Oct 6, 2018_76.wav",只不過這閣佮聯盟內底其他黨派的意見有相牽連。,Tsí-put-kò tse koh kah liân-bîng lāi-té kî-thann tóng-phài ê ì-kiàn sio-khan-liân.,,
"Oct 6, 2018_77.wav",若是真正開放投「良心票」，通過修法來承認同性婚的機率會較大。,"Nā-sī tsin-tsiànn khai-hòng tâu “liông-sim-phiò”,",,
"Oct 6, 2018_78.wav",在野的工黨內底，有九成九的議員攏支持同性婚。,"Tsāi-iá ê Kang-tóng lāi-té, ū káu siânn káu ê gī-uân lóng tsi-tshî tông-sìng-hun.",,
"Oct 6, 2018_79.wav",進前綠黨佮Abbott自由黨的同事攏已經提出支持同性婚合法的法案。,Tsìn-tsiân Li̍k-tóng kah Abbott Tsū-iû-tóng ê tông-sū lóng í-king thê-tshut tsi-tshî tông-sìng-hun ha̍p-huat ê huat-àn.,,
"Oct 6, 2018_80.wav",六月初工黨閣提出一案，hông批評是欲來割稻仔尾，顛倒會拍歹共識，變成政黨相爭。,"La̍k-gue̍h-tshe Kang-tóng koh thê-tshut tsi̍t àn, hông phue-phîng sī beh lâi kuah-tiū-á-bué, tian-tò ē phah-pháinn kiōng-sik, piàn-sîng tsìng-tóng sio-tsenn.",,
