Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,教宗成做左派領袖？,Kàu-tsong tsiânn-tsò tsó-phài líng-siù?
,教宗Francis 6月18號發佈「通諭」，呼籲世界共同對抗氣候變化。,"Kàu-tsong Francis 6 gue̍h 18 hō huat-pòo “thong-jū”,"
,毋但如此，伊閣真大聲共批評追求「短期佮私人利益」的消費主義，,"M̄-nā jû-tshú, i koh tsin tuā-siann kā phue-phîng tui-kiû “té-kî kah su-jîn lī-ik” ê siau-huì tsú-gī,"
,甚至予評論者寫講「羅馬天主教廷這馬是一粒一的資本主義批判者」。,sīm-tsì hōo phîng-lūn-tsiá siá kóng “Lô-má Thian-tsú kàu-tîng tsit-má sī it-lia̍p-it ê tsu-pún tsú-gī phue-phuànn-tsiá”.
,這句是英國《衛報》專欄作家Giles Fraser的理解，伊嘛是一位英國國教的教區牧師。,"Tsit kù sī Ing-kok “Uē-pò” tsuan-nuâ tsok-ka Giles Fraser ê lí-kái, i mā sī tsi̍t uī Ing-kok kok-kàu ê kàu-khu bo̍k-su."
,伊閣寫講「當左派佇全世界失去權威，教廷又閣講話有聲」。,"I koh siá kóng “tng tsó-phài tī tsuân sè-kài sit-khì khuân-ui, Kàu-tîng iū-koh kóng-uē ū siann""."
,教宗的通諭英文版有3萬7000外字。,Kàu-tsong ê thong-jū Ing-bûn-pán ū 3 bān 7000 guā jī.
,照Fraser的摘要，人類受著濟濟的慾望束縛，,"Tsiàu Fraser ê tiah-iàu, jîn-luī siū-tio̍h tsē-tsē ê io̍k-bōng sok-pa̍k,"
,資本主義欲來滿足遮的慾望，無去分啥物是人真正「需要」的、啥物只是人「想欲愛」的，,"tsu-pún tsú-gī beh lâi buán-tsiok tsia-ê io̍k-bōng, bô khì hun siánn-mih sī lâng tsin-tsiànn “su-iàu” --ê, siánn-mih tsí-sī lâng “siūnn-beh ài” --ê,"
,這兩項的差別就可比救命藥仔佮電動 𨑨迌物。,tsit nn̄g hāng ê tsha-pia̍t tō khó-pí kiù-miā io̍h-á kah tiān-tōng tshit-thô-mi̍h.
,「市場」不管這，對伊來講攏是「選擇」；市場嘛無欲管各種選擇對公共利益抑是地球生態有啥物款影響，干焦欲做伊加添選擇。,"“Tshī-tiûnn” put-kuán tse, tuì i lâi kóng lóng-sī “suán-ti̍k”; tshī-tiûnn mā bô beh kuán kok-tsióng suán-ti̍k tuì kong-kiōng lī-ik ia̍h-sī tē-kiû sing-thài ū siánn-mih khuán íng-hióng, Kan-na beh tsò i ka-thiam suán-ti̍k。"
,過度消費的後果，就是予地球變做一个糞埽桶。,"Kuè-tōo siau-huì ê hiō-kó, tō sī hōo tē-kiû piàn-tsò tsi̍t ê pùn-sò-tháng."
,面對這个問題，經濟學家一般無啥路用。,"Bīn-tuì tsit ê būn-tê, king-tsè ha̍k-ka it-puann bô siánn lōo-īng."
,地球是有限的，毋過主流的經濟模型攏假設成長會當無限。,"Tē-kiû sī iú-hān --ê, m̄-koh tsú-liû ê king-tsè bôo-hîng lóng ká-siat sîng-tióng ē-tàng bû-hān."
,教宗的呼籲，就是人類袂當直直痟貪落去，愛知影撙節。,"Kàu-tsong ê hoo-io̍k, tō sī jîn-luī bē-tàng ti̍t-ti̍t siáu-tham --lo̍h-khì, ài tsai-iánn tsún-tsat."
,通諭內底無直接用著「資本主義」這个詞，毋過真濟擺唱名「市場」，,"Thong-jū lāi-té bô ti̍t-tsiap iōng-tio̍h “tsu-pún tsú-gī” tsit ê sû, m̄-koh tsin tsē pái tshiàng-miâ “tshī-tiûnn”,"
,比如：「市場竟然信篤只要增加公司佮個人的利益，就會當解決問題，咱愛拒絕這種想法」、,"pí-jû: “tshī-tiûnn kìng-jiân sìn-táu tsí-iàu jīn-uî tsing-ka kong-si kah kò-jîn ê lī-ik, tō ē-tàng kái-kuat būn-tê, lán ài kī-tsua̍t tsit-tsióng siūnn-huat”,"
,「為著銷路，市場大力推捒極端的消費主義，予人一時仔就隨牢佇無必要的開銷」。,"“uī-tio̍h beh bē sán-phín, tshī-tiûnn tuā-la̍t thui-sak ki̍k-tuan ê siau-huì tsú-gī, hōo lâng tsi̍t-sî-á tō suî tiâu tī bô pit-iàu ê khai-siau”."
,《衛報》的社論講，這是百年來上蓋予人想袂到、嘛可能是上蓋有氣魄的教宗文件，,"“Uē-pò” ê siā-lūn kóng, tse sī pah nî lâi siōng-kài hōo lâng siūnn bē kàu, mā khó-lîng sī siōng-kài ū khì-phik ê Kàu-tsong bûn-kiānn,"
,毋但是對天主教徒抑是基督教徒講話，嘛是講予地球頂每一个人聽。,"m̄-nā sī tuì Thian-tsú kàu-tôo ia̍h-sī Ki-tok kàu-tôo kóng-uē, mā sī kóng hōo tē-kiû-tíng muí tsi̍t ê lâng thiann."
,猶毋是逐个人攏會聽，親像美國共和黨佮石油界的幾若位頭人就倒彈矣。,"Iáu m̄ sī ta̍k ê lâng lóng ē thiann, tshin-tshiūnn Bí-kok Kiōng-hô-tóng kah tsio̍h-iû-kài ê kuí-nā uī thâu-lâng tō tò-tuānn--ah."
,總是，以教宗的地位，對拖棚的聯合國氣候談判會當發揮偌大的影響力，猶是真受著期待。,"Tsóng--sī, í Kàu-tsong ê tē-uī, tuì thua-pênn ê Liân-ha̍p-kok khì-hāu tâm-phuànn ē-tàng huat-hui guā tuā ê íng-hióng-li̍k, iáu sī tsin siū-tio̍h kî-thāi."
