Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
"Oct 27, 2018 1_137.wav",伊毋是應好伊欲參加比賽？,I m̄ sī ìn hó i beh tsham-ka pí-sài?,,
"Oct 27, 2018 1_138.wav",伊若毋去就莫共勉強。,I nā m̄ khì tō mài kā bián-kióng.,,
"Oct 27, 2018 1_139.wav",你攏毋認真讀冊。,Lí lóng m̄ jīn-tsin tha̍k-tsheh.,,
"Oct 27, 2018 1_141.wav",毋好好仔拍拚趁錢，以後nài綴人會著？,"M̄ hó-hó-á phah-piànn thàn-tsînn, í-āu nài tuè lâng ē tio̍h?",,
"Oct 27, 2018 1_142.wav",莫閣佮我囉嗦。,Mài koh kah guá lo-so.,,
"Oct 27, 2018 1_143.wav",暫時莫佮我講話。,Tsiām-sî mài kah guá kóng-uē.,,
"Oct 27, 2018 1_144.wav",伊行無幾步路就喝跤痠。,I kiânn bô kuí pōo lōo tō huah kha sng.,,
"Oct 27, 2018 1_145.wav",我物件食袂了欲按怎？敢會使提去冰？,Guá mi̍h-kiānn tsia̍h bē liáu beh án-tsuánn? Kám ē-sái the̍h-khì ping?,,
"Oct 27, 2018 1_146.wav",伊無看電視。,I bô khuànn tiān-sī.,,
"Oct 27, 2018 1_147.wav",伊看無電視。,I khuànn bô tiān-sī.,,
"Oct 27, 2018 1_148.wav",伊無電視看。,I bô tiān-sī khuànn.,,
"Oct 27, 2018 1_149.wav",伊看電視無。,I khuànn tiān-sī bô.,,
"Oct 27, 2018 1_150.wav",伊看電視無？,I khuànn tiān-sī--bô?,,
"Oct 27, 2018 1_151.wav",阿共仔袂拍過來。,A-kiōng--á bē phah--kuè-lâi.,,
"Oct 27, 2018 1_152.wav",阿la̍k仔拍袂kuài。,A-la̍k--á phah bē--kuài.,,
"Oct 27, 2018 1_153.wav",伊請我無兩擺就反悔矣。,I tshiánn guá bô nn̄g pái tō huán-hué--ah.,,
"Oct 27, 2018 1_154.wav",這條面巾用無兩三工就有臭汗酸。,Tsit tiâu bīn-kin iōng bô nn̄g-sann kang tō ū tshàu-kuānn-sng.,,
"Oct 27, 2018 1_155.wav",舊年規家伙仔攏無佇台北。,Kū-nî kui-ke-hué-á lóng bô tī Tâi-pak.,,
"Oct 27, 2018 1_156.wav",咱今年規家伙仔攏佇台北。,Lán kin-nî kui-ke-hué-á lóng tī Tâi-pa̍k。,,
