Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
"Nov 3, 2018_172.wav",我欲去Seven，敢著鬥買啥轉來？,"Guá beh-khì Seven, kám tio̍h tàu bé siánn tńg--lâi?",,
"Nov 3, 2018_173.wav",你佇Fb有偌濟（juā-tsē）朋友啊？,Lí tī Fb ū juā-tsē pîng-iú--ah?,,
"Nov 3, 2018_174.wav",我明明就是用生日做Fb的登入密碼，哪會一直無法度登入？,"Guá bîng-bîng tō sī īng senn-ji̍t tsò Fb ê ting-ji̍p bi̍t-bé, ná ē it-ti̍t bô-huat-tōo ting-ji̍p?",,
"Nov 3, 2018_175.wav",這馬連Facebook的董事長攏乖乖聽中國的話，我看乎咱台灣人以後可能無Facebook通用矣。,"Tsit-má liân Facebook ê táng-sū-tiúnn lóng kuai-kuai thiann Tiong-kok ê uē, guá khuànn--honnh lán Tâi-uân lâng í-āu khó-lîng bô Facebook thang īng--ah.",,
"Nov 3, 2018_176.wav",中國佇網路頂是愈來愈有勢力，眼時可能干焦賰Twitter猶未受著影響nia̋（爾爾）。,"Tiong-kok tī bāng-lōo-tíng sī jú lâi jú ū sè-li̍k, gián-sî khó-lîng kan-na tshun Twitter á-bē siū-tio̍h íng-hióng nia̋.",,
"Nov 3, 2018_177.wav",有代誌就共我Line，我若看著會隨回你。,"Ū tāi-tsì tō kā guá Line, guá nā khuànn--tio̍h ē suî huê--lí.",,
"Nov 3, 2018_178.wav",到厝了後愛會記得用Line敲予我。,Kàu tshù liáu-āu ài ē-kì-tit iōng Line khà hōo--guá.,,
"Nov 3, 2018_179.wav",伊好額人啊，手機仔攏嘛用iPhone。,"I hó-gia̍h-lâng--ah, tshiú-ki-á lóng mā iōng iPhone.",,
"Nov 3, 2018_180.wav",進前定定會綴人買Apple的產品，開錢若開水咧。但是這馬愛較抾拾，所以我就無閣綴咧痟iPhone矣。,"Tsìn-tsîng tiānn-tiānn ē tuè lâng bé Apple ê sán-phín, khai-tsînn ná khai tsuí--leh. Tān-sī tsit-má ài khah khioh-si̍p, sóo-í guá tiō bô koh tuè-leh siáu iPhone--ah.",,
"Nov 3, 2018_181.wav",你莫用IE啊啦，用Chrome抑是Firefox才拍會開。,"Lí mài īng IE--ah--lah, iōng Chrome ia̍h-sī Firefox tsiah phah ē khui.",,
"Nov 3, 2018_182.wav",政府的網站喲，愛用IE才開會開啦。,"Tsìng-hú-ê bāng-tsām iō, ài īng IE tsiah khui ē khui--lah.",,
"Nov 3, 2018_183.wav",政府的網站喲，愛用IE才會開開啦。,"Tsìng-hú-ê bāng-tsām iō, ài īng IE tsiah ē khui--khui--lah.",,
"Nov 3, 2018_184.wav",有一个網站專門咧賣DIY的材料，你佇Google拍「媠媠DIY」應該就揣會著矣。,"Ū tsi̍t ê bāng-tsām tsuan-bûn leh buē DIY ê tsâi-liāu, lí tī Google phah ""Suí-suí DIY "" ing-kai tō tshuē ē tio̍h--ah.",,
"Nov 3, 2018_185.wav",無共你騙，3M的菜瓜布實在有夠好用的啦！若準講你有需要乎，會當對我遮提幾塊仔轉去鑢看覓。,"Bô kā lí phiàn, 3M ê tshài-kue-pòo si̍t-tsāi ū-kàu hó-iōng--ê--lah! Nā-tsún kóng lí ū su-iàu--honnh, ē-tàng tuì guá tsia the̍h kuí-tè-á tńg-khì lù khuànn-māi.",,
"Nov 3, 2018_186.wav",3M是米國公司，拄開始主要咧賣工業用品，後來沓沓仔轉型，轉做生產生活用品，親像黏布、菜瓜布。最近幾年in閣有咧賣枕頭。,"3M sī Bí-kok kong-si, tú khai-sí tsú-iàu leh buē kang-gia̍p-iōng-phín, āu-lâi ta̍uh-ta̍uh-á tsuán-hîng, tsuán-tsò sing-sán sing-ua̍h-iōng-phín, tshin-tshiūnn liâm-pòo, tshài-kue-pòo. Tsuè-kīn kuí nî in koh ū leh bē tsím-thâu.",,
"Nov 3, 2018_187.wav",你敢有閒通共我鬥紹介一下，Nike上四序的鞋仔是佗一雙？,"Lí kám ū-îng thang kā guá tàu siāu-kài--tsi̍t-ē, Nike siōng sù-sī ê ê-á sī tó tsi̍t siang?",,
"Nov 3, 2018_188.wav",Adidas這幾年嘛學Nike設計一寡色水嬌的鞋仔。,Adidas tsit kuí nî mā o̍h Nike siat-kè tsi̍t-kuá sik-tsuí-kiau ê ê-á.,,
"Nov 3, 2018_189.wav",你若欲去買物件，這附近有一間Costco，物件俗閣大碗，內底嘛足闊足好踅的。,"Lí nā beh khì bé mi̍h-kiānn, tsit hū-kīn ū tsi̍t king Costco, mi̍h-kiānn sio̍k koh tuā-uánn, lāi-té mā tsiok khuah tsiok hó se̍h--ê.",,
"Nov 3, 2018_190.wav",我來共你報路啦。你車對遮駛到第二个路口的時陣乎，會佇倒手爿看著Costco，然後佇彼个路口正斡，就會迵去高速公路矣。,"Guá lâi kā lí pò-lōo--lah. Lí tshia tuì tsia sái kàu tē-jī ê lōo-kháu ê sî-tsūn--honnh, ē tī tò-tshiú-pîng khuànn-tio̍h Costco, jiân-āu tī hit ê lōo-kháu tsiànn uat, tō ē thàng-khì ko-sok-kong-lōo--ah.",,
"Nov 3, 2018_191.wav",Ikea的物件攏誠粗俗，用免偌久就歹去矣。,"Ikea ê mi̍h-kiānn lóng tsiânn tshoo-sio̍k, iōng bián-luā-kú tō pháinn--khì--ah.",,
"Nov 3, 2018_192.wav",Ikea的物件蓋好鬥，免偌久就鬥會好。,,,
"Nov 3, 2018_193.wav",看你抹SK-II抹甲遐骨力，到底是抹了有效無？,"Khuànn lí buah SK-two buah kah hiah kut-la̍t, tàu-té sī buah liáu ū-hāu--bô?",,
"Nov 3, 2018_194.wav",Sī-sé-tòo感謝恁來參加阮的人客滿意度調查。,Sī-sé-tòo kám-siā lín lâi tsham-ka gún ê lâng-kheh muá-ì-tōo tiâu-tsa.,,
"Nov 3, 2018_195.wav",我攏猶未去踅過B&Q，伊就收了了--矣。,"Guá lóng iáu-bē khì se̍h-kuè B and Q, i tō siu-liáu-liáu--ah.",,
"Nov 3, 2018_196.wav",我的電腦怪怪，連袂起去（khì-li）Internet。,"Guá ê tiān-náu kuài-kuài, liân bē khì-li Internet.",,
"Nov 3, 2018_197.wav",你tsa̋ng-mê（昨昏暝）WiFi攏無關乎？,Lí tsa̋ng-mê WiFi lóng bô kuainn--honnh?,,
"Nov 3, 2018_198.wav",房間內底收袂著WiFi，你若欲用手機仔可能愛去客廳用。,"Pâng-king lāi-té siu bē tio̍h WiFi, lí nā beh iōng tshiú-ki-á khó-lîng ài khì kheh-thiann iōng.",,
"Nov 3, 2018_199.wav",伊彼軀衫敢是去Net買--的？,I hit su sann kám-sī khì Net bé--ê?,,
"Nov 3, 2018_200.wav",Giordano的拍折攏是假的，根本無俗偌濟（guā-tsuē）。,"Giordano ê phah-tsiat lóng sī ké--ê, kin-pún bô sio̍k guā-tsuē.",,
"Nov 3, 2018_201.wav",你敢捌去踅過Uniqlo？伊有來咱遮開一間店。,Lí kám bat khì se̍h-kuè Uniqlo? I ū lâi lán tsia khui tsi̍t king tiàm.,,
"Nov 3, 2018_202.wav",阮攏紮便當觳仔去KFC貯馬鈴薯糋。,Gún lóng tsah piān-tong-khok-á khì KFC té má-lîng-tsî-tsìnn.,,
"Nov 3, 2018_203.wav",McDonald的漢堡愈賣愈細粒，攏食袂飽。,"McDonald ê hàn-pó lú bē jú sè lia̍p, lóng tsia̍h bē pá.",,
"Nov 3, 2018_204.wav",Mőo烏白罵人「Fuck you」，這足歹聽的。,"Mőo oo-pe̍h mē lâng ""Fuck you"", tse tsiok pháinn-thiann--ê.",,
"Nov 3, 2018_205.wav",你電腦的CPU是買Intel的抑是AMD的？,Lí tiān-náu ê CPU sī bé Intel--ê ia̍h-sī AMD--ê?,,
"Nov 3, 2018_206.wav",這个Youtuber攏會展伊的貓仔，而且伊的貓仔足古錐--的。,"Tsit ê youtuber lóng ē tián i ê niau-á, jî-tshiánn i ê niau-á tsiok kóo-tsui--ê.",,
"Nov 3, 2018_207.wav",你去看Youtube敢有你佮意的音樂。,Lí khì khuànn Youtube kám ū lí kah-ì ê im-ga̍k.,,
"Nov 3, 2018_208.wav",彼个影片我捌佇Youtube面頂看過，你會當去揣看覓。,"Hit ê iánn-phìnn guá bat tī Youtube bīn-tíng khuànn--kuè, lí ē-tàng khì tshuē khuànn-māi.",,
"Nov 3, 2018_209.wav",Subway的菜有通家己揀，誠袂䆀。,"Subway ê tshài ū thang ka-kī kíng, tsiânn bē-bái.",,
"Nov 3, 2018_210.wav",B1到--矣。,B one kàu--ah.,,
"Nov 3, 2018_211.wav",恁車敢停佇B2？,Lín tshia kánn thîng tī B two?,,
"Nov 3, 2018_212.wav",無，我車停佇B3。,"Bô, guá tshia thîng tī B sann.",,
"Nov 3, 2018_213.wav",我欲到B4，幫我揤一下。,"Guá beh kàu B sì, pang guá tshi̍h--tsi̍t-ē.",,
"Nov 3, 2018_214.wav",我欲到B4，幫我揤（ji̍h）一下。,"Guá beh kàu B sì, pang guá ji̍h--tsi̍t-ē.",,
"Nov 3, 2018_215.wav",這台電梯無到B5喔，你愛去坐對面彼台才有到。,"Tsit tâi tiān-thui bô kàu B gōo oo, lí ài khì tsē tuì-bīn hit tâi tsiah ū kàu.",,
"Nov 3, 2018_216 華語詞.wav",你敢有2B的鉛筆？若有請借我，我明仔載欲去考試。,"Lí kám ū ㄦˋ-B ê iân-pit? Nā ū tshiánn tsioh--guá, guá bîn-á-tsài beh khì khó-tshì.",,
"Nov 3, 2018_217.wav",你敢有2B的鉛筆？若有請借我，我明仔載欲去考試。,"Lí kám ū jī B ê iân-pit? Nā ū tshiánn tsioh--guá, guá bîn-á-tsài beh khì khó-tshì.",,
"Nov 3, 2018_218.wav",Cheese口味的pizza我上愛食。,Cheese kháu-bī ê pizza guá siōng ài tsia̍h.,,
"Nov 3, 2018_219.wav",暗頓咱來食pizza好無？,Àm-tǹg lán lâi tsia̍h pizza hó--bô?,,
"Nov 3, 2018_220.wav",恁兜的網路是牽幾mega--的？,Lín tau ê bāng-lōo sī khan kuí mega--ê?,,
"Nov 3, 2018_221.wav",我32 Giga的隨身碟phàng（拍無）--去--矣。,Guá sann-tsa̍p-jī Giga ê suî-sin-tia̍p phàng--khì--ah.,,
"Nov 3, 2018_222.wav",我32 Giga的隨身碟phàng--kìnn--矣。,Guá sann-tsa̍p-jī Giga ê suî-sin-tia̍p phàng--kìnn--ah.,,
"Nov 3, 2018_223.wav",這8T的硬碟遐貴！你買會lueh（落去）？,Tse peh T ê ngē-tia̍p hiah kuì! lí bé ē lueh?,,
"Nov 3, 2018_224.wav",這齣電影的菜脯誠gâu搬，看了誠有fu。,"Tsit tshut tiān-iánn ê Tshài-póo tsiânn gâu puann, khuànn-liáu tsiânn ū fu.",,
"Nov 3, 2018_225.wav","Sa̋i-ióo-ná-la, goodbye！ 明仔載才閣來。","Sa̋i-ióo-ná-la, goodbye! Bîn-á-tsài tsiah koh lâi.",,
"Nov 3, 2018_226.wav",我細漢就有去注B型肝炎的疫苗，是講毋知這馬敢閣有抗體--無？,"Guá sè-hàn tio̍h ū khì tsù B hîng kuann-iām ê i̍k-biâu, si7-kong2 m̄ tsai tsit-má kam2 koh ū khòng-thé--bô?",,
"Nov 3, 2018_227.wav",我細漢就有去注B型肝炎的疫苗，毋知這馬閣有抗體--無？,"Guá sè-hàn tio̍h ū khì tsù B hîng kuann-iām ê i̍k-biâu, m̄ tsai tsit-má koh ū khòng-thé--bô?",,
"Nov 3, 2018_228.wav",這馬有偌濟人著A型肝炎？,Tsit-má ū guā-tsē lâng tio̍h A hîng kuann-iām?,,
"Nov 3, 2018_229.wav",逐包血捐血中心攏會檢查有B、C肝病毒無，做你放心。,"Ta̍k pau hueh kuan-hueh-tiong-sim lóng ē kiám-tsa ū B, C kuann pēnn-to̍k--bô, tsò lí hòng-sim.",,
"Nov 3, 2018_230.wav",C肝的藥仔誠貴，上無愛二三十萬。,"C kuann ê io̍h-á tsiânn kuì, siōng bô ài jī-sann-tsa̍p-bān.",,
"Nov 3, 2018_231.wav",中國毋肯予美國H7N9雞瘟的病毒sa̋m-phú-luh。,Tiong-kok m̄ khíng hōo Bí-kok H-tshit-N-kiú ke-un ê pēnn-to̍k sa̋m-phú-luh.,,
"Nov 3, 2018_232.wav",2018年的流感疫苗是三價疫苗，除了有H3N2佮H1N1--的以外，閣有一種B型的抗原。,"Jī khòng it peh nî ê liû-kám i̍k-biâu sī sann kè i̍k-biâu, tî-liáu ū H-sam-N-jī kah H-one-N-one ê í-guā, koh ū tsi̍t tsióng B hîng ê khòng-guân.",,
"Nov 3, 2018_234.wav",細胞內基因的DNA會轉錄做RNA，有的RNA閣會轉譯做咱需要的卵白質。,"Sè-pau lāi ki-in ê DNA ē tńg-lo̍k tsò RNA, ū ê RNA koh ē tńg-i̍k tsò lán su-iàu ê nn̄g-pe̍h-tsit.",,
"Nov 3, 2018_235.wav",查某佮查埔的基因主要是差佇第23對染色體，查某是XX，查埔是XY。,"Tsa-bóo kah tsa-poo ê ki-in tsú-iàu sī tsha tī tē-jī-tsa̍p-sann tuì ní-sik-thé, tsa-bóo sī XX, tsa-poo sī XY.",,
"Nov 3, 2018_236.wav",你去驗DNA，看覓伊敢是你的親人？,"Lí khì giām DNA, khuànn-māi i kám sī lí ê tshin-lâng?",,
"Nov 3, 2018_237.wav",恁fans今仔日nà（哪會）無來？,Lín fans kin-á-ji̍t nà bô lâi?,,
"Nov 3, 2018_238.wav",In兜電火攏換LED的，加誠光的。,"In tau tiān-hué lóng uānn LED--ê, ke tsiânn kng--ê.",,
"Nov 3, 2018_239.wav",阿玲著傷矣，你敢有OK-báng thang予伊貼？,"A-lîng tio̍h-siong--ah, lí kám ū OK-báng thang hōo i tah?",,
"Nov 3, 2018_240.wav",聽講昌的買PS4--矣，你敢知影？,"Thiann-kóng Tshiong--ê bé PS4--ah, lí kám tsai-iánn?",,
"Nov 3, 2018_241.wav",你敢有欲來耍PS2？,Lí kám ū beh lâi sńg PS2?,,
"Nov 3, 2018_242.wav",Microsoft的Xbox 360敢有人捌耍過？,Microsoft ê Xbox sam lio̍k khòng kám ū lâng bat sńg--kuè?,,
"Nov 3, 2018_243.wav",阮（Guán）電腦是鬥Office Word 2010，有通存做odt檔。,"Guán tiān-náu sī tàu Office Word jī khòng it khòng, ū thang tshûn-tsò odt tóng.",,
"Nov 3, 2018_244.wav",你Word若拍了，愛會記得轉做PDF才提去印。,"Lí Word nā phah-liáu, ài ē-kì-tit tsuán-tsò PDF tsiah the̍h-khì ìn.",,
"Nov 3, 2018_245.wav",阮公司攏用Excel來做數。,Gún kong-si lóng īng Excel lâi tsò siàu.,,
"Nov 3, 2018_246.wav",恁這擺上課，敢有欲用Powerpoint來做投影片？,"Lín tsit pái siōng-khò, kám ū beh īng Powerpoint lâi tsò tâu-iánn-phìnn?",,
"Nov 3, 2018_247.wav",等我一下，這幾工我的電腦siooh-tooh-siooh-tooh，今Outlook袂振袂動。,"Tán--guá--tsi̍t-ē, tsit kuí kang guá ê tiān-náu siooh-tooh-siooh-tooh, tann Outlook buē-tín-buē-tāng.",,
"Nov 3, 2018_248.wav",你做好的PPT，先寄一份予我鼻芳一下好無？,"Lí tsò-hó ê PPT, sing kià tsi̍t hūn hōo guá phīnn-phang--tsi̍t-ē hó--bô?",,
"Nov 3, 2018_249.wav",檔案傳去Google Drive，分張予人較方便。,"Tóng-àn thuân-khì Google Drive, pun-tiunn hōo--lâng khah hong-piān.",,
"Nov 3, 2018_250.wav",資料囥一份佇Dropbox做備份，較毋驚SSD雄雄害--去。,"Tsu-liāu khǹg tsi̍t hūn tī Dropbox tsò pī-hūn, khah m̄ kiann SSD hiông-hiông hāi--khì.",,
"Nov 3, 2018_251.wav",礤冰內底摻一寡Oreo嘛誠好食。,Tshuah-ping lāi-té tsham tsi̍t-kuá Oreo mā tsiânn hó-tsia̍h.,,
"Nov 3, 2018_252.wav",聽講in公司後日暗時愛辦一場party。,Thiann-kóng in kong-si āu-ji̍t àm-sî ài pān it-tiûnn party.,,
"Nov 3, 2018_253.wav",拄才公園內有誠濟人佇遐耍Pokémon。,Tú-tsiah kong-hn̂g-lāi ū tsiânn tsē lâng tī hia sńg Pokémon.,,
"Nov 3, 2018_254.wav",象仔隊今仔日摃遐䆀，一下仔就GG--矣。,"Tshiūnn-á-tuī kin-á-ji̍t kòng hiâ bái, tsi̍t-ē-á tō GG--ah.",,
"Nov 3, 2018_255.wav",伊上PTT去phoo文投in爸母按怎拄按怎，結果無人插--伊。,"I tsiūnn PTT khì phoo bûn tâu in pē-bú án-nuá tú án-nuá, kiat-kó bô lâng tshap--i.",,
"Nov 3, 2018_256.wav",這程式是用Python寫--的，因為Python的語法較簡單。,"Tse thîng-sik sī īng Python siá--ê, in-uī Python ê gí-huat khah kán-tan.",,
"Nov 3, 2018_257.wav",JS就是JavaScript啊，共你講你攏袂記得矣。,"JS tō sī JavaScript--a, kā lí kóng lí lóng bē-kì--tit--ah.",,
"Nov 3, 2018_258.wav",React佮Redux敆做伙用誠四序。,React kah Redux kap tsò-hué iōng tsiânn sù-sī.,,
"Nov 3, 2018_259.wav",這網站敢有用著Redux？,Tse bāng-tsām kám ū iōng-tio̍h Redux?,,
"Nov 3, 2018_260.wav",這馬寫網站誠忝頭，攏愛用著Webpack才有通做代誌。,"Tsit-má siá bāng-tsām tsiânn thiám-thâu, lóng-ài iōng-tio̍h Webpack tsiah ū thang tsò tāi-tsì.",,
"Nov 3, 2018_261.wav",Django是Python寫的一个開放的框，伊的軟體設計用MVT的模式，MVT分別代表Model模型，View介面佮Template枋模。,"Django sī Python siá ê tsi̍t-ê khai-hòng ê khing, i ê nńg-thé siat-kè iōng MVT ê bôo-sik, MVT hun-piat tāi-piáu Model bôo-hîng, View kài-bīn kah Template pang-bôo.",,
"Nov 3, 2018_262.wav",伊這馬寫的Javascript攏是用NodeJS走--的。,I tsit-má siá ê Javascript lóng-sī iōng NodeJS tsáu--ê.,,
"Nov 3, 2018_263.wav",誠濟學校頭一門課就是教C++的。,Tsiânn tsē ha̍k-hāu thâu tsi̍t mn̂g khò tō sī kà C plus plus--ê.,,
"Nov 3, 2018_264.wav",我是寫C的，你咧？,"Guá sī siá C--ê, lí--leh?",,
"Nov 3, 2018_265.wav",我拄才去看車，彼號TIIDA的後斗敢若閣袂䆀。,"Guá tú-tsiah khì-khuànn tshia, hit-lō TIIDA ê āu-táu kán-ná koh bē-bái.",,
"Nov 3, 2018_266.wav",阮兜攏駛Toyota的Camry，較慣勢。,"Guán tau lóng sái Toyota ê Camry, khah kuàn-sì.",,
"Nov 3, 2018_267.wav",你這領T-shirt皺皺，提去熨熨--咧--啦。,"Lí tsit niá T-shirt jiâu-jiâu, the̍h-khì ut-ut-leh--lah.",,
"Nov 3, 2018_268.wav",想欲家己看VR，就愛先去買一組較好的GPU設備。,"Siūnn-beh ka-kī khuànn VR, tō ài sing khì bé tsi̍t tsoo khah hó ê GPU siat-pī.",,
"Nov 3, 2018_269.wav",這陣AI足脬--的，講著AI就袂輸會趁大錢仝款。,"Tsit tsūn AI tsiok pha--ê, kóng-tio̍h AI tō bē-su ē thàn-tuā-tsînn kāng-khuán.",,
"Nov 3, 2018_270.wav",這个機器人的TTS是用HTS抑是Tacotron2做的？,Tsit ê ke-khì lâng ê TTS sī īng HTS ia̍h-sī Tacotron2 tsò--ê?,,
"Nov 3, 2018_271.wav",你敢捌聽過ABCD狗咬豬？,Lí kám bat thiann-kuè ABCD káu kā ti?,,
"Nov 3, 2018_272.wav",騎Gogoro電動車嘛無較恬，毋過毋免加油，只是不時愛去換ba̍t-té-lih。,"Khiâ Gogoro tiān-tōng-tshia mā bô khah tiām, m̄-koh m̄-bián ka-iû, tsí-sī put-sî ài khì uānn ba̍t-té-lih.",,
"Nov 3, 2018_273.wav",新竹車頭對面有一間SOGO，門ā無關，冷氣攏走--出來--矣。,"Sin-tik tshia-thâu tuì-bīn ū tsi̍t king SOGO, mn̂g ā bô kuainn, líng-khì lóng tsáu--tshut-lâi--ah.",,
"Nov 3, 2018_274.wav",In三个就痟Apple，逐擺出新的iPhone攏走去佮人排隊。,"In sann ê tō siáu Apple, ta̍k-pái tshut sin ê iPhone lóng tsáu-khì kah lâng pâi-tuī.",,
"Nov 3, 2018_275.wav",這頓予我請，我鑢VISA就好。,"Tsit tùn hōo guá tshiánn, guá lù VISA tō hó.",,
