Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
"Oct 27, 2018 1_199.wav",時鐘，時鐘，你哪會遮無閒?,"Sî-tsing, sî-tsing, lí ná ē tsiah bô-îng?",,
"Oct 27, 2018 1_200.wav",你的幸福佇佗位?,Lí ê hīng-hok tī tó-uī?,,
"Oct 27, 2018 1_201.wav",鉛筆盒仔貯啥物?,Iân-pit-a̍p-á té siánn-mi̍h?,,
"Oct 27, 2018 1_202.wav",啥人腹肚枵？,Siánn-lâng pak-tóo-iau?,,
"Oct 27, 2018 1_203.wav",你咧想啥物？,Lí teh siūnn siánn-mi̍h?,,
"Oct 27, 2018 1_204.wav",這本冊偌濟（juā-tsuē）錢？,Tsit pún tsheh juā-tsuē tsînn?,,
"Oct 27, 2018 1_205.wav",這个囡仔這改考試進步幾分？,Tsit ê gín-á tsit kái khó-tshì tsìn-pōo kuí-hun?,,
"Oct 27, 2018 1_206.wav",桌頂的箸賰幾跤？,Toh-tíng ê tī tshun kuí kha?,,
"Oct 27, 2018 1_207.wav",你暗頓想欲食啥物？,Lí àm-tǹg siūnn-beh tsia̍h siánn-mi̍h?,,
"Oct 27, 2018 1_208.wav",你做過啥物摒掃的工課？做的時陣愛注意啥貨？,Lí tsò-kuè siánn-mih piànn-sàu ê khang-khuè? Tsò ê sî-tsūn ài tsù-ì siánn-huè?,,
"Oct 27, 2018 1_209.wav",請問當時比賽？,Tshiánn-mn̄g tang-sî pí-sài?,,
"Oct 27, 2018 1_210.wav",咱的車位佇佗？,Lán ê tshia-uī tī toh?,,
"Oct 27, 2018 1_211.wav",空格仔內揀佗一个選項上妥當？,Khang-keh-á lāi kíng tó tsi̍t ê suán-hāng siōng thò-tòng?,,
"Oct 27, 2018 1_212.wav",請問下底佗一句的講法咱台語袂按呢講？,Tshiánn-mn̄g ē-té tó tsi̍t kù ê kóng-huat lán Tâi-gí bē án-ne kóng?,,
"Oct 27, 2018 1_213.wav",請問這句話描述的內容，袂當用下底佗一句來替？,"Tshiánn-mn̄g tsit kù uē biâu-su̍t ê luē-iông, bē-tàng iōng ē-té tó tsi̍t kù lâi thè?",,
"Oct 27, 2018 1_214.wav",請問下跤佗一項較符合對話的情境？,Tshiánn-mn̄g ē-kha tó tsi̍t hāng khah hû-ha̍p tuì-uē ê tsîng-kíng?,,
"Oct 27, 2018 1_215.wav",伊買佗三本冊？,I bé tó sann pún tsheh?,,
"Oct 27, 2018 1_216.wav",阿賢幾歲？講話的氣口袂輸大頭家。,A-hiân kuí huè? Kóng-uē ê khuì-kháu bē-su tuā thâu-ke.,,
"Oct 27, 2018 1_217.wav",老師拄才講的是啥物意思？我無細膩睏去矣，啥物攏無聽--ennh。,"Lāu-su tú-tsiah kóng--ê sī siánn-mih ì-sù? Guá bô-sè-jī khùn--khì--ah, siánn-mi̍h lóng bô thiann--ennh.",,
"Oct 27, 2018 1_218.wav",敲電話欲揣方小姐的是啥物人？,Khà-tiān-uē beh tshuē Png sió-tsiá--ê sī siánn-mih lâng?,,
"Oct 27, 2018 1_219.wav",阿婆佮先生娘上（siāng）有可能是啥物關係？,A-pô kah sian-sinn-niû siāng ū khó-lîng sī siánn-mih kuan-hē?,,
"Oct 27, 2018 1_220.wav",你若欲留字條仔予恁母仔，講你無欲轉來食暗頓，你愛按怎（án-nuá）寫？,"Lí nā beh lâu jī-tiâu-á hōo lín bú--á, kóng lí bô beh tńg-lâi tsia̍h àm-tǹg, lí ài án-nuá siá?",,
"Oct 27, 2018 1_221.wav",恁這个查某囝排第幾？,Lín tsit ê tsa-bóo-kiánn pâi tē-kuí?,,
"Oct 27, 2018 1_222.wav",請問丁太太的查某囝今年幾歲？,Tshiánn-mn̄g Ting thài-thài ê tsa-bóo-kiánn kin-nî kuí huè?,,
"Oct 27, 2018 1_223.wav",金瓜、香菇、結頭菜，你欲煮啥菜？,"Kim-kue, hiunn-koo, kiat-thâu-tshài, lí beh tsú siánn tshài?",,
"Oct 27, 2018 1_224.wav",阿娘搖，阿爹惜，搖來搖去，阿弟仔有睏無？,"A-niâ iô, a-tia sioh, iô-lâi-iô-khì, a-tī-á ū khùn--bô?",,
"Oct 27, 2018 1_225.wav",敲一通電話，問阮老母食飽矣未？,"Khà tsi̍t thong tiān-uē, mn̄g gún lāu-bú tsia̍h-pá--ah--bē?",,
"Oct 27, 2018 1_226.wav",這抑彼？,Tse ia̍h he?,,
"Oct 27, 2018 1_227.wav",這ê抑是彼ê（口語無變lê）？,Tsit ê a̍h-sī hit ê?,,
"Oct 27, 2018 1_228.wav",這个抑是彼个？,Tsit ê a̍h-sī hit ê?,,
"Oct 27, 2018 1_229.wav",阿妹仔是欲去台北，抑是欲去台南？,"A-mē-á sī beh khì Tâi-pak, ia̍h-sī beh khì Tâi-lâm?",,
"Oct 27, 2018 1_230.wav",你講咧?,Lí kóng--leh?,,
"Oct 27, 2018 1_231.wav",好啊，拜幾？,"Hó--ah, pài-kuí?",,
"Oct 27, 2018 1_232.wav",咱是拜幾欲培墓？,Lán sī pài-kuí beh puē-bōng?,,
"Oct 27, 2018 1_233.wav",明仔載初幾？,Bîn-á-tsài tshe-kuí?,,
"Oct 27, 2018 1_234.wav",Ī仔你買幾片？,Ī-á lí bué kuí phìnn?,,
"Oct 27, 2018 1_235.wav",今年是公元幾年？,Kin-nî sī kong-goân kuí nî?,,
"Oct 27, 2018 1_236.wav",這箍敢是你？,Tsit khoo kám sī lí?,,
"Oct 27, 2018 1_237.wav",你毋是講電腦真gâu、真巧？叫伊共我掠龍一下。,"Lí m̄ sī kóng tiān-náu tsin gâu, tsin khiáu? Kiò i kā guá lia̍h-lîng--tsi̍t-ē.",,
"Oct 27, 2018 1_238.wav",咱十點才來去會使無？,Lán tsa̍p tiám tsiah lâi--khì ē-sái--bô?,,
"Oct 27, 2018 1_239.wav",這枝筆你的，是無？,"Tsit ki pit lí--ê, sī--bô?",,
"Oct 27, 2018 1_240.wav",這枝筆你的是無？,Tsit ki pit lí--ê sī--bô?,,
"Oct 27, 2018 1_241.wav",這甕酒咱的著無？,Tsit àng tsiú lán--ê tio̍h--bô?,,
"Oct 27, 2018 1_242.wav",這枝筆伊的乎？,Tsit ki pit i--ê--honnh?,,
"Oct 27, 2018 1_243.wav",這任里長是阿賓伯著毋？,Tsit jīm lí-tiúnn sī A-pin peh tio̍h--m̄?,,
"Oct 27, 2018 1_244.wav",最近身體好無？,Tsuè-kīn sin-thé hó--bô?,,
"Oct 27, 2018 1_245.wav",近來身體好毋？,Kīn-lâi sin-thé hó--m̄?,,
"Oct 27, 2018 1_246.wav",近--來過了按怎？,Kīn--lâi kuè-liáu àn-tsuánn?,,
"Oct 27, 2018 1_247.wav",你有錢無？,Lí ū-tsînn--bô?,,
"Oct 27, 2018 1_248.wav",伊會來袂？,I ē lâi--bē?,,
"Oct 27, 2018 1_249.wav",伊會曉袂？,I ē-hiáu--bē?,,
"Oct 27, 2018 1_250.wav",你欲佮我做伙來去食飯無？,Lí beh kah guá tsò-hué lâi-khì tsia̍h-pn̄g--bô?,,
"Oct 27, 2018 1_251.wav",你欲佮阮鬥陣來去食飯乎？,Lí beh kah gún tàu-tīn lâi-khì tsia̍h-pn̄g--honnh?,,
"Oct 27, 2018 1_252.wav",會使借錢抑是袂sài？,Ē-sái tsioh tsînn ia̍h-sī bē-sài?,,
"Oct 27, 2018 1_253.wav",我穿按呢有媠抑無媠？,Guá tshīng án-ne ū suí a̍h bô suí?,,
"Oct 27, 2018 1_254.wav",跤開始咧疼矣，毋知影病院行會到行袂到？,"Kha khai-sí teh thiànn--ah, m̄ tsai-iánn pēnn-īnn kiânn ē kàu kiânn bē kàu?",,
"Oct 27, 2018 1_255.wav",食飽未？,Tsia̍h-pá--bē?,,
"Oct 27, 2018 1_256.wav",講好六點踮（tàm）遮相等，啊人le？,"Kóng hó la̍k tiám tàm tsia siòng tán, ah lâng le?",,
"Oct 27, 2018 1_257.wav",A-i你敢有快樂?,A-i lí kám ū khuài-lo̍k?,,
