Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,你做你走。,Lí tsò lí tsáu.
,請親愛的你莫做你行。,Tshiánn tshin-ài ê lí mài tsò lí kiânn.
,我聽你咧臭彈。,Guá thiann lí leh tshàu-tuānn.
,我較想嘛是厝內的狗仔。,Guá khah siūnn mā sī tshù-lāi ê káu-á.
,厝邊隔壁無熟似。,Tshù-pinn-keh-piah bô si̍k-sāi.
,行過來行過去。,Kiânn-kuè-lâi kiânn-kuè-khì.
,人客入來坐--iooh！,Lâng-kheh ji̍p-lâi tsē--iooh!
,雞湯面頂有一層油，愛啉愛先用khat仔掰開。,"Ke-thng bīn-tíng ū tsi̍t tsân iû, ài lim ài sing īng khat-á pué--khui."
,伊足gâu佮人交陪。,I tsiok gâu kah lâng kau-puê.
,In的交陪誠深。,In ê kau-puê tsiânn tshim.
,咱兩人交陪有lua̋深咧。,Lán nn̄g lâng kau-puê ū lua̋ tshim--leh.
,蘇先生咧交陪的台灣人應該嘛攏是學者。,Soo--sin-senn leh kau-puê ê Tâi-uân-lâng ing-kai mā lóng sī ha̍k-tsiá.
,人佮人交際也好，盤撋做生理也好，若講話會合就會當你兄我弟。,"Lâng kah lâng kau-tsè iā hó, puânn-nuá tsò-sing-lí iā hó, nā kóng-uē ē ha̍h tiō ē-tàng lí-hiann-guá-tī."
,伊知影，換準欲教in智識佮道理，頭先定著愛佮in跋感情。,"I tsai-iánn, uānn-tsún beh kà in tì-sik kah tō-lí, thâu-sing tiānn-tio̍h ài kah in pua̍h-kám-tsîng."
,阿勇仔坐啥物車去上班？,A-ióng--á tsē siánn-mih tshia khì siāng-pan?
,阿君--仔是坐啥物車來？哪會到這陣猶未到。,A-kun--á sī tsē siánn-mih tshia lâi? Ná-ē kàu tsit-tsūn iáu-buē kàu.
,電視講這禮拜的天氣啥款？出門敢(kánn)需要注意啥物？,Tiān-sī kóng tsit lé-pài ê thinn-khì siánn-khuán? Tshut-mn̂g kánn su-iàu tsù-ì siánn-mi̍h?
,請問國仔是按怎看起來無精神？昨暗睏無飽是毋？抑是昨暗耍規暝？,Tshiánn-mn̄g Kok--á sī án-tsuánn khuànn--khí-lâi bô tsing-sîn? Tsa-àm khùn bô pá sī--m̄? Ia̍h-sī tsa-àm sńg kui mê?
,足濟人咧臆阿陸仔會佇啥物時陣倒擔。,Tsiok tsē lâng leh ioh A-lio̍k-á ē tī siánn-mih sî-tsūn tó-tànn.
,爸仔囝頭一擺煮飯欲共母仔做生日，看起來真豐沛，想袂到「飯好，菜無好」。,"Pē-á-kiánn thâu tsi̍t pái tsú-pn̄g beh kā bú--á tsò-senn-ji̍t, khuànn--khí-lâi tsin phong-phài, siūnn bē kàu ""Pn̄g hó, tshài bô hó""."
,歹勢，猶未決定欲點啥。,"Pháinn-sè, á-bē kuat-tīng beh tiám siannh."
,拄才的代誌，我較歹勢，請閣予我一擺機會。,"Tú-tsiah ê tāi-tsì, guá khah pháinn-sè, tshiánn koh hōo guá tsi̍t pái ki-huē."
,你來我遮毋免客氣，盡量食無要緊。,"Lí lâi guá tsia m̄-bián kheh-khì, tsīn-liōng tsia̍h bô iàu-kín."
,豬仔飼到半年就會刣掉。,Ti-á tshī kàu puànn nî tiō ē thâi-tiāu.
,免考慮遐濟，毋管按怎去做就著矣。,"Bián khó-lū hiah tsē, m̄-kuán àn-tsuánn khì tsò tō tio̍h--ah."
,遮有一塊桌仔，頂懸有一本冊。,"Tsia ū tsi̍t tè toh-á, tíng-kuân ū tsi̍t pún tsheh."
,我會來。,Guá ē lâi.
,我袂來。,Guá buē lâi.
,你來聽啥人咧唱歌。,Lí lâi thiann siánn-lâng leh tshiùnn-kua.
,阿婆佮in新婦無蹛做伙。,A-pô kah in sin-pū bô tuà tsò-hué.
,二伯的症頭那來那像失智的款，緊叫in囝?￥ﾎﾻ予醫生看。,"Jī-peh ê tsìng-thâu ná lâi ná tshiūnn sit-tì ê khuán, kín kiò in kiánn tshuā-khì hōo i-sing khuànn."
,師娘竟然毋知阿吉仔是啥人。,Su-niû kìng-jiân m̄ tsai A-kit--á sī siánn-lâng.
,江小姐佮阿婆無仝人，你毋好認毋著去。,"Kang sió-tsiá kah a-pô bô-kâng lâng, lí m̄ hó jīn m̄-tio̍h--khì."
,查埔的大部分攏走去都市食頭路。,Tsa-poo--ê tuā-pōo-hūn lóng tsáu-khì too-tshī tsia̍h-thâu-lōo.
,戶口佇山區的查某人比佇庄跤的較濟。,Hōo-kháu tī suann-khu ê tsa-bóo-lâng pí tī tsng-kha--ê khah tsē.
,是戶口佇庄跤的查某人(ta-bóo-lâng)比查埔人(ta-poo-lâng)較濟，抑是講戶口佇山區的查埔人(ta-poo-lâng)比查某人(ta-bóo-lâng)較濟？,"Sī hōo-kháu tī tsng-kha ê ta-bóo-lâng pí ta-poo-lâng khah tsē, ia̍h-sī kóng hōo-kháu tī suann-khu ê ta-poo-lâng pí ta-bóo-lâng khah tsē?"
,虱目仔佇早前是啥物款人咧食的？,Sat-ba̍k-á tī tsá-tsîng sī siánn-mih khuán lâng leh tsia̍h--ê?
,虱目仔除了厚刺以外，閣有啥物特色？,"Sat-ba̍k-á tû-liáu kāu-tshì í-guā, koh ū siánn-mih ti̍k-sik?"
,飼虱目魚上頭先愛注意啥？,Tshī sat-ba̍k-hî siōng thâu-sing ài tsù-ì siannh?
,虱目仔的魚鱗有兩百外片，肉質鮮甜，尻脊骿食著粗絲。,"Sat-ba̍k-á ê hî-lân ū nn̄g-pah-guā phìnn, bah-tsit tshinn-tinn, ka-tsiah-phiann tsia̍h-tio̍h tshoo-si."
,老師的講法佮朋友的講法，佗一个是著的？,"Lāu-su ê kóng-huat kah pîng-iú ê kóng-huat, tó tsi̍t ê sī tio̍h--ê?"
,想看覓、講看覓，馬仔佮羊仔差佇佗？,"Siūnn khuànn-māi, kóng khuànn-māi, bé-á kah iûnn-á tsha tī toh?"
,紅蟳是蟳仔的一種。真歹，無好掠。,"Âng-tsîm sī tsîm-á ê tsi̍t tsióng. Tsin pháinn, bô hó lia̍h."
,這兩種蝦仔的體型大細差不多。,Tsit nn̄g tsióng hê-á ê thé-hîng tuā-sè tsha-put-to.
,這隻蠓仔真gâu覕，人揣無。,"Tsit tsiah báng-á tsin gâu bih, lâng tshuē-bô."
,這篇演說的標題號做啥物上適當？,Tsit phinn ián-suat ê phiau-tê hō-tsò siánn-mi̍h siōng sik-tòng?
,澳洲樹林是按怎會火燒山？,Ò-tsiu tshiū-nâ sī án-tsuánn ē hué-sio-suann?
,無你認為應該愛用啥物方法來牽成in兩个？,Bô lí jīn-uî ing-kai ài īng siánn-mih hong-huat lâi khan-sîng in nn̄g ê?
,這兩个換帖的感情真好，連車嘛仝色水。,"Tsit nn̄g ê uānn-thiap--ê kám-tsîng tsin hó, liân tshia mā kâng sik-tsuí."
,阿爸阿爸，頭拄仔阿公講「食屎」是啥物意思？,"A-pah a-pah, thâu-tú-á a-kong kóng ""tsia̍h sái"" sī siánn-mih ì-sù?"
