Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
"Oct 27, 2018 1_96.wav",In母的送十一kâi杯仔予伊。,In bú--ê sàng tsa̍p-it kâi pue-á hōo i.,,
"Oct 27, 2018 1_97.wav",我送予伊兩枝筆。,Guá sàng hōo i nn̄g ki pit.,,
"Oct 27, 2018 1_98.wav",媽大爸三歲。,Ma̋ tuā pa̋ sann huè.,,
"Oct 27, 2018 1_99.wav",In予賊仔偷提九十八萬箍。,In hōo tsha̍t-á thau-the̍h káu-tsa̍p-peh-bān khoo.,,
"Oct 27, 2018 1_100.wav",阿水伯仔送予我三十包糖仔。,A-tsuí-peh--á sàng hōo guá sann-tsa̍p pau thn̂g-á.,,
"Oct 27, 2018 1_101.wav",股票頂禮拜落660點，收盤收9300點。,"Kóo-phiò tíng lé-pài lo̍h la̍k-pah la̍k-tsa̍p tiám, siu-puânn siu káu-tshing sann-pah tiám.",,
"Oct 27, 2018 1_102.wav",我共伊討三十三張全聯的標仔，希望會赴得換雙人牌刀仔。,"Guá kā i thó sann-tsa̍p-sann tiunn Tsuân-liân ê phiau-á, hi-bāng ē-hù-tsit uānn Siang-lâng-pâi to-á.",,
"Oct 27, 2018 1_103.wav",我共伊相輸千三。,Guá kā i sio-su tshing-sann.,,
"Oct 27, 2018 1_104.wav",遮的lóng-tsòng（攏總）百九。恁兩个是欲分開算抑是做伙？,Tsia--ê lóng-tsòng pah-káu. Lín nn̄g ê sī beh pun-khui sǹg ia̍h-sī tsò-hué?,,
"Oct 27, 2018 1_105.wav",雙人套餐愛八百七，好額人才食會起啦。,"Siang-lâng thò-tshan ài peh-pah tshit, hó-gia̍h-lâng tsiah tsia̍h-ē-khí--lah.",,
"Oct 27, 2018 1_106.wav",爸共媽相輸兩千六講伊袂來。,Pa̋ kā ma̋ sio-su nn̄g-tshing la̍k kóng i bē lâi.,,
"Oct 27, 2018 1_107.wav",七七四十九工就出山。,Tshit tshit sì-tsa̍p-káu kang tō tshut-suann.,,
"Oct 27, 2018 1_108.wav",頭家，麻煩麵粉斤半。,"Thâu-ke, mâ-huân mī-hún kin-puànn.",,
"Oct 27, 2018 1_109.wav",頭家，三層一斤偌濟（luā-tsuē）？,"Thâu-ke, sam-tsân tsi̍t kin luā-tsuē?",,
"Oct 27, 2018 1_110.wav",一斤肉起到四百，悾--的才會佇過年買肉。,"Tsi̍t kin bah khí kàu sì-pah, khong--ê tsiah ē tī kuè-nî bé bah.",,
"Oct 27, 2018 1_111.wav",四把青菜一百喔！,Sì pé tshinn-tshài tsi̍t-pah--ooh!,,
"Oct 27, 2018 1_112.wav",遮的菜攏總五十。,Tsia ê tshài lóng-tsóng gōo-tsa̍p。,,
"Oct 27, 2018 1_113.wav",遮的菜lóng-tsòng（攏總）五十。,Tsia ê tshài lóng-tsòng gōo-tsa̍p。,,
"Oct 27, 2018 1_114.wav",猶閣有賰斗半的米。,Iáu-koh ū tshun táu-puànn ê bí.,,
