Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,人人去泅水，干焦阿英毋去。,"Lâng-lâng khì siû-tsuí, kan-na A-ing m̄ khì."
,事事攏愛倚靠人。,Sū-sū lóng ài uá-khò--lâng.
,日日消磨，無趁錢袂用得。,"Ji̍t-li̍t siau-môo, bô thàn-tsînn bē-īng--tit."
,步步攏愛教。,Pōo-pōo lóng ài kà.
,一一解說清楚。,It-it kái-sueh tshing-tshó.
,萬萬毋通去。,Bān-bān m̄-thang khì.
,足足予伊趁三百萬。,Tsiok-tsiok hōo i thàn sann-pah-bān.
,白白食一頓。,Pe̍h-pe̍h tsia̍h tsi̍t tǹg.
,這碗飯冷冷。,Tsit uánn pn̄g líng-líng.
,附近的工廠攏會佇三更半暝偷偷仔排垃圾水，所以最近溝仔水攏濁濁，逐家只好買RO水來lim。,"Hù-kīn ê kang-tshiúnn lóng ē tī sann-kenn-puànn-mê thau-thau-á pâi lah-sap-tsuí, sóo-í tsuè-kīn kau-á-suí lóng lô-lô, ta̍k-ke tsí-hó bé RO tsuí lâi lim."
,這粒梨仔脆脆真好食。,Tsit lia̍p lâi-á tshè-tshè tsin hó-tsia̍h.
,肉愛先佮料攪攪咧才開始煎。,Bah ài sing kah liāu kiáu-kiáu--leh tsiah khai-sí tsian.
,馬鈴薯佮蔥頭愛先抐抐開才通開始炒。,Má-lîng-tsî kah tshang-thâu ài sing lā-lā khui tsiah thang khai-sí tshá.
,抐抐咧就共崁起來翕一時。,Lā-lā--leh tō kā khàm khí-lâi hip--tsi̍t-sî.
,想想咧猶是決定bua̋i（無愛）去。,Siūnn-siūnn--leh iáu sī kuat-tīng bua̋i khì.
,睏睏咧才閣講。,Khùn-khùn--leh tsiah koh kóng.
,衫收收好緊去睏。,Sann siu-siu-hó kín khì khùn.
,肉愛炒炒熟才通好食。,Bah ài tshá-tshá-si̍k tsiah thang-hó tsia̍h.
,代誌愛共問問清楚。,Tāi-tsì ài kā mn̄g-mn̄g tshing-tshó.
,花矸仔囥佇遐好勢好勢，你共伊挵挵破創啥。,"Hue-kan-á khǹg tī hia hó-sè-hó-sè, lí kā i lòng-lòng--phuà tshòng siannh."
,阿弟仔猶未發喙齒，所擺媽(ma̋)攏愛先共飯哺哺幼才飼弟(ti̋)食。,"A-tī-á á-bē huat tshuì-khí, sóo-pái ma̋ lóng ài sing kā pn̄g pōo-pōo-iù tsiah tshī ti̋ tsia̍h."
,遐的索仔割割予斷。,Hia ê soh-á kuah-kuah hōo tn̄g.
,遐的塗豆共擘擘予開.,Hia-ê thôo-tāu kā peh-peh hōo khui.
,你若好奇烏蒜頭的做法，其實彼ā無啥，蒜頭擘擘予開曝予焦就完成矣。,"Lí nā hònn-kî oo-suàn-thâu ê tsò-huat, kî-si̍t he ā bô siánnh, suàn-thâu peh-peh hōo khui pha̍k hōo ta tō uân-sîng--ah."
,高麗愛烘烘予軟才切會開。,Ko-lê ài hang-hang hōo nńg tsiah tshiat ē khui.
,塑膠管愛烘烘予軟才有法度拗彎曲.,Sok-ka-kóng ài hang-hang hōo nńg tsiah ū huat-tōo áu uan-khiau.
,伊的面粉粉粉。,I ê bīn hún-hún-hún.
,這枝竹篙長長長。,Tsit ki tik-ko tn̂g-tn̂g-tn̂g.
,你麵煮甲燒燒燒。,Lí mī tsú kah sio-sio-sio.
,寒天的水冷冷冷。,Kuânn-thinn ê tsuí líng-líng-líng.
,肥肉食傷濟畏畏畏。,Puî-bah tsia̍h siunn-tsē uì-uì-uì.
,伊足大箍肉肉肉。,I tsiok tuā-khoo bah-bah-bah.
,彼蕊花開甲紅紅紅。,Hit luí hue khui-kah âng-âng-âng.
,彼粒石頭硬硬硬。,Hit lia̍p tsio̍h-thâu ngē-ngē-ngē.
,伊的皮膚白白白。,I ê phê-hu pe̍h-pe̍h-pe̍h.
,這碗塗豆湯炕甲綿綿綿，誠好落喉。,"Tsit uánn thôo-tāu-thng khòng kah mî-mî-mî, tsiânn hó lo̍h-âu."
,你的皮膚摸起來幼幼幼，袂輸咧gín-á咧。,"Lí ê phuê-hu bong--khí-lâi iù-iù-iù, bē-su teh gín-á--leh."
,山頂攏罩霧，白茫茫的啥物攏看無。,"Suann-tíng lóng tà-bū, pe̍h-bông-bông--ê siánn-mi̍h lóng khuànn-bô."
,伊驚甲面色白捽捽。,I kiann kah bīn-sik pe̍h-sut-sut.
,蔥仔佮菜頭攏白蔥蔥。,Tshang-á kah tshài-thâu lóng pe̍h-tshang-tshang.
,他的皮膚白蔥蔥的。,Thann ê phuê-hu pe̍h-tshang-tshang--ê.
,我的鞋仔洗甲白鑠鑠。,Guá ê ê-á sé kah pe̍h-siak-siak.
,光映映的店內啥物攏有咧賣，厝邊隔壁煮菜的時無鹽、無豆iu(油)，攏會叫厝裡的囡仔走來買。,"Kng-iànn-iànn ê tiàm-lāi siánn-mi̍h lóng ū teh bē, tshù-pinn-keh-piah tsú-tshài ê sî bô iâm, bô tāu-iu, lóng ē kiò tshù--lí ê gín-á tsáu-lâi bé."
,照理講，都九點外矣，外口的天色應當是光映映才著！為啥物猶閣是暗殕殕？,"Tsiàu lí kóng, to káu-tiám-guā--ah, guā-kháu ê thinn-sik ing-tong sī kng-iànn-iànng tsiah tio̍h! Uī-siánn-mi̍h iáu-koh sī àm-phú-phú?"
,月娘光映映，賊仔偷挖壁。,"Gue̍h-niû kng-iànn-iànn, tsha̍t-á thau óo piah."
,出去活跳跳，轉厝食一下死翹翹。,"Tshut--khì ua̍h-thiàu-thiàu, tńg tshù tsia̍h tsi̍t-ē sí-khiàu-khiàu."
,你頭毛喙鬚白，老硞硞矣，猶閣想欲佮人娶媠某喔？,"Lí thâu-mn̂g tshuì-tshiu pe̍h, lāu-khok-khok--ah, iáu-koh siūnn-beh kah lâng tshuā suí bóo--ooh?"
,等我趁有錢了後，咱來去世界行透透。,"Tán guá thàn ū tsînn liáu-āu, lán lâi-khì sè-kài kiânn-thàu-thàu."
,伊無暝無日南北二路行透透。,I bô-mê-bô-ji̍t lâm-pak-jī-lōo kiânn-thàu-thàu.
,伊咧問逐家欲食啥。我欲芳絳絳的油蔥餅，你咧？,"I teh mn̄g ta̍k-ke beh tsia̍h siánnh. Guá beh phang-kòng-kòng ê iû-tshang-piánn, lí--leh?"
,芳絳絳閣膨皮膨皮，真想欲共偷唚一下。,"Phang-kòng-kòng koh phòng-phuê-phòng-phuê, tsin siūnn-beh kā thau tsim--tsi̍t-ē."
