Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
"Oct 20, 2018 _135_tshua.wav",你坐佗一隻pue-lîng-ki?,Lí tsē tó tsi̍t tsiah pue-lîng-ki?,,
"Oct 20, 2018 _136.wav",這馬欲開始登機，A八空二班機的旅客，請到第1區排隊登機。,"Tsit-má beh khai-sí ting-ki, A pat khóng jī pan-ki ê lú-kheh, tshiánn kàu tē-it khu pâi-tuī ting-ki.",,
"Oct 20, 2018 _137.wav",坐頭等位的旅客，請到第三區登機。,"Tsē thâu-tíng-uī ê lú-kheh, tshiánn kàu tē-sann khu ting-ki.",,
"Oct 20, 2018 _138.wav",登機了後，行到你的位，共行李囥起去坐位頂面的櫥仔。,"Ting-ki liáu-āu, kiânn-kàu lí ê uī, kā hîng-lí khǹg khí-lí tsē-uī tíng-bīn ê tû-á.",,
"Oct 20, 2018 _139.wav",隨身行李請囥佇坐位下底的椅仔跤。,Suî-sin hîng-lí tshiánn khǹg tī tsē-uī ē-té ê í-á-kha.,,
"Oct 20, 2018 _140.wav",安全帶縖予好，等待起飛。,"An-tsuân-tuà hâ hōo hó, tán-thāi khí-pue.",,
"Oct 20, 2018 _141.wav",這馬欲起飛矣，安全帶縖予好，莫離開家己的位。,"Tsit-má beh khí-pue--ah, an-tsuân-tuà hâ hōo hó, mài lī-khui ka-tī ê uī.",,
"Oct 20, 2018 _142.wav",紲落來欲來紹介hue-lîng-ki的安全設備，逃生門佇hue-lîng-ki的兩爿，sàng-sòo-am佇頭殼頂，救生衣佇椅仔跤。,"Suà--lo̍h-lâi beh lâi siāu-kài hue-lîng-ki ê an-tsuân siat-pī, tô-sing-mn̂g tī hue-lîng-ki ê nn̄g-pîng, sàng-sòo-am tī thâu-khak-tíng, kiù-sing-i tī í-á-kha.",,
"Oct 20, 2018 _143.wav",若是拄著特殊的狀況，機長會共sàng-sòo拍開，sàng-sòo-am會對面頂落--落-來，請共sàng-sòo-am掛予好。,"Nā-sī tú-tio̍h ti̍k-sû ê tsōng-hóng, ki-tiúnn ē kā sàng-sòo phah--khui, sàng-sòo-am ē uì bīn-tíng la̍k--lo̍h-lâi, tshiánn kā sàng-sòo-am kuà hōo hó.",,
"Oct 20, 2018 _144.wav",若是有𤆬囡仔，請先共家己的sàng-sòo-om掛予好，先確定家己吸有sàng-sòo，才替囡仔掛。,"Nā-sī ū tshuā gín-á, tshiánn sing kā ka-tī ê sàng-sòo-om kuà hōo hó, sing khak-tīng ka-tī khip ū sàng-sòo, tsiah thè gín-á kuà.",,
