Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
"Nov 3, 2018.wav",坐--咧。,Tsē--leh.,,
"Nov 3, 2018_1.wav",坐咧食。,Tsē leh tsia̍h.,,
"Nov 3, 2018_2.wav",坐--咧就好。,Tsē--leh tō hó.,,
"Nov 3, 2018_3.wav",䖙--咧無要緊。,The--leh bô iàu-kín.,,
"Nov 3, 2018_4.wav",巡巡--咧。,Sûn-sûn--leh.,,
"Nov 3, 2018_5.wav",我看-著豬仔。,Guá khuànn-tio̍h ti-á.,,
"Nov 3, 2018_7.wav",我看--著的豬仔。,Guá khuànn--tio̍h ê ti-á.,,
"Nov 3, 2018_8.wav",我看--著--的。,Guá khuànn--tio̍h--ê.,,
"Nov 3, 2018_9.wav",我有看--著。,Guá ū khuànn--tio̍h,,
"Nov 3, 2018_10.wav",我看-著阿媽出門矣。,Guá khuànn-tio̍h a-má tshut-mn̂g--ah.,,
"Nov 3, 2018_11.wav",我看會著烏枋。,Guá khuànn ē tio̍h oo-pang。,,
"Nov 3, 2018_12.wav",你看會著的菜攏是有機的。,Lí khuànn ē tio̍h ê tshài lóng sī iú-ki--ê.,,
"Nov 3, 2018_13.wav",彼號雖然我有想--過。,Hit-lō sui-jiân guá ū siūnn--kuè.,,
"Nov 3, 2018_14.wav",我有想過未來欲創啥。,Guá ū siūnn-kuè bī-lâi beh tshòng siannh.,,
"Nov 3, 2018_15.wav",我刣過雞仔。,Guá thâi-kuè ke-á.,,
"Nov 3, 2018_16.wav",阿姨驚妹妹迒袂過溝仔。,A-î kiann mé-meh hānn bē kuè kau-á.,,
"Nov 3, 2018_17.wav",這回逃會過逃袂過啊？,Tsit huê tô ē kuè tô bē kuè--ah?,,
"Nov 3, 2018_18.wav",我食--過的料理百百款。,Guá tsia̍h-kuè--ê liāu-lí pah-pah-khuán.,,
"Nov 3, 2018_19.wav",賊仔拄著警察。,Tsha̍t-á tú-tio̍h kíng-tshat.,,
"Nov 3, 2018_20.wav",恁佇tueh（佗位）抾著錢？,Lín tī tueh khioh-tio̍h tsînn?,,
"Nov 3, 2018_21.wav",是阿土伯揣著--阮--的。,Sī A-thóo-peh tshuē-tio̍h--gún--ê.,,
