Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
"Mar 16, 2019_233.wav",你做你走。,Lí tsò lí tsáu.,,
"Mar 16, 2019_234.wav",請親愛的你莫做你行。,Tshiánn tshin-ài--ê lí mài tsò lí kiânn.,,
"Mar 16, 2019_235.wav",我聽你咧臭彈。,Guá thiann lí leh tshàu-tuānn.,,
"Mar 16, 2019_236.wav",我較想嘛是厝內的狗仔。,Guá khah siūnn mā sī tshù-lāi ê káu-á.,,
"Mar 16, 2019_237.wav",厝邊隔壁無熟似。,Tshù-pinn-keh-piah bô si̍k-sāi.,,
"Mar 16, 2019_238.wav",行過來行過去。,Kiânn kuè-lâi kiânn kuè-khì.,,
"Mar 16, 2019_239.wav",人客入來坐ōo！,Lâng-kheh ji̍p-lâi tsē ōo!,,
"Mar 16, 2019_240.wav",雞湯面頂有一沿油，愛啉愛先用khat仔掰開。,"Ke-thng bīn-tíng ū tsi̍t iân iû, ài lim ài sing iōng khat-á pué--khui.",,
"Mar 16, 2019_241.wav",伊足𠢕佮人交陪。,I tsiok gâu kah lâng kau-puê.,,
"Mar 16, 2019_242.wav",𪜶的交陪誠深。,In ê kau-puê tsiânn tshim.,,
"Mar 16, 2019_243.wav",咱兩人交陪有lua̋深咧。,Lán nn̄g lâng kau-puê ū lua̋ tshim--leh.,,
"Mar 16, 2019_244.wav",蘇先生咧交陪的台灣人應該嘛攏是學者。,Soo--sian-sinn leh kau-puê ê Tâi-uân-lâng ing-kai mā lóng sī ha̍k-tsiá.,,
"Mar 16, 2019_245.wav",人佮人交際也好，盤撋做生理也好，若講話會合就會當你兄我弟。,"Lâng kah lâng kau-tsè iā hó, puânn-nuá tsò-sing-lí iā hó, nā kóng-uē ē ha̍h tō ē-tàng lí-hiann-guá-tī.",,
"Mar 16, 2019_246.wav",伊知影，換準欲教𪜶智識佮道理，頭先定著愛佮𪜶跋感情。,"I tsai-iánn, uānn-tsún beh kà in tì-sik kah tō-lí, thâu-sing tiānn-tio̍h ài kah in pua̍h-kám-tsîng.",,
