Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,彼號a-lú-mih鼎誠輕,Hit-lō a-lú-mih tiánn tsiânn khin 【鋁 a-lú-mih 】
,這kâi a-lú-mih仔鼎誠輕,Tsit kâi a-lú-mih-á tiánn tsiânn khin 【鋁 a-lú-mih 】
,便所洗無清氣，a-móo-ní-á味會足重的喔。,"Piān-sóo sé bô tshing-khì, a-móo-ní-á bī ē tsiok tāng ê ooh. 【阿摩尼亞 a-móo-ní-á 】"
,A-ní-khih，你按呢講真有咱查埔人的氣口呢。,"A-ní-khih, lí án-ne kóng tsin ū lán tsa-poo-lâng ê khuì-kháu--neh. 【老兄 a-ní-khih 】"
,頭殼疼會當食一粒a-sír-phí-lín，看會較好無。,"Thâu-khak-thiànn ē-tàng tsia̍h tsi̍t lia̍p a-sír-phí-lín, khuànn ē khah hó--bô. 【阿斯匹林 a-sír-phí-lín 】"
,咱來去淡水食á-geh。,Lán lâi-khì Tām-tsuí tsia̍h á-geh. 【阿給 á-geh 】
,你會當去市仔買一寡á-geh轉來，暗時摻mi-só煮。,"Lí ē-tàng khì tshī-á bé tsi̍t-kuá á-geh tńg--lâi, àm-sî tsham mi-só tsú. 【油豆腐 á-geh 】"
,等一下舅公欲來，你愛出來共人a̋i-sat-tsuh喔。,"Tán--tsi̍t-ē kū-kong beh lâi, lí ài tshut-lâi kā lâng a̋i-sat-tsuh--ooh. 【打招呼 a̋i-sat-tsuh 】"
,這馬熱人到矣，ái-si̍rh-khu-lín-mù的銷路蓋好。,"Tsit-má juā--lâng kàu--ah, ái-si̍rh-khu-lín-mù ê siau-lōo kài hó. 【冰淇淋 ái-si̍rh-khu-lín-mù 】"
,等一下人客會愈來愈濟，你鬥共人àn-nāi一下。,"Tán--tsi̍t-ē lâng-kheh ē lú lâi lú tsuē, lí tàu kā lâng àn-nāi--tsi̍t-ē. 【招待 àn-nāi 】"
,今仔日的訂婚桌乎，敢會使請你替我共一寡同窗àn-nāi去in的位仔無？,"Kin-á-ji̍t ê tīng-hun toh--honnh, kám ē-sái tshiánn lí thè guá kā tsi̍t-kuá tông-tshong àn-nāi khì in ê uī-á--bô? 【引導 àn-nāi 】"
,喔，你雖然是查某囡仔，但是做代誌足a̍t-sá-lih的。,"Ooh, lí sui-jiân sī tsa-bóo-gín-á, tān-sī tsò tāi-tsì tsiok a̍t-sá-lih--ê. 【乾脆 a̍t-sá-lih 】"
,你毋知影彼个查某囡仔的個性，按呢逐一定會àu-tsuh的。,"Lí m̄ tsai-iánn hit ê tsa-bóo-gín-á ê kò-sìng, án-ne jiok it-tīng ē àu-tsuh--ê. 【出局 àu-tsuh 】"
,鐵釘仔釘歪去矣，你著愛攑bá-luh來共撬hoo開。,"Thih-ting-á tìng uai--khì--ah, lí tio̍h ài gia̍h bá-luh lâi kā kiāu hoo khui. 【拔釘器 bá-luh 】"
,咱這馬欲來去水尾𨑨迌，會當坐bá-suh去。,"Lán tsit-má beh lâi-khì Tsuí-bué thit-thô, ē-tàng tsē bá-suh khì. 【巴士 bá-suh 】"
,咱二十幾个人，會當租一台bá-suh去遐。,"Lán jī-tsa̍p-kuí ê lâng, ē-tàng tsoo tsi̍t tâi bá-suh khì hia. 【公共汽車 bá-suh 】"
,你定定用bá-tah𩛩sio̍k-pháng來食，會肥朒朒。,"Lí tiānn-tiānn iōng bá-tah kauh sio̍k-pháng lâi tsia̍h, ē puî-tsut-tsut. 【奶油 bá-tah 】"
,你會當用bai-óo-lín演奏一首來予逐家欣賞無？,Lí ē-tàng iōng bai-óo-lín ián-tsàu tsi̍t siú lâi hōo ta̍k-ke him-sióng--bô? 【小提琴 bai-óo-lín 】
,彼水果外口菇生遐爾長乎，ba̋i-khín足濟，毋好閣食矣，愛擲掉,"He tsuí-kó guā-kháu koo senn hiah-nī tn̂g--honnh, ba̋i-khín tsiok tsē, m̄ hó koh tsia̍h--ah, ài tàn-tiāu 【黴菌 ba̋i-khín 】"
,彼果子外口菇生遐爾長乎，ba̋i-khún足濟的。愛擲掉，毋通閣食矣。,"He kué-tsí guā-kháu koo senn hiah-nī tn̂g--honnh, ba̋i-khún tsiok tsē--ê. Ài tàn-tiāu, m̄ thang koh tsia̍h--ah. 【黴菌 ba̋i-khún 】"
,你拍咳啾愛用手去掩咧喔，若無ba̋i-khín會四界飛,"Lí phah-ka-tshiùnn ài īng tshiú khì am--leh--ooh, nā-bô ba̋i-khín ē sì-kè pue 【細菌 ba̋i-khín 】"
,你拍咳啾愛掩咧喔，若無掩牢，ba̋i-khún會四界飛,"Lí phah-ka-tshiùnn ài am--leh--ooh, nā-bô am-tiâu, ba̋i-khún ē sì-kè pue 【細菌 ba̋i-khún 】"
,你車bak-kuh愛注意後壁有人無。,Lí tshia bak-kuh ài tsù-ì āu-piah ū lâng--bô. 【倒車 bak-kuh 】
,這，出車禍了後，車的bàn-bà歪去矣……,"Tse, tshut tshia-hō liáu-āu, tshia ê bàn-bà uai--khì--ah... 【保險桿 bàn-bà 】"
,電視的báng-gà欲開始矣，緊開電視。,"Tiān-sī ê báng gà beh khai-sí--ah, kín khui tiān-sī. 【動畫片 báng-gà 】"
,鄭問的báng-gà足有藝術價值的，歡迎逐家來故宮欣賞。,"Tēnn-mn̄g ê báng-gà tsiok ū gē-su̍t kè-ta̍t--ê, huan-gîng ta̍k-ke lâi Kòo-kiong him-sióng. 【漫畫 báng-gà 】"
,彼電動車乎走袂振動，應該是無電矣。愛共ba̍t-té-lih提出來充電一下。,"He tiān-tōng-tshia--honnh tsáu bē tín-tāng, ing-kai sī bô-tiān--ah. Ài kā ba̍t-té-lih the̍h tshut-lâi tshiong-tiān--tsi̍t-ē. 【蓄電池 ba̍t-té-lih 】"
,彼台電動車走袂振動，恐kia̋nn是無電矣。愛共伊的ba̍t-té-luh挈出來充電一下。,"He tai5 tiān-tōng-tshia tsáu bē tín-tāng, khióng-kia̋nn sī bô-tiān--ah. Ài kā i ē ba̍t-té-luh khe̍h tshut-lâi tshiong-tiān--tsi̍t-ē. 【蓄電池 ba̍t-té-luh 】"
,遐有一堆人竟然咧提bat-tah四界舞。,Hiâ ū tsi̍t tui lâng kìng-jiân leh the̍h bat-tah sì-kè bú. 【球棒 bat-tah 】
,這馬的人攏食外口較濟，所以蓋濟bi-tá-bín攏有欠。,"Tsit-má ê lâng lóng tsia̍h guā-kháu khah tsē, sóo-í kài tsē bi-tá-bín lóng ū khiàm. 【維他命 bi-tá-bín 】"
,熱人乎，就是來一杯冰涼的bì-lù，予心涼脾土開。,"Juā--lâng--honnh, tō sī lâi tsi̍t pue ping-liâng ê bì-lù, hōo sim liâng pî-thóo khui. 【啤酒 bì-lù 】"
,Tsâng看的彼場bo̍k-sìn-gù，才拄開始無偌久就共對手KO去矣。,"Tsâng khuànn--ê hit tiûnn bo̍k-sìn-gù, tsiah tú khai-sí bô-guā-kú tō kā tuì-tshiú KO--khì--ah. 【拳擊 bo̍k-sìn-gù 】"
,有影真奇怪，彼號投手今仔日哪會一直投bòo-lù。,"Ū-iánn tsin kî-kuài, hit-lō tâu-tshiú kin-á-ji̍t ná ē it-ti̍t tâu bòo-lù. 【壞球 bòo-lù 】"
,這馬一寡予少女穿的bu-là-jià攏有車lè-sù。,Tsit-má tsi̍t-kuá hōo siàu-lú tshīng--ê bu-là-jià lóng ū tshia lè-sù. 【胸罩 bu-là-jià 】
,你看你規身軀去予油噴甲按呢，你若欲糋物件你著先穿e-pú-lóng。,"Lí khuànn lí kui-sing-khu khì hōo iû phùn kah án-ne, lí nā beh tsìnn mi̍h-kiānn lí tio̍h sing tshīng e-pú-lóng. 【圍裙 e-pú-lóng 】"
,你先穿e-pú-lóng才閣糋番薯，才毋驚予油噴甲規身軀攏是。,"Lí sing tshīng e-pú-lóng tsiah koh tsìnn han-tsî, tsiah m̄-kiann hōo iû phùn kah kui-sing-khu lóng sī. 【圍裙 e-pú-lóng 】"
,緊來共我鬥看覓這台oo-tóo-bái是毋是有啥問題，ga-sóo-lín的味真重呢。,"Kín lâi kā guá tàu khuànn-māi tsit tâi oo-tóo-bái sī m̄ sī ū siánn būn-tê, ga-sóo-lín ê bī tsin tāng--neh. 【汽油 ga-sóo-lín 】"
,夭壽喔，後個月gá-suh閣欲起價矣。,"Iáu-siū--ooh, āu kòo gue̍h gá-suh koh beh khí-kè--ah. 【瓦斯 gá-suh 】"
,你彼號gá-suh是毋是無關？有gá-suh味走出來。,Lí hit-hō gá-suh sī m̄ sī bô kuainn? Ū gá-suh bī tsáu--tshut-lâi. 【瓦斯 gá-suh 】
,到今嘛是足濟少年人會彈gì-tà去逐查某囡仔。,Kàu-tann mā-sī tsiok tsē siàu-liân-lâng ē tuânn gì-tà khì jiok tsa-bóo-gín-á. 【吉他 gì-tà 】
,咱來giāng看啥先出來比賽。,Lán lâi giāng khuànn siánn sing tshut-lâi pí-sài. 【猜拳 giāng 】
,咱來jia̋ng-kín看啥先去食飯。,Lán lâi jia̋ng-kín khuànn siánn sing khì tsia̍h-pn̄g. 【猜拳 jia̋ng-kín 】
,Gōo-bōo較柯、較粗絲，嘛幫助咱消化，你愛加食一點仔。,"Gōo-bōo khah kua, khah tshoo-si, mā pang-tsōo lán siau-huà, lí ài ke tsia̍h--tsi̍t-tiám-á. 【牛蒡 gōo-bōo 】"
,goo-lú-huh是一款蓋高級的運動。,Goo-lú-huh sī tsi̍t khuán kài ko-kip ê ūn-tōng. 【高爾夫球 goo-lú-huh 】
,ko-ní-kiû是一款蓋高級的運動。,Ko-ní-kiû sī tsi̍t khuán kài ko-kip ê ūn-tōng. 【高爾夫球 ko-ní-kiû 】
,Há-muh𩛩sio̍k-pháng是蓋濟囡仔上愛食的。,Há-muh kauh sio̍k-pháng sī kài tsē gín-á siōng ài tsia̍h--ê. 【洋火腿 há-muh 】
,今ha̋i-khé-khá-kuh已經毋是啥物傷過嚴重的病矣。,Tann ha̋i-khé-khá-kuh í-king m̄ sī siánn-mi̍h siunn-kuè giâm-tiōng ê pīnn--ah. 【肺結核 ha̋i-khé-khá-kuh 】
,咱會用得租一台hài-ià去𨑨迌。,Lán ē-īng-eh tsoo tsi̍t tâi hài-ià khì thit-thô. 【包租汽車 hài-ià 】
,彼hài-ià是烏頭仔車啦。,He hài-ià sī oo-thâu-á-tshia--lah. 【高級轎車 hài-ià 】
