Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,我是阿宏。各位觀眾朋友，逐家gâu早。,"Guá-sī A-hông. Kok-uī kuan-tsiòng-pîng-iú, ta̍k-ke gâu-tsá."
,咱來看這禮拜的天氣。,Lán lâi khuànn tsit lé-pài ê thinn-khì.
,對這張圖面頂乎，咱來看遮。,"Tuì tsit tiunn tôo bīn-tíng--honnh, lán lâi khuànn tsia."
,佇太平洋遮有一个足厚的雲，這个雲就是熱帶性低氣壓。,"Tī thài-pîng-iûnn tsia ū tsi̍t ê tsiok kāu ê hûn, tsit ê hûn tō-sī jia̍t-tài-sìng kē-khì-ap."
,低氣壓入來南海了後會增強，差不多是今仔日暗時抑是明仔載會變做風颱。,"Kē-khì-ap ji̍p-lâi lâm-hái liáu-āu ē tsing-kiông, tsha-put-to sī kin-á-ji̍t àm-sî ia̍h-sī bîn-á-tsài ē piàn-tsò hong-thai."
,差不多是拜六暗到禮拜，所以去澎湖、金門的朋友，抑是欲出國的朋友著較細膩的。,"Tsha-put-to sī pài-la̍k àm kàu lé-pài, sóo-í khì Phênn-ôo, Kim-mn̂g ê pîng-iú, ia̍h-sī beh tshut-kok ê pîng-iú tio̍h khah sè-jī--ê."
,啊對咱台灣的影響就是雲會徙較倚入來，會有西北雨。,"Ah tuì lán Tâi-uân ê íng-hióng tō sī hûn ē suá khah uá--ji̍p-lâi, ē ū sai-pak-hōo."
,紲落來，今年第五號風颱，珍珠風颱，佇遮。,"Suà--lo̍h-lâi, kin-nî tē gōo hō hong-thai, Tsin-tsu hong-thai, tī tsia."
,這个風颱，差不多是拜六、禮拜經過日本東爿的外海。,"Tsit ê hong-thai, tsha-put-to sī pài-la̍k, lé-pài king-kuè Ji̍t-pún tang-pîng ê guā-hái."
,猶毋過離日本應該閣有一塊仔，應該是無直接的影響。但是會有雨啦。,"Á-m̄-koh lī Ji̍t-pún ing-kai koh ū tsi̍t-tè-á, ing-kai sī bô ti̍t-tsiap ê íng-hióng. Tān-sī ē ū hōo--lah."
,所以講，欲去日本的朋友，可能會小可仔受著天氣的影響，但是風颱應該是無啥影響。,"Sóo-í kóng, beh khì Ji̍t-pún ê pîng-iú, khó-lîng ē sió-khuá-á siū-tio̍h thinn-khì ê íng-hióng, tān-sī hong-thai ing-kai sī bô siánn íng-hióng."
,啊佮咱台灣有關係的是拄才講的，南爿水氣紮入來，一直到拜三。,"Ah kah lán Tâi-uân ū kuan-hē--ê sī tú-tsiah kóng--ê, lâm-pîng tsuí-khì tsap--ji̍p-lâi, it-ti̍t kàu pài-sann."
,可能南部、東部會有淡薄仔雨。北部、中部可能著愛注意西北雨。,"Khó-lîng lâm-pōo, tang-pōo ē ū tām-po̍h-á hōo. Pak-pōo, tiong-pōo khó-lîng tio̍h ài tsù-ì sai-pak-hōo."
,所以觀眾朋友出門愛會記得紮雨傘喔。,Sóo-í kuan-tsiòng-pîng-iú tshut-mn̂g ài ē-kì-tit tsap hōo-suànn--ooh.
,未來天氣差不多是這種情形。,Bī-lâi thinn-khì tsha-put-to sī tsit-tsióng tsîng-hîng.
,若問講最近紲落來敢閣會有風颱？上少這四五工是無khuàinn啦。觀眾朋友應該是免煩惱。,Nā mn̄g kóng tsuè-kīn suà--lo̍h-lâi kám koh ē ū hong-thai? Siāng-tsió tsit sì-gōo-kang sī bô khuàinn--lah. Kuan-tsiòng pîng-iú ing-kai sī bián huân-ló.
