Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
"Mar 23, 2019_148.wav",伊想欲偝阿媽去予醫生看。,I siūnn-beh āinn a-má khì hōo i-sing khuànn.,,
"Mar 23, 2019_149.wav",有的人annh這个家庭無法度生活矣乎，繳袂起學費矣乎，啊結果政府你開遐爾濟錢。,"Ū-ê lâng--annh tsit ê ka-tîng bô-huat-tōo sing-ua̍h--ah--honnh, kiáu bē khí ha̍k-huì--ah--honnh, ah kiat-kó tsìng-hú lí khai hiah-nī tsē tsînn.",,
"Mar 23, 2019_150.wav",狗仔àunn-àunn叫。,Káu-á àunn-àunn kiò.,,
"Mar 23, 2019_151.wav",利頭攏予控制通路的菜蟲貿貿去。,Lī-thâu lóng hōo khòng-tsè thong-lōo ê tshài-thâng ba̍uh-ba̍uh--khì.,,
"Mar 23, 2019_152.wav",咱拚命作穡，好空煞𪜶咧卯？,"Lán piànn-miā tsoh-sit, hó-khang suah in teh báu?",,
"Mar 23, 2019_153.wav",阿扁仔hông拘押，主要是防止串供佮湮滅證據。,"A-pínn--á hông khu-ah, tsú-iàu sī hông-tsí tshuàn-king kah ian-bia̍t tsìng-kì.",,
"Mar 23, 2019_154.wav",阿扁仔hông拘押，主要是防止串供佮湮滅證據。,"A-pínn--á hông khu-ah, tsú-iàu sī hông-tsí tshuàn-king kah ian-bia̍t tsìng-kì.",,
"Mar 23, 2019_155.wav",趙光明做財神菩薩，林默仔姊做天上聖母。,"Tiō Kong-bîng tsò tsâi-sîn phôo-sat, Lîm Bi̍k-á-tsé tsò Thian-siōng Sìng-bió.",,
"Mar 23, 2019_156.wav",這也是審判司應該辦的罪，因為我按呢是背謬佇頂面的上帝。,"Tse iā sī sím-phuànn-si ing-kai pān ê tsuē, in-uī guá án-ne sī puē-biū tī tíng-bīn ê siōng-tè.",,
"Mar 23, 2019_157.wav",跋餅著準備，代先唱規矩。眾人聽分明，事後莫纓纏。,"pua̍h-piánn tio̍h tsún-pī, tāi-sing tshiàng kui-kí. Tsìng-lâng thiann hun-bîng, sū-āu bo̍h înn-tînn.",,
"Mar 23, 2019_158.wav",我講buaih就buaih啦。,Guá kóng buaih tō buaih--lah.,,
"Mar 23, 2019_159.wav",我一屑仔都bua̋i相信遮的出題委員的操守。,Guá tsi̍t-sut-á to bua̋i siong-sìn tsia-ê tshut-tê uí-uân ê tshau-siú.,,
"Mar 23, 2019_160.wav",毋甘某著癌受折磨，尪𤆬某跳海行短路。,"M̄-kam bóo tio̍h-gâm siū-tsiat-buâ, ang tshuā bóo thiàu-hái kiânn-té-lōo.",,
"Mar 23, 2019_161.wav",查某囡仔想欲捾水沃花。,Tsa-bóo gín-á siūnn-bueh kuānn-tsuí ak-hue.,,
"Mar 23, 2019_162.wav",一雙襪仔。,Tsi̍t siang bue̍h-á.,,
"Mar 23, 2019_163.wav",伊講欲。,I kóng bueh.,,
"Mar 23, 2019_164.wav",我的目睭猶沙微沙微，未洗面就趕緊去拜訪。,"Guá ê ba̍k-tsiu iáu sa-bui-sa-bui, buē sé-bīn tō kuánn-kín khì pài-hóng.",,
"Mar 23, 2019_165.wav",咱遮爾靠俗，毋才直接叫你ennh，今莫受氣啦。,"Lán tsiah-nī khò-sio̍k, m̄-tsiah ti̍t-tsiap kiò lí--ennh, tann mài siūnn-khì--lah.",,
"Mar 23, 2019_166.wav",聽你咧講bàng-gah話。,Thiann lí teh kóng bàng-gah uē.,,
"Mar 23, 2019_167.wav",阿姑佮姑丈看一下愣愣。,A-koo kah koo-tiūnn khuànn tsi̍t-ē gāng-gāng.,,
"Mar 23, 2019_168.wav",Gat-lá油閣叫做番仔油，是較早散凶人暝時點火照光的油料。,"Gat-lá-iû koh kiò-tsò huan-á-iû, sī khah-tsá sàn-hiong-lâng mê--sî tiám-hué tsiò-kng ê iû-liāu.",,
"Mar 23, 2019_169.wav",一支闊喙的玻璃藥水罐仔，罐喙橐一kâi會當穿棉紗帶的燈芯座，gat-lá油添滇，就會使得點火炤光。,"Tsi̍t ki khuah-tshuì ê po-lê io̍h-tsuí kuàn-á, kuàn-tshuì lop tsi̍t kâi ē-tàng tshng mî-se-tuà ê ting-sim-tsō, gat-lá-iû thiam tīnn, tō ē-sái-tit tiám-hué tshiō-kng.",,
"Mar 23, 2019_170.wav",講一句無輸贏的，惡妻孽子無可治。,"Kóng tsi̍t kù bô su-iânn--ê, ok-tshe gia̍t-tsú bô khó tī.",,
"Mar 23, 2019_171.wav",講一句無輸贏的，惡妻孽子無可治。,"Kóng tsi̍t kù bô su-iânn--ê, ok-tshe gia̍t-tsú bû khó tī.",,
"Mar 23, 2019_172.wav",砌磚仔師傅是𠢕，下面彼个小工才是厲害。一塊磚、一𣁳紅毛塗，攏送準準。,"Gih tsng-á sai-hū buē sī gâu, ē-bīn hit ê sió-kang tsiah-sī lī-hāi. Tsi̍t tè tsng, tsi̍t khat âng-môo-thôo, lóng sàng-tsún-tsún.",,
"Mar 23, 2019_173.wav",和序細講咱家己的話都會礙虐。,Hām sî-sè kóng lán ka-tī ê uē to ē gāi-gio̍h.,,
"Mar 23, 2019_174.wav",廟寺佮信仰有箍倚社區的功能。,Biō-sī kah sìn-gióng ū khoo-uá siā-khu ê kong-lîng.,,
"Mar 23, 2019_175.wav",每桌攏有十路菜色，包含出名的虱目魚五柳居、炊粉蟯(giô)蒜頭、煠白醋蝦仔等等。,"Muí toh lóng ū tsa̍p-lōo tshài-sik, pau-hâm tshut-miâ ê sat-ba̍k-hî ngóo-liú-ki, tshue hún-giô suàn-thâu, sa̍h pe̍h-tshòo hê-á tíng-tíng.",,
"Mar 23, 2019_176.wav",看起來情況岌岌可危。,Khuànn--khí-lâi tsîng-hóng gi̍p-gi̍p-khó-guî.,,
"Mar 23, 2019_177.wav",柳丁酸giuh-giuh。,Liú-ting sng-giuh-giuh.,,
"Mar 23, 2019_178.wav",好心的鱷魚先生！你是佇世間第一好心的鱷魚。,Hó-sim ê go̍k-hî sian-sinn! Lí sī tī sè-kan tē-it hó-sim ê go̍k-hî.,,
