Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
"Apr 20, 2019_5.wav",毋過有一个阿伯仔伊真凍霜，算盤擉擉咧講：「Aih-iah，按呢毋通！」,"M̄-koh ū tsi̍t ê a-peh--á i tsin tàng-sng, sǹg-puânn tia̍k-tia̍k--leh kóng: ""Aih-iah, án-ne m̄-thang!""",,
"Apr 20, 2019_6.wav",這對老tiâng-siū翁仔某牽手規世人，做伙守護這段珍貴的愛情。,"Tsit tuì lāu-tiâng-siū ang-á-bóo khan-tshiú kui-sì-lâng, tsò-hué siú-hōo tsit tuann tin-kuì ê ài-tsîng.",,
"Apr 20, 2019_7.wav",導演楊雅哲邀請信樂團的前主唱信佮十幾个義工，鬥翕反核廣告。,"Tō-ián Iûnn Ngá-tiat iau-tshiánn sìn-ga̍k-thuân ê tsîng tsú-tshiùnn Sìn kah tsa̍p-kuí ê gī-kang, tàu hip huán-hu̍t kóng-kò.",,
"Apr 20, 2019_8.wav",翁毋挃某，某毋挃翁。,"Ang m̄-ti̍nnh bóo, bóo m̄-ti̍nnh ang.",,
"Apr 20, 2019_9.wav",佇左營的宏南、宏毅宿舍包括無仝時期的建築設計，是全台灣從到今上完整的社區。,"Tī Tsó-iânn ê Hông-lâm, Hông-gē sok-sià pau-kuat bô-kâng sî-kî ê kiàn-tio̍k siat-kè, sī tsuân Tâi-uân tsîng-kàu-tann siōng uân-tsíng ê siā-khu.",,
"Apr 20, 2019_10.wav",因為血癌定定需要化療，治療過程予伊疼搐搐。,"In-uī hueh-gâm tiānn-tiānn su-iàu huà-liâu, tī-liâu kuè-thîng hōo i thiànn-tiuh-tiuh.",,
"Apr 20, 2019_11.wav",放榜了後才來毋敢佮人相tòm頭。,Hòng-pńg liáu-āu tsiah lâi m̄-kánn kah lâng sio tòm-thâu.,,
"Apr 20, 2019_12.wav","請你佇""tonn""一聲了後開始留話，多謝。","Tshiánn lí tī ""tonn"" tsi̍t siann liáu-āu khai-sí lâu-uē, to-siā.",,
"Apr 20, 2019_13.wav",伊講橄欖滋味誠讚，小可甘甜甘甜，食著喙齒瀾to̍p-to̍p-tin。,"I kóng kan-ná tsu-bī tsiânn-tsán, sió-khuá kam-tinn kam-tinn, tsia̍h-tio̍h tshuì-khí-nuā to̍p-to̍p-tin.",,
"Apr 20, 2019_14.wav",因為過敏，致使掛手指的倒手尾二指腫甲佮煙腸平大。,"In-uī kuè-bín, tì-sú kuà tshiú-tsí ê tò-tshiú bué-jī-tsáinn tsíng kah kah ian-tshiâng pênn tuā.",,
"Apr 20, 2019_15.wav",路欲tsê-tsánn上緊嘛是明年年中。,Lōo beh tsê-tsánn siāng-kín mā-sī mê-nî nî-tiong.,,
"Apr 20, 2019_16.wav",求你予歹人見笑，予𪜶佇陰間靜tsauh-tsauh。,"Kiû lí hōo pháinn-lâng kiàn-siàu, hōo in tī im-kan tsīng-tsauh-tsauh.",,
"Apr 20, 2019_17.wav",咱人若著生驚，心臟phi̍h-pho̍k-tsháinn、喘大氣，手自然會去挲捋（so-lua̍h）家己的胸坎。,"Lán lâng nā tio̍h-tshenn-kiann, sim-tsōng phi̍h-pho̍k-tsháinn, tshuán-tuā-khuì, tshiú tsū-liân ē khì so-lua̍h ka-tī ê hing-khám.",,
"Apr 20, 2019_18.wav",這時又閣放炮、大鑼大鼓，tshinn-tshinn錚錚。,"Tsit-sî iū-koh pàng-phàu, tuā-lô-tuā-kóo, tshinn-tshinn-tshānn-tshānn.",,
"Apr 20, 2019_19.wav",我的奶水嘈嘈滴。,Guá ê ling-tsuí tsha̍uh-tsha̍uh-tih.,,
"Apr 20, 2019_20.wav",你莫嚇驚我，害我心肝嚓一下。,"Lí mài heh-kiann--guá, hāi guá sim-kuann tshia̍k--tsi̍t-ē.",,
"Apr 20, 2019_21.wav",有錢的查埔人娶三妻四妾是真四常的代誌。,Ū-tsînn ê tsa-poo-lâng tshuā sam-tshe-sù-tshiap sī tsin sù-siông ê tāi-tsì.,,
"Apr 20, 2019_22.wav",規路廣播電台佇我耳空邊tshia̍uh-tshia̍uh叫，話講袂停。,"Kui-lōo kóng-pò-tiān-tâi tī-guá hī-khang pinn tshia̍uh-tshia̍uh-kiò, uē kóng bē thîng.",,
"Apr 20, 2019_23.wav",欲予人請，逐家攏穿甲hóng-tshiauh-tshiauh。,"Beh hōo lâng tshiánn, ta̍k-ke lóng tshīng kah hóng-tshiauh-tshiauh.",,
"Apr 20, 2019_24.wav",佇遠遠有聽著幾个婦人人tshinnh-tshinnh的聲。,Tī hn̄g-hn̄g ū thiann-tio̍h kuí ê hū-jîn-lâng tshinnh-tshinnh ê siann.,,
"Apr 20, 2019_25.wav",𪜶兜彼張眠床是六尺五尺的，抑是六尺四方的？,"In tau hit tiunn bîn-tshn̂g sī la̍k-tshioh gōo-tshioh--ê, ia̍h-sī la̍k tshioh sù-hong-ê?",,
"Apr 20, 2019_26.wav",法院已經發出通緝令，洪先生插翅都難飛。,"Huat-īnn í-king huat-tshut thong-tship-līng, Âng sian-sinn tshah-si̍t to lân pue.",,
"Apr 20, 2019_27.wav",隔壁阿伯ha-tshiuh一下煞閃著腰.,Keh-piah a-peh ha-tshiuh—tsi̍t-ē suah siám-tio̍h-io.,,
"Apr 20, 2019_28.wav",Ha-tshiuh遐大聲是欲死人hiooh.,Ha-tshiuh hiah tuā-siann sī beh sí-lâng--hiooh.,,
"Apr 20, 2019_29.wav","伊tshi̍h-tshi̍h-tshn̍gh-tshn̍gh咧吼,你敢攏無聽eh?","I tshi̍h-tshi̍h-tshn̍gh-tshn̍gh teh háu, lí kám lóng bô-thiann--eh?",,
"Apr 20, 2019_30.wav",咱敢著閣煩惱後擺伊會無要無意就tshoh樹仔，拆歷史建築？,"Lán kám tio̍h koh huân-ló āu-pái i ē bô-iàu-bô-ì tō tshoh tshiū-á, thiah li̍k-sú kiàn-tio̍k?",,
"Apr 20, 2019_31.wav",鹽一撮仔就好矣。,Iâm tsi̍t-tshok-á tō hó--ah.,,
"Apr 20, 2019_32.wav",啊這條錢敢提會tshuaih.,Ah tsit-tiâu tsînn kám the̍h ē tshuaih.,,
"Apr 20, 2019_33.wav",我已經分會tshua̋i方向 。,Guá í-king hun ē tshua̋i hong-hiòng.,,
"Apr 20, 2019_34.wav",你就門乎tsua̋nn攏閂閂起來。,Lí tō mn̂g--honnh tsua̋nn lóng tshuànn-tshuànn--khí-lâi.,,
"Apr 20, 2019_35.wav",聽伊哭甲真慘慼，死翁頭殼插白花。想欲閣問一句話，驚予伊嘛袂曉說。,"Thiann i khàu-kah tsin tshám-tshueh, sí ang thâu-khak tshah pe̍h-hue. Siūnn-beh koh mn̄g tsi̍t kù uē, kiann hōo i mā bē-hiáu sueh.",,
