Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
"Oct 8, 2018 _243.wav",話頭、作者kā讀者諸君報告,"Uē-thâu, tsok-tsiá kā tho̍k-tsiá tsu-kun pò-kò",,
"Oct 8, 2018 _244.wav",劉承賢,Lâu Sîng-hiân,,
"Oct 8, 2018 _245.wav",若以早我真厚話，愛我起攔頭，寫--幾-頁-仔無問題，毋過十冬to過--ah，欲愛我kā第二本冊起一下仔khiàn，我有影毋知欲寫啥，下跤簡單交代--一-下就好。,"Nā í-tsá guá tsin kāu-uē, ài guá khí ânn thâu, siá--kuí-ia̍h-á bô būn-tê, m̄-kò tsa̍p tang to kuè--ah, beh ài guá kā tē jī pún tsheh khí tsi̍t-ē-á khiàn, guá ū-iánn m̄-tsai beh siá siánnh, ē-kha kán-tan kau-tāi--tsi̍t-ē tō hó.",,
"Oct 8, 2018 _246.wav",Tsit八篇故事，我毋知欲按怎排前後，所以就照時間，uì最近寫--ê排去kah上進前，,"Tsit peh phian kòo-sū, guá m̄-tsai beh án-tsuánn pâi tsîng-āu, sóo-í tō tsiàu sî-kan, uì tsuè-kīn siá--ê pâi khì kah siōng tsìn-tsîng,",,
"Oct 8, 2018 _247.wav",上尾hit篇〈煞戲〉ê頭前一半，是2008年寫--ê，拄拄是《倒轉》出版hit一冬，,"Siōng-bué hit phian 〈 Suah-hì 〉 ê thâu-tsîng tsi̍t-puànn, sī 2008 nî siá--ê, tú-tú sī 《 Tò-tńg 》 tshut-pán hit tsi̍t tang,",,
"Oct 8, 2018 _248.wav",Uì tsia thang知tsit擺收--入-來--ê，就是我tsit十冬踮小說tsit个文類攏總ê成果（假使我無落勾來講）。,"Uì tsia thang tsai tsit pái siu--ji̍p-lâi--ê, tsiū-sī guá tsit tsa̍p tang tiàm siáu-suat tsit ê bûn-luī lóng-tsóng ê sîng-kó ( ká-sú guá bô làu-kau lâi-kóng ).",,
"Oct 8, 2018 _249.wav",十冬tsiah寫按呢，當然我會當會（huē）講to真濟時間開佇讀冊、寫論文、寫台語教材，無kā創作當做上要緊ê目標。,"Tsa̍p tang tsiah siá án-ne, tong-jiân guá ē-tàng huē kóng to tsin tsē sî-kan khai tī tha̍k-tsheh, siá lūn-bûn 、 siá Tâi-gí kàu-tshâi, bô kā tshòng-tsok tòng-tsò siāng iàu-kín ê bo̍k-piau.",,
"Oct 8, 2018 _250.wav",實在講，有一站仔我嘛懶屍懶屍，想講咱寫tse，看無ê人看無，看有ê人嘛無定著會看，有看ê人to也無定著看有內底的機關……按呢是何mih苦--leh？,"Si̍t-tsāi kóng, ū tsi̍t-tsām-á guá mā lán-si-lán-si, siūnn-kóng lán siá tse, khuànn bô ê lâng khuànn bô, khuànn ū ê lâng mā bô tiānn-tio̍h ē khuànn, ū khuànn ê lâng to iā bô tiānn-tio̍h khuànn ū lāi-té ê ki-kuan... Án-ne sī hô mih khóo--leh?",,
"Oct 8, 2018 _251.wav",所致，咱tsit十冬，較濟是寫來參加比賽，用比賽趁所費來激家己去寫；比賽了，作品加加減減有貼起lih網路頂，tsit幾冬若貼，閣會附錄音hőng聽，照咱kā看，有興趣讀--ê嘛是真少數。,"Sóo-tì, lán tsit tsa̍p tang, khah tsē sī siá lâi tsham-ka pí-sài, iōng pí-sài thàn sóo-huì lâi kik ka-kī khì siá; Pí-sài liáu, tsok-phín ke-ke-kiám-kiám ū tah khí-lih bāng-lōo-tíng, tsit kuí tang ná tah, koh ē hù lio̍k-im hőng thiann, tsiò lán kā khuànn, ū hìng-tshù tha̍k--ê mā sī tsin tsió-sòo.",,
"Oct 8, 2018 _252.wav",毋tsiah咱自來無按算欲閣出冊，to不管咱感覺家己寫了有偌好拄偌好（家己褒較袂臭臊），嘛是家己寫hōo家己暢--ê，極加hōo身軀邊ê搭粒--ê罔讀，看伊會呵咾--幾-句-仔袂。,"M̄-tsiah lán tsū-lâi bô àn-sǹg beh koh tshut-tsheh, to put-kuán lán kám-kak ka-kī siá-liáu ū juā hó tú juā hó ( ka-kī po khah bē tshàu-tsho ), mā-sī ka-kī siá hōo ka-kī thiòng--ê, ki̍k ka hōo sin-khu-pinn ê tah-lia̍p--ê bóng tha̍k, khuànn i ē o-ló--kuí-kù-á bē.",,
"Oct 8, 2018 _253.wav",老實講我無食褒袂死--lah，若猶會要意欲寫、欲愛人讀，攏是為著台語！,"Láu-si̍t kóng guá bô tsia̍h-po bē sí--lah, nā iáu-ē iàu-ì beh siá, beh ài lâng tha̍k, lóng-sī uī-tio̍h Tâi-gí!",,
"Oct 8, 2018 _254.wav",頭前講為著比賽咧寫，he uân-nā是攔頭，咱to毋是倒咧餓，a̍h是有影hiah要意hia-ê獎金，,"Thâu-tsîng kóng uī-tio̍h pí-sài leh siá, he uân-nā sī ânn-thâu, lán to m̄-sī tó-leh gō, a̍h-sī ū-iánn hiah iàu-ì hia ê tsióng-kim,",,
"Oct 8, 2018 _255.wav",閣再講，若欲比賽，kám毋免寫予評審佮意，干干仔咱無按呢想，干干仔咱to欲寫家己愛寫--ê，欲寫家己感覺有意思--ê。,"Koh-tsài kóng, na7 beh pí-sài, kám m̄-bián siá-hōo phîng-sím kah-ì, kan-kan-á lán bô án-ne siūnn, kan-kan-á lán to beh siá ka-kī ài siá--ê, beh siá ka-kī kám-kak ū ì-sù--ê.",,
"Oct 8, 2018 _256.wav",干焦一項：Tsit幾冬，我那來那要意故事有好看--無；,"Kan-na tsi̍t-hāng: tsit kuí tang, guá ná lâi ná iàu-ì kòo-sū ū hó khuànn--bô;",,
"Oct 8, 2018 _257.wav",十冬前我較無將讀者囥佇心--裡，規心咧做台語文字ê試驗；tsit十冬，我將試驗ê層面換做「題材」，嘛較致心欲予讀者讀著khí-moo會giang，若袂，是個人才情無夠，我有盡量--ah。,"Tsa̍p tang tsîng guá khah bô tsiōng tho̍k-tsiá khǹg tī sim--lí, kui-sim leh tsò Tâi-gí bûn-jī ê tshì-giām; Tsit tsa̍p tang, guá tsiong tshì-giām ê tsân-bīn uānn-tso3 "" tê-tsâi "", mā khah tì-sim beh hōo tho̍k-tsiá tha̍k-tio̍h khí-moo ē giang, nā bē, sī kò-jîn tsâi-tsîng bô-kàu, guá ū tsīn-liōng ā.",,
"Oct 8, 2018 _258.wav",啊若照按呢kā講--起-來，因為故事順序是照寫作時間倒頭排，讀者檢采會感受著tsit个寫作心態ê轉變也kú-kánn。,"Ah nā tsiàu án-ne kā kóng--khí-lâi, in-uī kòo-sū sūn-sū sī tsiò siá-tsok sî-kan tò-thâu-pâi, tho̍k-tsiá kiám-tshái ē kám-siū-tio̍h tsit-ê siá-tsok sim-thài ê tsuán-piàn iā kú-kánn.",,
"Oct 8, 2018 _259.wav",佇tsia有影足感謝金順兄招我出tsit本冊，tsiah認真咧拚台語文學出版--ê，目今真罕--ah，,"Tī tsia ū-iánn tsiok kám siā Kim-sūn hiann tsio guá tshut tsit pún tsheh, tsiah jīn-tsin leh piànn Tâi-gí bûn-ha̍k tshut-pán--ê, ba̍k-kim tsin hán--ah,",,
"Oct 8, 2018 _260.wav",希望tsit本冊印--出-來，會當hōo逐家發現台語寫作有咱前毋捌khuàinn ê可能性，閣有，ǹg望讀ê人，會感覺故事真好看，按呢，我就感覺tsit本冊出了有價值--ah。,"Hi-bāng tsit pún tsheh ìn--tshut-lâi, ē-tàng hōo ta̍k-ke huat-hiān Tâi-gí siá-tsok ū lán tsîng m̄-bat khuàinn ê khó-lîng-sìng, koh-ū, ǹg-bāng tha̍k ê lâng, ē kám-kak kòo-sū tsin hó khuànn, án-ne, guá tō kám-kak tsit pún tsheh tshut-liáu ū kè-ta̍t--ah.",,
"Oct 8, 2018 _261.wav",二空一八年正月,Jī khòng it peh nî tsiann--gue̍h,,
