"Im-tóng","Hàn-jī","Lô-má-jī","Tsing-kui-hàn-jī","Tsing-kui-lô-má-jī"
"Mar 16, 2019_119.wav","車挵一下，規鉼鐵鉼攏㧌去矣。","Tshia lòng tsi̍t-ē, kui phiánn thih-phiánn lóng mau--khì--ah.",,
"Mar 16, 2019_120.wav","起飛佮降落的時，請共你的椅仔撨予直、桌仔收予好。","Khí-pue kah kàng-lo̍h ê sî, tshiánn kā lí ê í-á tshiâu hōo ti̍t, toh-á siu hōo hó.",,
"Mar 16, 2019_121.wav","使用安全帶的時，共安全帶縖予好，搝予絚。若欲敨開，向外面撥一下，就會使拍開。","Sú-iōng an-tsuân-tuà ê sî, kā an-tsuân-tuà hâ hōo hó, giú hōo ân. Nā beh tháu--khui, hiòng guā-bīn puah--tsi̍t-ē, tō ē-sái phah-khui.",,
"Mar 16, 2019_122.wav","本機艙攏總有十个緊急出口。","Pún ki-tshng lóng-tsóng ū tsa̍p ê kín-kip tshut-kháu.",,
"Mar 16, 2019_123.wav","使用的方法佮所在，攏有標誌佮說明。","Sú-iōng ê hong-huat kah sóo-tsāi, lóng ū piau-tsì kah suat-bîng.",,
"Mar 16, 2019_124.wav","緊急逃生的時，請共懸踏鞋褪掉，莫紮行李。","Kín-kip tô-sing ê sî, tshiánn kā kuân-ta̍h-ê thǹg-tiāu, mài tsah hîng-lí.",,
"Mar 16, 2019_125.wav","有關安全救生事項，請參考安全說明卡。感謝。","Iú-kuan an-tsuân kiù-sing sū-hāng, tshiánn tsham-khó an-tsuân suat-bîng khah. Kám-siā.",,
"Mar 16, 2019_126.wav","我共簽一百空七萬，結果今仔日開七號。","Guá kā tshiam tsi̍t-pah khòng tshit-bān, kiat-kó kin-á-ji̍t khui tshit hō.",,
"Mar 16, 2019_127.wav","我共你報空八佮二七。","Guá kā lí pò khòng pat kah jī tshit.",,
"Mar 16, 2019_128.wav","你簽幾號？我按算簽兩星，10（it khòng）傍20（jī khòng）。","Lí tshiam kuí hō? Guá àn-sǹg tshiam nn̄g-tshenn, it khòng pōng jī khòng.",,
"Mar 16, 2019_129.wav","阿伯，幫我簽七號孤支，寫五十。","A-peh, pang guá tshiam tshit hō koo-ki, siá gōo-tsa̍p.",,
"Mar 16, 2019_130.wav","空一傍四九，兩个號碼孤碰, 寫一百。","Khòng it pōng sù kiú, nn̄g ê hō-bé koo-phòng, siá tsi̍t-pah.",,
