Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
"Oct 8, 2018 _262.wav",角花仔佮素花仔，洪錦田。海翁台語文學月刊第108期。,"Kak-hue-á kah sòo-hue-á, Âng Gìm-tshân. Hái-ang Tâi-gí Bûn-ha̍k Ge̍h-khan Tē 108 Kî.",,
"Oct 8, 2018 _263.wav",角花仔，是一領色水鮮豔的tsa̋u囡仔小洋裝，伊掛(kuì/kuà)佇店頭的玻璃櫥仔內底。,"Kak-hue-á, sī tsi̍t-niá sik-tsuí sián-iām ê tsa̋u-gín-á sió iûnn-tsong, i kuà tī tiàm-thâu ê po-lê tû-á lāi-té.",,
"Oct 8, 2018 _264.wav",這領衫的中逝(tsuā)，紩(thīnn)七粒金色的鈕仔，閃閃爍爍(siám-siám-sinnh-sinnh)，足唌人目--的；下裙繡兩隻白兔仔，足古錐的。,"Tsit-niá sann--ê tiòng tsuā, thīnn ( thīnn ) tshit lia̍p kim-sik-ê liú-á, siám-siám-sinnh-sinnh, tsiok siânn lâng bo̍k--ê；Ē-kûn siù nn̄g tsiah pe̍h-thòo-á, tsiok kóo-tsui--ê.",,
"Oct 8, 2018 _265.wav",按呢的花草，毋知唌倒偌儕愛穿媠的tsa̋u囡仔咧？毋過掛(kuà/kuì)欲規月日，攏無人來交關。,"Án-ne ê hue-tsháu, m̄-tsai siânn tó luā tse7 ài-tshīng suí ê tsa̋u-gín-á--leh？M̄-koh kuà ( kuà / kuì ) beh kui gue̍h-li̍t, lóng bô lâng lâi kau-kuan.",,
"Oct 8, 2018 _266.wav",有一工，來一个穿插蓋高尚的中年婦人人(hū-jîn-lâng)，牽伊的查某囝對(uì)店頭行過。,"Ū tsi̍t kang, lâi tsi̍t ê tshīng-tshah kài ko-siōng ê tiong-liân hū-jîn-lâng, khan i ê tsa-bóo-kiánn uì tiàm-thâu kiânn-kuè.",,
"Oct 8, 2018 _267.wav",「母仔！你看咧！足媠足古錐的洋裝呢(neh)！……人欲挃這軀啦……」，tsa̋u囡仔指對玻璃櫥內底。,""" Bú--á! Lí khuànn--leh! Tsiok suí tsiok kóo-tsui ê iûnn-tsong--neh ! ……Lâng beh ti̍h tsit su--lah……"", tsa̋u-gín-á kí tuì po-lê-tû lāi-té.",,
"Oct 8, 2018 _268.wav",「好啊啦！莫吵！咱閣來去看猶有較媠的無？」阿母按呢共講。,""" hó--ah--lah! Mài tshá! Lán koh lâi-khì khuànn iáu ū khah suí--ê bô？"" A-bú án-ne kā kóng.",,
"Oct 8, 2018 _269.wav",「毋啦！人較佮意這領啦！好心咧啦、阿母……」，查囡仔予老母共喝(hat)止，煞張張掣掣(tshuah-tshuah)，那講那吼……。,""" m̄--lah! Lâng khah kah-ì tsit-niá--lah! Hó-sim--leh--lah 、 a-bú……"", tsa̋u-gín-á hōo lāu-bú kā hat-tsí, suah tiunn-tiunn-tshuah-tshuah, ná kóng ná háu…….",,
"Oct 8, 2018 _270.wav",「好、好、好啦！阿妙乖－咱就買這軀好啦！莫吼乎(honnh)，乖──」。,""" hó 、 hó 、 hó--lah! A-biāu kuai － lán tō bé tsit su hó--lah! Mài háu--honnh, kuai ─ ─ "".",,
"Oct 8, 2018 _271.wav",老母共囡仔騙恬囉，就按呢角花仔，就成(tsiânn)做阿妙上惜的一領洋裝衫。,"Lāu-bú kā gín-á phiàn tiām--looh, to7 án-ne kak-hue-á, tō tsiânn-tsò a-biāu siōng sioh ê tsi̍t niá iûnn-tsong-sann.",,
"Oct 8, 2018 _272.wav",角花仔hőng拍派，帶入去阿妙的衫櫥仔內。衫櫥仔早就狹櫼櫼(e̍h tsinn tsinn)矣，毋閣阿妙共huâi舊漚臭的衫仔裙，攏sak一邊，留一大位予角花仔通跔(ku)；,"Kak-hue-á hőng phah-phài, tuà ji̍p-khì a-biāu ê sann-tû-á-lāi. Sann-tû-á tsá-tio̍h e̍h-tsinn-tsinn --ah , m̄ koh a-biāu kā huâi kū àu-tshàu ê sann-á kûn, lóng sak tsi̍t-pinn, lâu tsi̍t tuā-uī hōo kak-hue-á thang ku；",,
"Oct 8, 2018 _273.wav",主人一下共倖(sīng)，致使角花仔對遮舊厝邊，誠看無上目。,"Tsú-lâng tsi̍t-ē kā sīng, tì-sú kak-hue-á tuì tsia kū tshù-pinn, tsiânn khuànn bô tsiūnn-ba̍k.",,
"Oct 8, 2018 _274.wav",自伊綴阿妙了後，見擺若欲出外的時陣，攏予阿妙穿牢牢(tiâu tiâu)，因端是角花仔的款樣，攏予人足呵咾的，一寡查囡仔伴會邪(sânn)倚來……，毋才會阿妙愈來愈佮意角花仔；,"Tsū i tè a-biāu liáu-āu, kiàn-pái nā beh tshut-guā ê sî-tsūn, lóng hōo a-biāu tshīng tiâu-tiâu, in-tuann sī kak-hue-á ê khuán-iūnn, lóng hōo--lâng tsiok o-ló--ê, tsi̍t-kuá tsa̋u-gín-á phuānn ē sânn-uá--lâi……, m̄ tsiah ē a-biāu jú lâi jú kah-ì kak-hue-á；",,
