Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
"Oct 20, 2018 _37_inn.wav",賣圓仔的神仙，林麗黛譯寫。,"Bē înn-á ê sîn-sian, Lîm Lē-tāi i̍k-siá.",,
"Oct 20, 2018 _38.wav",海翁台語文學月刊第102期,Hái-ang Tâi-gí Bûn-ha̍k Gue̍h-khan tē 102 kî,,
,佇高雄左營區有一粒山，看起來誠特別。,"Tī Ko-hiông Tsó-iânn-khu ū tsi̍t lia̍p suann, khuànn--khí-lâi tsiânn ti̍k-pia̍t.",,
"Oct 20, 2018 _39.wav",山的倒手爿彼一半和一般的山無啥物各樣，毋過正手爿彼一半，就像予刀仔削過的形，減一大半。,"Suann ê tò-tshiú-pîng hit tsi̍t-puànn hām it-puann ê suann bô-siánn-mih koh-iūnn, m̄-koh tsiànn-tshiú-pîng hit tsi̍t-puànn, tō tshiūnn hōo to-á siah kuè--ê hîng, kiám tsi̍t tuā-puànn.",,
"Oct 20, 2018 _40.wav",這粒山，就親像賰一半的閘屏咧，干焦有才調共半爿的天閘牢咧，所以逐家攏共這粒山號做「半爿山」。,"Tsit lia̍p suann, tsiū tshin-tshiūnn tshun tsi̍t-puànn ê tsa̍h-pîng--leh , kan-na ū-tsâi-tiāu kā puànn-pîng ê thinn tsa̍h-tiâu--leh, sóo-í ta̍k-ke lóng kā tsit lia̍p suann hō-tsò ""Puànn-pîng-suann"".",,
"Oct 20, 2018 _41.wav",半爿山是按怎干焦賰半爿咧？伊另外彼一半是走對佗位去咧？當地有一个故事流傳落來。,Puànn-pîng-suann sī-án-tsuánn kan-tann tshun puànn-pîng--leh? I līng-guā hit tsi̍t-puànn sī tsáu uì tó-uī khì--leh? Tong-tē ū tsi̍t ê kòo-sū liû-thuân--lo̍h-lâi.,,
"Oct 20, 2018 _42.wav",這个傳說是佮八仙當中的漢鍾離有關係，是漢仙人收徒弟的經過。,"Tsit ê thuân-suat sī kah pat-sian tang-tiong ê Hàn Tsing-lî ū kuan-hē, sī Hàn-sian-jîn siu tôo-tē ê king-kuè.",,
"Oct 20, 2018 _43.wav",聽講代誌的經過是按呢，漢鍾離有一个誠巧的徒弟，伊誠gâu寫文章，武功嘛誠厲害。,"Thiann-kóng tāi-tsì--ê king-kuè sī án-ne, Hàn Tsing-lî ū tsi̍t ê tsiânn khiáu ê tôo-tē, i tsiânn gâu siá bûn-tsiunn, bú-kong mā tsiânn lī-hāi.",,
"Oct 20, 2018 _44.wav",上難得的是，伊一絲仔都袂囂俳，對人誠有禮貌，所以漢鍾離誠疼這个徒弟。,"Siōng lân-tit ê sī, i tsi̍t-si-á to-buē hiau-pai, tuì lâng tsiânn ū lé-māu, sóo-í Hàn Tsing-lî tsiânn thiànn tsit ê tôo-tē.",,
"Oct 20, 2018 _45.wav",毋過誠可惜，這个徒弟致著一種怪病，仙醫都醫袂好，煞七少年八少年就來過身去。,"M̄-koh tsiânn khó-sioh, tsit ê tôo-tē tì-tio̍h tsi̍t tsióng kuài pēnn, sian-i to i bē-hó, suah tshit siàu-liân peh siàu-liân tō lâi kuè-sin--khì.",,
"Oct 20, 2018 _46.wav",漢鍾離看家己上疼的徒弟就按呢離開世間，心肝頭是親像刀咧割咧。,"Hàn Tsing-lî khuànn ka-tī siōng thiànn--ê tôo-tē tsiū án-ne lī-khui sè-kan, sim-kuann-thâu sī tshin-tshiūnn to leh kuah--leh.",,
,過一站仔時間，漢鍾離決定欲轉來人間，欲閣去走揣一个條直善良的好人，欲收伊做徒弟。,"Kuè tsi̍t-tsām-á sî-kan, Hàn Tsing-lî kuat-tīng beh tńg-lâi jîn-kan, beh koh khì tsáu-tshuē tsi̍t ê tiâu-ti̍t siān-liông ê hó-lâng, beh siu i tsò tôo-tē.",,
"Oct 20, 2018 _47.wav",漢鍾離佇雲尪面頂相來相去，發現人間有某一个島嶼，不止仔美麗。,"Hàn Tsing-lî tī hûn-ang bīn-tíng siòng lâi siòng khì, huat-hiān lîn-kan ū bóo tsi̍t ê tó-sū, put-tsí-á bí-lē.",,
"Oct 20, 2018 _48.wav",漢鍾離心內咧想講：「竟然有遮爾仔媠的島嶼，山嶺青蘢蘢，溪水清清清。佇這个好所在，我定著會當揣著一个仔好徒弟。」,"Hàn Tsing-lî sim-lāi teh siūnn-kóng : ""Kìng-jiân ū tsiah-nī-á suí-ê tó-sū, suann-niá tshenn-lìng-lìng, khe-tsuí tshing tshing tshing. Tī tsit ê hó-sóo-tsāi, guá tiānn-tio̍h ē-tàng tshuē-tio̍h tsi̍t-ê-á hó tôo-tē. """,,
