Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
"Oct 7, 2018.wav",附加詞類訊息的台語語詞搭配佇教學上的應用,Hù-ka sû-luī sìn-sit ê Tâi-gí gí-sû tah-phuè tī kàu-ha̍k siōng ê ìng-iōng,,
"Oct 7, 2018_1.wav",楊允言，大漢技術學院、資訊工程系，助理教授。,"Iûnn Ún-giân, Tāi-hàn Ki-su̍t Ha̍k-īnn, Tsu-sìn Kang-tîng Hē, tsōo-lí kàu-siū.",,
"Oct 7, 2018_2.wav",劉杰岳，拋荒台文工作室，負責人。,"Lâu Kia̍t-ga̍k, Pha-hng Tâi-bûn Kang-tsok-sik, hū-tsik-jîn.",,
"Oct 7, 2018_3.wav",陳鄭弘堯，台語文工作者。,"Tân-Tīnn Hông-giâu, Tâi-gí-bûn kang-tsok-tsiá.",,
"Oct 7, 2018_4.wav",陳柏中，國立清華大學、物理系，助理教授。,"Tân Peh-tiong, Kok-li̍p Tshing-huâ Tāi-ha̍k, Bu̍t-lí Hē, tsōo-lí kàu-siū.",,
"Oct 7, 2018_5.wav",摘要,Tiah-iàu,,
"Oct 7, 2018_6.wav",語詞搭配(collocation)是學習語詞按怎使用真好的工具，,"Gí-sû tah-phuè(collocation) sī ha̍k-si̍p gí-sû án-tsuánn sú-iōng tsin hó ê kang-khū,",,
"Oct 7, 2018_7.wav",語詞搭配(collocation)是學習語詞按怎使用真好的工具，,"Gí-sû tah-phuè(collocation) sī ha̍k-si̍p gí-sû án-tsuánn sú-iōng tsin hó ê kang-kū,",,
"Oct 7, 2018_8.wav",這會當透過對語料的互訊息(mutual information)佮相關度(correlation)的統計來得著，毋過嘛會產生袂少無必要的資料(noise)。,"tse ē-tàng thàu-kuè tuì gí-liāu ê Hōo-sìn-sit (mutual information) kah Siong-kuan-tōo (correlation) ê thóng-kè lâi tit--tio̍h, m̄-koh mā ē sán-sing bē-tsió bô pit-iàu ê tsu-liāu (noise).",,
"Oct 7, 2018_9.wav",本文提出利用詞類的訊息來進行篩選ê方法，自動共無必要的資料提掉，提升自動台語語詞搭配的品質，幫贊台語語詞的學習。,"Pún-bûn thê-tshut lī-iōng sû-luī sìn-sit lâi tsìn-hîng thai-suán ê hong-huat, tsū-tōng kā bô pit-iàu ê tsu-liāu the̍h-tiāu, thê-sing tsū-tōng Tâi-gí gí-sû tah-phuè ê phín-tsit, pang-tsān Tâi-gí gí-sû ê ha̍k-si̍p.",,
"Oct 7, 2018_10.wav",實驗結果顯示，利用詞類ê篩選，動詞—名詞(V—N)詞組 比 形容詞—名詞(A—N) 詞組 會當得著較好的結果；,"Si̍t-giām kiat-kó hián-sī, lī-iōng sû-luī ê thai-suán, tōng-sû — miâ-sû (V-N) sû-tsoo pí hîng-iông-sû — miâ-sû (A-N) sû-tsoo ē-tàng tit-tio̍h khah-hó ê kiat-kó;",,
"Oct 7, 2018_11.wav",查詢一个動詞正爿的名詞 抑是一个名詞倒爿的動詞的語詞搭配，所揣出來的資料嘛真有學習參考的價值。,"tshâ-sûn tsi̍t ê tōng-sû tsiànn-pîng ê miâ-sû iah-sī tsi̍t ê miâ-sû tò-pîng ê tōng-sû ê gí-sû tah-phuè, sóo tshuē--tshut-lâi ê tsu-liāu mā tsin ū ha̍k-si̍p tsham-khó ê kè-ta̍t.",,
"Oct 7, 2018_12.wav",毋過若欲進一步提升自動語詞搭配的品質，咱猶閣有誠濟空課愛做。,"M̄-koh nā beh tsìn-tsi̍t-pōo thê-sing tsū-tōng gí-sû tah-phuè ê phín-tsit, lán iáu-koh ū tsiânn-tsē khang-khuè ài tsò.",,
"Oct 7, 2018_13.wav",關鍵詞﹕ 台語文、語詞搭配、互訊息、相關度、語文教學,"Kuan-kiān-sû: Tâi-gí-bûn, Gí-sû Tah-phuè, Hōo-sìn-sit, Siong-kuan-tōo, Gí-bûn Kàu-ha̍k",,
"Oct 7, 2018_14.wav",1. 踏話頭：語料庫、語詞搭配,"It. Ta̍h uē-thâu: Gí-liāu-khòo, Gí-sû Tah-phuè",,
