Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
Dia001.wav,喂，,"Eh,",,
Dia001.wav,萬財 ！,Bān-tsâi !,,
Dia002.wav,喂，,"Eh,",,
Dia002.wav,牡丹 ，,"Bóo-tan ,",,
Dia003.wav,你來矣喔！,lí lâi --ah --ooh!,,
Dia004.wav,阿美 ，,"A-bí ,",,
Dia004.wav,我共你講，,"guá kā lí kóng,",,
Dia004.wav,這个乎就我做兵仝梯的 榮燦仔 啦，,"tsit ê --honnh tō guá tsò-ping kāng thui ê  Îng-tshàn--á  --lah,",,
Dia005.wav,你好！,Lí hó!,,
Dia006.wav,喔，,"Ooh,",,
Dia006.wav,好好，,"hó hó,",,
Dia007.wav,啊來來來，,"Ah lâi lâi lâi,",,
Dia007.wav,添丁大富貴，,"thiam-ting tuā hù-kuì,",,
Dia007.wav,來來來！,lâi lâi lâi!,,
Dia008.wav,哎！,Aih!,,
Dia008.wav,就毋免啦！,Tō m̄-bián –lah!,,
Dia009.wav,哎！,Aih!,,
Dia009.wav,就毋免按呢！,Tō m̄-bián án-ne!,,
Dia010.wav,一定愛的啦！,it-tīng ài --ê --lah!,,
Dia011.wav,咱作田人，,"Lán tsoh-tshân lâng,",,
Dia011.wav,是欲按怎大富貴，,"sī beh án-nuá tuā hù-kuì,",,
Dia012.wav,後遍乎，,"āu piàn --honnh,",,
Dia012.wav,這囡仔若大漢乎，,"tse gín-á nā tuā-hàn --honnh,",,
Dia012.wav,去恁城裡共你拜師學藝，,"khì lín siânn--lí kā lí pài-su-ha̍k-gē,",,
Dia012.wav,看會較有出脫無！,khuànn ē khah ū tshut-thuat --bô!,,
Dia013.wav,哎唷，,"Aih ioh,",,
Dia014.wav,哎唷！,Aih ioh!,,
Dia014.wav,彼有啥物問題，,"He ū siánn-mih būn-tê,",,
Dia014.wav,你若甘乎，,"lí nā kam --honnh,",,
Dia014.wav,我一定共伊教啦！,guá it-tīng kā i kà --lah!,,
Dia015.wav,有影乎！,Ū-Iánn --honnh!,,
Dia016.wav,正經的啊。,Tsìng-king --ê --ah.,,
Dia017.wav,好！,Hó!,,
Dia017.wav,喔。,Ooh.,,
Dia018.wav,叫啥物名？,kiò siánn-mih miâ?,,
Dia019.wav,喔，,"Ooh,",,
Dia019.wav,號做 天寶仔 啦，,"hō-tsò  Thian-pó--á  --lah,",,
Dia019.wav,啊我就頇慢人啦，,"ah guá tō hân-bān lâng --lah,",,
Dia019.wav,凊彩號號咧啦。,tshìn-tshái hō-hō--eh --lah.,,
Dia020.wav,天寶 ，,"Thian-pó ,",,
Dia020.wav,喂，,"eh,",,
Dia020.wav,這名袂䆀呢！,tse miâ bē-bái --neh!,,
Dia021.wav,按呢乎？,án-ne --honnh?,,
Dia022.wav,嘿！,Hennh!,,
Dia023.wav,來來來，,"Lâi lâi lâi,",,
Dia023.wav,我共恁翕相！,guá kā lín hip-siòng!,,
Dia024.wav,翕相喔！,Hip-siòng --ooh!,,
Dia025.wav,來，,"Lâi,",,
Dia025.wav,看遮喔！,khuànn tsia --ooh!,,
Dia026.wav,來，,"Lâi,",,
Dia026.wav,看遮喔乎！,khuànn tsia --ooh --honnh!,,
Dia027.wav,來，,"Lâi,",,
Dia027.wav,較笑的乎！,khah tshiò --ê --honnh!,,
Dia028.wav,來，,"Lâi,",,
Dia028.wav,較笑的喔！,khah tshiò --ê --ooh!,,
Dia029.wav,好矣。,Hó --ah.,,
Dia030.wav,好矣諾？,Hó --ah --hioh?,,
Dia031.wav,按呢好啦，,"Án-ne hó --lah,",,
Dia032.wav,開桌啦！,khui-toh --lah!,,
Dia032.wav,逐家坐啦！,Ta̍k-ke tsē --lah!,,
Dia033.wav,榮燦 啊，,"Îng-tshàn  --ah,",,
Dia033.wav,來來來，,"lâi lâi lâi,",,
Dia033.wav,來遮！,lâi tsia!,,
Dia034.wav,榮燦 啊，,"Îng-tshàn  --ah,",,
Dia034.wav,來來來，,"lâi lâi lâi,",,
Dia034.wav,來坐遮、坐遮！,"lâi tsē tsia, tsē tsia!",,
Dia035.wav,喂，,"Eh,",,
Dia035.wav,阿財 啊！,A-tsâi  --ah!,,
Dia036.wav,彼tsa̋u 囡仔是siáng？,He tsa̋u gín-á sī siáng?,,
Dia037.wav,喔，,"Ooh,",,
Dia037.wav,阮厝邊，,"gún tshù-pinn,",,
Dia037.wav,自細漢看大漢的，,"tsū sè-hàn khuànn tuā-hàn ê,",,
Dia037.wav,像家己的小妹仔啦！,tshiūnn ka-tī ê sió-muē-á --lah!,,
Dia038.wav,喔，,"Ooh,",,
Dia038.wav,來，,"lâi,",,
Dia038.wav,阿好 姆仔喔。,A-hó  ḿ--á --ooh.,,
Dia039.wav,喂！,Eh!,,
Dia039.wav,我共你介紹。,Guá kā lí kài-siāu.,,
Dia040.wav,嘿。,Heh.,,
Dia040.wav,這阮仝梯的 榮燦仔 。,Tse gún kāng-the--ê  Îng-tshàn--á .,,
Dia040.wav,啊這位予伊坐啦！,Ah tsit uī hōo i tsē --lah!,,
Dia041.wav,好啦、好啦！,"Hó --lah, hó --lah!",,
Dia042.wav,好啦，,"hó --lah,",,
