Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
Dia073.wav,第六百八十四篇,"Tē la̍k-pah peh-tsa̍p-sì phinn,",,
Dia073.wav,阿不拉的三个查某人,A-put-lah ê sann ê tsa-bóo-lâng.,,
Dia074.wav,民國四十四年，,"Bîn-kok sì-tsa̍p-sì nî,",,
Dia074.wav,看電影是一項真時行的代誌，,"khuànn tiān-iánn sī tsi̍t hāng tsin sî-kiânn ê tāi-tsì,",,
Dia075.wav,彼个時陣有美國片、,"hit ê sî-tsūn ū Bí-kok phìnn,",,
Dia075.wav,國語片、,"kok-gí phìnn,",,
Dia075.wav,廣東片，,"kńg-tang phìnn,",,
Dia075.wav,甚至是廈門片，,"sīm-tsì sī Ē-mn̂g phìnn,",,
Dia075.wav,猶毋過就是無咱臺灣家己拍的臺語片，,"iáu-m̄-koh tō sī bô lán Tâi-uân ka-kī phah ê Tâi-gí phìnn,",,
Dia076.wav,總算有一工，,"tsóng sǹg ū tsi̍t kang,",,
Dia076.wav,拱樂社準備欲拍臺灣頭一齣正港的臺語電影，,"Kióng-lo̍k-siā tsún-pī beh phah Tâi-uân thâu tsi̍t tshut tsiànn-káng ê Tâi-gí tiān-iánn,",,
Dia076.wav,「王寶釧與薛平貴」，,"“ Ông Pó-tshuan í Sih Pîng-kuì ”,",,
Dia077.wav,這是關係著咱臺灣電影未來發展的出路，,"tse sī kuan-hē-tio̍h lán Tâi-uân tiān-iánn bī-lâi huat-tián ê tshut-lōo,",,
Dia078.wav,猶毋過有人為著個人的利益，,"iáu-m̄-koh ū lâng uī-tio̍h kò-lîn ê lī-ik,",,
Dia078.wav,放風聲欲來相爭。,pàng hong-siann beh lâi sio-tsinn.,,
Dia079.wav,我，,"Guá,",,
Dia079.wav,阿不拉，,"A-put-lah ,",,
Dia079.wav,絕對袂用得激恬恬。,tsua̍t-tuì bē-īng-eh kik tiām-tiām.,,
