Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
"Sep 1, 2018 01_10.wav",毋通吵伊，,"M̄-thang tshá --i,",,
"Sep 1, 2018 01_11.wav",媽媽人艱苦，,"má-mah lâng kan-khóo,",,
"Sep 1, 2018 01_12.wav",這陣入去內面食藥。,tsit-tsūn ji̍p-khì lāi-bīn tsia̍h io̍h.,,
"Sep 1, 2018 01_12.wav",喔，,"Ooh,",,
"Sep 1, 2018 01_12.wav",賊喔、,"Tsha̍t --ooh,",,
"Sep 1, 2018 01_12.wav",緊來掠啦，,"kín lâi lia̍h --lah,",,
"Sep 1, 2018 01_13.wav",爸爸！,Pá-pah!,,
"Sep 1, 2018 01_13.wav",Mh？,Mh?,,
"Sep 1, 2018 01_13.wav",賊啦，,"tsha̍t --lah,",,
"Sep 1, 2018 01_13.wav",喂，,"Uê,",,
"Sep 1, 2018 01_14.wav",啥物人？,siánn-mih lâng?,,
"Sep 1, 2018 01_14.wav",你講欲轉去，,"Lí kóng beh tńg--khì,",,
"Sep 1, 2018 01_14.wav",我掠做是咧共我騙，,"guá lia̍h-tsò sī leh kā guá phiàn,",,
"Sep 1, 2018 01_14.wav",所以我毋才會敲電話予你。,sóo-í guá m̄-tsiah ē khà tiān-uē hōo --lí.,,
"Sep 1, 2018 01_14.wav",有代誌緊講啦，,"Ū tāi-tsì kín kóng --lah,",,
"Sep 1, 2018 01_14.wav",我的厝內這陣若像有著賊偷佇咧。,guá ê tshù-lāi tsit-tsūn ná-tshiūnn ū tio̍h-tsha̍t-thau tī --eh.,,
"Sep 1, 2018 01_14.wav",緊揣看覓咧，,"Kín tshē khuànn-māi --leh,",,
"Sep 1, 2018 01_14.wav",i̋ng暗我才佮你聯絡。,i̋ng-àm guá tsiah kah lí liân-lo̍k.,,
"Sep 1, 2018 01_14.wav",呃？,Eh?,,
"Sep 1, 2018 01_14.wav",志明 ，,"Tsì-bîng ,",,
"Sep 1, 2018 01_14.wav",有啥物啦？,Ū siánn-mih --lah?,,
"Sep 1, 2018 01_14.wav",這領內褲啥物人的？,Tsit niá lāi-khòo siánn-mih lâng ê?,,
"Sep 1, 2018 01_14.wav",啥物人的？,Siánn-mih lâng ê?,,
"Sep 1, 2018 01_14.wav",我毋知影，,"Guá m̄ tsai-iánn,",,
"Sep 1, 2018 01_14.wav",你想講我外面有查某，,"Lí siūnn-kóng guá guā-bīn ū tsa-bóo,",,
"Sep 1, 2018 01_14.wav",你會當厝內共我討客兄。,lí ē-tàng tshù-lāi kā guá thó-kheh-hiann.,,
"Sep 1, 2018 01_14.wav",我太客氣是毋？,Guá thài kheh-khì sī --m̄?,,
"Sep 1, 2018 01_15.wav",欲揣啥？,Beh tshē --siánn?,,
"Sep 1, 2018 01_15.wav",喔！,Ooh!,,
"Sep 1, 2018 01_15.wav",多謝。,To-siā.,,
"Sep 1, 2018 01_15.wav",姊姊，,"Tsé-tsé,",,
"Sep 1, 2018 01_15.wav",頭家，,"Thâu-ke,",,
"Sep 1, 2018 01_15.wav",請坐。,tshiánn tsuē.,,
"Sep 1, 2018 01_15.wav",我、,"Guá,",,
