Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
"Sep 1, 2018 01_33.wav",第七百空四篇，高雄發的尾幫車,"Tē tshit-pah khòng sì phinn, Ko-hiông huat--ê bué-pang-tshia.",,
"Sep 1, 2018 01_33.wav",翠翠啊，,"Tshuì-tshuì--ah,",,
"Sep 1, 2018 01_33.wav",救人喔！,Kiù-lâng--ooh!,,
"Sep 1, 2018 01_33.wav",翠翠啊。,Tshuì-tshuì--ah.,,
"Sep 1, 2018 01_33.wav",救人喔！,Kiù-lâng--ooh!,,
"Sep 1, 2018 01_33.wav",我、,"Guá,",,
"Sep 1, 2018 01_33.wav",我毋敢倚去，,"guá m̄ kánn uá--khì,",,
"Sep 1, 2018 01_33.wav",我會驚。,guá ē kiann.,,
"Sep 1, 2018 01_33.wav",緊來救咧啦！,Kín lâi kiù--leh--lah!,,
"Sep 1, 2018 01_33.wav",我，,"Guá,",,
"Sep 1, 2018 01_33.wav",免你啦。,bián lí--lah.,,
"Sep 1, 2018 01_33.wav",去啦，,"Khì--lah,",,
"Sep 1, 2018 01_33.wav",你是按怎呢？,lí sī án-tsuánn--nih?,,
"Sep 1, 2018 01_33.wav",救人喔、,"Kiù-lâng--ooh,",,
"Sep 1, 2018 01_33.wav",救人喔，,"kiù-lâng--ooh,",,
"Sep 1, 2018 01_33.wav",緊來救啦，,"kín lâi kiù--lah,",,
"Sep 1, 2018 01_33.wav",啊！,ah!,,
"Sep 1, 2018 01_33.wav",緊來救啦，,"kín lâi kiù--lah,",,
"Sep 1, 2018 01_33.wav",救人喔！,kiù-lâng--ooh!,,
"Sep 1, 2018 01_33.wav",哎喲！,Ai-iō!,,
"Sep 1, 2018 01_33.wav",伊無法度啦。,I bô-huat-tōo--lah.,,
"Sep 1, 2018 01_33.wav",真多謝乎。,Tsin to-siā--honnh.,,
"Sep 1, 2018 01_34.wav",免客氣。,Bián kheh-khì.,,
"Sep 1, 2018 01_34.wav",哎喲、,"Ai-iō,",,
"Sep 1, 2018 01_34.wav",哎喲。,ai-iō.,,
"Sep 1, 2018 01_34.wav",啊！,Ah!,,
"Sep 1, 2018 01_34.wav",三八，,"Sam-pat,",,
"Sep 1, 2018 01_35.wav",食甲三十歲矣，,"tsia̍h kah sann-tsa̍p hè--ah,",,
"Sep 1, 2018 01_35.wav",囡仔性猶閣放袂離喔。,gín-á-sìng iáu-koh pàng buē lī--ooh.,,
"Sep 1, 2018 01_35.wav",母仔，,"Bú--á,",,
"Sep 1, 2018 01_35.wav",表小弟寫批講下晡欲轉來，,"piáu-sió-tī siá phue kóng ē-poo beh tńg--lâi,",,
"Sep 1, 2018 01_35.wav",哪會到這陣猶未飛轉來啦？,ná ē kàu tsit-tsūn iáu-buē pe--tńg-lâi--lah?,,
"Sep 1, 2018 01_35.wav",哪會到這陣猶未飛轉來唅？,ná ē kàu tsit-tsūn iáu-buē pe--tńg-lâi--hannh?,,
"Sep 1, 2018 01_35.wav",啊，,"Ah,",,
"Sep 1, 2018 01_35.wav",表小弟、,"piáu-sió-tī,",,
"Sep 1, 2018 01_35.wav",表小弟啊。,piáu-sió-tī--ah.,,
"Sep 1, 2018 01_35.wav",喔，,"Ooh,",,
"Sep 1, 2018 01_35.wav",表姊，,"Piáu-tsí,",,
"Sep 1, 2018 01_35.wav",這个所在真好。,tsit ê sóo-tsāi tsin hó.,,
"Sep 1, 2018 01_35.wav",叫人來講。,Kiò lâng lâi kóng.,,
"Sep 1, 2018 01_35.wav",喂，,"Eh,",,
"Sep 1, 2018 01_35.wav",莫振動喔，,"mài tín-tāng--ooh,",,
"Sep 1, 2018 01_36.wav",斡過來一絲仔，,"uat--kè-lâi--tsi̍t-si-á,",,
"Sep 1, 2018 01_36.wav",過來一絲仔啦，,"kè-lâi--tsi̍t-si-á--lah,",,
"Sep 1, 2018 01_36.wav",哎啊毋是啦，,"aih-iah m̄ sī--lah,",,
"Sep 1, 2018 01_36.wav",斡過這爿啦。,uat-kè tsit pîng--lah.,,
"Sep 1, 2018 01_36.wav",較正的，,"Khah tsiànn--ê,",,
"Sep 1, 2018 01_36.wav",喂、,"eh,",,
"Sep 1, 2018 01_36.wav",喂著，,"eh tio̍h,",,
"Sep 1, 2018 01_36.wav",笑一下。,tshiò--tsi̍t-ē.,,
"Sep 1, 2018 01_36.wav",哼？,Hngh?,,
"Sep 1, 2018 01_36.wav",表小弟，,"piáu-sió-tī,",,
"Sep 1, 2018 01_36.wav",表小弟啊，,"Piáu-sió-tī--ah,",,
"Sep 1, 2018 01_36.wav",你是按怎啦？,lí sī-án-tsuánn--lah?,,
"Sep 1, 2018 01_36.wav",嘿。,Heh.,,
"Sep 1, 2018 01_36.wav",喔，,"Ooh,",,
"Sep 1, 2018 01_36.wav",我知影矣啦，,"guá tsai-iánn--ah--lah,",,
"Sep 1, 2018 01_36.wav",哈哈！,ha ha!,,
"Sep 1, 2018 01_36.wav",阿爸。,A-pah.,,
"Sep 1, 2018 01_36.wav",遮爾暗矣，,"Tsiah-nī àm--ah,",,
"Sep 1, 2018 01_36.wav",猶未睏？,iáu-bē khùn?,,
"Sep 1, 2018 01_36.wav",好啦！,Hó--lah!,,
"Sep 1, 2018 01_36.wav",我的心、,"Guá ê sim,",,
"Sep 1, 2018 01_36.wav",我的骨、,"guá ê kut,",,
"Sep 1, 2018 01_36.wav",哼！,hngh!,,
"Sep 1, 2018 01_36.wav",今你閣家己佇咧遮痟啥物貨唅？,Tann lí koh ka-kī tī-leh tsia siáu siánn-mih hè--hannh?,,
"Sep 1, 2018 01_36.wav",今你閣家己佇咧痟啥貨唅？,Tann lí koh ka-kī tī-leh siáu siánn-mih hè--hannh?,,
"Sep 1, 2018 01_37.wav",今你閣家己佇咧痟啥物貨唅？,Tann lí koh ka-kī tī-leh siáu siánn-mih hè--hannh?,,
"Sep 1, 2018 01_37.wav",啊就，,"Ah tō,",,
"Sep 1, 2018 01_37.wav",按呢啦。,án-ni--lah.,,
"Sep 1, 2018 01_37.wav",啥物啊？,Siánn-mih--ah?,,
"Sep 1, 2018 01_37.wav",欲按怎？,Beh án-tsuánn?,,
"Sep 1, 2018 01_37.wav",欲按呢？,Beh án-ne?,,
"Sep 1, 2018 01_37.wav",嘿啦。,Hennh--lah.,,
"Sep 1, 2018 01_37.wav",哼，,"Hngh,",,
"Sep 1, 2018 01_37.wav",起痟。,khí-siáu.,,
"Sep 1, 2018 01_37.wav",人欲按呢講。,Lâng beh án-ni kóng.,,
"Sep 1, 2018 01_37.wav",抑無恁爸仔囝，,"Ia̍h-bô lín pē-á-kiánn,",,
"Sep 1, 2018 01_38.wav",抑無，,"Ia̍h-bô,",,
"Sep 1, 2018 01_38.wav",抑無恁爸仔囝啊佇咧比按呢是咧比啥貨啦？,Ia̍h-bô lín pē-á-kiánn ah tī-leh pí án-ni sī leh pí siánn-hè--lah?,,
"Sep 1, 2018 01_38.wav","啊就欲佮爸爸,","Ah tō beh kah pá-pah,",,
"Sep 1, 2018 01_38.wav",啊就欲佮爸爸佮媽媽仝款啦。,Ah tō beh kah pá-pah kah má-mah kāng-khuán--lah.,,
"Sep 1, 2018 01_39.wav",哈哈哈，,"Ha ha ha,",,
"Sep 1, 2018 01_39.wav",戇囝咧，,"gōng kiánn--leh,",,
"Sep 1, 2018 01_39.wav",你是咧愛啥物人唅？,lí sī leh ài siánn-mih-lâng--hannh?,,
"Sep 1, 2018 01_39.wav",啊就翠、,"Ah tō Tshuì ,",,
"Sep 1, 2018 01_39.wav",啊就翠翠啦，,"Ah tō Tshuì-tshuì--lah,",,
"Sep 1, 2018 01_39.wav",我若無伊，,"guá nā bô--i,",,
"Sep 1, 2018 01_39.wav",我會死啦。,guá ē sí--lah.,,
"Sep 1, 2018 01_39.wav",哎喲，,"Ai-iō,",,
"Sep 1, 2018 01_39.wav",老的啊，,"lāu--ê--ah,",,
"Sep 1, 2018 01_39.wav",今欲按怎咧？,tann beh án-tsuánn--leh?,,
"Sep 1, 2018 01_39.wav",啊這簡單啦，,"Ah tse kán-tan--lah,",,
"Sep 1, 2018 01_39.wav",in老母欲死的時陣，,"in lāu-bú beh sí ê sî-tsūn,",,
"Sep 1, 2018 01_39.wav",有共我借，,"ū kā guá tsioh,",,
"Sep 1, 2018 01_39.wav",無明仔載才叫人叫in老爸來啦。,bô bîn-á-tsài tsiah kiò lâng kiò in lāu-pē lâi--lah.,,
"Sep 1, 2018 01_40.wav",有影無，,"ū-iánn--bô,",,
"Sep 1, 2018 01_40.wav",哈哈哈。,ha ha ha.,,
"Sep 1, 2018 01_40.wav",爸，,"Pa̋,",,
"Sep 1, 2018 01_40.wav",喂...你房間佇咧彼爿啦。,eh...Lí pâng-king tī-leh hit pîng--lah.,,
"Sep 1, 2018 01_40.wav",啊，,"Ah,",,
"Sep 1, 2018 01_40.wav",多謝。,to-siā.,,
"Sep 1, 2018 01_40.wav",哼，,"Hngh,",,
"Sep 1, 2018 01_41.wav",攏是你這个大箍呆才會共我生這个悾囝。,lóng sī lí tsit ê tuā-khoo-tai tsiah ē kā guá sinn tsit ê khong kiánn.,,
"Sep 1, 2018 01_42.wav",你這个老猴！,Lí tsit ê lāu-kâu!,,
"Sep 1, 2018 01_42.wav",你敢無份？,Lí kám bô hūn?,,
"Sep 1, 2018 01_42.wav",放手啦！,Pàng-tshiú--lah!,,
"Sep 1, 2018 01_42.wav",唚一下、,"Tsim--tsi̍t-ē,",,
"Sep 1, 2018 01_42.wav",唚一下、,"tsim--tsi̍t-ē,",,
"Sep 1, 2018 01_42.wav",唚一下就好。,tsim--tsi̍t-ē tiō hó.,,
"Sep 1, 2018 01_42.wav",放手啦。,Pàng-tshiú--lah.,,
"Sep 1, 2018 01_42.wav",恬恬、,"Tiām-tiām,",,
"Sep 1, 2018 01_42.wav",恬恬、,"tiām-tiām,",,
"Sep 1, 2018 01_42.wav",恬恬。,tiām-tiām.,,
"Sep 1, 2018 01_42.wav",放手啦、,"Pàng-tshiú--lah,",,
"Sep 1, 2018 01_42.wav",放手啦、,"Pàng-tshiú--lah,",,
"Sep 1, 2018 01_42.wav",啊？,Ah?,,
"Sep 1, 2018 01_42.wav",喂，,"Eh,",,
"Sep 1, 2018 01_42.wav",嘿嘿，,"heh heh,",,
"Sep 1, 2018 01_42.wav",閣走、,"koh tsáu,",,
"Sep 1, 2018 01_42.wav",閣走，,"koh tsáu,",,
"Sep 1, 2018 01_42.wav",你閣走，,"lí koh tsáu,",,
"Sep 1, 2018 01_42.wav",啊？,ah?,,
"Sep 1, 2018 01_42.wav",表小弟，,"Piáu-sió-tī,",,
"Sep 1, 2018 01_42.wav",予我，,"hōo--guá,",,
"Sep 1, 2018 01_42.wav",這庄頭驚我。,tse tsng-thâu kiann--guá.,,
"Sep 1, 2018 01_42.wav",喂嘿嘿哈哈哈，,"Eh heh heh ha ha ha,",,
"Sep 1, 2018 01_42.wav",喂。,eh.,,
"Sep 1, 2018 01_42.wav",莫走！,Mài tsáu!,,
"Sep 1, 2018 01_43.wav",表小弟，,"Piáu-sió-tī,",,
"Sep 1, 2018 01_43.wav",我欲轉來去矣。,guá beh tńg--lâi-khì--ah.,,
"Sep 1, 2018 01_43.wav",小姐，,"Sió-tsiá,",,
"Sep 1, 2018 01_43.wav",我請你來彼爿坐一下，,"guá tshiánn lí lâi hit pîng tsē--tsi̍t-ē,",,
"Sep 1, 2018 01_43.wav",好毋？,hó--m̄?,,
"Sep 1, 2018 01_43.wav",天清清，,"Thinn tshing-tshing,",,
"Sep 1, 2018 01_43.wav",萬里無雲，,"bān lí bô hûn,",,
"Sep 1, 2018 01_43.wav",山明水波笑文文，,"suann-bîng-tsuí-siù tshiò-bûn-bûn,",,
"Sep 1, 2018 01_44.wav",柳葉伴著你阮，,"liú-hio̍h phuānn-tio̍h lí gún,",,
"Sep 1, 2018 01_44.wav",花滿山崙，,"hue muá suann-lūn,",,
"Sep 1, 2018 01_44.wav",在河邊快樂情份，,"tsāi hô-pinn khuài-lo̍k tsîng-hūn,",,
"Sep 1, 2018 01_44.wav",一對青春，,"tsi̍t tuì tshing-tshun,",,
"Sep 1, 2018 01_44.wav",已經是情戀詩譜，,"í-king sī tsîng-luân si-phóo,",,
"Sep 1, 2018 01_44.wav",相愛真難分，,"siong-ài tsin lân hun,",,
"Sep 1, 2018 01_45.wav",鳥啼聲含情帶意，,"tsiáu thî siann hâm-tsîng-tài-ì,",,
"Sep 1, 2018 01_45.wav",美麗風光滿滿是，,"bí-lē hong-kong muá-muá-sī,",,
"Sep 1, 2018 01_45.wav",有情人形影不離，,"ū-tsîng lâng hîng-iánn put lī,",,
"Sep 1, 2018 01_45.wav",談情在河邊，,"tâm tsîng tsāi hô-pinn,",,
"Sep 1, 2018 01_45.wav",好情意歡歡喜喜，,"hó tsîng-ì huann-huann-hí-hí,",,
"Sep 1, 2018 01_45.wav",笑容滿面好春天，,"tshiò-iông muá-bīn hó tshun-thinn,",,
"Sep 1, 2018 01_45.wav",無論是海角天邊，,"bô-lūn sī hái-kak thinn-pinn,",,
"Sep 1, 2018 01_45.wav",也不來分離。,iā put lâi hun-lī.,,
"Sep 1, 2018 01_45.wav",雙人是春風滿面，,"Siang-lâng sī tshun-hong muá-bīn,",,
"Sep 1, 2018 01_46.wav",朝朝暮暮咧做陣，,"tiâu-tiâu-bōo-bōo teh tsuè-tīn,",,
"Sep 1, 2018 01_46.wav",到如今雙人相信，,"tò jû-kim siang-lâng siong-sìn,",,
"Sep 1, 2018 01_46.wav",互相愛是真，,"hōo-siong ài sī tsin,",,
"Sep 1, 2018 01_46.wav",既然是心心相印，,"kì-jiân sī sim-sim-siong-ìn,",,
"Sep 1, 2018 01_46.wav",希望永遠做陣，,"hi-bāng íng-uán tsuè-tīn,",,
"Sep 1, 2018 01_46.wav",向晴空，,"hiòng tsîng-khong,",,
"Sep 1, 2018 01_46.wav",樓空，,"lâu khang,",,
"Sep 1, 2018 01_46.wav",紅宵燈火青又紅，,"âng siau ting-hé tshinn iū âng,",,
