Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
0902-Dia001.wav,啊無怎樣矣啦？,Ah bô tsánn-iūnn --ah --lah?,,
0902-Dia002.wav,喔。,ooh.,,
0902-Dia002.wav,啊！,Ah!,,
0902-Dia003.wav,曷堪得予你怎樣矣，,"a̍h kham-eh hōo lí tsánn-iūnn --ah,",,
0902-Dia004.wav,喂，,"eh,",,
0902-Dia004.wav,你是番仔火枝呢，,"lí sī huan-á-hé-ki --neh,",,
0902-Dia004.wav,啊彼查某囡仔是汽油呢，,"ah he tsa-bóo gín-á sī khì-iû --neh,",,
0902-Dia004.wav,啊番仔火枝佮汽油是袂用得做伙的，,"ah huan-á-hé-ki kah khì-iû sī buē-īng-eh tsuè-hé --ê,",,
0902-Dia004.wav,若做伙是會爆炸喔！,nā tsuè-hé sī ē po̍k-tsà --ooh!,,
0902-Dia005.wav,好。,Hó.,,
0902-Dia005.wav,啊，,"Ah,",,
0902-Dia005.wav,啊，,"ah,",,
0902-Dia005.wav,不孝囝！,Put-hàu kiánn!,,
0902-Dia005.wav,失禮、失禮！,"Sit-lé, sit-lé!",,
0902-Dia005.wav,我毋是咧罵恁啦，,"Guá m̄ sī leh mā --lín --lah,",,
0902-Dia006.wav,入去，,"Li̍p-khì,",,
0902-Dia007.wav,喔，,"Ooh,",,
0902-Dia007.wav,自你予我做囝乎，,"tsū lí hōo guá tsuè kiánn --honnh,",,
0902-Dia007.wav,今仔日予恁爸拍上忝，,"kin-á-li̍t hōo lín-pē phah siōng thiám,",,
0902-Dia008.wav,入去。,Li̍p-khì.,,
0902-Dia009.wav,哼，,"Hngh,",,
0902-Dia009.wav,啊！,ah!,,
0902-Dia009.wav,雞籠，,"Ke-lâng,",,
0902-Dia009.wav,嘿嘿！,heh heh!,,
0902-Dia009.wav,面喔，,"Bīn --ooh,",,
0902-Dia009.wav,行！,Kiânn!,,
0902-Dia009.wav,喂，,"Eh,",,
0902-Dia009.wav,文德仔 ，,"Bûn-tik--á ,",,
0902-Dia009.wav,共恁爸擋咧，,"Kā lín-pē tòng --leh,",,
0902-Dia010.wav,喂，,"Eh,",,
0902-Dia010.wav,你欲閣嫁喔？,lí beh koh kè --ooh?,,
0902-Dia011.wav,啊！,Ah!,,
0902-Dia011.wav,嘿嘿，,"Heh heh,",,
0902-Dia012.wav,媽，,"má,",,
0902-Dia012.wav,欸欲來洗頭鬃啦。,eh beh lâi sé thâu-tsang --lah.,,
0902-Dia013.wav,我予你袂騙咧，,"Guá hōo lí buē phiàn --eh,",,
0902-Dia013.wav,你一定是欲去揣彼隻痟狗乎，,"lí it-tīng sī beh khìr tshē hit tsiah siáu-káu --honnh,",,
0902-Dia014.wav,亂來兩字毋免講！,luān-lâi nn̄g jī m̄-bián kóng!,,
0902-Dia015.wav,著愛爸母主婚，,"To̍h-ài pē-bú tsú-hun,",,
0902-Dia015.wav,愛就有人格的人介紹，,"ài tō ū lîn-keh ê lâng kài-siāu,",,
0902-Dia015.wav,對方查埔曷毋知熊抑虎，,"tuì-hong ta-poo a̍h m̄ tsai hîm ah hóo,",,
0902-Dia015.wav,亂亂交。,luān luān kau.,,
0902-Dia016.wav,媽，,"Má,",,
0902-Dia016.wav,人這是區公所的 盧 先生介紹的，,"lâng tse sī khu-kong-sóo ê  Lôo  --sian-sinn kài-siāu --ê,",,
0902-Dia016.wav,人偌斯文咧，,"lâng guā su-bûn --leh,",,
0902-Dia016.wav,內才也好，,"lāi-tsâi iā hó,",,
0902-Dia016.wav,啊外才乎偌好咧，,"ah guā-tsâi --honnh guā hó --leh,",,
0902-Dia017.wav,媽媽，,"má-mah,",,
0902-Dia017.wav,你若看著乎你一定會佮意。,lí nā khuànn--tio̍h --honnh lí it-tīng ē kah-ì.,,
0902-Dia018.wav,亂亂講，,"Luān luān kóng,",,
0902-Dia018.wav,袂見笑，,"bē-kiàn-siàu,",,
0902-Dia019.wav,死！,Sí!,,
0902-Dia020.wav,我是欠你死人債毋？,Guá sī khiàm lí sí-lâng-tsè --m̄?,,
