Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
"Sep 15, 2018 01_60.wav",八百空四篇，種族屠殺的教訓,"Peh-pah khòng sì phinn, Tsíng-tso̍k tôo-sat ê kàu-hùn",,
"Sep 15, 2018 01_60.wav",種族屠殺的教訓,Tsíng-tso̍k tôo-sat ê kàu-hùn,,
"Sep 15, 2018 01_60.wav",近代歷史上發生過一場閣一場的種族屠殺，,"Kīn-tāi li̍k-sú-siōng huat-sing-kuè tsi̍t tiûnn koh tsi̍t tiûnn ê tsíng-tso̍k tôo-sat,",,
"Sep 15, 2018 01_60.wav",這予咱有一个閣一个的紀念日，,"tse hōo lán ū tsi̍t ê koh tsi̍t ê ê kì-liām-ji̍t,",,
"Sep 15, 2018 01_60.wav",頂個月四月拄好特別濟。,tíng kò gue̍h sì--gue̍h tú-hó ti̍k-pia̍t tsē.,,
"Sep 15, 2018 01_60.wav",仝時陣，,"Kāng sî-tsūn,",,
"Sep 15, 2018 01_60.wav",佇世界的幾若位，,"tī sè-kài ê kuí-nā uī,",,
"Sep 15, 2018 01_60.wav",屠殺猶是當咧進行。,tôo-sat iáu sī tng-teh tsìn-hîng.,,
"Sep 15, 2018 01_61.wav",人類敢真正有學著教訓？,Jîn-luī kám tsin-tsiànn ū o̍h-tio̍h kàu-hùn?,,
"Sep 15, 2018 01_62.wav",人類敢真正有學著教示？,Jîn-luī kám tsin-tsiànn ū o̍h-tio̍h kàu-sī?,,
"Sep 15, 2018 01_62.wav",是按怎會予這種代誌閣繼續發生咧？,Sī-án-tsuánn ē hōo tsit tsióng tāi-tsì koh kè-sio̍k huat-sing--leh?,,
"Sep 15, 2018 01_63.wav",這是美國資深記者Christian Caryl所寫，,"Tse sī Bí-kok tsu-tshim kì-tsiá Christian Caryl sóo siá,",,
"Sep 15, 2018 01_63.wav",頂禮拜刊佇《外交政策》雜誌網站的一篇文章內底問的問題。,tíng lé-pài khan tī “Guā-kau tsìng-tshik” tsa̍p-tsì bāng-tsām ê tsi̍t phinn bûn-tsiong lāi-té mn̄g ê būn-tê.,,
"Sep 15, 2018 01_64.wav",Syria四年的戰爭已經死超過二十萬人，,"Syria sì nî ê tsiàn-tsing í-king sí tshiau-kuè jī-tsa̍p bān lâng,",,
"Sep 15, 2018 01_64.wav",有成千萬人咧逃難。,ū tsiânn tshing-bān lâng leh tô-lān.,,
"Sep 15, 2018 01_64.wav",一爿有總統Bashar al-Assad，,"Tsi̍t pîng ū tsóng-thóng Bashar al-Assad,",,
"Sep 15, 2018 01_64.wav",一爿有過激派的Islam國，,"tsi̍t pîng ū kuè-kik-phài ê Islam kok,",,
"Sep 15, 2018 01_64.wav",攏咧屠殺宗教上的異己。,lóng teh tôo-sat tsong-kàu-siōng ê ī-kí.,,
"Sep 15, 2018 01_65.wav",Congo民主共和國、中非共和國、南Sudan嘛才經歷過大規模的暴行，,"Congo bîn-tsú kiōng-hô-kok, Tiong-hui kiōng-hô-kok, Lâm Sudan mā tsiah king-li̍k-kuè tuā kui-bôo ê pō-hîng,",,
"Sep 15, 2018 01_65.wav",目前衝突的根本原因也猶未解決。,bo̍k-tsiân tshiong-tu̍t ê kin-pún guân-in iā iáu-buē kái-kuat.,,
"Sep 15, 2018 01_65.wav",Sudan政府也繼續佇Darfur等所在殘害少數族群。,Sudan tsìng-hú iā kè-sio̍k tī Darfur tíng sóo-tsāi tsân-hāi tsió-sòo tso̍k-kûn.,,
"Sep 15, 2018 01_66.wav",Myanmar政府迫害信Islam教的Rohingya人，,"Myanmar tsìng-hú pik-hāi sìn Islam kàu ê Rohingya lâng,",,
"Sep 15, 2018 01_66.wav",有西方觀察者甚至認為已經出現族群屠殺的早期影跡。,ū se-hong kuan-tshat-tsiá sīm-tsì jīn-uî í-king tshut-hiān tso̍k-kûn tôo-sat ê tsá-kî iánn-tsiah.,,
"Sep 15, 2018 01_67.wav",Caryl引用學者Paul Stares的講法，,"Caryl ín-iōng ha̍k-tsiá Paul Stares ê kóng-huat,",,
"Sep 15, 2018 01_67.wav",現在，,"hiān-tsāi,",,
