編號,來源,漢字
2919,三連音,伊hông唬甲愣愣愣，相信簽明牌絕對趁。
2920,三連音,阿明驚一下愣愣愣，三魂七魄走了了。
2921,三連音,彼个人講話譀譀譀，莫傷相信伊。
2922,三連音,這款品種的番仔薑薟薟薟，袂食薟的人毋好試。
2923,三連音,桌仔拂甲油油油是欲按怎囥物件？
2924,三連音,這泡茶喉韻甘甘甘，有影好茶。
2925,三連音,睏一醒頭毛翹翹翹亂七八糟。
2926,三連音,頭毛電過頭煞虯虯虯。
2927,三連音,喙鬚燒一下虯虯虯。
2928,三連音,落大雨規條路攏路糊糜湳湳湳。
2929,三連音,過敏夯起來癢癢癢閣袂抓得，艱苦甲。
2930,三連音,這條菜瓜已經老甲柯柯柯，聽好做菜瓜布矣。
2931,三連音,芹菜無絲哺著柯柯柯。
2932,三連音,柑仔囥甲脯脯脯無湯歹食。
2933,三連音,菜脯就是愛曝予脯脯脯才會囥得。
2934,三連音,麭烘過火𠕇𠕇𠕇若石頭。
2935,三連音,柴枋予蟻吮過，規塊冇冇冇，免出力就斷做兩橛。
2936,三連音,字寫甲細細細是欲予鬼看？
2937,三連音,字寫甲貓貓貓是siáng看有？
2938,三連音,拄買的手機仔新新新，毋甘提來用。
2939,三連音,新新新的車落塗價數先落一半。
2940,三連音,西北雨共路裡的人沃甲澹澹澹。
2941,三連音,洗好的衫披佇外口三工猶是溼溼溼。
2942,三連音,阿啄仔的鼻仔啄啄啄。
2943,三連音,有練工夫的師兄兩跤徛甲在在在，阮按怎偃攏袂倒。
2944,三連音,大地動了後，舊厝壁堵猶原在在在，一點仔必巡嘛無。
2945,三連音,阿媽的頭一个金孫當然是疼疼疼。
2946,三連音,一碗飯疊甲尖尖尖，驚食無夠本。
2947,三連音,你目睭有影眵眵眵，錢落佇遮你揣無？
2948,三連音,衛生紙著愛柔柔柔，拭尻川才袂疼。
2949,三連音,寒天食燒燒燒的燒酒雞蓋讚。
2950,三連音,這改考試成績爛爛爛，欲按怎共爸母交代。
2951,三連音,豬跤炕甲爛爛爛，枵鬼囡仔流喙瀾。
2952,三連音,你賣的物件囥甲漚漚漚，是siáng欲買？
2953,三連音,癩ko衫仔褲漚甲漚漚漚，緊提去洗洗咧。
2954,三連音,辯士𠢕講古，觀眾聽甲耳仔覆覆覆。
2955,三連音,伊人睏甲覆覆覆，叫都叫袂精神。
2956,三連音,拄靠岸的現流仔鮮鮮鮮，逐尾都活跳跳。
2957,三連音,彼擔的豬肉逐工現刣，肉鮮鮮鮮，攏無臭羶。
2958,三連音,大甲芋仔食起來綿綿棉閣鬆鬆鬆。
2959,三連音,這菜炒甲糊糊糊，敢會孝孤得？
2960,三連音,湯頭予你透甲水水水已經白汫無味去矣。
2961,三連音,三層肉批予薄薄薄，搵蒜茸豆油上著味。
2962,三連音,囡仔予你飼甲肉肉肉，拜託嘛小控制一下。
2963,三連音,大熱天閣停電，人車全全走出來𤲍佇路裡齪齪齪。
2964,三連音,這个囡仔皮皮皮，教袂聽。
2965,三連音,你做毋著閣激予皮皮皮，拍算佯生當做無代誌。
2966,三連音,大大大的kha̋ng-páng提醒咱駛車毋通啉酒。
2967,三連音,你真正槌槌槌呢，人咧暗示你矣閣毋知。
2968,三連音,議員為著選票，人情世事做甲到到到。
2969,三連音,進口榴槤臭臭臭，照常賣甲削削叫。
2970,三連音,規塊肉看起來生生生到底是有熟抑無熟？
2971,三連音,紫南宮的香火旺旺旺，信徒不時來添油香。
