Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,彼暗，,"Hit àm,"
,我覆佇阿母的胸坎咧欶奶，,"guá phak tī a-bú ê hing-khám teh suh ling,"
,雄雄一陣人行倚來，,"hiông-hiông tsi̍t tīn lâng kiânn uá--lâi,"
,嗤嗤呲呲。,tshi tshi tshū tshū.
,無張持，,"Bô-tiunn-tî,"
,一雙手共我抱起來，,"tsi̍t siang tshiú kā guá phō--khí-lâi,"
,我的喙猶是欶奶的喙型，,"guá ê tshuì iáu sī suh ling ê tshuì hîng,"
,喙角嘛猶津一滴阿母的奶水，,"tshuì-kak mā iáu tin tsi̍t tih a-bú ê ling-tsuí,"
,我就予人𤆬離開阿母燒烙的身軀邊。,guá tō hōo lâng tshuā lī-khui a-bú sio-lō ê sin-khu-pinn.
,彼暗，,"Hit àm,"
,冷風hū-hū叫，,"líng-hong hū-hū-kiò,"
,我予人用一條索仔縛佇路邊的一欉樹仔跤，,"guá hōo lâng iōng tsi̍t tiâu soh-á pa̍k tī lōo-pinn ê tsi̍t tsâng tshiū-á-kha,"
,寒甲直直顫，,"kuânn kah ti̍t-ti̍t tsùn,"
,嘛驚甲毋敢睏，,"mā kiann kah m̄ kánn khùn,"
,大細聲哀。,tuā-sè siann ai.
,阿母無來救我，,"A-bú bô lâi kiù --guá,"
,嘛無人插我，,"mā bô lâng tshap --guá,"
,放我一个佇遐吼規暝。,pàng guá tsi̍t ê tī hia háu kui mê.
,天拍殕仔光，,"Thinn phah-phú-á-kng,"
,我忝甲眯一下仔，,"guá thiám kah bî tsi̍t-ē-á,"
,就予人佮車的聲吵精神。,tō hōo lâng kah tshia ê siann tshá tsing-sîn.
,目睭褫開，,"Ba̍k-tsiu thí--khui,"
,看著正爿是車路，,"khuànn-tio̍h tsiànn-pîng sī tshia-lōo,"
,倒爿是一个資源回收場。,tò-pîng sī tsi̍t ê tsu-guân huê-siu-tiûnn.
,亂操操的鐵籠仔疊甲懸懸懸，,"Luān-tshau-tshau ê thih láng-á thia̍p kah kuân-kuân-kuân,"
,lok-koh-sok-koh的物件鎮甲規四界，,"lok-koh-sok-koh ê mi̍h-kiānn tìn kah kui sì-kè,"
,不時閣有水對回收場流出來。,put-sî koh ū tsuí uì huê-siu-tiûnn lâu --tshut-lâi.
,四界澹糊糊，,"Sì-kè tâm-kôo-kôo,"
,予我感覺又閣寒又閣溼。,hōo guá kám-kak iū-koh kuânn iū-koh sip.
,這馬敢是秋天？,Tsit-má kám sī tshiu-thinn?
,無，,"Bô,"
,跤邊哪會遮濟樹葉仔，,"kha pinn ná ē tsiah tsē tshiū-hio̍h-á,"
