Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,聽講較早的暗學仔，,"Thiann-kóng khah-tsá ê àm-o̍h-á,"
,是咧予無讀冊的人欲學捌字才去讀的。,sī teh hōo bô tha̍k-tsheh ê lâng beh o̍h bat-jī tsiah khì tha̍k--ê.
,這馬的暗學仔無仝囉，,"Tsit-má ê àm-o̍h-á bô kāng --looh,"
,齣頭加誠濟款，,"tshut-thâu ke tsiânn tsē khuán,"
,欲學啥就有啥。,beh o̍h siánn tō ū siánn.
,愛學東學西的阿母，,"Ài o̍h tang o̍h sai ê a-bú,"
,逐工都排甲滇滇，,"ta̍k kang to pâi kah tīnn-tīnn,"
,規禮拜攏無閒𩑾𩑾。,kui lé-pài lóng bô-îng tshih-tshih.
,拜一暗，,"Pài-it àm,"
,去社區大學上「草藥班」的課。,khì siā-khu tāi-ha̍k siōng “tsháu-io̍h pan” ê khò.
,阿母講：,A-bú kóng:
,「大自然賜予咱遮濟天然的藥草，,"“Tāi-tsū-jiân sù hōo lán tsiah tsē thian-jiân ê io̍h-tsháu,"
,無去共熟似誠無彩。」,bô khì kā si̍k-sāi tsiânn bô-tshái.”
,閣講：,Koh kóng:
,「青草仔捌是寶，,"“tshenn-tsháu-á bat sī pó,"
,毋捌是草。,m̄ bat sī tsháu.
,認捌青草，,"Jīn-bat tshenn-tsháu,"
,會予人珍惜地球的每一枝草，,"ē hōo lâng tin-sioh tē-kiû ê muí tsi̍t ki tsháu,"
,每一欉樹仔。」,muí tsi̍t tsâng tshiū-á.”
,伊嘛誠反對人噴殺草劑，,"I mā tsiânn huán-tuì lâng phùn sat-tsháu-tse,"
,講按呢，,"kóng án-ne,"
,會予誠濟有路用的藥草絕種去。,ē hōo tsiânn tsē ū-lōo-īng ê io̍h-tsháu tse̍h-tsíng --khì.
,拜二暗，,"Pài-jī àm,"
,佇鄉土文學館咧讀「昔時賢文」佮「臺灣三字經」。,tī hiong-thóo bûn-ha̍k-kuán teh tha̍k “Sik sî hiân bûn” kah “Tâi-uân sam-jū-king”.
,阿母講：,A-bú kóng:
,「昔時賢文是早前的𠢕人留落來的智慧，,"“Sik sî hiân bûn sī tsá-tsîng ê gâu-lâng lâu lo̍h-lâi ê tì-huī,"
,咧教做人的道理，,"teh kà tsò lâng ê tō-lí,"
,每一句的來源，,"muí tsi̍t kù ê lâi-guân,"
,攏是有典故的。」,lóng sī ū tián-kòo --ê.”
,看阮讀冊無認真，,"Khuànn guán tha̍k-tsheh bô jīn-tsin,"
,就共阮講：,tō kā guán kóng:
,「讀書須用心，,"“Tho̍k-su su iōng-sim,"
,一字值千金。」,it jī ti̍t tshian-kim.”
,啊若「臺灣三字經」，,"Ah nā “Tâi-uân sam-jū-king”,"
,是1900年新竹王石鵬先生所寫的，,"sī 1900 nî Sin-tik Ông Tsio̍h-pîng sian-sinn sóo siá --ê,"
,伊的寫法模仿三字經，,"i ê siá-huat bôo-hóng sam-jū-king,"
,予人較好記。,hōo lâng khah hó kì.
,拜三暗，,"Pài-sann àm,"
,去學英語。,khì o̍h Ing-gí.
,聽講這位對高中退休的英語老師誠𠢕教，,"Thiann-kóng tsit uī uì ko-tiong thè-hiu ê Ing-gí lāu-su tsiânn gâu kà,"
,阿母嘛學甲誠認真。,a-bú mā o̍h kah tsiânn jīn-tsin.
,毋管是透大風抑是落大雨，,"M̄-kuán sī thàu tuā hong ia̍h-sī lo̍h tuā hōo,"
,攏毋捌請假。,lóng m̄ bat tshíng-ká.
,逐工，,"Ta̍k kang,"
,英語講義𢯾咧，,"Ing-gí káng-gī mooh --leh,"
,讀甲歡頭喜面。,tha̍k kah huann-thâu-hí-bīn.
,伊講：,I kóng:
,「欲共少年時學無好的英語，,"“Beh kā siàu-liân sî o̍h bô hó ê Ing-gí,"
,好好仔閣學起來。」,hó-hó-á koh o̍h --khí-lâi.”
,拜四暗，,"Pài-sì àm,"
,佇社區的社團學電腦。,tī siā-khu ê siā-thuân o̍h tiān-náu.
,阿母講：,A-bú kóng:
,「這馬是資訊發達的世代，,"“Tsit-má sī tsu-sìn huat-ta̍t ê sè-tāi,"
,袂使佮社會脫節。」,bē-sái kah siā-huē thuat-tsiat.”
,定定看伊坐佇電腦頭前咧使用「一指神功」，,"Tiānn-tiānn khuànn i tsē tī tiān-náu thâu-tsîng teh sú-iōng “tsi̍t tsáinn sîn kong”,"
,嘛定定咻我去共伊教。,mā tiānn-tiānn hiu guá khì kā i kà.
,看起來，,"Khuànn --khí-lâi,"
,學電腦對阿母來講有較困難淡薄仔。,o̍h tiān-náu tuì a-bú lâi kóng ū khah khùn-lân --tām-po̍h-á.
,拜五暗，,"Pài-gōo àm,"
,就較輕鬆矣，,"tō khah khin-sang --ah,"
,咧學挨絃仔。,teh o̍h e hiân-á.
,毋過，,"M̄-koh,"
,嘛是阮較艱苦的時陣。,mā sī guán khah kan-khóo ê sî-tsūn.
,人講：,Lâng kóng:
,「一𥰔二簫萬世絃。」,“It phín jī siau bān sè hiân.”
,絃仔愛學一段時間才挨會好聽，,"Hiân-á ài o̍h tsi̍t tuānn sî-kan tsiah e ē hó-thiann,"
,拄開始學的阿母是鋸甲誠歡喜，,"tú khai-sí o̍h ê a-bú sī kì kah tsiânn huann-hí,"
,啊阮規家伙仔是聽甲強欲擋袂牢。,ah guán kui-ke-hué-á sī thiann kah kiōng-beh tòng bē tiâu.
,論真講起來，,"Lūn-tsin kóng --khí-lâi,"
,讀暗學仔予阿母心情加誠好，,"tha̍k àm-o̍h-á hōo a-bú sim-tsîng ke tsiânn hó,"
,逐工精神百倍。,ta̍k kang tsing-sîn pah puē.
,阿母講：,A-bú kóng:
,「學問是讀冊來的，,"“Ha̍k-būn sī tha̍k-tsheh lâi ê,"
,智慧是見識來的。,tì-huī sī kiàn-sik lâi ê.
,食一歲，,"Tsia̍h tsi̍t huè,"
,學一歲。」,o̍h tsi̍t huè.”
,讀暗學仔毋但會當學著智識，,"Tha̍k àm-o̍h-á m̄-nā ē-tàng o̍h-tio̍h tì-sik,"
,閣會當交著朋友，,"koh ē-tàng kau-tio̍h pîng-iú,"
,人生嘛加誠有意義。,jîn-sing mā ke tsiânn ū ì-gī.
