Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,我讀國小的時，,"Guá tha̍k kok-sió ê sî,"
,若拄著歇熱，,"nā tú-tio̍h hioh-jua̍h,"
,攏會佮小弟轉去庄跤佮阿公、阿媽蹛，,"lóng ē kah sió-tī tńg-khì tsng-kha kah a-kong, a-má tuà,"
,一寡叔伯兄弟、姊妹嘛攏會轉來。,"tsi̍t-kuá tsik-peh hiann-tī, tsí-muē mā lóng ē tńg--lâi."
,規陣囡仔絞做伙，,"Kui tīn gín-á ká tsò-hué,"
,是鬧熱滾滾。,sī lāu-jia̍t-kún-kún.
,七、八月仔，,"Tshit, peh-gue̍h-á,"
,拄好是稻仔當欲收成。,tú-hó sī tiū-á tng beh siu-sîng.
,逐工透早，,"Ta̍k kang thàu-tsá,"
,阮阿媽就愛去稻埕共崁粟仔的布篷掀開，,"guán a-má tō ài khì tiū-tiânn kā khàm tshik-á ê pòo-phâng hian--khui,"
,用耙柫共粟仔一逝一逝耙予齊。,īng pê-put kā tshik-á tsi̍t tsuā tsi̍t tsuā pê hōo tsê.
,拄開始是耙予尖尖，,"Tú-khai-sí sī pê hōo tsiam-tsiam,"
,等日頭曝一站仔，,"tán ji̍t-thâu pha̍k tsi̍t-tsām-á,"
,就愛閣攑耙柫共尖尖的粟仔耙予平平平，,"tō ài koh gia̍h pê-put kā tsiam-tsiam ê tshik-á pê hōo pênn-pênn-pênn,"
,予日頭繼續曝。,hōo ji̍t-thâu kè-sio̍k pha̍k.
,就按呢，,"Tsiū-án-ne,"
,一下仔耙尖尖、一下仔耙平平，,"tsi̍t-ē-á pê tsiam-tsiam, tsi̍t-ē-á pê pênn-pênn,"
,對日頭出來，,"uì ji̍t-thâu tshut--lâi,"
,曝到日頭落山，,"pha̍k kàu ji̍t-thâu lo̍h-suann,"
,阿媽攏佇遐無閒這件代誌。,a-má lóng tī hia bô-îng tsit kiānn tāi-tsì.
,彼陣，,"Hit tsūn,"
,阮這陣囡仔猶閣細漢，,"guán tsit tīn gín-á iáu-koh sè-hàn,"
,無法度共阿媽鬥相共，,"bô-huat-tōo kā a-má tàu-sann-kāng,"
,大人的穡頭閣濟，,"tuā-lâng ê sit-thâu koh tsē,"
,嘛無閒工來共阮看顧，,"mā bô îng-kang lâi kā guán khuànn-kòo,"
,所以，,"sóo-í,"
,大人是無閒甲汗水㴙㴙滴，,"tuā-lâng sī bô-îng kah kuānn-tsuí tsha̍p-tsha̍p-tih,"
,阮是耍甲四界硞硞傱。,guán sī sńg kah sì-kè kho̍k-kho̍k-tsông.
,拈田嬰、掠蟬仔、撈魚仔、覕相揣。,"Liam tshân-enn, lia̍h siân-á, hôo hî-á, bih-sio-tshuē."
,齣頭實在有夠濟，,"Tshut-thâu si̍t-tsāi ū-kàu tsē,"
,干焦食點心的時間才會瀳倚來。,kan-na tsia̍h tiám-sim ê sî-kan tsiah ē tshînn uá--lâi.
,阿媽攏講我是｢好鼻獅｣，,"A-má lóng kóng guá sī “hó-phīnn-sai”,"
,佗位有通食，,"tó-uī ū thang tsia̍h,"
,就會看著我。,tō ē khuànn-tio̍h guá.
,無法度，,"Bô-huat-tōo,"
,食點心對我來講是上重要的代誌。,tsia̍h tiám-sim tuì guá lâi kóng sī siōng tiōng-iàu ê tāi-tsì.
,我會記得阿媽上捷攢的點心是米篩目、,"Guá ē-kì-tit a-má siōng tsia̍p tshuân ê tiám-sim sī bí-thai-ba̍k,"
,仙草、薁蕘佮冰甲透心涼的糖水。,"sian-tsháu, ò-giô kah ping kah thàu-sim-liâng ê thn̂g-tsuí."
,阿媽會共遮的點心囥佇米籮內底，,"A-má ē kā tsia-ê tiám-sim khǹg tī bí-luâ lāi-té,"
,用扁擔擔去田裡，,"īng pún-tann tann khì tshân--lí,"
,通予作穡的人食。,thang hōo tsoh-sit ê lâng tsia̍h.
,阿媽行佇頭前，,"A-má kiânn tī thâu-tsîng,"
,我就綴佇伊的尻川後，,"guá tō tuè tī i ê kha-tshng āu,"
,順紲去食點心。,sūn-suà khì tsia̍h tiám-sim.
,我上愛食的點心是米篩目摻冰糖水。,Guá siōng ài tsia̍h ê tiám-sim sī bí-thai-ba̍k tsham ping thn̂g-tsuí.
,𩚨嗲嗲的米篩目食會著阿媽對我的疼惜佮慈愛﹔,Khiū-teh-teh ê bí-thai-ba̍k tsia̍h ē tio̍h a-má tuì guá ê thiànn-sioh kah tsû-ài;
,冰涼的糖水就親像阿媽對我的愛護，,"ping-liâng ê thn̂g-tsuí tō tshin-tshiūnn a-má tuì guá ê ài-hōo,"
,共熱天的刺疫趕甲離離離。,kā jua̍h-thinn ê tshiah-ia̍h kuánn kah lī-lī-lī.
,我一碗食了閣一碗，,"Guá tsi̍t uánn tsia̍h liáu koh tsi̍t uánn,"
,阿媽是看甲喙笑目笑，,"a-má sī khuànn kah tshuì-tshiò-ba̍k-tshiò,"
,點心敢若攏是刁工為我攢的。,tiám-sim kánn-ná lóng sī thiau-kang uī guá tshuân --ê.
,讀國中了後，,"Tha̍k kok-tiong liáu-āu,"
,學校課業較重，,"ha̍k-hāu khò-gia̍p khah tāng,"
,逐工就愛讀冊佮準備考試，,"ta̍k kang tō ài tha̍k-tsheh kah tsún-pī khó-tshì,"
,轉去庄跤歇熱，,"tńg-khì tsng-kha hioh-jua̍h,"
,敢若是足久以前的代誌矣。,kánn-ná sī tsiok kú í-tsîng ê tāi-tsì --ah.
,自彼个時陣開始，,"Tsū hit ê sî-tsūn khai-sí,"
,阿媽對我的關心，,"a-má tuì guá ê kuan-sim,"
,不時就會對電話線彼爿傳過來。,put-sî tō ē uì tiān-uē-suànn hit pîng thuân --kuè-lâi.
,伊毋但關心我的課業，,"I m̄-nā kuan-sim guá ê khò-gia̍p,"
,閣吩咐我𨑨迌愛細膩、三頓愛食予飽。,"koh huan-hù guá tshit-thô ài sè-jī, sann tǹg ài tsia̍h hōo pá."
,每一句的關懷，,"Muí tsi̍t kù ê kuan-huâi,"
,攏予我喉滇目箍紅，,"lóng hōo guá âu-tīnn ba̍k-khoo âng,"
,足向望家己有一對翼仔，,"tsiok ǹg-bāng ka-kī ū tsi̍t tuì si̍t-á,"
,會當隨時飛去阿媽的身軀邊，,"ē-tàng suî-sî pue khì a-má ê sin-khu-pinn,"
,親像細漢的時，,"tshin-tshiūnn sè-hàn ê sî,"
,予阿媽攬牢牢，,"hōo a-má lám tiâu-tiâu,"
,聽伊講古拍抐涼。,thiann i kóng-kóo phah-lā-liâng.
,阿媽的愛，,"A-má ê ài,"
,是我熱天的幸福。,sī guá jua̍h-thinn ê hīng-hok.
