Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,向時的農業社會物資較欠缺，,"Hiàng-sî ê lông-gia̍p siā-huē bu̍t-tsu khah khiàm-khueh,"
,三頓若有通食就真萬幸矣，,"sann tǹg nā ū thang tsia̍h tō tsin bān-hīng --ah,"
,做囡仔的哪敢數想食啥物四秀仔？,tsò gín-á--ê ná kánn siàu-siūnn tsia̍h siánn-mih sì-siù-á?
,干干仔阮遮的囡仔疕，,"Kan-kan-á guán tsia-ê gín-á-phí,"
,人閒就想欲揣物件來食。,lâng îng tō siūnn-beh tshuē mi̍h-kiānn lâi tsia̍h.
,學校福利社賣的糖含仔、王梨心、,"Ha̍k-hāu hok-lī-siā bē ê thn̂g-kâm-á, ông-lâi-sim,"
,檨仔乾攏愛用箍箍才買會著。,suāinn-á-kuann lóng ài iōng  khoo-khoo tsiah bé ē tio̍h.
,阮遮的枵鬼囡仔是橐袋仔袋磅子，,"Guán tsia-ê iau-kuí gín-á sī lak-tē-á tē pōng-tsí,"
,哪有通買來食？,ná ū thang bé lâi tsia̍h?
,只好佇放學的時，,"Tsí-hó tī pàng-o̍h ê sî,"
,相看路邊有生烏甜仔無？,siòng khuànn lōo-pinn ū senn oo-tinn-á --bô?
,烏甜仔，,"Oo-tinn-á,"
,華語講#「龍葵」#。,Huâ-gí kóng#「龍葵」#.
,伊的子若熟到在，,"I ê tsí nā si̍k kàu tsāi,"
,規粒就會變茄仔色，,"kui lia̍p tō ē piàn kiô-á-sik,"
,若莫去食著生的，,"nā mài khì tsia̍h-tio̍h tshenn--ê,"
,抑是人拄澍殺草劑、濺藥仔的，,"ia̍h-sī lâng tú tshū sat-tsháu-tse, tsuānn io̍h-á--ê,"
,有通啖糝較贏佇咧流喙瀾。,ū thang tām-sám khah iânn tī-leh lâu tshuì-nuā.
,有當時仔阿兄會𤆬我去車頭遐挽「咖啡」。,Ū-tang-sî-á a-hiann ē tshuā guá khì tshia-thâu hia bán “ka-pi.”
,紅紅的咖啡甜甜，,"Âng-âng ê ka-pi tinn-tinn,"
,內底有真濟細細粒仔的子，,"lāi-té ū tsin tsē sè-sè lia̍p-á ê tsí,"
,鼻起來若蜜咧，,"phīnn --khí-lâi ná bi̍t --leh,"
,有夠好食，,"ū-kàu hó-tsia̍h,"
,佮咱這陣啉的苦嗲嗲的咖啡無仝。,kah lán tsit-tsūn lim ê khóo-teh-teh ê ka-pi bô-kāng.
,哪會叫伊「咖啡」咧？,Ná ē kiò i “ka-pi” --leh?
,可能是in熟的時，,"Khó-lîng sī in si̍k ê sî,"
,規粒攏紅紅的緣故。,kui lia̍p lóng âng-âng ê iân-kòo.
,大漢了後，,"Tuā-hàn liáu-āu,"
,才知影伊是西印度櫻桃屬的「南美假櫻桃」，,"tsiah tsai-iánn i sī se-Ìn-tōo ing-thô sio̍k ê “Lâm-bí ké ing-thô”,"
,佮咖啡一點仔關係都無。,kah ka-pi tsi̍t-tiám-á kuan-hē to bô.
,細漢的時槌槌，,"Sè-hàn ê sî thuî-thuî,"
,定定予阿兄創治。,tiānn-tiānn hōo a-hiann tshòng-tī.
,有一擺伊𤆬我去廟口耍，,"Ū tsi̍t pái i tshuā guá khì biō-kháu sńg,"
,看著一欉足大欉的樹仔，,"khuànn-tio̍h tsi̍t tsâng tsiok tuā-tsâng ê tshiū-á,"
,頂懸有生足濟紅紅的「咖啡」，,"tíng-kuân ū senn tsiok tsē âng-âng ê “ka-pi”,"
,伊講欲挽予我食，,"i kóng beh bán hōo guá tsia̍h,"
,三兩下手就peh去樹仔頂，,"sann-nn̄g-ē-tshiú tō peh khì tshiū-á-tíng,"
,擲幾若粒落來予我。,tàn kuí-nā lia̍p lo̍h-lâi hōo--guá.
,一窒落喙空，,"Tsi̍t that lo̍h tshuì-khang,"
,俺娘喂，,"án-niâ-uê,"
,哪會澀kīnn-kuāinn？,ná ē siap-kīnn-kuāinn?
,這是啥物「咖啡」，,"Tse sī siánn-mih “ka-pi”,"
,有夠歹食！,ū-kàu pháinn-tsia̍h!
,落尾才知影，,"Lo̍h-bué tsiah tsai-iánn,"
,彼欉是榕仔，,"hit tsâng sī tshîng-á,"
,根本就毋是「咖啡」。,kin-pún tō m̄ sī “ka-pi.”
,阿母定定罵阮：,A-bú tiānn-tiānn mē guán:
,「烏白挽、烏白食，也毋驚會予人毒死！」,"“Oo-pe̍h bán, oo-pe̍h tsia̍h, iā m̄-kiann ē hōo lâng thāu--sí!”"
,毋過若是綴伊去田裡割田岸仔草，,"M̄-koh nā-sī tuè i khì tshân--lí kuah tshân-huānn-á tsháu,"
,伊嘛是會挽路邊生的山葡萄予阮食。,i mā sī ē bán lōo-pinn senn ê suann-phû-tô hōo guán tsia̍h.
,山葡萄若有熟，,"Suann-phû-tô nā ū si̍k,"
,皮會變做柑仔色，,"phuê ē piàn-tsò kam-á-sik,"
,內底有一粒一粒軟軟白白閣包烏子的肉。,lāi-té ū tsi̍t lia̍p tsi̍t lia̍p nńg-nńg pe̍h-pe̍h koh pau oo tsí ê bah.
,有一擺去朋友兜，,"Ū tsi̍t pái khì pîng-iú tau,"
